region_kod,region_nazwa,region_typ,related_to,rok_zalozenia,id_unikalne,kategoria,nazwa_firmy,kraj,miasto,adres,nip_vat,rejestr_id,www,kanal_zamiennik,email,telefon,linkedin,facebook,instagram,tiktok,tier,marki_nabijarki,marka_wlasna_oem,sourcing,wolumen,confidence_wolumen,kanal_sprzedaży,powinowactwo_nabijarki,cross_sell_potential,decydent,stanowisko,email_decydent,zrodlo_danych,data_weryfikacji,flagi,notatki,rynek_skala
XX,nieznany,nieznany,,,BG-B-XX-001,B8,Tobacco Distribution OOD,BG,Sofia,bul. (do ustalenia),do weryfikacji,do weryfikacji,https://tobacco.bg/,,,,,,,,,,,,,,,,,,,,web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-002,B8,TTI Bulgaria EOOD (Pöschl),BG,Sofia,ul. Angelov vrah 22,do weryfikacji,do weryfikacji,https://ttibulgaria.com/,,,,,,,,,,,,,,,,,,,,web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-003,B8,Tobacco Import LTD (Bolkan),BG,Sofia,biuro Sofia + Plovdiv,do weryfikacji,do weryfikacji,https://www.tobacco-import.com/,,,,,,,,,,,,,,,,,,,,web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-004,B8,Tabako Trade OOD,BG,Sofia,do ustalenia,do weryfikacji,do weryfikacji,https://tobaccotrade.bg/,,,,,,,,,,,,,,,,,,,,web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-005,B4,SEKE Kardzali,BG,Plovdiv,Kardzhali,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.bg web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-006,B4,KASIKA,BG,Haskovo,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.bg web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-007,B4,M.TYLER LTD,BG,Sofia,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.bg web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-008,B4,Imperial Tobacco Bulgaria,BG,Sofia,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.bg web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-009,B4,British American Tobacco Bulgaria,BG,Sofia,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.bg web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-010,B4,Philip Morris Bulgaria,BG,Sofia,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.bg web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-011,B4,Japan Tobacco International Bulgaria,BG,Sofia,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.bg web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
