region_kod,region_nazwa,region_typ,related_to,rok_zalozenia,id_unikalne,kategoria,nazwa_firmy,kraj,miasto,adres,nip_vat,rejestr_id,www,kanal_zamiennik,email,telefon,linkedin,facebook,instagram,tiktok,tier,marki_nabijarki,marka_wlasna_oem,sourcing,wolumen,confidence_wolumen,kanal_sprzedaży,powinowactwo_nabijarki,cross_sell_potential,decydent,stanowisko,email_decydent,zrodlo_danych,data_weryfikacji,flagi,notatki,rynek_skala
XX,nieznany,nieznany,,,BG-B-XX-001,B8,Tobacco Distribution OOD,BG,Sofia,"bul. Knyaginya Maria Luiza 91B, Sofia",BG206015071,ЕИК 206015071,https://tobacco.bg/,,office@tobacco.bg,+359879336630,,,,,,,,,,,,,,,,,tobacco.bg + web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,"Starter set: web search 2026-08-10. Nip/rejestr do ustalenia. | Лиценз за търговия с тютюневи изделия BG5800V012306. Главен дистрибутор на ELFBAR, RELX (BG). Hookah марки LIRRA, HOOKAIN, HOLSTER, DARKSIDE, ELEMENT. Собствена марка GENEX. | License BG5800V012306. Exclusive distributor of ELFBAR, RELX (BG), LIRRA/HOOKAIN/HOLSTER/DARKSIDE/ELEMENT hookah. Own brand GENEX. | License BG5800V012306. Exclusive distributor ELFBAR, RELX. Hookah brands LIRRA, HOOKAIN, HOLSTER, DARKSIDE, ELEMENT. Own brand GENEX.",
XX,nieznany,nieznany,,,BG-B-XX-002,B8,TTI Bulgaria EOOD (Pöschl),BG,Sofia,ul. Angelov vrah 22,do weryfikacji,do weryfikacji,https://ttibulgaria.com/,,office@ttibulgaria.com,+359 2 955 74 03,,,,,,,,,,,,,,,,,ttibulgaria.com + web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,"Starter set: web search 2026-08-10. Nip/rejestr do ustalenia. | Клон на Pöschl Tabak (Geisenhausen, DE), основан 2001. Ексклузивен дистрибутор на тютюн за енфие, цигари и лула. | Subsidiary of Poschl Tabak (Geisenhausen, DE), since 2001. Exclusive distributor of snuff/pipe tobacco. | Subsidiary of Poschl Tabak (Geisenhausen, DE), since 2001. Exclusive distributor of snuff/pipe tobacco.",
XX,nieznany,nieznany,,,BG-B-XX-003,B8,Tobacco Import LTD (Bolkan),BG,Sofia,biuro Sofia + Plovdiv,do weryfikacji,do weryfikacji,https://www.tobacco-import.com/,,,,,,,,,,,,,,,,,,,,"tobacco-import.com (whois: reg 2008-12-16, eNom, expires 2026-12-16) + web search 2026-08-10",2026-08-10,⚠️ DO-WERYFIKACJI,"Starter set: web search 2026-08-10. Nip/rejestr do ustalenia. | Официален дистрибутор на Karelia cigarettes. 3 офиса (2 София + 1 Пловдив), 4 склада. Дъщерна фирма Bolkan A&D LTD. 17 000+ търговски обекта покритие. | Official distributor of Karelia cigarettes. 3 offices (2 Sofia + 1 Plovdiv), 4 warehouses. Daughter Bolkan A&D LTD. 17000+ outlets coverage. | Official distributor of Karelia cigarettes. 3 offices (2 Sofia + 1 Plovdiv), 4 warehouses. Daughter Bolkan A&D LTD. 17000+ outlets coverage.",
XX,nieznany,nieznany,,,BG-B-XX-004,B8,Tabako Trade OOD,BG,Sofia,"ul. Brezovsko shose 137, Plovdiv",BG160087391,ЕИК 160087391,https://tobaccotrade.bg/,,,,,,,,,,,,,,,,,,,,tobaccotrade.bg (whois: active) + finansi.bg 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia. | КИД 2008: 4635 (търговия на едро с тютюневи изделия). Регистрирана 26.02.2007. Клон на Dafna Group. Директна дистрибуция на национално ниво. | KID 2008: 4635 (wholesale of tobacco). Registered 26.02.2007. Subsidiary of Dafna Group. National direct distribution. | KID 2008: 4635 (wholesale of tobacco). Registered 26.02.2007. Subsidiary of Dafna Group. National direct distribution.,
XX,nieznany,nieznany,,,BG-B-XX-005,B4,SEKE Kardzali,BG,Plovdiv,Kardzhali,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.bg web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-006,B4,KASIKA,BG,Haskovo,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.bg web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-007,B4,M.TYLER LTD,BG,Sofia,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.bg web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-008,B4,Imperial Tobacco Bulgaria,BG,Sofia,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.bg web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-009,B4,British American Tobacco Bulgaria,BG,Sofia,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.bg web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-010,B4,Philip Morris Bulgaria,BG,Sofia,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.bg web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
XX,nieznany,nieznany,,,BG-B-XX-011,B4,Japan Tobacco International Bulgaria,BG,Sofia,do ustalenia,do weryfikacji,do weryfikacji,do ustalenia,,,,,,,,,,,,,,,,,,,,kompass.bg web search 2026-08-10,2026-08-10,⚠️ DO-WERYFIKACJI,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,
