kraj,id,nazwa,miasto,adres,www,www_status,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
BG,BG-A-001,Tobacco Trading International Bulgaria EOOD,София,"ul. Angelov vrah 22, 1618 Sofia, Bulgaria",https://ttibulgaria.com,green|200|6248ms,duży,Jest NIP,ЕИК 130768462,BG130768462,2001,hurtownik,PowerMatic | Cartel | Rollo,,,A1,średni,,hurtownia,,Tenko Bankov,Managing Director,,office@ttibulgaria.com,+359 2 955 74 03,"Kluczowy bułgarski dystrybutor hurtowy tytoniu do skręcania, gilz i nabijarek cigaretowych w Sofii. | Scalono z BG-B-002 2026-08-26 (duplikat: ten sam EIK 130768462). Kontakt zaktualizowany na zweryfikowany publicznie zestaw (ESTA + company.bg) - poprzednie dane (adres: 'ул. 20-ти април 13, София 1606, България', tel: '+359 2 954 1120', email: 'office@tti.bg', www: 'https://www.tti.bg', rejestr_id: '130768462') byly nieaktualne/niepotwierdzone. Powiazanie grupowe: filia Poschl Tabak (Geisenhausen, DE).",,,,,2026-08-26,,KRS API / CEIDG API + web search 2026-08-18 | ESTA (esta.be/members/tti-bulgaria) + company.bg cross-check 2026-08-26 | subagent summary raport,2026-09-03 ✅ FROZEN (API),
BG,BG-A-002,Табако Трейд София ООД (Tobacco Trade Sofia),София,"бул. Цариградско шосе 115, София 1784, България",https://www.tobaccotrade.bg,green|200|2865ms,duży,Jest NIP,ЕИК: 831556490,BG831556490,,hurtownik,PowerMatic | Rollo | Korona,,,A2,średni,,hurtownia + dystrybucja,,Димитър Костадинов Вълчев,Управител,,office@tobaccotrade.bg,+359 2 975 3000,Ugruntowany dystrybutor hurtowy wyrobów tytoniowych i osprzętu w Sofii.,,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18 | subagent summary raport,2026-09-03 ✅ FROZEN (API),
BG,BG-A-003,М ТАБАКО ООД (M Tobacco Ltd),Пловдив,"ул. Младежка 26, Пловдив 4002, България",https://www.carteltubes.com,red|dns,duży,Jest NIP,ЕИК 160075421,BG160075421,2006,producent,Cartel | Rollo | Imperator | Desperado | Maxi Gold,Cartel / Rollo,,A1,średni,,B2B + B2C,,Женя Николова Садъчева,Управител,zhelyo.kolev@mtobacco.bg,office@mtobacco.bg,+359 32 642 441,"Główny bułgarski producent i globalny eksporter akcesoriów tytoniowych, gilz oraz ręcznych i elektrycznych nabijarek do papierosów pod markami Cartel, Rollo, Imperator. | enrichment: web_search(evtinicigari.com, novagroup.mk)",,https://facebook.com/carteltubes,,,2026-08-15,własna produkcja + import,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
BG,BG-A-004,ГИГА ТРЕЙД БГ ЕООД (Giga Trade BG - GigaDrinks),Пловдив,"ул. Стефан Ботев 8, ет. 3, Пловдив 4003, България",https://www.gigadrinks.com,green|200|864ms,duży,Jest NIP,ЕИК 202342951,BG202342951,2013,hurtownik,PowerMatic I | PowerMatic II | PowerMatic III+ | PowerMatic IV | Atomic | Mascotte | Cartel,,,A1,średni,,B2B + B2C online/offline,,Димитър Георгиев Гигов,Управител,,sales@gigadrinks.com,+359 896 657 243,"Wiodący bezpośredni importer i dystrybutor elektrycznych oraz tłokowych nabijarek do papierosów PowerMatic (seria I, II, III+, IV) oraz akcesoriów RYO/MYO w Bułgarii.",,,,,2026-08-15,import (UE + Azja),KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
BG,BG-A-005,БУЛЛ ДРИАС ЕООД (Bull Drias Ltd - GilziZaCigari),Бургас,"жк Зорница бл. 14, ет. 14, ап. 1, Бургас 8000, България",https://gilzizacigari.com,green|200|866ms,średni,Jest NIP,ЕИК 202861704,BG202861704,2013,hurtownik,Flarus | Cartel | Rollo | Korona | Gizeh,,,A1,średni,,B2B + B2C,,Ян Сухи / Пламен Петков,Управители,,gilzizacigari@gilzizacigari.com,+359 898 684 453,"Dedykowany dystrybutor hurtowy i detaliczny gilz papierosowych, ręcznych i elektrycznych nabijarek do papierosów oraz akcesoriów tytoniowych w Bułgarii. | www title: Гилзи за Цигари",,https://www.facebook.com/gilzizacigaricom/,,,2026-08-15,import (UE + CN),KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
BG,BG-A-006,ВИНТАЙМ ЕООД (Vintime Ltd),Варна,"бул. Сливница 206 / ул. Мир 58, Варна 9010, България",https://vintaim.com,green|200|599ms,duży,Jest NIP,ЕИК 103195300,BG103195300,1998,hurtownik,Dark Horse | Domino | Smoke | Amigos | Huzar | Barreta | Quick-fill,,,A1,średni,,B2B hurtownia,,Пламен Иванов Тодоров,Управител,,info@vintaim.com,+359 897 801 101,"Oficjalny przedstawiciel i importer marek Dark Horse, Domino, Smoke, Huzar, Quick-fill — gilzy, nabijarki do papierosów i akcesoria tytoniowe w regionie Morza Czarnego i Warny.",,,,,2026-08-15,import (UE),KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
BG,BG-A-007,ТОБАКО ИМПОРТ ООД,София,"ул. Г. С. Раковски 120А, София 1000, България",https://www.tobacco-import.com,green|200|290ms,duży,Jest NIP,ЕИК 131452378,BG131452378,2005,hurtownik,Karelia | OCB | Mascotte | Gizeh,,,A1,średni,,B2B portal,,Боян Иванов / Николай Вълчанов,Управители,,office@tobacco-import.com,+359 2 428 28 99,"Duży ogólnokrajowy importer i hurtownik B2B wyrobów tytoniowych, bibułek, gilz oraz maszynek do nabijania papierosów z centralnymi centrami logistycznymi w Sofii i Płowdiwie. | Profil: Tobacco Import Ltd",,,,,2026-08-15,import (UE + Bałkany),KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
BG,BG-A-008,IZAMAR EOOD (ИЗАМАР),Plovdiv,"ul. Skayler 3, et. 1, Plovdiv",https://www.izamar.bg,red|dns,średni,www bez NIP,EIK 200434116,BG200434116,,hurtownik,Rolling machines | Mashinki za cigari | Importer & Wholesaler,,,A4,średni,,B2B + B2C,,Управител,Управител,,info@izamar.bg,+359 32 62 40 60,Wpisany w oficjalnym rejestrze Ministerstwa Gospodarki BG podmiot uprawniony do maszyn tytoniowych. | Dual-business: powiązany z BG-B-004,,,,,2026-08-15,import (CN + EU),Trade Register BG EIK 200434116 | izamar.bg,(Trade Register BG) 2026-09-03 ⏳ PENDING_API,BG-B-004
BG,BG-A-009,ЛАЙТС УЛТРА ООД (Lights Ultra Ltd - LightsMarket),Велико Търново,"Западна промишлена зона, ул. Никола Габровски № 79, Велико Търново 5000, България",https://lightsmarket.bg,green|200|594ms,duży,Jest NIP,ЕИК 201482847,BG201482847,2011,hurtownik,Gilzi za cigari | Mashinki za pulnene | FMCG,,,A4,średni,,B2B + B2C,,Ивелин Спасов Козарев,управител,,office@lightsmarket.bg,+359 62 600 500,"Główny regionalny dystrybutor FMCG, wyrobów tytoniowych, gilz papierosowych i maszynek. | Dual-business: powiązany z BG-B-016",,,,,2026-08-15,dystrybucja krajowa,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),BG-B-016
BG,BG-A-010,РАДУЛОВ - М ООД (Radulov - M Ltd),Варна,"ул. Цариброд № 31А, Варна 9000, България",https://radulovm.com,green|200|2313ms,średni,Jest NIP,ЕИК 103969977,BG103969977,2006,hurtownik,Ręczne i elektryczne maszynki do napełniania gilz | Akcesoria,,,A4,średni,,B2B + B2C,,Петър Нанев Радулов / Миглена Колева Минчева,Управители,,bim_color_@abv.bg,+359 888 922 183,Importer i hurtownik artykułów gospodarstwa domowego oraz elektrycznych maszynek. | Dual-business: powiązany z BG-B-019,,,,,2026-08-15,import,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),BG-B-019
