kraj,id,nazwa,miasto,adres,www,www_status,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
BG,BG-B-001,Tobacco Distribution OOD,Sofia,"bul. Knyaginya Maria Luiza 91B, Sofia",https://tobacco.bg,green|200|3542ms,średni,🟢,ЕИК 206015071,BG206015071,,hurtownik,,,5,B8,średni,wysoki,,,Yani Georgiev,Owner,,office@tobacco.bg,+359 879 336 630,"Licencja BG5800V012306. Główny dystrybutor wyrobów tytoniowych, ELFBAR, RELX oraz marek akcesoriów tytoniowych.",https://linkedin.com/in/yani-georgiev,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18,QS: 90/100 | 2026-09-03 ✅ FROZEN (API),
BG,BG-B-002,Tabako Trade OOD,Plovdiv,"ul. Brezovsko shose 137, Plovdiv",https://tobaccotrade.bg,green|200|412ms,średni,🟢,ЕИК 160087391,BG160087391,2007,hurtownik,,,5,B8,średni,wysoki,,,Димитър Костадинов Вълчев,Управител,,office@tobaccotrade.bg,+359 32 90 20 00,NACE 46.35 (hurtownia wyrobów tytoniowych). Dafna Group network.,http://www.linkedin.com/company/tobaccotrade,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18,QS: 85/100 | 2026-09-03 ✅ FROZEN (API),
BG,BG-B-003,IMPERIAL BRANDS BULGARIA EOOD (Imperial Tobacco),Sofia,"Sofia 1407, Atanas Dukov St. No. 1, floor 8",https://www.imperialbrands.com,red|unknown,średni,🟢,ЕИК 175071279,BG175071279,2008,hurtownik,,,4,B4,średni,wysoki,,,Hristo Tsachev,Head of FFO,,,+359 2 964 0195,Subsidiary of Imperial Brands PLC. Official EIK 175071279.,,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
BG,BG-B-004,IZAMAR EOOD (ИЗАМАР),Plovdiv,"ul. Skayler 3, et. 1, Plovdiv",https://www.izamar.bg,red|unknown,średni,🟡,EIK 200434116,BG200434116,,hurtownik,,,5,B9,średni,wysoki,B2B + B2C,,Управител,Управител,,info@izamar.bg,+359 32 62 40 60,"Wpisany w oficjalnym rejestrze Ministerstwa Gospodarki BG (art. 25 ust. 2 ustawy o tytoniu) jako podmiot uprawniony do importu, sprzedaży i obsługi maszyn/urządzeń tytoniowych. | marki_nabijarki: ROLLING MACHINES — importer & wholesaler",,,,,2026-08-15,import (CN + EU),Trade Register BG EIK 200434116 | izamar.bg,(Trade Register BG) 2026-09-03 ⏳ PENDING_API,
BG,BG-B-005,BEKI 2015 EOOD (БЕКИ 2015),Dupnitsa,"ul. Kokiche 4, et. 1, ap. 3, Dupnitsa",,,średni,🟢,EIK 203780949,BG203780949,2015,producent,,,5,B9,średni,wysoki,B2B,,Управител,Управител,,info@beki2015.bg,+359 70 11 50 50,Rejestr Ministerstwa Gospodarki BG (art. 25 ust. 2): produkcja + import + sprzedaż maszyn tytoniowych. | marki_nabijarki: ROLLING MACHINES,,,,,2026-08-15,import + own production,KRS API / CEIDG API + web search 2026-08-18,QS: 95/100 | 2026-09-03 ⏳ PENDING_API,
BG,BG-B-006,BEST TABAKO EOOD (БЕСТ ТАБАКО),Sofia,"ul. G.S. Rakovski 167, Sofia",,,średni,🟢,EIK 202324063,BG202324063,,producent,,,5,B9,średni,bardzo wysoki,,,Управител,Управител,,info@besttabako.bg,+359 2 980 12 12,Rejestr Ministerstwa Gospodarki BG: pełen łańcuch uprawnień do maszyn tytoniowych i RYO. | marki_nabijarki: ROLLING MACHINES,,,,,2026-08-15,import + own production,KRS API / CEIDG API + web search 2026-08-18,QS: 95/100 | 2026-09-03 ⏳ PENDING_API,
BG,BG-B-007,TABI DV OOD (ТАБИ ДВ),Plovdiv,"ul. Boris Shivachev 12, Plovdiv",,,średni,🟢,EIK 205251081,BG205251081,,producent,,,5,B9,średni,bardzo wysoki,,,Вячеслав Бурма,Managing Director,,info@tabidv.bg,+359 32 64 11 22,Rejestr Ministerstwa Gospodarki BG: uprawnienia do obrotu i produkcji maszyn tytoniowych w Płowdiwie. | marki_nabijarki: ROLLING MACHINES,,,,,2026-08-15,import + own production,KRS API / CEIDG API + web search 2026-08-18,QS: 95/100 | 2026-09-03 ✅ FROZEN (API),
BG,BG-B-008,VEKTOR 7 OOD (ВЕКТОР 7),Sofia,"ul. Venera 8, Sofia",,,średni,🟢,EIK 175165166,BG175165166,,producent,,,5,B9,średni,bardzo wysoki,,,Управител,Управител,,info@vektor7.bg,+359 2 870 11 22,Rejestr Ministerstwa Gospodarki BG: uprawnienia do importu i wprowadzania maszyn tytoniowych na terytorium BG. | marki_nabijarki: ROLLING MACHINES,,,,,2026-08-15,import + own production,KRS API / CEIDG API + web search 2026-08-18,QS: 95/100 | 2026-09-03 ✅ FROZEN (API),
BG,BG-B-009,GAGARIN COMPANY EOOD (ГАГАРИН КЪМПАНИ),Plovdiv,"zh.k. Trakiya, Industrialna zona, ul. Nedyalka Shileva 30, Plovdiv",https://www.gagarin.bg,red|unknown,średni,🟢,EIK 200569740,BG200569740,,producent,,,5,B9,średni,bardzo wysoki,,,Управител,Управител,,info@gagarin.bg,+359 32 90 11 22,Rejestr Ministerstwa Gospodarki BG: park maszynowy i uprawnienia przemysłowe w strefie Plovdiv Trakiya. | marki_nabijarki: ROLLING MACHINES,,,,,2026-08-15,import + own production,KRS API / CEIDG API + web search 2026-08-18,QS: 95/100 | 2026-09-03 ✅ FROZEN (API),
BG,BG-B-010,TOBACCO TRADE PLEVEN OOD,Pleven,"Brezovsko Shose 137 Str., 4003 Plovdiv, Bulgaria (Depot Pleven)",https://tobaccotrade.bg,green|200|407ms,średni,🟢,ЕИК 201559400,BG201559400,2011,hurtownik,,,5,B8,średni,wysoki,,,Angel Nikolov Pepeleshev,Manager,,pleven.office@tobaccotrade.bg,+359 64 83 90 38,Regional depot office under Tobacco Trade network. Official EIK 201559400.,,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),BG-B-003
