score,whale,country,iso,id,name,miasto,kategoria,tier,powinowactwo,wolumen,confidence,kanal,email,telefon,www,www_status,decydent,notatki,flagi
10,✓,Bułgaria,BG,BG-B-015,БОЛКАН ЕДВЪРТАЙЗИНГ ЕНД ДИСТРИБЮШЪН ООД,София,B8,hurtownik,4,duży,🟢,B2B,office@tobacco-import.com,+359 2 428 28 99,https://www.tobacco-import.com,green|200|145ms,Николай Василев Вълчанов,Dystrybucyjne ramię grupy Tobacco Import Ltd odpowiedzialne za ogólnokrajową logistykę i sprzedaż hurtową wyrobów tytoniowych oraz akcesoriów dla palaczy.,2026-08-31 ✅ FROZEN (API)
10,✓,Bułgaria,BG,BG-B-020,ДЕЛИОН ООД (Delion OOD - VM Finance Group),София,B8,hurtownik,4,duży,🟢,B2B ogólnokrajowy,office@delion.bg,+359 2 970 80 00,https://delion.bg,green|200|3613ms,Yavor Stefanov Karagyozov,"Czołowy ogólnokrajowy importer i dystrybutor tytoni do palenia, cygar i akcesoriów (VM Finance Group) z hubami w Sofii, Płowdiwie i Warnie.",2026-08-31 ✅ FROZEN (API)
9,✓,Bułgaria,BG,BG-B-001,Tobacco Distribution OOD,Sofia,B8,hurtownik,5,średni,🟢,,office@tobacco.bg,+359 879 336 630,https://tobacco.bg,green|200|3542ms,Yani Georgiev,"Licencja BG5800V012306. Główny dystrybutor wyrobów tytoniowych, ELFBAR, RELX oraz marek akcesoriów tytoniowych.",QS: 90/100 | 2026-08-31 ✅ FROZEN (API)
9,✓,Bułgaria,BG,BG-B-018,ЕКСПРЕС ЛОГИСТИКА И ДИСТРИБУЦИЯ ЕООД (ELD Ltd),София,B8,hurtownik,3,duży,🟢,B2B ogólnokrajowy,office@eld.bg,+359 2 805 15 00,https://eld.bg,green|200|1604ms,Христо Григориев Лефтеров,Największy bułgarski operator dystrybucji bezpośredniej wyrobów tytoniowych i FMCG z ponad 15 centrami magazynowymi w całym kraju.,2026-08-31 ✅ FROZEN (API)
5,,Bułgaria,BG,BG-B-005,BEKI 2015 EOOD (БЕКИ 2015),Dupnitsa,B9,producent,5,średni,🟢,B2B,info@beki2015.bg,+359 70 11 50 50,,,Управител,Rejestr Ministerstwa Gospodarki BG (art. 25 ust. 2): produkcja + import + sprzedaż maszyn tytoniowych.,QS: 95/100 | 2026-08-31 ✅ FROZEN (API)
5,,Bułgaria,BG,BG-B-016,ЛАЙТС УЛТРА ООД (Lights Ultra Ltd - LightsMarket),Велико Търново,B8,hurtownik,4,duży,🟢,B2B + B2C,office@lightsmarket.bg,+359 62 600 500,https://lightsmarket.bg,green|200|594ms,Ивелин Спасов Козарев,"Główny regionalny dystrybutor FMCG, wyrobów tytoniowych, gilz papierosowych i maszynek do napełniania gilz w regionie Północnej i Centralnej Bułgarii.",2026-08-31 ✅ FROZEN (API)
5,,Bułgaria,BG,BG-B-017,Табако Трейд Варна ООД (Tobacco Trade Varna Ltd),Варна,B8,hurtownik,4,duży,🟢,B2B hurtownia,varna@tobaccotrade.bg,+359 52 70 30 00,https://tobaccotrade.bg,green|200|7340ms,Ангел Николов Пепелешев / Димитър Вълчев,Regionalny oddział dystrybucyjny sieci Tobacco Trade / Dafna Group obsługujący hurtownie i punkty sprzedaży we wschodniej Bułgarii i rejonie Warny.,2026-08-31 ✅ FROZEN (API)
5,,Bułgaria,BG,BG-B-019,РАДУЛОВ - М ООД (Radulov - M Ltd),Варна,B8,hurtownik,4,średni,🟢,B2B + B2C,bim_color_@abv.bg,+359 888 922 183,https://radulovm.com,green|200|2313ms,Петър Нанев Радулов / Миглена Колева Минчева,Importer i hurtownik artykułów gospodarstwa domowego oraz ręcznych i elektrycznych maszynek do napełniania gilz w Warnie.,2026-08-31 ✅ FROZEN (API)
5,,Bułgaria,BG,BG-B-021,ТАБКОМ ЛОГИСТИК ООД (Tabcom Logistic OOD),Бургас,B8,hurtownik,4,duży,🟢,B2B regionalny,office@tabcom.bg,+359 56 88 10 20,https://tabcom.bg,green|200|1742ms,Управител,"Wiodący regionalny dystrybutor wyrobów tytoniowych, kawy i FMCG na wybrzeżu Morza Czarnego i w regionie Burgas.",2026-08-31 ✅ FROZEN (API)
5,,Bułgaria,BG,BG-B-022,Табако Трейд Стара Загора ООД (Tobacco Trade Stara Zagora Ltd),Стара Загора,B8,hurtownik,4,duży,🟢,B2B hurtownia,starazagora@tobaccotrade.bg,+359 42 60 10 20,https://tobaccotrade.bg,green|200|358ms,Цветан Христевски / Йордан Николов,Regionalny oddział dystrybucyjny sieci Tobacco Trade / Dafna Group zaopatrujący hurtownie w Starej Zagorze i południowo-środkowej Bułgarii.,2026-08-31 ✅ FROZEN (API)
5,,Bułgaria,BG,BG-B-023,Табако Трейд Русе ООД (Tobacco Trade Ruse Ltd),Русе,B8,hurtownik,4,duży,🟢,B2B hurtownia,ruse@tobaccotrade.bg,+359 82 82 10 30,https://tobaccotrade.bg,green|200|420ms,Управител,Główny hub dystrybucyjny sieci Tobacco Trade w północnej Bułgarii nad Dunajem (Русе).,2026-08-31 ✅ FROZEN (API)
5,,Bułgaria,BG,BG-B-024,Табако Трейд Хасково ООД (Tobacco Trade Haskovo Ltd),Хасково,B8,hurtownik,4,średni,🟢,B2B hurtownia,haskovo@tobaccotrade.bg,+359 38 60 10 20,https://tobaccotrade.bg,green|200|367ms,Управител,Regionalna jednostka dystrybucyjna sieci Tobacco Trade dla obwodu Chaskowo i południowo-wschodniej Bułgarii.,2026-08-31 ✅ FROZEN (API)
