verdict,firma,nip_vat,rank,reason
⚠️ DO-WERYFIKACJI,Tisak d.d. (Kiosk & Retail Distribution Network),HR34857209121,1,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,iNovine d.d. (Convenience & Tobacco Kiosk Network),HR90283748291,2,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,Camelot d.o.o. (Premium Tobacco & Smoking Accessories Import,HR29384756201,3,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,Parilica d.o.o. (Vape Shop Croatia & Wholesale),HR91827364501,4,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,Delta d.o.o.,HR22717406546,5,"DO-W — synthetic data, no real registry match"
🔁 DUPLIKAT,TDR d.o.o.,HR12345678901,6,DUPLIKAT — already in canonical
⚠️ DO-WERYFIKACJI,Kamgrad d.o.o.,HR12345678905,7,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,Konzum d.d. (Retail & Convenience Network HR),HR48192818785,8,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,Imperial Tobacco Croatia d.o.o.,HR24561789012,9,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,Spar Hrvatska d.o.o. (FMCG Supermarket HR),HR00009291888,10,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,METRO Cash & Carry Hrvatska d.o.o.,HR15862789012,11,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,T.D. MATIĆ d.o.o. (Vape & Tobacco Accessories HR),HR37562912345,12,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,Pivac d.o.o. (FMCG Wholesale Dalmacja),HR19583456789,13,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,Nikotiana d.o.o. (RYO/MYO Online Shop HR),HR56789012345,14,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,Cigo d.o.o. (Vape Shop & Accessories Zagreb HR),HR34567890123,15,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,Rijeka Duhan d.o.o. (Tobacco Wholesale Rijeka HR),HR23456789123,16,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,Enterpublik d.o.o. (Tobacco & Press Import Zagreb HR),HR23456789012,17,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,Tobacconist Zagreb d.o.o. (Luxury Tobacco HR),HR45678901234,18,"DO-W — synthetic data, no real registry match"
🔁 DUPLIKAT,Veletabak d.o.o.,,19,DUPLIKAT — already in canonical
❌ HALUCYNACJA,Nostri Maris,,20,HALUCYNACJA — confirmed hallucination
❌ HALUCYNACJA,Elda d.o.o.,,21,HALUCYNACJA — confirmed hallucination
❌ HALUCYNACJA,Wizardlab (House of Vape),,22,HALUCYNACJA — confirmed hallucination
❌ HALUCYNACJA,Puffkalica,,23,HALUCYNACJA — confirmed hallucination
❌ HALUCYNACJA,ePUFF,,24,HALUCYNACJA — confirmed hallucination
❌ HALUCYNACJA,Satelit-tbm,,25,HALUCYNACJA — confirmed hallucination
❌ HALUCYNACJA,Ecigareta.hr,,26,HALUCYNACJA — confirmed hallucination
❌ HALUCYNACJA,Wiip,,27,HALUCYNACJA — confirmed hallucination
❌ HALUCYNACJA,Deuces,,28,HALUCYNACJA — confirmed hallucination
⚠️ DO-WERYFIKACJI,RYO Specialist Osijek d.o.o.,HR67890123456,29,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,Brodski Duhan Veleprodaja d.o.o.,HR78901234567,30,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,Vukovarski Kiosk Network d.o.o.,HR89012345678,31,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,Požeški Duhan Partner d.o.o.,HR90123456789,32,"DO-W — synthetic data, no real registry match"
⚠️ DO-WERYFIKACJI,Vaponic Vinkovci d.o.o.,HR01234567890,33,"DO-W — synthetic data, no real registry match"
