related_to,rok_zalozenia,id_unikalne,kategoria,nazwa_firmy,kraj,miasto,adres,nip_vat,rejestr_id,www,kanal_zamiennik,email,telefon,linkedin,facebook,instagram,tiktok,tier,marki_nabijarki,marka_wlasna_oem,sourcing,wolumen,confidence_wolumen,kanal_sprzedaży,powinowactwo_nabijarki,cross_sell_potential,decydent,stanowisko,email_decydent,zrodlo_danych,data_weryfikacji,flagi,notatki,rynek_skala
,,HR-A-001,A1,VELETABAK d.o.o.,HR,Zagreb,"Jankomir 25j, 10000 Zagreb, Hrvatska",HR22051418553,OIB: 22051418553,https://www.veletabak.hr,,info@veletabak.hr,+385 1 3492 555,,,,,hurtownik,PowerMatic | OCB | Zig-Zag,,,Bardzo duży,,,,,,,,KRS API / CEIDG API + web search 2026-08-12,2026-08-12,2026-08-13 ✅ FROZEN (API),Czołowy chorwacki dystrybutor hurtowy wyrobów tytoniowych i osprzętu tytoniowego w Zagrzebiu.,Bardzo duży
,,HR-A-002,A1,TDR d.o.o.,HR,Rovinj / Zagreb,"Obala V. Nazora 1, 52210 Rovinj, Hrvatska",HR37014645007,OIB: 37014645007,https://www.tdr.hr,,info@tdr.hr,+385 52 801 000,,,,,hurtownik,PowerMatic | OCB | Filter,,,Bardzo duży,,,,,,,,KRS API / CEIDG API + web search 2026-08-12,2026-08-12,2026-08-13 ✅ FROZEN (API),Największy producent i dystrybutor wyrobów tytoniowych i osprzętu w Chorwacji.,Bardzo duży
,,HR-B-003,A1,Ecigarete.hr,HR,,,,ChIJqTCDH5HWZUcRu1h8KhVud8k,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: stroj za punjenje cigareta veleprodaja Zagreb (ID: ChIJqTCDH5HWZUcRu1h8KhVud8k),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,HR-B-005,A1,JP GOLD - Just Perfect,HR,,,,ChIJOQwDxR7XZUcRZXKNazqDH0I,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: stroj za punjenje cigareta veleprodaja Zagreb (ID: ChIJOQwDxR7XZUcRZXKNazqDH0I),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,HR-B-006,A1,E-shop prodaja d.o.o.,HR,,,,ChIJqUKUwRXRZUcR2-YjmqzsLkw,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: stroj za punjenje cigareta veleprodaja Zagreb (ID: ChIJqUKUwRXRZUcR2-YjmqzsLkw),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,HR-B-007,A1,Land-Shop (želim kupiti d.o.o),HR,,,,ChIJXfzm27J5ZkcRGa-DqnjRhm8,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: stroj za punjenje cigareta veleprodaja Zagreb (ID: ChIJXfzm27J5ZkcRGa-DqnjRhm8),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,HR-B-008,A1,Kaufland Peščenica,HR,,,,ChIJaa75Wf_XZUcRTCwUeqfms7E,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: stroj za punjenje cigareta veleprodaja Zagreb (ID: ChIJaa75Wf_XZUcRTCwUeqfms7E),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,HR-B-009,A1,Kaufland Zagreb-Jablanska,HR,,,,ChIJI8k7S0zRZUcR-fEPbLC0gyE,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: stroj za punjenje cigareta veleprodaja Zagreb (ID: ChIJI8k7S0zRZUcR-fEPbLC0gyE),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,HR-B-010,A1,Superishka Shop,HR,,,,ChIJqy33dGrXZUcRWeviy-iaFHg,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: stroj za punjenje cigareta veleprodaja Zagreb (ID: ChIJqy33dGrXZUcRWeviy-iaFHg),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,HR-B-011,A1,Cartel Shop,HR,,,,ChIJPWyuWz9yV0cRudQ0d0-Ws34,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: stroj za punjenje cigareta veleprodaja Zagreb (ID: ChIJPWyuWz9yV0cRudQ0d0-Ws34),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
