id_unikalne,nazwa_firmy,status_on_close,closed_date
CZ-A-PK-001,"FORTIS-DB, SPOL. S R.O.",FROZEN_VERIFIED,2026-08-12
CZ-A-PR-001,PEAL A.S.,FROZEN_VERIFIED,2026-08-12
CZ-A-JM-001,MOSTEX IMPORT-EXPORT S.R.O.,FROZEN_VERIFIED,2026-08-12
CZ-A-PK-002,"FORTIS-DB, spol. s r.o.",FROZEN_VERIFIED,2026-08-12
CZ-A-JM-002,Tabák-Hurt spol. s r.o. (Brno Pobočka #2),FROZEN_VERIFIED,2026-08-12
CZ-A-PK-003,Geco a.s. (Trafika Network) (Plzeň Pobočka #4),FROZEN_VERIFIED,2026-08-12
CZ-A-JM-003,Crescogroup a.s. (Tobák Distribution ČR),FROZEN_VERIFIED,2026-08-12
CZ-A-PR-002,Heureka Shopping s.r.o. (E-Commerce Marketplace ČR),FROZEN_VERIFIED,2026-08-12
CZ-A-JM-004,Cigaretové filtry s.r.o. (RYO Accessories ČR Online),FROZEN_VERIFIED,2026-08-12
CZ-A-PR-003,Tabakový Dům s.r.o. (Premium Tobacco Praha),FROZEN_VERIFIED,2026-08-12
CZ-A-JM-005,MK Tabak s.r.o. (Tobacco Wholesale Brno ČR),FROZEN_VERIFIED,2026-08-12
CZ-A-JM-006,Tabák-Kubík s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-A-ZL-001,Tabák Morava s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-A-ZL-002,Tabák Star s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-A-JM-007,Tabák Znojmo s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-A-JM-008,Tabák Břeclav s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-A-JM-009,VAPE.CZ s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-A-JM-010,TABÁK BRNO GROUP s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-A-JM-011,TABÁK PLUS s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-A-PR-004,Tabák Praha s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-A-JM-012,RYO-Distribuce Brno s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-A-OL-001,Tabák Olomouc Velkoobchod s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-A-ZL-003,Zlín Tabák Import s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-A-SC-001,Kladno Tobacco Machines s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-A-PR-005,Praha RYO Specialista s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-A-JM-013,Brno Tabák Velkoobchod s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-A-OL-002,Moravský Tabák Olomouc s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-A-SC-002,Kladno RYO Centrum s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-A-ZL-004,Tabákové Stroje Zlín s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-B-PK-001,GGT CZ a.s.,FROZEN_VERIFIED,2026-08-12
CZ-B-PR-002,Czech Tobacco Corporation a.s.,FROZEN_VERIFIED,2026-08-12
CZ-B-PR-003,PEAL a.s.,FROZEN_VERIFIED,2026-08-12
CZ-B-PR-004,Imperial Tobacco CR s.r.o.,DO_WERYFIKACJI_PARKED,2026-08-12
CZ-B-PR-005,Philip Morris ČR a.s.,FROZEN_VERIFIED,2026-08-12
CZ-B-PR-006,British American Tobacco (Czech Republic) s.r.o.,FROZEN_VERIFIED,2026-08-12
CZ-B-PR-007,"GECO, a.s.",FROZEN_VERIFIED,2026-08-12
CZ-B-MS-001,Šroubek Tobák s.r.o. (Trafika Supply Ostrava),FROZEN_VERIFIED,2026-08-12
CZ-B-PK-002,ELKE tabak s.r.o. (Vape & RYO E-Commerce Plzeň ČR),FROZEN_VERIFIED,2026-08-12
CZ-B-PR-008,Albert Česká republika s.r.o. (Hypermarket FMCG ČR),FROZEN_VERIFIED,2026-08-12
CZ-B-JM-001,Tesco Stores ČR a.s. (Hypermarket FMCG ČR),FROZEN_VERIFIED,2026-08-12
CZ-B-PR-009,Plničky.cz s.r.o. (RYO Machine E-Shop ČR),FROZEN_VERIFIED,2026-08-12
