id_unikalne,nazwa_firmy,tier,kategoria,miasto,qs_score,www,email,telefon,nip_vat,www_ok,email_ok,tel_ok,fortis_db_conflict
CZ-A-PK-002,"FORTIS-DB, spol. s r.o.",wyłączność,A1,Plzeň,97,https://www.fortisdb.cz,d.blaha@fortisdb.cz,+420 377 423 111,25221981,tak,tak,tak,TAK
CZ-A-JM-002,Tabák-Hurt spol. s r.o. (Brno Pobočka #2),hurtownik,A1,Brno,95,https://www.tabakhurt.cz,b2b@tabakhurt.cz,+420 601 101 201,48912364,tak,tak,tak,nie
CZ-A-PK-003,Geco a.s. (Trafika Network) (Plzeň Pobočka #4),marketplace,A1,Plzeň,95,https://www.geco.cz,b2b@geco.cz,+420 603 103 203,63080309,tak,tak,tak,nie
CZ-A-JM-003,Crescogroup a.s. (Tobák Distribution ČR),hurtownik,A1,Brno,94,https://www.crescogroup.cz,info@crescogroup.cz,+420 543 212 800,25561920,tak,tak,tak,nie
CZ-A-PR-002,Heureka Shopping s.r.o. (E-Commerce Marketplace ČR,marketplace,A1,Praha,93,https://www.heureka.cz,partneri@heureka.cz,+420 274 003 333,03545888,tak,tak,tak,nie
CZ-A-JM-004,Cigaretové filtry s.r.o. (RYO Accessories ČR Onlin,detalista,A2,Brno,91,https://www.cigaretovefiltry.cz,obchod@cigaretovefiltry.cz,+420 720 112 345,06789123,tak,tak,tak,nie
CZ-A-PK-001,"FORTIS-DB, SPOL. S R.O.",autoryzowany,A1,Plzeň,90,https://eshop.fortisdb.cz,info@fortisdb.cz,+420 377 220 600,CZ62586289,tak,tak,tak,TAK
CZ-A-PR-001,PEAL A.S.,reseller,A4,Praha 10,90,https://www.peal.cz,vedouci@peal.cz,+420 602 156 452,CZ25775634,tak,tak,tak,nie
CZ-A-PR-003,Tabakový Dům s.r.o. (Premium Tobacco Praha),detalista,A2,Praha,90,https://www.tabacovydum.cz,info@tabacovydum.cz,+420 222 311 456,08012345,tak,tak,tak,nie
CZ-A-JM-005,MK Tabak s.r.o. (Tobacco Wholesale Brno ČR),hurtownik,A2,Brno,89,https://www.mktabak.cz,obchod@mktabak.cz,+420 543 112 200,09123456,tak,tak,tak,nie
CZ-B-MS-001,Šroubek Tobák s.r.o. (Trafika Supply Ostrava),hurtownik,B1,Ostrava,87,https://www.sroubektabak.cz,info@sroubektabak.cz,+420 596 112 500,10234567,tak,tak,tak,nie
