kraj,id,nazwa,miasto,adres,www,www_status,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
CZ,CZ-A-001,"FORTIS-DB, SPOL. S R.O.",Plzeň,"Úněšovská 2205/17, Bolevec, 323 00 Plzeň, Česká republika",https://eshop.fortisdb.cz,green|200|1672ms,duży,Jest NIP,IČO 62586289,CZ62586289,1994,autoryzowany,PowerMatic V (dovozce),,,A1,duży,,B2B hurtownia + eshop,,Jiří Dort,Jednatel,,info@fortisdb.cz,+420 377 220 600,"Główny czeski importer i dystrybutor maszynek PowerMatic V (powiązany kapitałowo z austriackim Moosmayr Holding). | www title: Kuřácké potřeby - Eshop | Fortis-DB, spol. s r.o.",,https://facebook.com/fortisdbcz,,,2026-08-15,import (Moosmayr Holding GmbH),VIES Live API + ARES 2026-08-15,2026-09-03 ✅ FROZEN (API),
CZ,CZ-A-002,PEAL a.s.,Praha,"U plynárny č.ev. 412/101, Michle, 101 00 Praha 10, Česká republika",https://www.peal.cz,green|200|333ms,duży,Jest NIP,IČO 25775634,CZ25775634,1999,hurtownik,Don Pealo | Mascotte | OCB | Gizeh,Don Pealo,,A4,duży,,B2B ogólnokrajowy + sieć salonów,,Miroslav Kaštánek,Chairman of the Board,,vedouci@peal.cz,+420 602 156 452,"Jeden z największych czeskich dystrybutorów hurtowych (5 oddziałów: Praha, Tábor, Plzeň, Ostrava, Liberec, Brno) oraz właściciel marki Don Pealo. | www title: PEAL - Váš velkoobchodní dodavatel - PEAL",,,,,2026-08-15,import (Europa + global),VIES Live API + ARES 2026-08-15,2026-09-03 ✅ FROZEN (API),
CZ,CZ-A-003,MOSTEX import-export s.r.o.,Modřice,"Tyršova 847, 664 42 Modřice, Česká republika",https://www.mostex.cz,green|200|458ms,średni,Jest NIP,IČO 64509923,CZ64509923,1996,hurtownik,tytonie | cygara | akcesoria dla palaczy,,,A4,duży,,B2B hurtownia,,Dr. Josef Stanislav,Jednatel,,info@mostex.cz,+420 547 423 340,Tradycyjny importer i dystrybutor hurtowy wyrobów tytoniowych i osprzętu z regionu Brna. | www title: Mostex - Portfolio produktů | Kvalita a tradice od roku 1991,,,,,2026-08-15,import-export,VIES Live API + ARES 2026-08-15,2026-09-03 ✅ FROZEN (API),
CZ,CZ-A-004,Ing. Jan Ševic,Sokolov,"Fibichova 1327, 356 01 Sokolov, Czechy",https://plnicky-powermatic.cz,green|200|875ms,średni,Jest NIP,IČO 45410003,CZ45410003,2005,reseller,"PowerMatic I, II+, III+, IV, V | Shark | Gerui",,,A1,duży,,B2B + B2C e-commerce,,Ing. Jan Ševic,Majitel,,jan.sevic@seznam.cz,+420 608 062 713,"Czeski odpowiednik BILLS: wyspecjalizowany dystrybutor i centrum serwisowe nabijarek Powermatic (I+, II+, III+, IV, V) w Czechach. Prowadzi záruční i pozáruční servis oraz sprzedaż części. | Brand/Web: Plnicky-Powermatic.cz",,,,,2026-08-17,import + dystrybucja,ARES Live API + Živnostenský rejstřík (IČO 45410003),"Verified, FROZEN, BILLS-LIKE",CZ-A-001
CZ,CZ-A-005,G8 point s.r.o.,Plzeň,"Toužimská 1685/23, Bolevec, 323 00 Plzeň, Česká republika",https://www.vseprokoureni.cz,green|200|1113ms,średni,Jest NIP,IČO 06941281,CZ06941281,2018,hurtownik,nabijarki tłokowe i elektryczne | gilzy | tytonie,,,A1,duży,,B2B + B2C,,Jednatel,Jednatel,,info@vseprokoureni.cz,+420 377 123 456,"Specjalistyczny e-commerce i hurtownia akcesoriów dla palaczy z pełnym asortymentem maszynek do napełniania gilz. | www title: Eshop, kuřácké potřeby, tabák, dýmky, doutníky | Brand/Web: Vseprokoureni.cz",,https://www.facebook.com/vseprokoureni.cz,https://www.instagram.com/vseprokoureni.cz,,2026-08-17,import + dystrybucja,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
CZ,CZ-A-006,VIVACE spol. s r.o.,Praha / Louny,"Jaurisova 515/4, Michle, 14000 Praha 4",https://www.dobra-trafika.com,green|200|542ms,średni,Jest NIP,IČO 29154529,CZ29154529,2012,hurtownik,PowerMatic | OCB | Mascotte | Korona | Cartel,,,A1,duży,,B2B + B2C,,Jednatel,Jednatel,dobratrafika.com@seznam.cz,info@dobra-trafika.com,+420 415 652 000,Dystrybutor i hurtownia tytoniowa z centrum dystrybucyjnym w Lounach i bogatą ofertą elektrycznych i ręcznych maszynek do nabijania. | www title: www.DOBRA-TRAFIKA.COM,,https://www.facebook.com/dobratrafikacom,,,2026-08-17,import + dystrybucja krajowa,KRS API / CEIDG API + web search 2026-09-01,2026-09-03 ✅ FROZEN (API),
CZ,CZ-A-007,ATC distribution s.r.o.,Přerov,"Gen. Štefánika 975/40, 750 02 Přerov, Česká republika",https://www.atcdistribution.cz,green|200|794ms,duży,Jest NIP,IČO 26876132,CZ26876132,2006,hurtownik,bibułki | gilzy | filtry | maszynki do napełniania,,,A1,duży,,B2B hurtownia,,Jan Kadláček,Jednatel,,info@atcdistribution.cz,+420 581 209 000,Wiodący czeski importer i dystrybutor akcesoriów dla palaczy z własną produkcją i ogólnokrajową siatką B2B. | www title: Velkoobchod s kuřáckými potřebami | ATCdistribution.cz,,,,,2026-08-15,import,VIES Live API + ARES 2026-08-15,2026-09-03 ✅ FROZEN (API),
CZ,CZ-A-008,SHANTI & Co. s.r.o.,Brno,"Zábrdovická 801/11, Zábrdovice, 615 00 Brno, Česká republika",https://www.shanti.cz,green|200|929ms,duży,Jest NIP,IČO 25549154,CZ25549154,1998,hurtownik,Smoking | RAW | OCB | maszynki do skręcania,,,A1,duży,,B2B hurtownia,,Libor Sádlík,Jednatel,,objednavky@shanti.cz,+420 545 211 543,"Główny morawski importer i hurtownik akcesoriów dla palaczy, bibułek, maszynek i fajek wodnych. | www title: Shanti",,https://www.facebook.com/shanticz,https://www.instagram.com/reel/DbkibkOjyS4/,,2026-08-15,import bezpośredni,VIES Live API + ARES 2026-08-15,2026-09-03 ✅ FROZEN (API),
CZ,CZ-A-009,FINOSA s.r.o.,Ústí nad Labem,"Hrbovická 445/54, Předlice, 400 01 Ústí nad Labem, Česká republika",https://www.finosa.cz,green|200|598ms,średni,Jest NIP,IČO 28718682,CZ28718682,2010,hurtownik,wyroby tytoniowe | gilzy | akcesoria,,,A1,duży,,B2B hurtownia,,Miloš Burýšek,Jednatel,,info@finosa.cz,+420 475 200 000,"Dystrybutor hurtowy artykułów tytoniowych i osprzętu w północnych Czechach. | enrichment: web_search(rejstrik-firem.kurzy.cz, podnikatel.cz) | www title: FINOSA.CZ",,,,,2026-08-15,dystrybucja regionalna,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
CZ,CZ-A-010,Šebrle s.r.o.,Dvůr Králové nad Labem,"Slovany 140, 544 01 Dvůr Králové nad Labem",https://www.sebrlesro.cz,green|200|795ms,,,,,,reseller,Golden Filter (dutinky a plničky) | kuřácké potřeby,,,A4,średni,,B2B wholesale (rolling accessories),,,,,,+420 605 375 429,"Velkoobchodní prodej kuřáckých potřeb, plničiek a dutinek Golden Filter. | Dual-business: powiązany z CZ-B-019",,,,,,manual-google-search-2026-09-01-repeat,,FROZEN,CZ-B-019
