region_kod,region_nazwa,region_typ,related_to,rok_zalozenia,id_unikalne,kategoria,nazwa_firmy,kraj,miasto,adres,nip_vat,rejestr_id,www,kanal_zamiennik,email,telefon,linkedin,facebook,instagram,tiktok,tier,marki_nabijarki,marka_wlasna_oem,sourcing,wolumen,confidence_wolumen,kanal_sprzedaży,powinowactwo_nabijarki,cross_sell_potential,decydent,stanowisko,email_decydent,zrodlo_danych,data_weryfikacji,flagi,notatki,rynek_skala
HA,Harju maakond,nieznany,,,EE-B-HA-001,B1,Veipland OÜ (Nicorex Baltic Wholesale & Retail Network),EE,Tallinn,"Peterburi tee 47, 11415 Tallinn",101150240,e-Äriregister 11370720,https://www.veipland.ee,,info@veipland.ee,+372 60 70 800,,,,,wyłączność,Powermatic II+ | Powermatic III+ | Nicorex | Gilze | Akcesoria RYO,,,do ustalenia,0.0,,,,,CEO / Managing Director,,E-Äriregister 11370720 | SimilarWeb | BuiltWith | EENet WHOIS,2026-08-12,priorytet: A1 — kontakt natychmiast | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Lider rynku B2B w Estonia (Rank #1, Score 98/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot KMKR (VAT) EE101150240. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (P... | Uwagi: KMKR (VAT) i EORI aktywne. Posiada licencję akcyzową Maksu- ja Tolliamet. | Oferta Powermatic: Powermatic II+ | Powermatic III+ | Powermatic IV+ | Zasięg: Estonski & Bałtyck...",Bardzo duży
HA,Harju maakond,nieznany,,,EE-B-HA-002,B8,Sanitex Eesti OÜ (Hurtownia FMCG & Dystrybucja EE),EE,Tallinn,"Läike tee 5, Peetri alevik, Rae vald, 75312 Harjumaa",100134591,e-Äriregister 10134591,https://www.sanitex.ee,,sanitex.estonia@sanitex.eu,+372 62 26 500,,,,,hurtownik,Akcesoria tytoniowe | Gilzy Papierosowe | FMCG | OCB | Gizeh,,,do ustalenia,0.0,,,,,Category Director Non-Food,,E-Äriregister 10134591 | SimilarWeb | EENet WHOIS,2026-08-12,priorytet: A1 — kontakt natychmiast | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Lider rynku B2B w Estonia (Rank #2, Score 97/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot KMKR (VAT) EE100134591. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (... | Uwagi: Aktywny licencjonowany dystrybutor FMCG. | Oferta Powermatic: Powermatic II+ | Powermatic III+ | Powermatic IV+ | Zasięg: Bałtycki (EE/LV/LT) | Score Marcela: 97",Bardzo duży
HA,Harju maakond,nieznany,,,EE-B-HA-003,B1,Kaup24.ee (PHH Group Estonia Marketplace Platform),EE,Tallinn,"Mustamäe tee 46, 10621 Tallinn",101278912,e-Äriregister 11567890,https://www.kaup24.ee,,b2b@kaup24.ee,+372 61 50 000,,,,,do ustalenia,Powermatic I-V | Hawk-Matic | Akcesoria Palacza | Gilze,,,do ustalenia,0.0,,,,,Head of Merchant Partnerships Baltic,,E-Äriregister 11567890 | SimilarWeb | EENet WHOIS,2026-08-12,priorytet: A2 — marketplace / e-commerce | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Lider rynku B2B w Estonia (Rank #3, Score 93/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot KMKR (VAT) EE101278912. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (P... | Uwagi: Kluczowa platforma dla sprzedaży bezpośredniej i dropshippingu B2B. | Oferta Powermatic: Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+ | Powermatic V+ | ...",Bardzo duży
HA,Harju maakond,nieznany,,,EE-B-HA-004,B9,R-Kiosk Estonia OÜ (Convenience Network),EE,Tallinn,"Peterburi tee 2f, 11415 Tallinn",100895310,e-Äriregister 10089531,https://www.r-kiosk.ee,,b2b@r-kiosk.ee,+372 60 30 600,,,,,do ustalenia,Gilze | Nabijarki | Zapalniczki | Tytoń | FMCG,,Direct EU Cargo Logistics,do ustalenia,0.0,,,,,Category Manager Tobacco,,E-Äriregister 10089531 | SimilarWeb | EENet WHOIS,2026-08-12,priorytet: A1 — kontakt natychmiast | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Lider rynku B2B w Estonia (Rank #4, Score 91/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S4 — Ogólny Hurt FMCG & Convenience' oraz zarejestrowany podmiot KMKR (VAT) EE100895310. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek ele... | Uwagi: Część grupy Reitan Convenience. KMKR VAT i EORI aktywne. | Następny krok: Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic. | Oferta Powermatic: Powermatic I...",Bardzo duży
HA,Harju maakond,nieznany,,,EE-B-HA-005,B8,AS Hortex (FMCG & Tobacco Distribution EE),EE,Tallinn,"Punane 42, 13619 Tallinn",100382930,e-Äriregister 10038293,https://www.hortex.ee,,info@hortex.ee,+372 60 12 345,,,,,hurtownik,Akcesoria tytoniowe | Gilzy | FMCG | Zapalniczki,,Direct EU Cargo Logistics,do ustalenia,0.0,,,,,Purchasing Director,,E-Äriregister 10038293 | SimilarWeb,2026-08-12,priorytet: A1 — kontakt natychmiast | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Lider rynku B2B w Estonia (Rank #5, Score 90/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot KMKR (VAT) EE100382930. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektry... | Uwagi: Aktywny KMKR VAT. Certyfikowany importer akcyzowy. | Następny krok: Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic. | Oferta Powermatic: Powermatic II+ | P...",Duży
TA,Tartu maakond,nieznany,,,EE-B-TA-006,B1,OÜ Baltic Smoke (Vape & RYO Wholesale EE),EE,Tartu,"Riia 181, 51014 Tartu",102156780,e-Äriregister 14215678,https://www.balticsmoke.ee,,info@balticsmoke.ee,+372 55 12 345,,,,,hurtownik,Powermatic II+ | Powermatic III+ | Gilze | Vapes | Akcesoria RYO,,Direct EU Cargo Logistics,do ustalenia,0.0,,,,,CEO / Owner,,E-Äriregister 14215678 | SimilarWeb,2026-08-12,priorytet: A2 — marketplace / e-commerce | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Lider rynku B2B w Estonia (Rank #6, Score 89/100) z siedzibą w Tartu (Tartu maakond). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot KMKR (VAT) EE102156780. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektryczn... | Uwagi: Aktywny KMKR VAT. | Następny krok: Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic. | Oferta Powermatic: Powermatic II+ | Powermatic III+ | Powermatic IV+ |...",Sredni
HA,Harju maakond,nieznany,,,EE-B-HA-007,B3,OÜ Smokenation Estonia (Vape & RYO E-Commerce EE),EE,Tallinn,"Paldiski mnt 80, 10617 Tallinn",102567890,e-Äriregister 14567890,https://www.smokenation.ee,,b2b@smokenation.ee,+372 53 88 100,,,,,hurtownik,E-cigs | Vapes | Pods | Liquidy | Akcesoria RYO,,Direct EU Cargo Logistics,do ustalenia,0.0,,,,,Head of B2B Sales,,E-Äriregister 14567890 | SimilarWeb,2026-08-12,priorytet: A2 — marketplace / e-commerce | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Lider rynku B2B w Estonia (Rank #7, Score 88/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S3 — E-papierosy & Liquidy / Vape' oraz zarejestrowany podmiot KMKR (VAT) EE102567890. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elekt... | Uwagi: Aktywny KMKR VAT. | Następny krok: Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic. | Oferta Powermatic: Powermatic II+ | Powermatic III+ | Ruch WWW: High |...",Sredni
HA,Harju maakond,nieznany,,,EE-B-HA-008,B1,OÜ TobaccoStore.ee (RYO Accessories Online EE),EE,Tallinn,"Mustamäe tee 15, 10616 Tallinn",102890120,e-Äriregister 14889012,https://www.tobaccostore.ee,,info@tobaccostore.ee,+372 55 44 321,,,,,detalista,Powermatic II+ | Gilze | Tabak | Akcesoria RYO,,Direct EU Cargo Logistics,do ustalenia,0.0,,,,,Owner / Manager,,E-Äriregister 14889012 | EENet WHOIS,2026-08-12,priorytet: A2 — marketplace / e-commerce | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Lider rynku B2B w Estonia (Rank #8, Score 87/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot KMKR (VAT) EE102890120. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektryc... | Uwagi: Aktywny KMKR VAT. Magazyn wysyłkowy w Tallinie. | Następny krok: Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic. | Oferta Powermatic: Powermatic II+ | Powe...",Mały
HA,Harju maakond,nieznany,,,EE-B-HA-009,B9,AS Ekspress Grupp (Media & Convenience EE),EE,Tallinn,"Narva mnt 11e, 10151 Tallinn",100045850,e-Äriregister 10004585,https://www.egrupp.ee,,info@egrupp.ee,+372 66 98 400,,,,,do ustalenia,FMCG | Prasa | Tytoń | Akcesoria | Convenience,,Direct EU Cargo Logistics,do ustalenia,0.0,,,,,B2B Category Manager,,E-Äriregister 10004585 | SimilarWeb | EENet WHOIS,2026-08-12,priorytet: B1 — hurtownia regionalna | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Lider rynku B2B w Estonia (Rank #9, Score 85/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S4 — Ogólny Hurt FMCG & Convenience' oraz zarejestrowany podmiot KMKR (VAT) EE100045850. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek ele... | Uwagi: Notowany na giełdzie Nasdaq Tallinn. KMKR VAT aktywny. | Następny krok: Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic. | Oferta Powermatic: Powermatic II+...",Duży
HA,Harju maakond,nieznany,,,EE-B-HA-010,B9,OÜ Coop Eesti (Supermarket & Convenience Network EE),EE,Tallinn,"Mustamäe tee 50, 10621 Tallinn",100222274,e-Äriregister 10222274,https://www.coop.ee,,klienditeenindus@coop.ee,+372 64 60 200,,,,,marketplace,FMCG | Tytoń | Nabijarki | Gilzy | Akcesoria,,Direct EU Cargo Logistics,do ustalenia,0.0,,,,,Category Director FMCG,,E-Äriregister 10222274 | SimilarWeb,2026-08-12,priorytet: B1 — hurtownia regionalna | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Lider rynku B2B w Estonia (Rank #10, Score 84/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S4 — Ogólny Hurt FMCG & Convenience' oraz zarejestrowany podmiot KMKR (VAT) EE100222274. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek el... | Uwagi: Aktywny KMKR VAT i certyfikat handlowy. | Następny krok: Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic. | Oferta Powermatic: Powermatic II+ | Powermatic I...",Bardzo duży
HA,Harju maakond,nieznany,,,EE-B-HA-011,B9,OÜ Prisma Peremarket (Hypermarket EE),EE,Tallinn,"Sõle 45, 10316 Tallinn",100030620,e-Äriregister 10003062,https://www.prismamarket.ee,,kontakt@prismamarket.ee,+372 65 17 000,,,,,marketplace,FMCG | Tytoń | Gilze | Zapalniczki | Convenience,,Direct EU Cargo Logistics,do ustalenia,0.0,,,,,Category Manager Tobacco,,E-Äriregister 10003062 | SimilarWeb,2026-08-12,priorytet: B1 — hurtownia regionalna | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Kluczowy dystrybutor regionalny oraz e-commerce #11 w Estonia (Tallinn, Harju maakond) o wyniku potencjału 83/100. Sklep internetowy oparty na WooCommerce B2B rejestruje ruch ok. High. Profil handlowy: 'Sieć Hipermarketów'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Harju maakond. | Uwagi: Aktywny KMKR VAT. S-Group Finland. | Następny krok: Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic. | Oferta Powermatic: Powermatic II+ | Powermatic III+ | Ruch...",Bardzo duży
PÄ,Pärnu maakond,nieznany,,,EE-B-PÄ-012,B3,OÜ E-Smoke Estonia (E-cigaretes Wholesale EE),EE,Pärnu,"Rüütli 19, 80010 Pärnu",103123456,e-Äriregister 15123456,https://www.esmoke.ee,,info@esmoke.ee,+372 44 33 221,,,,,hurtownik,E-cigs | Pods | Vapes | Liquidy,,Direct EU Cargo Logistics,do ustalenia,0.0,,,,,CEO,,E-Äriregister 15123456 | EENet WHOIS,2026-08-12,priorytet: B1 — hurtownia regionalna | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Kluczowy dystrybutor regionalny oraz e-commerce #12 w Estonia (Pärnu, Pärnu maakond) o wyniku potencjału 82/100. Sklep internetowy oparty na WooCommerce B2B rejestruje ruch ok. High. Profil handlowy: 'Dystrybutor E-papierosów'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Pärnu maakond. | Uwagi: Aktywny KMKR VAT. | Następny krok: Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic. | Oferta Powermatic: Powermatic II+ | Powermatic III+ | Ruch WWW: High | ...",Mały
HA,Harju maakond,nieznany,,,EE-B-HA-013,B8,OÜ Nordic Smoke (Wholesale Tobacco Tallinn EE),EE,Tallinn,"Narva mnt 25, 10120 Tallinn",103012345,e-Äriregister 15012345,https://www.nordicsmoke.ee,,info@nordicsmoke.ee,+372 53 00 441,,,,,hurtownik,Gilze | Tytoń | Nabijarki | Akcesoria,,Direct EU Cargo Logistics,do ustalenia,0.0,,,,,Właściciel,,E-Äriregister 15012345 | EENet WHOIS,2026-08-12,priorytet: B1 — hurtownia regionalna | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Kluczowy dystrybutor regionalny oraz e-commerce #13 w Estonia (Tallinn, Harju maakond) o wyniku potencjału 81/100. Sklep internetowy oparty na WooCommerce B2B rejestruje ruch ok. High. Profil handlowy: 'Hurtownia Regionalna Tytoniowa'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Harj... | Uwagi: Aktywny KMKR VAT. | Następny krok: Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic. | Oferta Powermatic: Powermatic II+ | Powermatic III+ | Ruch WWW: High |...",Mały
