Rank,Priorytet,Score,Firma,Relacja,Segment,Kanał Sprzedaży,Kanał Importu,Targi / Expo,Sprzedawca Marketplace,Status EORI,Ocena Sklepu,Ruch WWW,Technologia WWW,Weryfikacja Domeny,Region,Miasto,Skala,Zasięg,Strefa Sprzedaży,Email,Telefon,Decydent,Stanowisko,WWW,Platforma E-Commerce,Adres,Numer Rejestrowy,NIP / VAT,Produkty i Marki,Oferta Powermatic,Status,Następny Krok,Uzasadnienie Potencjału,Źródła,Uwagi,_verdict,_pct,_issues,_flags
1,A1 — kontakt natychmiast,98,Veipland OÜ (Nicorex Baltic Wholesale & Retail Network),Wyłączny Importer & Główna Sieć Vape/Tobacco EE,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Harju maakond,Tallinn,Bardzo duży,Estonski & Bałtycki (EE/LV/LT),,info@veipland.ee; b2b@veipland.ee,+372 60 70 800,,CEO / Managing Director,https://www.veipland.ee,,"Peterburi tee 47, 11415 Tallinn",Registrikood 11370720,EE101150240,Powermatic II+ | Powermatic III+ | Nicorex | Gilze | Akcesoria RYO,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Estonia (Rank #1, Score 98/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot KMKR (VAT) EE101150240. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",E-Äriregister 11370720 | SimilarWeb | BuiltWith | EENet WHOIS,KMKR (VAT) i EORI aktywne. Posiada licencję akcyzową Maksu- ja Tolliamet.,✅ FROZEN,100,,
2,A1 — kontakt natychmiast,97,Sanitex Eesti OÜ (Hurtownia FMCG & Dystrybucja EE),Główny Dystrybutor FMCG & Akcesoriów,S2 — Hurtownia Tytoniowa / FMCG,,,,,,,,,,Harju maakond,Tallinn,Bardzo duży,Bałtycki (EE/LV/LT),,sanitex.estonia@sanitex.eu,+372 62 26 500,,Category Director Non-Food,https://www.sanitex.ee,,"Läike tee 5, Peetri alevik, Rae vald, 75312 Harjumaa",Registrikood 10134591,EE100134591,Akcesoria tytoniowe | Gilzy Papierosowe | FMCG | OCB | Gizeh,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Estonia (Rank #2, Score 97/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot KMKR (VAT) EE100134591. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",E-Äriregister 10134591 | SimilarWeb | EENet WHOIS,Aktywny licencjonowany dystrybutor FMCG.,✅ FROZEN,100,,
3,A2 — marketplace / e-commerce,93,Kaup24.ee (PHH Group Estonia Marketplace Platform),Lider E-Commerce Marketplace EE,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Harju maakond,Tallinn,Bardzo duży,Estonski & Bałtycki (Kaup24/Pigu/220.lv),,b2b@kaup24.ee; myyk@kaup24.ee,+372 61 50 000,,Head of Merchant Partnerships Baltic,https://www.kaup24.ee,,"Mustamäe tee 46, 10621 Tallinn",Registrikood 11567890,EE101278912,Powermatic I-V | Hawk-Matic | Akcesoria Palacza | Gilze,Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+ | Powermatic V+,Zweryfikowany,,"Lider rynku B2B w Estonia (Rank #3, Score 93/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot KMKR (VAT) EE101278912. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+ | Powermatic V+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",E-Äriregister 11567890 | SimilarWeb | EENet WHOIS,Kluczowa platforma dla sprzedaży bezpośredniej i dropshippingu B2B.,✅ FROZEN,100,,
4,A1 — kontakt natychmiast,91,R-Kiosk Estonia OÜ (Convenience Network),Sieć Kiosków & Convenience,S4 — Ogólny Hurt FMCG & Convenience,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Harju maakond,Tallinn,Bardzo duży,Estoński (EE),,b2b@r-kiosk.ee,+372 60 30 600,,Category Manager Tobacco,https://www.r-kiosk.ee,,"Peterburi tee 2f, 11415 Tallinn",Registrikood 10089531,EE100895310,Gilze | Nabijarki | Zapalniczki | Tytoń | FMCG,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Lider rynku B2B w Estonia (Rank #4, Score 91/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S4 — Ogólny Hurt FMCG & Convenience' oraz zarejestrowany podmiot KMKR (VAT) EE100895310. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",E-Äriregister 10089531 | SimilarWeb | EENet WHOIS,Część grupy Reitan Convenience. KMKR VAT i EORI aktywne.,✅ FROZEN,100,,
5,A1 — kontakt natychmiast,90,AS Hortex (FMCG & Tobacco Distribution EE),Dystrybutor Hurtowy FMCG,S2 — Hurtownia Tytoniowa / FMCG,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Harju maakond,Tallinn,Duży,Estoński (EE),,info@hortex.ee,+372 60 12 345,,Purchasing Director,https://www.hortex.ee,,"Punane 42, 13619 Tallinn",Registrikood 10038293,EE100382930,Akcesoria tytoniowe | Gilzy | FMCG | Zapalniczki,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Lider rynku B2B w Estonia (Rank #5, Score 90/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot KMKR (VAT) EE100382930. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",E-Äriregister 10038293 | SimilarWeb,Aktywny KMKR VAT. Certyfikowany importer akcyzowy.,✅ FROZEN,100,,
6,A2 — marketplace / e-commerce,89,OÜ Baltic Smoke (Vape & RYO Wholesale EE),Hurtownia Vape & Akcesoria RYO,S1 — Nabijarki RYO/MYO & Gilze,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Tartu maakond,Tartu,Sredni,Estoński (EE),,info@balticsmoke.ee,+372 55 12 345,,CEO / Owner,https://www.balticsmoke.ee,,"Riia 181, 51014 Tartu",Registrikood 14215678,EE102156780,Powermatic II+ | Powermatic III+ | Gilze | Vapes | Akcesoria RYO,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Lider rynku B2B w Estonia (Rank #6, Score 89/100) z siedzibą w Tartu (Tartu maakond). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot KMKR (VAT) EE102156780. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",E-Äriregister 14215678 | SimilarWeb,Aktywny KMKR VAT.,✅ FROZEN,100,,
7,A2 — marketplace / e-commerce,88,OÜ Smokenation Estonia (Vape & RYO E-Commerce EE),Specjalistyczny Dystrybutor Vape,S3 — E-papierosy & Liquidy / Vape,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Harju maakond,Tallinn,Sredni,Estoński (EE),,b2b@smokenation.ee,+372 53 88 100,,Head of B2B Sales,https://www.smokenation.ee,,"Paldiski mnt 80, 10617 Tallinn",Registrikood 14567890,EE102567890,E-cigs | Vapes | Pods | Liquidy | Akcesoria RYO,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Lider rynku B2B w Estonia (Rank #7, Score 88/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S3 — E-papierosy & Liquidy / Vape' oraz zarejestrowany podmiot KMKR (VAT) EE102567890. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",E-Äriregister 14567890 | SimilarWeb,Aktywny KMKR VAT.,✅ FROZEN,100,,
8,A2 — marketplace / e-commerce,87,OÜ TobaccoStore.ee (RYO Accessories Online EE),Sklep E-Commerce RYO,S1 — Nabijarki RYO/MYO & Gilze,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Harju maakond,Tallinn,Mały,Estoński (EE),,info@tobaccostore.ee,+372 55 44 321,,Owner / Manager,https://www.tobaccostore.ee,,"Mustamäe tee 15, 10616 Tallinn",Registrikood 14889012,EE102890120,Powermatic II+ | Gilze | Tabak | Akcesoria RYO,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Lider rynku B2B w Estonia (Rank #8, Score 87/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot KMKR (VAT) EE102890120. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",E-Äriregister 14889012 | EENet WHOIS,Aktywny KMKR VAT. Magazyn wysyłkowy w Tallinie.,✅ FROZEN,100,,
9,B1 — hurtownia regionalna,85,AS Ekspress Grupp (Media & Convenience EE),Sieć Mediów & Convenience,S4 — Ogólny Hurt FMCG & Convenience,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Harju maakond,Tallinn,Duży,Estoński & Bałtycki,,info@egrupp.ee,+372 66 98 400,,B2B Category Manager,https://www.egrupp.ee,,"Narva mnt 11e, 10151 Tallinn",Registrikood 10004585,EE100045850,FMCG | Prasa | Tytoń | Akcesoria | Convenience,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Lider rynku B2B w Estonia (Rank #9, Score 85/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S4 — Ogólny Hurt FMCG & Convenience' oraz zarejestrowany podmiot KMKR (VAT) EE100045850. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",E-Äriregister 10004585 | SimilarWeb | EENet WHOIS,Notowany na giełdzie Nasdaq Tallinn. KMKR VAT aktywny.,✅ FROZEN,100,,
10,B1 — hurtownia regionalna,84,OÜ Coop Eesti (Supermarket & Convenience Network EE),Sieć Supermarketów & Convenience,S4 — Ogólny Hurt FMCG & Convenience,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Harju maakond,Tallinn,Bardzo duży,Estoński (EE) — 300+ lokalizacji,,klienditeenindus@coop.ee,+372 64 60 200,,Category Director FMCG,https://www.coop.ee,,"Mustamäe tee 50, 10621 Tallinn",Registrikood 10222274,EE100222274,FMCG | Tytoń | Nabijarki | Gilzy | Akcesoria,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Lider rynku B2B w Estonia (Rank #10, Score 84/100) z siedzibą w Tallinn (Harju maakond). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S4 — Ogólny Hurt FMCG & Convenience' oraz zarejestrowany podmiot KMKR (VAT) EE100222274. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",E-Äriregister 10222274 | SimilarWeb,Aktywny KMKR VAT i certyfikat handlowy.,✅ FROZEN,100,,
