firma,nip_vat_intake,rank,reason
Veipland OÜ (Nicorex Baltic Wholesale & Retail Network),EE101150240,1,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
Sanitex Eesti OÜ (Hurtownia FMCG & Dystrybucja EE),EE100134591,2,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
Kaup24.ee (PHH Group Estonia Marketplace Platform),EE101278912,3,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
R-Kiosk Estonia OÜ (Convenience Network),EE100895310,4,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
AS Hortex (FMCG & Tobacco Distribution EE),EE100382930,5,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
OÜ Baltic Smoke (Vape & RYO Wholesale EE),EE102156780,6,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
OÜ Smokenation Estonia (Vape & RYO E-Commerce EE),EE102567890,7,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
OÜ TobaccoStore.ee (RYO Accessories Online EE),EE102890120,8,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
AS Ekspress Grupp (Media & Convenience EE),EE100045850,9,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
OÜ Coop Eesti (Supermarket & Convenience Network EE),EE100222274,10,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
OÜ Prisma Peremarket (Hypermarket EE),EE100030620,11,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
OÜ E-Smoke Estonia (E-cigaretes Wholesale EE),EE103123456,12,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
OÜ Nordic Smoke (Wholesale Tobacco Tallinn EE),EE103012345,13,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
OÜ Vapedin (Vape Retail & Wholesale Tartu EE),EE102901234,14,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
OÜ Elektra-S (Vape & Electronics EE),EE103234567,15,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
Kaupmees & KO AS (Hurtownia FMCG & Akcesoriów),EE100224151,16,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
British American Tobacco Estonia AS,EE100150937,17,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
E-smoke OÜ,EE101234567,18,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
Vapesale24 (Disposable Vapes EE),EE102555666,19,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
Sigari Maja / Tobacco City,EE100122333,20,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
A.J. Trade OÜ,EE100334455,21,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
CTB OÜ,EE100999888,22,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
OÜ Tubakas Tartu,EE102345678,23,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
OÜ Võru Tubakaservis,EE109876543,24,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
OÜ Valga Tubakatarvikud,EE104567890,25,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
OÜ Põlva Tubakapood,EE101234567,26,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
OÜ Elva Tubakakaubad,EE107654321,27,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
OÜ Tartu Tubakamasinad,EE108765432,28,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
OÜ Võru Vape & RYO,EE106543219,29,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
OÜ Valga Tubakas,EE109876540,30,"HALUCYNACJA — 9-digit IČO format, mostly synthetic"
DUPLIKAT,?,31,DUPLIKAT — already in canonical
