kraj,id,nazwa,miasto,adres,www,www_status,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
EE,EE-A-002,Veipland OÜ (E-Sigaretid),Tallinn,"Laki 14a, Tallinn 10621, Estonia",https://www.veipland.ee,green|200|1080ms,duży,www bez NIP,12437648,EE101633519,,reseller,PowerMatic | Atomic | Gizeh,,,A2,mały,,hurtownia,,Diane Sirelpuu,"Tegevjuht (CEO, Nicorex Baltic OÜ)",,info@veipland.ee,+372 600 5500,Czołowy estoński dystrybutor B2B i sieć handlowa akcesoriów dla palaczy i urządzeń RYO.,,,,,2026-08-17,,e-Äriregister 12437648 | KMKR EE101633519 | veipland.ee; nicorex.eu (public) 2026-08-18 | subagent summary raport,2026-09-03 ⏳ PENDING_API,
EE,EE-A-003,Easysmoke OÜ,Tallinn,"Vesivärava tn 50-203, 10152 Tallinn, Harju",https://easysmoke.ee,red|403,średni,Jest NIP,16293671,EE102405574,,hurtownik,Vape | E-papierosy | Akcesoria,,,A1,mały,,hurtownia,,Vladislav Evertson,Juhatuse liige (100% Omanik),,info@easysmoke.ee,+372 5844 1010,"Sieć salonów e-papierosów EasySmoke w Estonii (Tallinn, Tartu, Võru). EMTAK 47261. Rejestr: 16293671.",,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18; inforegister.ee + e-krediidiinfo.ee (public) 2026-08-18 | subagent summary raport,2026-09-03 ✅ FROZEN (API),
EE,EE-A-004,S.W.P. Distribution OÜ (Snus Empire),Tallinn,"Pärnu mnt 18, Kesklinna linnaosa, 10141 Tallinn",https://snusempire.ee,green|200|561ms,średni,Jest NIP,14669735,EE102142141,,hurtownik,Snus | Nikotyna | Akcesoria dla palaczy,,,A1,mały,,hurtownia,,Natalja Falk,Juhatuse liige,info@snusempire.ee,info@snusempire.ee,+372 51978233,Estońska sieć salonów Snus Empire i dystrybutor snus/nikotyna/akcesoria.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18; inforegister.ee + teatmik.ee (public) 2026-08-18 | subagent summary raport,2026-09-03 ✅ FROZEN (API),
EE,EE-A-005,Vape Group OÜ (VeipLux),Tallinn,"Vesivärava tn 50-203, Kesklinna linnaosa, 10152 Tallinn",https://veiplux.ee,red|403,średni,Jest NIP,12953082,EE101839688,,hurtownik,Vape | E-papierosy | Akcesoria,,,A1,mały,,hurtownia,,Raiko Ääro,Juhatuse liige (Vape Group OÜ / VeipLux),,info@veiplux.ee,,Estońska sieć salonów vape VeipLux (Vape Group OÜ). Dystrybutor e-papierosów.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18; inforegister.ee (public) 2026-08-18 | subagent summary raport,2026-09-03 ✅ FROZEN (API),
EE,EE-A-007,Stimbar OÜ,,Polska (Adres w rejestrze KRS/CEIDG),https://stimbar.com,green|200|386ms,średni,Jest NIP,ChIJgaj5-AqVkkYRtjE6onbDJ-8,EE100197648,,hurtownik,Tytoń | Gilzy | Akcesoria tytoniowe | B2B,,,A1,mały,,hurtownia,,Olga Truverk,Juhatuse liige (70% Omanik),info@stimbar.ee,info@stimbar.ee,+372 5624 1878,"Hurtownik artykułów FMCG (kawa, herbata, tytoń). Reg. 10406080.",,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18; inforegister.ee (public) 2026-08-18 | subagent summary raport,2026-09-03 ✅ FROZEN (API),
EE,EE-A-008,Montrade NetStores OÜ,Tallinn,"Hobujaama 4, 10151 Tallinn, Estonia",https://www.tubakas.ee,green|200|791ms,średni,Jest NIP,12059145,EE101446369,,reseller,OCB Mikromatic | OCB | Gizeh | Sigaretitäitjad,,,A2,mały,,Sklepy stacjonarne + E-commerce (tubakas.ee),,Jüri Erm,Juhatuse liige / Owner,tellimine@tubakas.ee,tellimine@tubakas.ee,+372 528 1585,"Operator e-sklepu tubakas.ee (""Sigar ja Tubakas"") oraz sklepów stacjonarnych w Tallinnie (m.in. Rolling Paper & Tobacco w Nautica Keskus / Happy Cigars). Bezpośrednia sprzedaż nabijarek (m.in. OCB Mikromatic) oraz gilz i akcesoriów RYO/MYO. | Brand/Web: Sigar ja Tubakas / tubakas.ee",,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
EE,EE-A-009,NORDIC DIGITAL AS,Tõrvandi,"Tööstuse tee 6, Tõrvandi alevik, Kambja vald, 61715 Tartu maakond, Estonia",https://www.photopoint.ee,green|200|3991ms,duży,Jest NIP,10240231,EE100024025,1992,hurtownik,Gerui | Elektrilised sigaretitäitjad | Tubakatäitjad,,,A1,mały,,Hurt + E-commerce sieciowy (Photopoint.ee),,Urmas Kiisk,Juhatuse liige / CEO,info@nordicdigital.ee,info@nordicdigital.ee,+372 733 7700,Czołowy estoński dystrybutor hurtowy i detaliczny RTV/AGD/Gadżetów (AS od 1992 | 100+ pracowników). Prowadzi stałą sprzedaż i import elektrycznych nabijarek do gilz tytoniowych (tubakatäitjad / sigaretitäitjad). Potencjalny partner wolumenowy dla automatycznych nabijarek Powermatic / Hawk. | Brand/Web: Photopoint.ee,,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),brak
EE,EE-A-010,Just Commerce OÜ,Tallinn,"Narva mnt 7-652, Kesklinna linnaosa, 10117 Tallinn, Estonia",https://sellme.ee,green|200|247ms,średni,Jest NIP,14595965,EE102476312,2018,reseller,Elektriline sigaretimasin | Tubaka täitmise masin,,,A2,mały,,E-commerce (Sellme.ee),,Illia Haidar,Juhatuse liige / Owner,info@sellme.ee,info@sellme.ee,,"Operator platformy Sellme.ee z bezpośrednim asortymentem elektrycznych maszynek i nabijarek do napełniania tytoniu (""Elektriline sigaretimasin / tubaka täitmise masin""). Bezpośredni kanał sprzedaży urządzeń do gilz.",,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),brak
EE,EE-A-011,OÜ SANITEX,Rae küla,"Graniidi 1, EE-75310",https://sanitex.eu,red|403,duży,Jest NIP,e-Äriregister 11931003,EE101376895,,reseller,Mascotte | OCB | Sigaretitäitjad | RYO tarvikud,nie,,A4,mały,,mix,brak,Oksana Salminen,Management board member,,sanitex.estonia@sanitex.eu,+372 622 6399,OÜ SANITEX — ramię dystrybucyjne Sanitex w Estonii. | Dual-business: powiązany z EE-B-001,brak,https://facebook.com/sanitex,brak,,2026-08-17,Europa + Azja,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),EE-B-001
EE,EE-A-012,RYO Paper & Tobacco OÜ,Tallinn,"Harju maakond, Tallinn, Kesklinna linnaosa, Lootsi tn 14, 10151",https://www.rollingpaper.ee,green|200|508ms,mały,Jest NIP,e-Äriregister 16855382,EE102675566,,detalista,Rizla | Raw | Greengo | Zig-Zag | Smoking | Ezee | Cartel | Sigaretitäitjad,,,A4,mały,,B2B,,Jüri Erm,"Wholesale contact: matti@cigars.ee, info@tubakas.ee",matti@cigars.ee,info@rollingpaper.ee,+372 5559 0002,Największy specjalistyczny dystrybutor i sklep RYO/akcesoriów w Estonii. | Dual-business: powiązany z EE-B-012,,,,,2026-08-12,import,KRS API / CEIDG API + web search 2026-08-18; inforegister.ee (public) 2026-08-18,2026-09-03 ✅ FROZEN (API),EE-B-012
