score,whale,country,iso,id,name,miasto,kategoria,tier,powinowactwo,wolumen,confidence,kanal,email,telefon,www,decydent,notatki,flagi
9,✓,Estonia,EE,EE-B-011,Imperial Tobacco Estonia OÜ,Tallinn,B8,hurtownik,3,mały,🟢,B2B,info@imperialtobacco.ee,+372 622 1881,https://www.imperialbrands.ee,Ulf Erik Joakim Högberg Jacobsson,"🐋 Część Imperial Brands PLC (UK, Bristol) — 4. największy producent tytoniu na świecie. EMTAK 46.35. Spadający revenue (€5M → €0 w 4 lata). Mimo to strategiczny: własność grupy, kontakt do HQ EU. Brak",2026-08-31 ✅ FROZEN (API)
9,✓,Estonia,EE,EE-B-012,RYO Paper & Tobacco OÜ,Tallinn,B4,detalista,3,mały,🟢,B2B,info@rollingpaper.ee,+372 5559 0002,https://www.rollingpaper.ee,Jüri Erm,"🏪 Sklep stacjonarny w Nautica Center (Ahtri 9, Tallinn) + e-commerce. Największy wybór RYO w regionie. Brak wysyłki tytoniu pocztą (zakaz prawny EE). Wholesale: osobne kontakty. Emtak 47.26. | Najwięk",2026-08-31 ✅ FROZEN (API)
5,,Estonia,EE,EE-B-001,OÜ SANITEX,Rae küla,B8,reseller,5,duży,🟢,mix,sanitex.estonia@sanitex.eu,+372 622 6399,https://sanitex.eu,Oksana Salminen,Siostra UAB SANITEX (LT). Wspólny właściciel. Razem z LT i LV = 1 partner na 3 kraje bałtyckie ⚠️ DO-WERYFIKACJI | cf detail: hurtownia + logistyka,2026-08-31 ✅ FROZEN (API)
5,,Estonia,EE,EE-B-025,Aleserk OÜ,Hüüru,B1,hurtownik,4,średni,🟢,Hurt (EMTAK 46.35),info@aleserk.com,+372 5808 4049,,Alexander Kimlaychuk,Wyspecjalizowana hurtownia zarejestrowana pod EMTAK 46.35 (Tubakatoodete hulgimüük - hurt wyrobów tytoniowych i artykułów pokrewnych) w Harjumaa.,2026-08-31 ✅ FROZEN (API)
4,,Estonia,EE,EE-B-002,Nicorex Baltic OÜ,Tallinn,B8,hurtownik,5,średni,🟢,,,+372 6050400,,Liudas Zakarevičius,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,2026-08-31 ✅ FROZEN (API)
4,,Estonia,EE,EE-B-003,Coop Eesti Keskühistu,Tallinn,B8,hurtownik,5,średni,🟢,,info@coop.ee,+372 671 0500,https://coop.ee,Matthias Baltes,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,2026-08-31 ✅ FROZEN (API)
4,,Estonia,EE,EE-B-004,Aktsiaselts Kaupmees & Ko,Tallinn,B8,hurtownik,5,średni,🟢,,kaupmees@kaupmees.ee,+372 6221881,https://kaupmees.ee,Farid Hamadi,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,2026-08-31 ✅ FROZEN (API)
4,,Estonia,EE,EE-B-005,Eugesta Eesti OÜ,Tallinn,B8,hurtownik,5,średni,🟢,,info@eugesta.ee,+372 5551 5636,https://eugesta.ee,Jaan Lainurm,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,2026-08-31 ✅ FROZEN (API)
4,,Estonia,EE,EE-B-006,Aktsiaselts Tallink Duty Free,Tallinn,B8,hurtownik,5,średni,🟢,,dutyfree@tallink.ee,+372 612 8216,https://tallink.com,Koit Semjonov,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,2026-08-31 ✅ FROZEN (API)
4,,Estonia,EE,EE-B-007,Philip Morris Eesti,Tallinn,B8,hurtownik,5,średni,🟢,,tallinn.admin@pmi.com,+372 6050400,https://www.pmi.com,Liudas Zakarevičius,Starter set: web search 2026-08-10. Nip/rejestr do ustalenia.,2026-08-31 ✅ FROZEN (API)
4,,Estonia,EE,EE-B-008,OÜ SIGARI MAJA,Tallinn,B8,detalista,5,średni,🟡,,info@sigarimaja.ee,+372 5555 1234,https://cigarhouse.ee,Natalja Falk,"Byli wpis: 'CigarHouse.ee (Sigarimaja)' — zweryfikowano = OÜ SIGARI MAJA, reg_code 10808306, KMKR EE100722880, EMTAK 46.35. 32 pracowników. Sklep z cygarami i akcesoriami w centrum Tallina (Raekoja pl",2026-08-31 ✅ FROZEN (API)
4,,Estonia,EE,EE-B-013,Karia Food OÜ,Jüri,B1,hurtownik,3,średni,🟢,B2B,info@kariafood.ee,,,Karl-Erik Kiipli,B-tier hurt FMCG (EMTAK 46.39). 88 pracowników. Może mieć tytoń w ofercie hurtowej. Wymaga follow-up call. | 88 pracowników (BalticFirms.eu 2025),2026-08-31 ✅ FROZEN (API)
4,,Estonia,EE,EE-B-014,Karisma Food OÜ,Tallinn,B1,hurtownik,3,duży,🟢,B2B,info@karismafood.ee,+372 661 6032,https://karismafood.ee,Ando Laine,"B-tier hurt FMCG (EMTAK 46.31 — owoce/warzywa). 108 pracowników. Prawdopodobnie NIE ma tytoniu, ale warty follow-up call. Była Vegelog OÜ (zmiana nazwy). | 108 pracowników (BalticFirms.eu 2025)",2026-08-31 ✅ FROZEN (API)
