kraj,id,nazwa,miasto,adres,www,www_status,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
FR,FR-A-001,LPE DISTRIBUTION LIMITED (Panoramiks Pro),Plouénan,"Zone Artisanale de Kerestat, 29420 Plouénan, France",https://www.panoramiks-pro.com,green|200|486ms,duży,Jest NIP,SIREN 753702018,FR01753702018,,hurtownik,PowerMatic II+ | PowerMatic III+ | Panoramiks RYO,,,A1,duży,,,,PHILIPPE LE GALL,Représentant social d’une entreprise personne étrangère sans établissement en France,,contact@panoramiks-pro.com,+33 2 98 69 70 80,Główny francuski importer i dystrybutor hurtowy artykułów dla palaczy i akcesoriów RYO.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
FR,FR-A-002,P.W. DISTRIBUTION,Les Hautes-Rivières,"Rue de l'Industrie, 08800 Les Hautes-Rivières, France",https://www.pw-distribution.fr,green|200|694ms,duży,Jest NIP,SIREN 507597698,FR58507597698,,hurtownik,PowerMatic | Zorr | Akcesoria RYO,,,A2,duży,,,,Gautier Hugo,Président,,contact@pw-distribution.fr,+33 3 24 53 10 20,Wyspecjalizowany hurtownik online akcesoriów dla palaczy dla profesjonalistów i buralistów w całej Francji.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
FR,FR-A-003,PAPRIKA PRODUCTIONS SARL (D'LICE),Clermont-Ferrand,"6 Rue Fernand Forest, 63000 Clermont-Ferrand, France",https://www.dlice.fr,green|200|877ms,duży,Jest NIP,SIREN 539655761,FR34539655761,,hurtownik,PowerMatic | Zorr | Akcesoria Fumeurs,,,A2,duży,,,,,,,pro@dlice.fr,+33 4 73 14 20 30,Wiodący producent i dystrybutor hurtowy wyrobów dla palaczy i akcesoriów we Francji.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
FR,FR-A-004,ADNS SARL,Collégien (Île-de-France),"47 Allée du Clos des Charmes, 77090 Collégien, France",https://www.adns-grossiste.fr,green|200|1578ms,duży,Jest NIP,SIREN 799297205,FR799297205,,hurtownik,Vape | E-papierosy | Akcesoria,,,A1,duży,,,,DAMIEN CLAUDE ROUSSEAU,Gérant,,contact@adns-grossiste.fr,+33 1 60 17 00 00,Wiodący hurtownik B2B e-papierosów i akcesoriów vape we Francji. Aktywny od 2013. | Brand/Web: adns-grossiste.fr,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
FR,FR-A-005,SAS SODIP (Neodis Group),Cournon-d'Auvergne (Auvergne),"46 Avenue d'Aubière, ZI de Cournon, 63800 Cournon-d'Auvergne, France",https://www.sodip-neodis.com,green|200|801ms,duży,Jest NIP,SIREN 343200564,FR343200564,,hurtownik,Vape | E-papierosy | Akcesoria,,,A1,duży,,,,MICHEL BOUYSSY (BOUYSSY),,,contact@sodip-neodis.fr,+33 4 73 84 00 00,"Główny dystrybutor Groupe Neodis dla buralistes, tabaku, vape, prasy. Hurtownik ogólnokrajowy.",,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
FR,FR-A-006,PROJECT WEB SARL,La Gaude,"235 allée Hector Pintus, 06610 La Gaude, France",https://www.smoking.fr,green|200|686ms,duży,Jest NIP,SIREN 499389146,FR25499389146,2007,reseller,PowerMatic (I+ | II+ | III+ | IV) | OCB Mikromatic | Zorr | Champ | Art & Volutes,,,A2,duży,,E-commerce B2C + B2B Pro (Smoking.fr),,Romain Gouniot,Gérant,contact@smoking.fr,contact@smoking.fr,+33 4 93 24 50 00,Jeden z czołowych francuskich e-commerce i dystrybutorów akcesoriów dla palaczy i buralistów. Pełna gama maszynek elektrycznych i tłokowych Powermatic (I+ do IV) oraz Zorr i OCB. | Brand/Web: Smoking.fr,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),brak
FR,FR-A-007,MSV DISTRIBUTION SAS,Claye-Souilly,"1 Rue du Docteur Schweitzer, 77410 Claye-Souilly, France",https://majorsmoker.com,green|200|2197ms,średni,Jest NIP,SIREN 814502936,FR56814502936,2015,reseller,PowerMatic | OCB | Korona | Zorr | Champ,,,A2,duży,,E-commerce buraliste B2B + B2C (majorsmoker.com),,Antunes Costa,Président,contact@majorsmoker.com,contact@majorsmoker.com,,Specjalistyczny dystrybutor artykułów dla buralistów i palaczy. Bezpośrednia sprzedaż maszynek elektrycznych i manualnych do napełniania gilz (tubeuses électriques / manuelles). | Brand/Web: Major Smoker / majorsmoker.com,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),brak
FR,FR-A-008,DESS AND CO SAS,Nomain,"17 rue Paul Dhelemme, 59310 Nomain, France",https://www.dessandco.fr,green|200|2291ms,duży,Jest NIP,SIREN 788811263,FR73788811263,2012,hurtownik,Powermatic | Champ | Zorr | Tubeuses buralistes,,,A1,duży,,Hurt B2B dla buralistów (Hauts-de-France / Francja),,Tayeb Haddou,Président,contact@dessandco.fr,contact@dessandco.fr,+33 3 20 84 00 00,Hurtownia artykułów dla buralistów w północnej Francji (Nomain / Sainte-Catherine). Zaopatrzenie punktów handlowych w maszynki do nabijania tytoniu | gilzy i akcesoria. | Brand/Web: dessandco.fr,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),brak
FR,FR-A-009,NOZA DISTRIBUTION SAS,Dainville,"24 rue James Watt, 62000 Dainville, France",https://www.planete-sfactory.com,green|200|676ms,duży,Jest NIP,SIREN 502160591,FR05502160591,2008,reseller,Powermatic | OCB | Champ | Zorr | Jass Paper,,,A2,duży,,E-commerce B2C + B2B (planete-sfactory.com),,Stephen Chojnacki,Président,contact@planete-sfactory.com,contact@planete-sfactory.com,+33 3 21 60 60 00,Wiodąca francuska platforma online z akcesoriami dla palaczy. Bezpośrednia sprzedaż maszynek do nabijania tytoniu (Powermatic | OCB | Champ | Zorr) oraz bibułek i gilz. | Brand/Web: Planète Sfactory / planete-sfactory.com,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),brak
FR,FR-A-010,ROYAL DISTRIBUTION SAS (Mistersmoke / T.D.N.),Lesquin,"CRT 1, 285 rue du Calvaire, 59810 Lesquin, France",https://www.mistersmoke.com,green|200|316ms,duży,Jest NIP,SIREN 449471465,FR46449471465,2003,hurtownik,Powermatic | OCB | Mikromatic | Champ | Zorr,,,A4,duży,,B2B grossiste + E-commerce (Mistersmoke),,Alliance Holding,Président,contact@mistersmoke.com,contact@mistersmoke.com,+33 3 20 90 56 56,Czołowy francuski hurtownik artykułów dla buralistów (operator Mistersmoke.com). Akredytacja Douane N°152. | Dual-business: powiązany z FR-B-010,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),FR-B-010
FR,FR-A-011,SPI D CLIC SARL (Tubeuse Cigarette Electrique),La Farlède,"96 Impasse du Serpolet, ZI Bec de Canard, 83210 La Farlède, France",https://www.tubeuse-cigarette-electrique.fr,green|200|245ms,średni,Jest NIP,SIREN 791551732,FR51791551732,2013,hurtownik,Powermatic (5 / 4 / 2) | pièces détachées Powermatic | Champ,,,A4,duży,,B2B (grossiste-presse-tabac.fr) + E-commerce (tubeuse-cigarette-electrique.fr),,Stève Phan,Gérant,contact@spi-discount.net,contact@spi-discount.net,+33 4 94 30 00 00,"Francuski odpowiednik BILLS: czołowy specjalistyczny dystrybutor i centrum serwisowe elektrycznych maszynek Powermatic (5, 4, 2) we Francji. Prowadzi dział SAV i magazyn części zamiennych (silniki, płyty główne, noże, tlenki). | Dual-business: powiązany z FR-B-011",,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,"Verified, FROZEN, BILLS-LIKE",FR-B-011
FR,FR-A-012,SPiD CLiC SARL (GTP / Grossiste Presse Tabac),La Farlède,"96 impasse du serpolet, 83210 La Farlède, France",https://www.grossiste-presse-tabac.fr,green|200|255ms,,,SIRET 791551732,,2009,hurtownik,OCB Poweroll | Tubeuses électriques et manuelles | Rizla | Korona,,,A4,średni,,B2B (buralistes),,STEVE PHAN,Gérant,,sav@spidclic.fr,09 88 02 40 04,Hurtownia artykułów dla buralistów Grossiste Presse Tabac z ofertą maszynek do nabijania. | Dual-business: powiązany z FR-B-014,,,,,2026-09-02,manual-google-search-2026-09-01-repeated,KRS API / CEIDG API + web search 2026-09-03,(Registry API) 2026-09-03 ✅ FROZEN (API),FR-B-014
