kraj,id,nazwa,miasto,adres,www,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
FR,FR-B-001,LOGISTA FRANCE (SAF),Vincennes,"27 avenue des murs du parc, 94300 Vincennes, France",https://www.logista.fr,duży,🟢,SIREN 495361602,FR43495361602,2007,hurtownik,,,4,B8,duży,bardzo wysoki,B2B (dostawca do 23k buralistów),,Mathilde Goffard (Keszey),Président,recouvrement.lognes@logista.com,recouvrement.lognes@logista.com,+33 1 43 98 61 00,Hurtownik nr 1 we Francji (dostawca do 23 000 punktów buraliste). Monopolista dystrybucji tytoniu i czołowy hurtownik akcesoriów dla palaczy. | marki_nabijarki: Akcesoria RYO/MYO | Tytoń,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-08-31 ✅ FROZEN (API),brak
FR,FR-B-002,SAS COPROVA,Paris,"171 avenue Jean Jaurès, 75019 Paris, France",https://www.coprova.com,duży,🟢,SIREN: 780074803,FR780074803,1970,hurtownik,,,3,B8,duży,średni,B2B (buralistes / civettes),,Enrique Cruz Rojas,Président,direction.generale@coprova.com,direction.generale@coprova.com,+33 1 44 84 30 00,Akredytowany dostawca celny wyrobów tytoniowych i akcesoriów we Francji (licencja Douane N°16). | marki_nabijarki: Cygara | Akcesoria,,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18,2026-08-31 ✅ FROZEN (API),brak
FR,FR-B-003,SAS BOUTTIER (Bouttier Ets),Auch,"3 rue Van Gogh, ZI d'Engachies, 32000 Auch, France",https://www.bouttier.fr,duży,🟢,SIREN 399884766,FR14399884766,1995,hurtownik,,,4,B8,duży,wysoki,B2B (buralistes Grand Sud-Ouest),,Michel BOUYSSY,Président,bouttier@bouttier.fr,bouttier@bouttier.fr,+33 5 62 61 21 21,Hurtownia artykułów dla buralistów w południowo-zachodniej Francji (Bretagne / Nouvelle-Aquitaine / Occitanie). Akredytacja Douane N°44. | marki_nabijarki: Akcesoria buralistes | RYO,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-08-31 ✅ FROZEN (API),brak
FR,FR-B-004,SAS MERCIER,Châtenoy-le-Royal,"Zone verte, Route des Varennes, 71880 Châtenoy-le-Royal, France",https://www.mercier.fr,duży,🟢,SIREN 389519299,FR61389519299,1992,hurtownik,,,4,B8,duży,wysoki,B2B (buralistes Centre-Est),,CEDRIC CAMILLE MARCEL MERCIER,Directeur Général,francis@mercier.fr,francis@mercier.fr,+33 3 85 46 92 00,Hurtownia akcesoriów dla palaczy i buralistów w regionie Burgundia/Centre-Est. Akredytacja Douane N°47. | marki_nabijarki: Akcesoria fumeurs | RYO,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-08-31 ✅ FROZEN (API),brak
FR,FR-B-005,PIPIERE ALSACIENNE (PIPAL SA),Erstein,"1 rue de Johannesburg, 67150 Erstein, France",https://www.pipal.fr,średni,🟢,SIREN 688502525,FR68688502525,1968,hurtownik,,,4,B8,duży,wysoki,B2B (buralistes Grand Est / Alzacja),,Dominique Belliard,Président,cdiana@pipal.fr,cdiana@pipal.fr,+33 3 88 67 10 20,Specjalistyczny dystrybutor akcesoriów dla palaczy w Alzacji i północno-wschodniej Francji. Akredytacja Douane N°48. | marki_nabijarki: Akcesoria tytoniowe | Fajki | RYO,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,(SIRENE) 2026-08-31 ✅ FROZEN (API),brak
FR,FR-B-006,SAS SODIP (Groupe Néodis),Cournon-d'Auvergne,"46 Avenue d'Aubière, ZI de Cournon, 63800 Cournon-d'Auvergne, France",https://www.sodip-neodis.fr,duży,🟢,SIREN 343200564,FR19343200564,1987,hurtownik,,,4,B8,duży,wysoki,B2B (buralistes Auvergne / Owernia),,MICHEL BOUYSSY (BOUYSSY),Représentant permanent,sodip@sodip-neodis.fr,sodip@sodip-neodis.fr,+33 4 73 28 84 00,Czołowa hurtownia artykułów dla buralistów w centralnej Francji (Groupe Néodis). Akredytacja Douane N°49. | marki_nabijarki: Akcesoria fumeurs | RYO | Maszynki,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-08-31 ✅ FROZEN (API),brak
FR,FR-B-007,SAS SOCOPI N,Le Rheu,"82 route Nationale, 35650 Le Rheu, France",https://www.socopi.fr,duży,🟢,SIREN 821534237,FR50821534237,2016,hurtownik,,,4,B8,duży,wysoki,B2B (buralistes Bretagne / Ouest),,Marion Bizeul,Président du conseil d'administration et directeur général,socopi@socopi.fr,socopi@socopi.fr,+33 2 99 14 60 60,Wiodący dystrybutor hurtowy artykułów dla buralistów w zachodniej Francji (Bretania/Normandia). Akredytacja Douane N°51. | marki_nabijarki: Akcesoria fumeurs | RYO,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-08-31 ✅ FROZEN (API),brak
FR,FR-B-008,FIMAR SAS (MARTY),Rivesaltes,"4 avenue Lucien Vidie, Espace Méditerranée, 66600 Rivesaltes, France",https://www.marty66.com,duży,🟢,SIREN 437573363,FR26437573363,2001,hurtownik,,,4,B8,duży,wysoki,B2B (buralistes Sud / Occitanie),,PIPIERE ALSACIENNE,Président,sa.marty@marty66.com,sa.marty@marty66.com,+33 4 68 64 06 64,Hurtownia artykułów dla buralistów na południu Francji (Région Méditerranée). Akredytacja Douane N°56. | marki_nabijarki: Akcesoria fumeurs | RYO,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-08-31 ✅ FROZEN (API),brak
FR,FR-B-009,EUROTAB-FRANCE SARL,Haudivillers,"1 rue Jacques Boulanger, 60510 Haudivillers, France",https://www.eurotab.fr,duży,🟢,SIREN 399976471,FR73399976471,1995,hurtownik,,,4,B8,duży,wysoki,B2B (buralistes Hauts-de-France),,Stefano Stroili,Gérant,sstroili@eurotab.fr,sstroili@eurotab.fr,+33 3 44 79 50 00,Akredytowany hurtownik wyrobów tytoniowych i artykułów dla palaczy w północnej Francji (Oise/Hauts-de-France). Akredytacja Douane N°68. | marki_nabijarki: Tytoń | Akcesoria fumeurs,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-08-31 ✅ FROZEN (API),brak
FR,FR-B-010,ROYAL DISTRIBUTION SAS (Mistersmoke / T.D.N.),Lesquin,"CRT 1, 285 rue du Calvaire, 59810 Lesquin, France",https://www.mistersmoke.com,duży,🟢,SIREN 449471465,FR46449471465,2003,hurtownik,,,5,B8,duży,bardzo wysoki,B2B grossiste + E-commerce (Mistersmoke),,Alliance Holding,Président,contact@mistersmoke.com,contact@mistersmoke.com,+33 3 20 90 56 56,Czołowy francuski hurtownik artykułów dla palaczy i buralistów (operator Mistersmoke.com). Akredytacja Douane N°152. Dystrybutor nabijarek Powermatic | OCB Mikromatic | Zorr | Champ. | marki_nabijarki: Powermatic | OCB | Mikromatic | Champ | Zorr,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-08-31 ✅ FROZEN (API),brak
