score,whale,country,iso,id,name,miasto,kategoria,tier,powinowactwo,wolumen,confidence,kanal,email,telefon,www,decydent,notatki,flagi
9,✓,Francja,FR,FR-B-001,LOGISTA FRANCE (SAF),Vincennes,B8,hurtownik,4,duży,🟢,B2B (dostawca do 23k buralistów),recouvrement.lognes@logista.com,+33 1 43 98 61 00,https://www.logista.fr,Mathilde Goffard (Keszey),Hurtownik nr 1 we Francji (dostawca do 23 000 punktów buraliste). Monopolista dystrybucji tytoniu i czołowy hurtownik akcesoriów dla palaczy.,2026-08-31 ✅ FROZEN (API)
4,,Francja,FR,FR-B-003,SAS BOUTTIER (Bouttier Ets),Auch,B8,hurtownik,4,duży,🟢,B2B (buralistes Grand Sud-Ouest),bouttier@bouttier.fr,+33 5 62 61 21 21,https://www.bouttier.fr,Michel BOUYSSY,Hurtownia artykułów dla buralistów w południowo-zachodniej Francji (Bretagne / Nouvelle-Aquitaine / Occitanie). Akredytacja Douane N°44.,2026-08-31 ✅ FROZEN (API)
4,,Francja,FR,FR-B-004,SAS MERCIER,Châtenoy-le-Royal,B8,hurtownik,4,duży,🟢,B2B (buralistes Centre-Est),francis@mercier.fr,+33 3 85 46 92 00,https://www.mercier.fr,CEDRIC CAMILLE MARCEL MERCIER,Hurtownia akcesoriów dla palaczy i buralistów w regionie Burgundia/Centre-Est. Akredytacja Douane N°47.,2026-08-31 ✅ FROZEN (API)
4,,Francja,FR,FR-B-005,PIPIERE ALSACIENNE (PIPAL SA),Erstein,B8,hurtownik,4,średni,🟢,B2B (buralistes Grand Est / Alzacja),cdiana@pipal.fr,+33 3 88 67 10 20,https://www.pipal.fr,Dominique Belliard,Specjalistyczny dystrybutor akcesoriów dla palaczy w Alzacji i północno-wschodniej Francji. Akredytacja Douane N°48.,(SIRENE) 2026-08-31 ✅ FROZEN (API)
4,,Francja,FR,FR-B-006,SAS SODIP (Groupe Néodis),Cournon-d'Auvergne,B8,hurtownik,4,duży,🟢,B2B (buralistes Auvergne / Owernia),sodip@sodip-neodis.fr,+33 4 73 28 84 00,https://www.sodip-neodis.fr,MICHEL BOUYSSY (BOUYSSY),Czołowa hurtownia artykułów dla buralistów w centralnej Francji (Groupe Néodis). Akredytacja Douane N°49.,2026-08-31 ✅ FROZEN (API)
4,,Francja,FR,FR-B-007,SAS SOCOPI N,Le Rheu,B8,hurtownik,4,duży,🟢,B2B (buralistes Bretagne / Ouest),socopi@socopi.fr,+33 2 99 14 60 60,https://www.socopi.fr,Marion Bizeul,Wiodący dystrybutor hurtowy artykułów dla buralistów w zachodniej Francji (Bretania/Normandia). Akredytacja Douane N°51.,2026-08-31 ✅ FROZEN (API)
4,,Francja,FR,FR-B-008,FIMAR SAS (MARTY),Rivesaltes,B8,hurtownik,4,duży,🟢,B2B (buralistes Sud / Occitanie),sa.marty@marty66.com,+33 4 68 64 06 64,https://www.marty66.com,PIPIERE ALSACIENNE,Hurtownia artykułów dla buralistów na południu Francji (Région Méditerranée). Akredytacja Douane N°56.,2026-08-31 ✅ FROZEN (API)
4,,Francja,FR,FR-B-009,EUROTAB-FRANCE SARL,Haudivillers,B8,hurtownik,4,duży,🟢,B2B (buralistes Hauts-de-France),sstroili@eurotab.fr,+33 3 44 79 50 00,https://www.eurotab.fr,Stefano Stroili,Akredytowany hurtownik wyrobów tytoniowych i artykułów dla palaczy w północnej Francji (Oise/Hauts-de-France). Akredytacja Douane N°68.,2026-08-31 ✅ FROZEN (API)
4,,Francja,FR,FR-B-010,ROYAL DISTRIBUTION SAS (Mistersmoke / T.D.N.),Lesquin,B8,hurtownik,5,duży,🟢,B2B grossiste + E-commerce (Mistersmoke),contact@mistersmoke.com,+33 3 20 90 56 56,https://www.mistersmoke.com,Alliance Holding,Czołowy francuski hurtownik artykułów dla palaczy i buralistów (operator Mistersmoke.com). Akredytacja Douane N°152. Dystrybutor nabijarek Powermatic | OCB Mikromatic | Zorr | Champ.,2026-08-31 ✅ FROZEN (API)
4,,Francja,FR,FR-B-011,SPI D CLIC SARL,La Farlède,B8,hurtownik,5,średni,🟢,B2B (grossiste-presse-tabac.fr) + E-commerce (tubeuse-cigarette-electrique.fr),contact@spi-discount.net,+33 4 94 30 00 00,https://www.tubeuse-cigarette-electrique.fr,Stève Phan,Wyspecjalizowany francuski importer i dystrybutor elektrycznych maszynek do nabijania tytoniu (Powermatic 5/4/2 | Champ) oraz wyłączny dystrybutor gilz Korona. | Brand/Web: SPI Discount / grossiste-pr,2026-08-31 ✅ FROZEN (API)
4,,Francja,FR,FR-B-012,POESCHL TOBACCO FRANCE (PTF),Rixheim,B8,hurtownik,4,duży,🟢,B2B buralistes / dystrybucja krajowa,info@poeschl-tobacco.com,+33 3 89 65 92 00,https://www.poeschl-tobacco.com,Alois Pöschl,Francuski oddział koncernu Pöschl Tabak. Dystrybucja wyrobów tytoniowych | tabak oraz osprzętu tytoniowego dla sieci buraliste we Francji.,2026-08-31 ✅ FROZEN (API)
3,,Francja,FR,FR-B-002,SAS COPROVA,Paris,B8,hurtownik,3,duży,🟢,B2B (buralistes / civettes),direction.generale@coprova.com,+33 1 44 84 30 00,https://www.coprova.com,Enrique Cruz Rojas,Akredytowany dostawca celny wyrobów tytoniowych i akcesoriów we Francji (licencja Douane N°16).,2026-08-31 ✅ FROZEN (API)
