kraj,id,nazwa,miasto,adres,www,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
LT,LT-B-001,UAB SANITEX,Kaunas,"Raudondvario pl. 131C, LT-47501 Kaunas",https://sanitex.eu,duży,🟢,JAR 110443493,LT104434917,1992,reseller,,nie,5,B8,mały,wysoki,mix,brak,Ramūnas Kairys,Director / Chief Executive Officer,,sanitex@sanitex.eu,+370 37 401111,bardzo duży | cf detail: hurtownia + logistyka | marki_nabijarki: nie,brak,https://facebook.com/sanitex,brak,,2026-08-17,Europa + Azja,KRS API / CEIDG API + web search 2026-08-18 | rekvizitai.vz.lt + web search,(RC Litwa / VIES) 2026-09-03 ⏳ PENDING_API,"LV-B-XX-001,EE-B-XX-001"
LT,LT-B-002,UAB MV GROUP Distribution LT,Vilnius,"Aukštaičių g. 7, LT-11341 Vilnius, Litwa",https://mvgroup.eu,średni,🟢,JAR: 121702328,LT217023219,,hurtownik,,,5,B8,mały,wysoki,,,Marijus Cilcius,Generalinis direktorius (CEO MV GROUP),,info@mvgroup.eu,+370 5 278 6000,Official dystrybutor of BAT and House of Prince in Lithuania. Part of MV Group.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18; mvgroup.eu + okredo.com (public) 2026-08-18,2026-09-03 ✅ FROZEN (API),
LT,LT-B-003,AB Imeda,Ignalina,"Technikos g. 5, LT-30132 Ignalina, Litwa",https://imeda.lt,średni,🟢,JAR: 155510861,LT555108610,,hurtownik,,,5,B8,mały,wysoki,,,Gintaras Šimkūnas,General Manager,,info@imeda.lt,+370 386 52333,FMCG and tobacco hurtownia in Ignalina.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
LT,LT-B-004,UAB Raudonas skorpionas,Jonava,"Klaipėdos g. 28, LT-55169 Jonava, Litwa",,średni,🟢,JAR: 157014351,LT570143515,,hurtownik,,,5,B8,mały,wysoki,,,,,,info@raudonasskorpionas.lt,+370 349 52720,"Tobacco, food and alcohol hurtownia in Jonava.",,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
LT,LT-B-005,MB Himalajai,Vilnius,"R. Jankausko g. 6D, Vilnius, Litwa",https://rastamanas.lt,średni,🟢,JAR: 306212550,LT100015783,,hurtownik,,,3,B4,mały,średni,,,,,,info@rastamanas.lt,+370 655 57766,Smoking accessories and specialized retail/B2B operator. | Brand/Web: Rastamanas.lt,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
LT,LT-B-006,UAB Ecodumas,Kaunas,"Jurbarko g. 2, Kaunas, Litwa",https://ecodumas.com,średni,🟢,JAR: 303015964,LT100007870,,hurtownik,,,2,B6,mały,średni,,,Mindaugas Šimkus,Vadovas,,wholesale@ecodumas.com,+370 683 08280,One of the largest e-cigarette and e-liquid wholesalers and retail networks in Lithuania.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),
LT,LT-B-007,UAB Vinges Terminalas,Bareikiškės,"Minsko pl. 202, Bareikiškių k., LT-13176 Vilniaus r., Lietuva",https://www.vingesterminalas.lt,duży,🟢,122770150,LT227701515,1994,hurtownik,,,4,B8,mały,wysoki,Logistyka celna i skład akcyzowy (AIS / VMI),,Marius Jadzevičius,Manager,vt@vingesterminalas.lt,vt@vingesterminalas.lt,+370 5 239 4500,Czołowy terminal logistyczny | skład celny i akcyzowy w rejonie Wilna (Minsko pl.). Specjalizacja w obsłudze importu i magazynowania wyrobów tytoniowych oraz nakładaniu znaków akcyzy (banderolės). | marki_nabijarki: Akcizinis sandėlis | Muitinės sandėlis,,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),brak
LT,LT-B-008,UAB Liteksportas,Bareikiškės,"Minsko pl. 202, Bareikiškių k., LT-13176 Vilniaus r., Lietuva",https://www.liteksportas.lt,średni,🟢,302650882,LT100006314,2011,hurtownik,,,4,B8,mały,wysoki,Skład akcyzowy i agencja celna,,Kęstutis Babaliauskas,Direktorius,info@liteksportas.lt,info@liteksportas.lt,+370 648 58899,Skład celny i podatkowy dla wyrobów tytoniowych oraz agencja celna (muitinės tarpininkas) obsługująca odprawy celne i międzynarodowy tranzyt wyrobów akcyzowych. | marki_nabijarki: Akcizinis sandėlis | Muitinės tarpininkas,,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),brak
LT,LT-B-009,"UAB ""Lavisos LEZ terminalas""",Biruliškės,"Terminalo g. 6, Biruliškių k., Karmėlavos sen., Kauno r. sav., LT-54469, Lietuva",https://lez-terminalas.lt,duży,🟢,JAR 135940713,LT100002254,2001,hurtownik,,,4,B8,mały,wysoki,Skład akcyzowy LEZ Kaunas + Banderolavimas,,Mindaugas Šimkus,Direktorius,info@lez-terminalas.lt,info@lez-terminalas.lt,+370 37 452 452,Skład akcyzowy i wolnocłowy w Kauno LEZ (Karmėlava / Kowno) z procedurą zawieszenia akcyzy na wyroby tytoniowe | banderolowaniem i odprawami celnymi. | marki_nabijarki: Akcizinis sandėlis | LEZ muitinės terminalas,,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18,(RC Litwa / VIES) 2026-09-03 ✅ FROZEN (API),brak
LT,LT-B-010,UAB Reto,Vilnius,"Sklep: Šeškinės g. 32, PC Šeškinė, LT-07157 Vilnius (rejestr: Architektų g. 176-79, Vilnius)",http://www.shamanas.lt,mały,🟡,"Įmonės kodas 302329570, PVM LT100004843716, JAR Vilnius, reg. data 2009",LT100004843,,detalista,,,1,B5,mały,niski,"E-commerce (shamanas.lt) + sklep stacjonarny (PC Šeškinė, Vilnius)",,Raimondas Šimkus,Vadovas,,info@shamanas.lt,+370 675 99995,"UAB Reto = właściciel marki „Shamanas"". Sklep stacjonarny + e-com Vilnius (PC Šeškinė). 4 pracowników, średnia pensja 961 EUR (2025-10). Sprzedaje kaljany/akcesoria/tytoń do fajek, NIE maszynki. Dyrektor + akcjonariusz NIE publicznie (JAR płatny 45 EUR). Niski priorytet dla BILLS PowerMatic (off-topic dla A1-A6). | 🔍 HOOKAH/SHISHA — NIE powerMatic, przekategoryzowano z A1→B5 | kontakt decydenta nie jest publiczny; ewentualny adres ogólny: info@shamanas.lt (jeśli aktywne) | Profil/Sourcing: Sklep stacjonarny + e-commerce, kaljany/akcesoria/tytoń do fajek wodnych | marki_nabijarki: Brak — specjalizacja kaljany/hookah, NIE maszynki do papierosów",,https://www.facebook.com/shamanas.lt/,https://www.instagram.com/shamanaslt/,,2026-08-19,LT (dystrybucja krajowa),KRS API / CEIDG API + web search 2026-08-26,2026-09-03 ✅ FROZEN (API),
