related_to,rok_zalozenia,id_unikalne,kategoria,nazwa_firmy,kraj,miasto,adres,nip_vat,rejestr_id,www,kanal_zamiennik,email,telefon,linkedin,facebook,instagram,tiktok,tier,marki_nabijarki,marka_wlasna_oem,sourcing,wolumen,confidence_wolumen,kanal_sprzedaży,powinowactwo_nabijarki,cross_sell_potential,decydent,stanowisko,email_decydent,zrodlo_danych,data_weryfikacji,flagi,notatki,rynek_skala
,,MD-A-001,A2,S.R.L. NewSmoke Distribution,MD,Chișinău,"bd. Mircea cel Bătrân 8/3, Chișinău, Moldova",1014600025721,IDNO: 1014600025721,https://www.newsmoke.md,,info@newsmoke.md,+373 22 88 55 22,,,,,reseller,PowerMatic | Atomic | Gerui,,,Średni,,,,,,,,ASP Moldova / e-Business MD,2026-08-12,2026-08-13 ⏳ PENDING_API,Dystrybutor i sieć sprzedaży akcesoriów do napełniania gilz oraz urządzeń w Mołdawii.,Średni
,,MD-A-002,A1,S.R.L. Tutun-CTC,MD,Chișinău,"str. Ismail 10, Chișinău, Moldova",1002600010996,IDNO: 1002600010996,https://www.tutun-ctc.md,,info@tutun-ctc.md,+373 22 27 00 11,,,,,hurtownik,PowerMatic | Cartel | Mascotte,,,Bardzo duży,,,,,,,,ASP Moldova / CIS / Kompass MD,2026-08-12,2026-08-13 ⏳ PENDING_API,Główny mołdawski producent i dystrybutor wyrobów tytoniowych oraz akcesoriów.,Bardzo duży
,,MD-A-003,A1,Newsmoke,MD,,,,ChIJ-UmPC7N-yUARKXo4ktniS9U,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: masini injectat tigari angrosist Moldova (ID: ChIJ-UmPC7N-yUARKXo4ktniS9U),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,MD-A-004,A1,Tutun-CTC,MD,,,,ChIJaX42TGt8yUARae5R6bn328U,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: aparate injectat tutun angro Moldova Chisinau (ID: ChIJaX42TGt8yUARae5R6bn328U),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,MD-A-005,A1,Angro,MD,,,,ChIJzZzC_N17yUARdhN-hoQodCU,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: aparate injectat tutun angro Moldova Chisinau (ID: ChIJzZzC_N17yUARdhN-hoQodCU),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,MD-A-006,A1,Magazin Fadi,MD,,,,ChIJ2_6ubFt9yUARnJSqh7H0Fac,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: aparate injectat tutun angro Moldova Chisinau (ID: ChIJ2_6ubFt9yUARnJSqh7H0Fac),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,MD-A-007,A1,NEWSMOKE VAPE SHOP,MD,,,,ChIJyQatTeN8yUARZZSFjyn2ePE,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: aparate injectat tutun angro Moldova Chisinau (ID: ChIJyQatTeN8yUARZZSFjyn2ePE),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,MD-A-008,A1,NEWSMOKE vape&tobacco shop,MD,,,,ChIJ_ZXrjy98yUARL68GsEtMQSM,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: aparate injectat tutun angro Moldova Chisinau (ID: ChIJ_ZXrjy98yUARL68GsEtMQSM),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,MD-A-009,A1,Casa del Tabaco,MD,,,,ChIJd2ySbOR5yUARdA4L7PPZmOY,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: accesorii fumat distribuitor angro Chisinau (ID: ChIJd2ySbOR5yUARdA4L7PPZmOY),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,MD-A-010,A1,Tabacco House,MD,,,,ChIJm8QtniJ9yUAR6KZ_Y5DM_ms,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: accesorii fumat distribuitor angro Chisinau (ID: ChIJm8QtniJ9yUAR6KZ_Y5DM_ms),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
