kraj,id,nazwa,miasto,adres,www,www_status,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
MD,MD-B-001,S.R.L. Gamma Logistics VR,Chișinău,"str. Grădina Botanică 2, Chișinău, MD-2002, Moldova",https://gammalogistics.md,green|200|597ms,duży,,IDNO: 1003600017637,MD1003600017637,2003,hurtownik,,,4,B8,mały,wysoki,Obsługa celna i skład celny (Serviciul Vamal),,Director Gamma Logistics VR,Administrator,info@gammalogistics.md,info@gammalogistics.md,+373 22 83 55 55,Licencjonowany broker celny i operator magazynu celnego (broker vamal / antrepozit vamal) w Kiszyniowie. Obsługa importu i odpraw celnych wyrobów akcyzowych i akcesoriów. | marki_nabijarki: Broker vamal | Antrepozit vamal | Vămuire tutun,,,,,2026-08-31,,"State Register of Legal Entities MD (IDNO: 1003600017637) | re-konfirmacja: newsmoke.md (newsmoke działa, 2026-08-31)",(web/register) 2026-09-03 ⏳ PENDING_API,brak
MD,MD-B-002,S.R.L. GRADALOGISTIC,Chișinău,"șos. Muncești 29, Chișinău, MD-2001, Moldova",https://gradalogistic.md,green|200|404ms,duży,,IDNO: 1003600007603,MD1003600007603,2022,hurtownik,,,4,B8,mały,wysoki,Agencja celna i logistyka międzynarodowa (Serviciul Vamal),,Oleg Borta,Administrator,info@gradalogistic.md,info@gradalogistic.md,+373 22 50 50 50,Czołowy licencjonowany broker celny i operator logistyki międzynarodowej w Kiszyniowie z obsługą odpraw celnych towarów akcyzowych i osprzętu tytoniowego. | marki_nabijarki: Broker vamal | Servicii logistice internaționale,,,,,2026-08-31,,"State Register of Legal Entities MD (IDNO: 1003600007603) | re-konfirmacja: newsmoke.md (newsmoke działa, 2026-08-31)",(web/register) 2026-09-03 ⏳ PENDING_API,brak
MD,MD-B-003,Lemi Invest S.R.L. (Casa del Tabaco),Chișinău,"Str. Arborilor 21, Chișinău",https://casadeltabaco.net,red|dns,,,1013600021303,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,,"MD exclusive Habanos importer since 2005, horeca + retail + B2B | ⚠ URL DEAD (000): https://casadeltabaco.net",,,,,2026-09-04,manual-google-search-2026-09-01,ASP Moldova,2026-09-04 ✅ FROZEN (ASP),
MD,MD-B-004,Le Bridge Duty Free,,,https://moodiedavittreport.com/moldovan-retailer-and-distributor-le-bridge-duty-free-prepares-to-open-border-and-airport-stores-131009,green|200|864ms,,,,,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,dermot@moodiedavittreport.com,,"MD Imperial+BAT importer-distributor, 4 border stores + Chisinau airport | Multi-country: Imperial/BAT cluster",,,,,,manual-google-search-2026-09-01,,FROZEN 2026-09-03 ⏳ PENDING_API,
MD,MD-B-005,Î.C.S. TUTUN-PREMIUM S.R.L.,Chișinău,,https://www.kompass.com/z/md/a/tobacco-and-tobacco-products/03990,red|403,,,1011600001583,1011600001583,,reseller,,,3,B5,średni,średni,B2B wholesale,,,,,,,"MD import + processing of tobacco products, LOHN system | ⚠ URL DEAD (403): https://www.kompass.com/z/md/a/tobacco-and-tobacco-products/03990/",,,,,2026-09-04,manual-google-search-2026-09-01,ASP Moldova / Data2b,2026-09-04 ✅ FROZEN (ASP),
MD,MD-B-006,S.R.L. PARȘE-TUTUN,,,https://www.kompass.com/z/md/a/tobacco-and-tobacco-products/03990,red|403,,,1002606001330,1002606001330,,reseller,,,3,B5,średni,średni,B2B wholesale,,,,,,,MD procurement + primary processing of tobacco leaf | ⚠ URL DEAD (403): https://www.kompass.com/z/md/a/tobacco-and-tobacco-products/03990/,,,,,2026-09-04,manual-google-search-2026-09-01,ASP Moldova / Data2b,2026-09-04 ✅ FROZEN (ASP),
MD,MD-B-007,S.R.L. TABACCO TRADE,Tvardița,,https://www.kompass.com/z/md/a/tobacco-and-tobacco-products/03990,red|403,,,1016611002882,1016611002882,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,,"MD tobacco wholesale, Tvardita | ⚠ URL DEAD (403): https://www.kompass.com/z/md/a/tobacco-and-tobacco-products/03990/",,,,,2026-09-04,manual-google-search-2026-09-01,ASP Moldova / Data2b,2026-09-04 ✅ FROZEN (ASP),
MD,MD-B-008,DFM S.R.L. (Duty Free),Chișinău,"Bd. Moscova 21, bl. 5, Chișinău",https://www.volza.com/p/hookah-tobacco-or-tobacco-products/buyers/buyers-in-moldova,red|403,,,1015600037999,1015600037999,,hurtownik,,,3,B5,średni,średni,B2B wholesale,,,,,,,"MD #1 hookah tobacco importer (113 shipments, 34% market) | ⚠ URL DEAD (403): https://www.volza.com/p/hookah-tobacco-or-tobacco-products/buyers/buyers-in-moldova/",,,,,2026-09-04,manual-google-search-2026-09-01,ASP Moldova / Rise.md,2026-09-04 ✅ FROZEN (ASP),
MD,MD-B-009,I.M. International Tobacco SRL,Orhei,"Republic of Moldova, Orhei city",https://internationaltobacco.md,green|200|542ms,,,,,,hurtownik,,,5,B1,średni,wysoki,B2B wholesale,,,,,,,"MD manufacturer + service provider: brand development, blend selection, filter format, PACKAGE DESIGN. Full-assistance tobacco service — potential BILLS customer for packaging materials.",,,,,,manual-google-search-2026-09-01-repeated,,FROZEN 2026-09-03 ⏳ PENDING_API,
MD,MD-B-016,PREMIER DIALOG SRL (Casa del Tabaco),Chișinău,str. Drumul Viilor 95 / V. Dokuceaev 13 / Alba Iulia 77/4 (3 lokale),https://tabak.md,green|200,duży,,IDNO: do weryfikacji w State Register (marka Casa del Tabaco założona 2007),do weryfikacji,2007,hurtownik,,,5,B2,średni,wysoki,Sieć 15 sklepów (cigars + vape + akcesoria) + e-commerce tabak.md,,do weryfikacji (marka Casa del Tabaco),Administrator,,do weryfikacji,+373 22 727 234," TOP B2 LEAD MD — Największy importer i dystrybutor premium wyrobów tytoniowych w MD (Habanos S.A., Toscano, Von Eicken). 15 sklepów Casa del Tabaco rozsianych po MD. 51-200 pracowników. kipplo.com potwierdza skalę.",,,,,2026-09-03,manual-google-search L8-catalog-2026-09-03,tabak.md + kipplo.com/companies/casa-del-tabaco + lucru.md, NEW 2026-09-03 |  TOP B2 |  HABANOS_EXCLUSIVE,
