id_unikalne,status_on_close,closed_date,comment
PL-A-WP-001,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-A-KP-001,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-A-MZ-002,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-A-PM-002,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-A-MZ-001,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-A-WP-002,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-A-XX-035,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-A-XX-039,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-A-XX-042,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-A-XX-043,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-A-XX-047,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-A-XX-052,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-A-XX-071,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-A-XX-097,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-LB-001,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-ZP-001,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-LD-001,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-ZP-002,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-010,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-011,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-012,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-013,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-014,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-015,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-017,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-018,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-019,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-020,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-021,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-022,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-023,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-024,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-025,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-026,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-PK-001,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-MZ-001,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-055,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-056,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-OP-001,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-003,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-OP-002,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-SK-002,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-MA-004,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-OP-003,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-LU-008,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-PM-004,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-DS-012,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-276,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-187,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-188,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-189,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-191,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-192,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-203,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-204,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-205,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-206,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-207,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-208,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-209,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-212,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-213,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-214,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-215,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-B-XX-216,FROZEN_VERIFIED,2026-08-12,carried to verified-A/B-PL.csv + master.csv
PL-A-XX-002,DO_WERYFIKACJI_PARKED,2026-08-12,parked; reactivate if Marcel wants more PL coverage
PL-A-ZP-001,DO_WERYFIKACJI_PARKED,2026-08-12,parked; reactivate if Marcel wants more PL coverage
PL-A-LB-001,DO_WERYFIKACJI_PARKED,2026-08-12,parked; reactivate if Marcel wants more PL coverage
PL-A-MZ-003,DO_WERYFIKACJI_PARKED,2026-08-12,parked; reactivate if Marcel wants more PL coverage
PL-A-XX-040,DO_WERYFIKACJI_PARKED,2026-08-12,parked; reactivate if Marcel wants more PL coverage
PL-A-XX-041,DO_WERYFIKACJI_PARKED,2026-08-12,parked; reactivate if Marcel wants more PL coverage
PL-A-XX-045,DO_WERYFIKACJI_PARKED,2026-08-12,parked; reactivate if Marcel wants more PL coverage
PL-A-XX-046,DO_WERYFIKACJI_PARKED,2026-08-12,parked; reactivate if Marcel wants more PL coverage
PL-A-XX-050,DO_WERYFIKACJI_PARKED,2026-08-12,parked; reactivate if Marcel wants more PL coverage
PL-A-XX-059,DO_WERYFIKACJI_PARKED,2026-08-12,parked; reactivate if Marcel wants more PL coverage
PL-A-XX-063,DO_WERYFIKACJI_PARKED,2026-08-12,parked; reactivate if Marcel wants more PL coverage
PL-A-XX-068,DO_WERYFIKACJI_PARKED,2026-08-12,parked; reactivate if Marcel wants more PL coverage
PL-A-XX-075,DO_WERYFIKACJI_PARKED,2026-08-12,parked; reactivate if Marcel wants more PL coverage
PL-A-XX-093,DO_WERYFIKACJI_PARKED,2026-08-12,parked; reactivate if Marcel wants more PL coverage
PL-B-DS-001,DO_WERYFIKACJI_PARKED,2026-08-12,parked; reactivate if Marcel wants more PL coverage
