related_to,rok_zalozenia,id_unikalne,kategoria,nazwa_firmy,kraj,miasto,adres,nip_vat,rejestr_id,www,kanal_zamiennik,email,telefon,linkedin,facebook,instagram,tiktok,tier,marki_nabijarki,marka_wlasna_oem,sourcing,wolumen,confidence_wolumen,kanal_sprzedaży,powinowactwo_nabijarki,cross_sell_potential,decydent,stanowisko,email_decydent,zrodlo_danych,data_weryfikacji,flagi,notatki,rynek_skala
,2023,PL-A-001,A1,BILLS SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,PL,Ostrzeszów,"ul. Ignacego Daszyńskiego 31, 63-500",PL5140361901,KRS 0001074645,https://www.bills.pl,brak,finanse@bills.pl,+48 62 586 07 38,brak,brak,brak,,wyłączność,"PowerMatic, SMOKS tobacco aromas, Intenze e-liquid",nie,Polska producent (PowerMatic via PL/CCE exclusive),duży 🟢,exclusive PL+CEE (BILLS),bills.pl,brak,n/a,,PREZES ZARZĄDU,właściciel/ceo,KRS API + NIP + www.bills.pl + VIES | VIES confirmed 2026-08-11T00:18:52.937Z | KRS API 0001074645 (partial),2026-08-10,2026-08-18 ✅ FROZEN (API),Wyłączny autoryzowany dystrybutor PowerMatic w PL i CEE; w ofercie też SMOKS (aromaty tytoniowe) i Intenze (e-liquidy). Ostrzeszów.,duży
,2004,PL-A-002,A5,BISTA STANDARD SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,PL,Bydgoszcz,"ul. Smoleńska 29, 85-871",PL5542559901,KRS 0000197822,https://bista.pl,brak,biuro@bista.pl,+48 52 360 71 15,brak,bistastandard,bistastandard,,producent,"Dark Horse, FERN (własne marki)",tak (Dark Horse + FERN),Polska producent,duży 🟡,eksport do 70 krajów,Intertabac wystawca,brak,n/a,Adam Jacek Stawowski,Prezes Zarządu / Chairman,biuro@bista.pl,KRS API + VIES | KRS API 0000197822 (partial),2026-08-17,2026-08-18 ✅ FROZEN (API),"🐋🔍 | dual-class: BISTA=A5 producer (Dark Horse/FERN OEM) + B8 hurtownik — keep in both per dual-business model | Producent i dystrybutor Dark Horse, gilzy, filtry, bletki. Dział eksportu: Marta Szałajda.",duży
,2023,PL-A-003,A4,E-TABAK SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,PL,Piaseczno,"ul. Kościuszki 4, 05-500 Piaseczno",PL1231543801,KRS 0001068075,https://e-tabak.pl,sieć 25+ sklepów + Allegro,biuro@e-tabak.pl,+48 573 180 220,brak,brak,brak,,marki własne + SMOK/VooPoo/Aspire/Vaporesso,do weryfikacji,import (Chiny + UE),duży 🟢 (sieć 25+ sklepów),✅,e-commerce + 25+ sklepów stacjonarnych,brak,n/a,do ustalenia (zarząd KRS — właściciel niejawny),prezes zarządu,PREZES ZARZĄDU,,KRS API + VIES | VIES confirmed 2026-08-11T00:18:50.580Z | KRS API 0001068075 (partial),2026-08-10,2026-08-18 ✅ FROZEN (API),"Sieć 25+ sklepów vape/CBD/e-papierosy/shisha w woj. mazowieckim, lubelskim i wielkopolskim (Piaseczno, Pruszków, Góra Kalwaria, Konstancin-Jeziorna, Garwolin, Warszawa, Tomaszów Lubelski, Zamość, Hrubieszów, Grodzisk Maz., Józefosław, Grójec, Mińsk Maz., Poznań, Józefów, Radom, Kozienice, Chełm, Dęblin, Pionki, Węgrów, Siedlce). PKD: 47.26.Z detal tytoń + 46.39.Z hurt + 47.91.Z internet. . ⚠️ Nie maszynki wprost, ale jest topowy kandydat cross-sell (sieć sklepów z akcesoriami dla palaczy) — kanał sprzedaży dla PM/Hawk. | KRS i NIP zgodne z listą. Brak innych danych. Rejestracja 2023-11-07. Weryfikacja co konkretnie sprzedaje i skąd importuje",duży
,,PL-A-004,A4,Trober Polska Patrick Chrabkowski,PL,Kaliska,"ul. Firmowa 2, 83-260 Kaliska",PL5922192789,CEIDG (NIP 5922192789),https://trober-polska.pl,,biuro@trober-polska.pl; anna.skarbek@troeber.com,+48 58 587 85 14; +48 502 323 283,,,,,autoryzowany,,,Chiny,średni,🟢,B2B only,,,Patrick Chrabkowski,Właściciel / Anna Skarbek-Warda (Krajowa sprzedaż),patrick.chrabkowski@trober-polska.pl,CEIDG API (NIP 5922192789),2026-08-14,2026-08-18 ✅ FROZEN (API),"Importer zapalniczek i zapalarek oraz akcesoriów dla palaczy z Niemiec (HEINZ TRÖBER GmbH & Co.); sprzedaż hurtowa i detal. Kaliska, pomorskie.",duży
,,PL-A-005,A4,TABAK GRUPA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,Kalisz,"ul. Złota 126, 62-800 Kalisz",PL6181914183,KRS 0000119343,https://trafika.pl,,biuro@skleptytoniowy.pl,+48 62 767 46 07,,,,,hurtownik,,,mix,średni,🟢,mix,,,,PREZES ZARZĄDU,,KRS API / CEIDG API + web search 2026-08-17,2026-08-17,2026-08-18 ✅ FROZEN (API),"Sklep tytoniowy online (trafika.pl): 250+ pozycji wyrobów tytoniowych, papierosy, tabaka (Bernard, Captain Black, Gawith, Ozona); hurt i detal. Kalisz.",duży
,,PL-A-006,A4,"PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE ""B.J.B."" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",PL,Koszalin,"ul. Klonowa 1, 75-644 Koszalin",PL6692127776,KRS 0000121182,http://www.bjb.pl,,zamowienia@bjb.verde.pl,+48 94 340 49 04,,,,,reseller,,,mix,duży,🟢,mix,,,Dział zamówień,Dystrybucja regionalna,,KRS API / CEIDG API + web search 2026-08-17,2026-08-17,2026-08-18 ✅ FROZEN (API),Potencjalnie duży zasięg północno-zachodni; potwierdzić aktualny asortyment RYO/MYO.,duży
,,PL-A-007,A4,Prosmoker Jarosław Szulc,PL,Warszawa,"ul. Korkowa 167/204, 04-549 Warszawa",PL1132559176,CEIDG (NIP 1132559176),https://www.prosmoker.pl,,prosmokerhurt@gmail.com,+48 507 208 897; +48 690 328 062,,,,,reseller,,,mix,średni,🟢,mix,,,,,,CEIDG API (NIP 1132559176),2026-08-14,2026-08-18 ✅ FROZEN (API),"Sklep i hurtownia e-papierosów oraz hurtownia CBD w Warszawie: e-papierosy, liquidy, premixy, longfille, sole nikotynowe, papierosy jednorazowe, woreczki nikotynowe.",duży
,,PL-A-008,A4,"""CK COMPLEX"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",PL,Zielona Góra,"ul. Naftowa 4, 65-705 Zielona Góra",PL9291744080,KRS 0000237218,https://ckcomplex.pl,,monika.wachel@ckcomplex.pl; b2b@ckcomplex.pl,+48 511 881 411; +48 515 377 435,,,,,reseller,,,mix,duży,🟢,B2B only,,,Monika Wachel,Dyrektor ds. sprzedaży hurtowej,,KRS API / CEIDG API + web search 2026-08-17,2026-08-17,2026-08-18 ✅ FROZEN (API),"Polski lider dystrybucji e-papierosów i producent własnych liquidów (Dark Line, Pinky Salt, Fusion Labs); import e-papierosów i zapalniczek; B2B. Zielona Góra.",duży
,,PL-A-009,A4,IGNIS COMPANY SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,Warszawa,"ul. Szamocka 10C, 01-748 Warszawa",PL5252995077,KRS 0001091098,https://ignistobacco.pl,,sekretariat@eignis.pl; zamowienia@eignis.pl,+48 44 777 00 30; +48 601 373 745,,,,,marketplace,,,Chiny,średni,🟢,mix,,,Łukasz Maciejczyk / CEO / właściciel | Justyna Maciejczyk / CEO / zamówienia,PREZES ZARZĄDU,,KRS API / CEIDG API + web search 2026-08-17,2026-08-17,2026-08-18 ✅ FROZEN (API),"Polski producent filtrów papierosowych i gilz dla rynku tytoniowego; siedziba Warszawa (ul. Szamocka 10C/128), CEO Łukasz Maciejczyk.",duży
,,PL-A-010,A4,I-WANT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,,"Magazynowa 10, 62-030 Luboń",PL7831904759,KRS 0001107505,https://i-want.pl,,hurt@i-want.pl,+48 500 528 972; +48 513 954 493 wew. 4,,,,,reseller,,,mix,mały,🟢,B2B only,,,Dział hurtowy,Sprzedaż B2B,,KRS API / CEIDG API + web search 2026-08-12,2026-08-14,2026-08-18 ✅ FROZEN (API),"Bezpośredni importer z Chin i UE; hurtownia online elektroniki, małego AGD/RTV, zabawek, akcesoriów dla niemowląt i motoryzacyjnych. Luboń k. Poznania.",duży
