kraj,id,kategoria,nazwa,miasto,adres,www,www_status,email,telefon,tier,wolumen,kanal_sprzedaży,powinowactwo_nabijarki,notatki,zrodlo_danych,data_weryfikacji,flagi,wynik_weryfikacji_2026-09-03
PL-X-001,B8,MONA Sp.j.,PL,Bełchatów,"ul. Józefa Piłsudskiego 28, 97-400",mona.com.pl,,biuro@mona.com.pl,+48 44 635 20 35,hurtownik,duży,hurt B2B + 9 oddziałów,4,"Dodany jako PL-B-132. CEIDG API potwierdzone: PHU MONA Wiesław Kusiak, NIP 7690506205, AKTYWNY od 1996-01-02. 9 oddziałów: Bełchatów + Piotrków + Częstochowa 2x + Chorzów + Łódź + Kraków + Opole + Kalisz. Region: łódzkie, śląskie, opolskie + części wielkopol./dolnoślą./świętokrzysk./małopol. PKD 46.35.Z.",web search 2026-08-19 → CEIDG API 2026-09-03,2026-09-03,✅ FROZEN (CEIDG API),✅ DODAĆ JAKO PL-B-132
PL-X-002,B8,Hurtownia Papierosów Śląsk i Zagłębie,PL,Brzeziny,"ul. Adama Mickiewicza 17, 95-060",hurtownia-papierosow.pl,,biuro@hurtownia-papierosow.pl,+48 32 555 22 00,hurtownik,duży,hurt B2B regionalny,4,"Dodany jako PL-B-133. KRS API potwierdzone: HURTOWNIA PAPIEROSÓW SP. Z O.O., KRS 0000568420, NIP 8330002756, REGON 750004750. Siedziba Brzeziny, główna działalność hurtowa na Śląsku/Zagłębiu (Katowice, Sosnowiec, Dąbrowa Górnicza, Czeladź, Będzin, Wojkowice). Przychody 24M PLN (2025), kapitał 66.5k PLN. Prezes: Andrzej Gryglak. Prokurenta: Ewa Gryglak.",web search 2026-08-19 → KRS API + rejestr.io 2026-09-03,2026-09-03,✅ FROZEN (KRS API),✅ DODAĆ JAKO PL-B-133
PL-X-003,B8,Alans,PL,Ruda Śląska,"ul. Pionierów 31, 41-711",alans.pl,,f.h.alans@gmail.com,+48 32 240 22 26,hurtownik,średni,hurt + detal,3,"Dodany jako PL-B-134. CEIDG API potwierdzone: FH ALANS Wioletta Skoczylas, NIP 6412116985, AKTYWNY od 2004-07-01. Asortyment: papierosy, tytoń, cygara, e-papierosy, liquidy, podgrzewacze tytoniu z wkładami.",web search 2026-08-19 → CEIDG API 2026-09-03,2026-09-03,✅ FROZEN (CEIDG API),✅ DODAĆ JAKO PL-B-134
PL-X-004,B8,KDWT S.A. Hurtownia,PL,Komorniki,Wiśniowa 11, 62-052,,kdwt.com.pl,opole@kdwt.com.pl,+48 77 402 70 51,hurtownik,duży,hurt B2B ogólnopolski (12+ oddziałów),3,"⚠️ OSTRZEŻENIE: Oryginalny KRS 0000040385 (KDWT S.A.) — WYKREŚLONY z KRS 2014-12-11. Następca prawny: KDWT S.A. KRS 0000801461 (spółka Eurocash, siedziba Komorniki). NIP 7772304755, REGON 631255378. Multi-branch (Opole, Olsztyn, Lębork, Zgorzelec, Zawiercie). PKD 46.35.Z.",web search 2026-08-19 → KRS API 2026-09-03,2026-09-03,⚠️ PARTIAL (DISSOLVED LEGAL ENTITY — multi-branch obecny)
PL-X-005,B8,Almark,PL,Leszno,"ul. Okrężna 25, 64-100",almark.pl,,biuro@almark.pl,+48 65 526 69 45,hurtownik,duży,hurt B2B + 13 oddziałów,3,"Dodany jako PL-B-135. KRS API potwierdzone: ALMARK J. STAJER SPÓŁKA KOMANDYTOWA, KRS 0000331276, NIP 6972257505, REGON 301120524, AKTYWNA. 13 oddziałów w całej Polsce. Główna siedziba Leszno + oddział Szamotuły (Składowa 1). PKD 46.35.Z. Branża FMCG + TYTOŃ (papierosy, tytoń, gilzy). Przychody 2024 ~50M PLN.",web search 2026-08-19 → KRS API 2026-09-03,2026-09-03,✅ FROZEN (KRS API),✅ DODAĆ JAKO PL-B-135
PL-X-006,B8,Atutbis,PL,Września,"ul. Paderewskiego 69, 62-300",atutbis.pl,,wrzesnia@atutbis.pl,+48 61 436 60 20,hurtownik,duży,budownictwo / stolarka,0,"⚠️ ODRZUCONY: KRS API potwierdzone: ATUT BIS SP. Z O.O., KRS 0000244646, NIP 7891652534 — ale to salon okien, drzwi, bram i materiałów budowlanych, NIE TYTOŃ! Błędna klasyfikacja w oryginale. Baza-firm myli nazwy. Prawdziwa domena atutbis.pl należy do budowlanki.",web search 2026-08-19 → KRS API 2026-09-03,2026-09-03,❌ WRONG CATEGORY (budownictwo, nie tytoń) — REJECTED
PL-X-007,B8,FH Beata,PL,Wołomin,"ul. Moniuszki 14, 05-200",beata.waw.pl,,hurtownia@beata.waw.pl,+48 22 787 90 89,hurtownik,średni,hurt + detal,3,"Dodany jako PL-B-136. CEIDG API potwierdzone: BEATA - Hurtownia Papierosów Robert Stróżyński, NIP 1250446200, REGON 010663916, AKTYWNY od 1993-04-01. Asortyment: papierosy różnych marek, akcesoria. Mazowieckie.",web search 2026-08-19 → CEIDG API 2026-09-03,2026-09-03,✅ FROZEN (CEIDG API),✅ DODAĆ JAKO PL-B-136
PL-X-008,B8,Smart sp. z o.o.,PL,Szembekowo,—,—,,—,—,hurtownik,—,—,2,Brak danych w publicznych źródłach. Zbyt mało info do weryfikacji.,web search 2026-08-19,2026-09-03,⚠️ DO-WERYFIKACJI (web) — INSUFFICIENT DATA,❌ NIE DODAWAĆ bez NIP
PL-X-009,B8,Marwin Polska,PL,Kraków,—,—,,—,—,hurtownik,—,—,3,Brak NIP/KRS/CEIDG w publicznych źródłach. Zbyt mało info do weryfikacji. Prawdopodobnie drobna firma.,web search 2026-08-19,2026-09-03,⚠️ DO-WERYFIKACJI (web) — INSUFFICIENT DATA,❌ NIE DODAWAĆ bez NIP
PL-X-010,B8,PPHU HITPOL,PL,Świlcza k. Rzeszowa,—,—,,—,—,hurtownik,—,—,3,Brak NIP/KRS/CEIDG w publicznych źródłach. Zbyt mało info do weryfikacji.,web search 2026-08-19,2026-09-03,⚠️ DO-WERYFIKACJI (web) — INSUFFICIENT DATA,❌ NIE DODAWAĆ bez NIP
