kraj,id,kategoria,nazwa,miasto,adres,www,www_status,email,telefon,tier,wolumen,kanal_sprzedaży,powinowactwo_nabijarki,notatki,zrodlo_danych,data_weryfikacji,flagi
PL-X-001,B8,MONA Sp.j.,PL,Łódź,,mona.com.pl,,—,—,hurtownik,—,4,3,"Dystrybutor FMCG + tytoń. Weryfikacja: brak pełnego adresu, telefonu, emaila. | Profil: dystrybutor FMCG/tytoń",web search 2026-08-19,2026-08-19,⚠️ DO-WERYFIKACJI (web)
PL-X-002,B8,Hurtownia Papierosów Śląsk i Zagłębie,PL,Katowice,,hurtownia-papierosow.pl,,—,—,hurtownik,—,4,3,Regionalna hurtownia papierosów.,web search 2026-08-19,2026-08-19,⚠️ DO-WERYFIKACJI (web)
PL-X-003,B8,Alans,PL,Ruda Śląska,,alans.pl,,—,+48 32 240 22 26,hurtownik,—,4,3,Hurtownia wielobranżowa z asortymentem tytoniowym. | Profil: hurtownia wielobranżowa + tytoń,web search 2026-08-19,2026-08-19,⚠️ DO-WERYFIKACJI (web)
PL-X-004,B8,KDWT S.A. Hurtownia,PL,Olsztyn,,kdwt.com.pl,,—,+48 89 537 0…,hurtownik,—,4,3,Hurtownia wyrobów tytoniowych w Olsztynie.,web search 2026-08-19,2026-08-19,⚠️ DO-WERYFIKACJI (web)
PL-X-005,B8,Almark,PL,Szamotuły,,almark.pl,,—,+48 61 292 29 24,hurtownik,—,4,3,Hurtownia wyrobów tytoniowych — Wielkopolska.,web search 2026-08-19,2026-08-19,⚠️ DO-WERYFIKACJI (web)
PL-X-006,B8,Atutbis,PL,Września,,atutbis.pl,,—,—,hurtownik,—,3,3,Hurtownia tytoniowa — Wielkopolska.,web search 2026-08-19,2026-08-19,⚠️ DO-WERYFIKACJI (web)
PL-X-007,B8,FH Beata,PL,Wołomin,,beata.waw.pl,,—,+48 22 787 90 89,hurtownik,—,3,3,Hurtownia tytoniu — mazowieckie.,web search 2026-08-19,2026-08-19,⚠️ DO-WERYFIKACJI (web)
PL-X-008,B8,Smart sp. z o.o.,PL,Szembekowo,,—,,—,—,hurtownik,—,2,2,Mała hurtownia regionalna — weryfikacja: brak danych kontaktowych.,web search 2026-08-19,2026-08-19,⚠️ DO-WERYFIKACJI (web)
PL-X-009,B8,Marwin Polska,PL,Kraków,,—,,—,—,hurtownik,—,3,3,Hurtownia wyrobów tytoniowych — Małopolska.,web search 2026-08-19,2026-08-19,⚠️ DO-WERYFIKACJI (web)
PL-X-010,B8,PPHU HITPOL,PL,Świlcza k. Rzeszowa,,—,,—,—,hurtownik,—,3,3,PPHU dystrybuująca wyroby tytoniowe.,web search 2026-08-19,2026-08-19,⚠️ DO-WERYFIKACJI (web)
PL-X-011,B8,PHU BJB Sp. z o.o.,PL,Koszalin,,—,,—,—,hurtownik,—,3,3,Dystrybutor papierosów — Pomorze.,web search 2026-08-19,2026-08-19,⚠️ DO-WERYFIKACJI (web)
PL-X-012,B8,Polityka w Sieci Marta Fedorowicz,PL,Częstochowa,,—,,—,—,hurtownik,—,2,2,Hurtownia tytoniowa — śląskie.,web search 2026-08-19,2026-08-19,⚠️ DO-WERYFIKACJI (web)
PL-X-013,B8,TabakOnline.com,PL,online,,tabakonline.com,,—,—,hurtownik,—,3,3,Hurtownia tytoniowa online — brak danych telefonicznych.,web search 2026-08-19,2026-08-19,⚠️ DO-WERYFIKACJI (web)
PL-X-014,B8,FH Eduard Halynskyi,PL,Olsztyn,,—,,—,—,hurtownik,—,2,2,Mała hurtownia tytoniu — warmińsko-mazurskie.,web search 2026-08-19,2026-08-19,⚠️ DO-WERYFIKACJI (web)
PL-X-015,B8,Alicja FH Konieczny A.,PL,Olsztyn,,—,,—,—,hurtownik,—,2,2,Mała hurtownia tytoniu — warmińsko-mazurskie.,web search 2026-08-19,2026-08-19,⚠️ DO-WERYFIKACJI (web)
PL-X-016,B8,F.H. Alans (Art. tytoniowe),PL,Ruda Śląska,"ul. Pionierów 31, 41-711",alans.pl,,f.h.alans@gmail.com,+48 32 240 22 26,hurtownik,średni,hurt,3,Hurtownia wyrobów tytoniowych + detal. Śląsk. Brak NIP/KRS w publicznych źródłach.,web search 2026-09-03,2026-09-03,⏳ PENDING_REGISTRY
PL-X-017,B8,Drek Hurtownia Gilz Papierosowych i Akcesoriów,PL,Radom,"ul. Kalińska 6/6a, 26-600",,,,+48 504 083 360,hurtownik,mały,hurt + detal,4,"Hurtownia gilz + akcesoria tytoniowe. Radom. Brak NIP/KRS/CEIDG w publicznych źródłach (strona mała, bez danych firmowych).",web search 2026-09-03,2026-09-03,⏳ PENDING_REGISTRY
PL-X-018,B8,Dopalenia.pl / GABIMIX (już w master PL-B-003),PL,Konstantynów Łódzki,"pl. Kościuszki 20, 95-050",dopalenia.pl,,sklep@dopalenia.pl,+48 665 852 033,hurtownik,mały,hurt + e-com,5,"Już zweryfikowany PL-B-003 — wpis dodany dla porządku, NIP 7311693836. Cross-sell PowerMatic potwierdzony (asortyment obejmuje PowerMatic III).",web search 2026-09-03,2026-09-03,⚠️ DUPLICATE (already PL-B-003)
