region_kod,region_nazwa,region_typ,related_to,rok_zalozenia,id_unikalne,kategoria,nazwa_firmy,kraj,miasto,adres,nip_vat,rejestr_id,www,kanal_zamiennik,email,telefon,linkedin,facebook,instagram,tiktok,tier,marki_nabijarki,marka_wlasna_oem,sourcing,wolumen,confidence_wolumen,kanal_sprzedaży,powinowactwo_nabijarki,cross_sell_potential,decydent,stanowisko,email_decydent,zrodlo_danych,data_weryfikacji,flagi,notatki,rynek_skala,_krs
WP,wielkopolskie,województwo,,2023,PL-A-WP-001,A1,BILLS SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,PL,Ostrzeszów,"ul. Ignacego Daszyńskiego 31, 63-500",PL5140361901,KRS 0001074645,https://www.bills.pl,brak,finanse@bills.pl,+48 62 586 07 38,brak,brak,brak,,wyłączność,"PowerMatic, SMOKS tobacco aromas, Intenze e-liquid",nie,Polska producent (PowerMatic via PL/CCE exclusive),duży 🟢,exclusive PL+CEE (BILLS),bills.pl,brak,n/a,n/a,Marceli,właściciel/CEO,KRS API + NIP + www.bills.pl + VIES | VIES confirmed 2026-08-11T00:18:52.937Z | KRS API 0001074645 (partial),2026-08-10,QS: 90/100 | ✅VIES ✅KRS✓ 2026-08-12 ✅ FROZEN (API),✅🐋,duży,0001074645
KP,kujawsko-pomorskie,województwo,,2004,PL-A-KP-001,A5,BISTA STANDARD SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,PL,Bydgoszcz,"ul. Smoleńska 29, 85-871",PL5542559901,KRS 0000197822,https://bista.pl,brak,brak,brak,brak,bistastandard,bistastandard,,producent,"Dark Horse, FERN (własne marki)",tak (Dark Horse + FERN),Polska producent,duży 🟡,eksport do 70 krajów,Intertabac wystawca,brak,n/a,Adam Jacek Stawowski,Prezes Zarządu / Chairman,brak,KRS API + VIES | KRS API 0000197822 (partial),2026-08-10,QS: 80/100 | 🔁dual ✅KRS✓ 2026-08-12 ✅ FROZEN (API),🐋🔍 | dual-class: BISTA=A5 producer (Dark Horse/FERN OEM) + B8 hurtownik — keep in both per dual-business model,duży,0000197822
MZ,mazowieckie,województwo,,,PL-A-MZ-002,A4,E-TABAK SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,PL,Piaseczno,"ul. Kościuszki 4, 05-500 Piaseczno",PL1231543801,KRS 0001068075,https://e-tabak.pl,sieć 25+ sklepów + Allegro,biuro@e-tabak.pl,+48 573 180 220,brak,brak,brak,,marki własne + SMOK/VooPoo/Aspire/Vaporesso,do weryfikacji,import (Chiny + UE),duży 🟢 (sieć 25+ sklepów),✅,e-commerce + 25+ sklepów stacjonarnych,brak,n/a,do ustalenia (zarząd KRS — właściciel niejawny),prezes zarządu,brak,brak,KRS API + VIES | VIES confirmed 2026-08-11T00:18:50.580Z | KRS API 0001068075 (partial),2026-08-10,QS: 90/100 | KRS API + VIES + e-tabak.pl + aplikuj.pl ✅VIES ✅KRS✓ 2026-08-12 ✅ FROZEN (API),KRS i NIP zgodne z listą. Brak innych danych. Rejestracja 2023-11-07. Weryfikacja co konkretnie sprzedaje i skąd importuje,"Sieć 25+ sklepów vape/CBD/e-papierosy/shisha w woj. mazowieckim, lubelskim i wielkopolskim (Piaseczno, Pruszków, Góra Kalwaria, Konstancin-Jeziorna, Garwolin, Warszawa, Tomaszów Lubelski, Zamość, Hrubieszów, Grodzisk Maz., Józefosław, Grójec, Mińsk Maz., Poznań, Józefów, Radom, Kozienice, Chełm, Dęblin, Pionki, Węgrów, Siedlce). PKD: 47.26.Z detal tytoń + 46.39.Z hurt + 47.91.Z internet. Rejestracja 2023-11-07. ⚠️ Nie maszynki wprost, ale jest topowy kandydat cross-sell (sieć sklepów z akcesoriami dla palaczy) — kanał sprzedaży dla PM/Hawk.",0001068075
PM,pomorskie,województwo,,,PL-A-PM-002,A4,Trober Polska Patrick Chrabkowski,PL,Kaliska,"ul. Firmowa 2, 83-260 Kaliska",5922192789,,https://trober-polska.pl/,,biuro@trober-polska.pl; anna.skarbek@troeber.com,+48 58 587 85 14; +48 502 323 283,,,,,autoryzowany,,,Chiny,średni,🟢,B2B only,,,Patrick Chrabkowski / Właściciel | Anna Skarbek / Kontakt sprzedażowy Polska,,,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:18:34.190Z,,QS: 90/100 | 🔍 ✅VIES 2026-08-12 ✅ FROZEN (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; kompetencje importowo-dystrybucyjne. | orig_uwagi: Silny kandydat dystrybucyjny z szerokim asortymentem komplementarnym. | Status źródłowy: Zweryfikowany — aktywna strona | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=96 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki'",duży,
MZ,mazowieckie,województwo,,,PL-A-MZ-001,A4,Prosmoker Jarosław Szulc,PL,Warszawa,"ul. Korkowa 167/204, 04-549 Warszawa",1132559176,,https://www.prosmoker.pl/,,prosmokerhurt@gmail.com,+48 507 208 897; +48 690 328 062,,,,,reseller,,,mix,średni,🟢,mix,,,,,,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:18:24.796Z,,QS: 90/100 | 🔍 ✅VIES 2026-08-12 ✅ FROZEN (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Dobry lead cross-category: istniejąca baza klientów vape może kupować akcesoria RYO/MYO. | Status źródłowy: Zweryfikowany — aktywna strona | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=91 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki'",duży,
WP,wielkopolskie,województwo,,,PL-A-WP-002,A4,I-WANT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,,"Magazynowa 10, 62-030 Luboń",7831904759,KRS 0001107505,https://i-want.pl,,hurt@i-want.pl,+48 500 528 972; +48 513 954 493 wew. 4,,,,,reseller,,,mix,mały,🟢,B2B only,,,Dział hurtowy,Sprzedaż B2B,,KRS API / CEIDG API + web search 2026-08-12,,"QS: 90/100 | 🔍 ✅VIES [KRS_FIXED: KRS 0001107505] [WRONG_CATEGORY: AGD/RTV importer, not tobacco] 2026-08-12 ✅ FROZEN (API)","orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny. | orig_uwagi: Nie potwierdzone | Status źródłowy: Dostępny w katalogu | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=84 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | renamed: trade-name=i-Want! (Hurtownia i-Want!) → official=I-WANT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ per VIES",duży,
,Nieustalony,,,,PL-A-XX-035,A4,PIOTR KRĘTOWSKI,PL,,Polska (Adres w rejestrze KRS/CEIDG),5422935796,,https://www.intersmokerhurt.pl,,kontakt@intersmokerhurt.pl,154140039,,,,,reseller,,,mix,,🔴,B2B only,,,,,,KRS API / CEIDG API + web search 2026-08-10,,QS: 90/100 | 🔍 ✅VIES 2026-08-12 ✅ FROZEN (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Dodane na prośbę użytkownika z wyników wyszukiwania (e-papierosy / nabijarki). | Status źródłowy: Aktywny | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=50 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | renamed: trade-name=Intersmokerhurt → official=PIOTR KRĘTOWSKI per VIES",duży,
,Nieustalony,,,,PL-A-XX-039,A4,GRZEGORZ MUŻYK,PL,,Polska (Adres w rejestrze KRS/CEIDG),6312426137,,https://www.epapierosy-hurt.pl,,j@email.com,177334242,,,,,reseller,,,mix,,🔴,B2B only,,,,,,KRS API / CEIDG API + web search 2026-08-10,,QS: 90/100 | 🔍 ✅VIES 2026-08-12 ✅ FROZEN (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Dodane na prośbę użytkownika z wyników wyszukiwania (e-papierosy / nabijarki). | Status źródłowy: Aktywny | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=50 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | renamed: trade-name=Epapierosy Hurt → official=GRZEGORZ MUŻYK per VIES",duży,
,Nieustalony,,,,PL-A-XX-042,A4,JAKUB KRAWCZYK,PL,,Polska (Adres w rejestrze KRS/CEIDG),4990696800,,https://www.drkonopny.pl,,biuro@drkonopny.pl,162746852,,,,,reseller,,,mix,,🔴,B2B only,,,,,,KRS API / CEIDG API + web search 2026-08-10,,QS: 90/100 | 🔍 ✅VIES 2026-08-12 ✅ FROZEN (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Dodane z wyników wyszukiwania dla niszowych słów (Powermatic, Shisha, bletki). | Status źródłowy: Aktywny | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=50 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | renamed: trade-name=Drkonopny → official=JAKUB KRAWCZYK per VIES",duży,
,Nieustalony,,,,PL-A-XX-043,A4,PIOTR MOŁONIEWICZ,PL,,Polska (Adres w rejestrze KRS/CEIDG),1132986837,,https://www.cybuchshisha.pl,,sklep@cybuchshisha.pl,178213104,,,,,reseller,,,mix,,🔴,B2B only,,,,,,KRS API / CEIDG API + web search 2026-08-10,,QS: 90/100 | 🔍 ✅VIES 2026-08-12 ✅ FROZEN (API),"orig_uzasadnienie: Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek. | orig_uwagi: Dodane z wyników wyszukiwania dla niszowych słów (Powermatic, Shisha, bletki). | Status źródłowy: Aktywny | orig_next: Zweryfikować dane, produkty i status B2B przed kontaktem | user_orig_priorytet='C — weryfikacja i nurturing' | user_orig_score=50 | user_orig_segment='S1 — RYO/MYO, gilzy i nabijarki' | renamed: trade-name=Cybuchshisha → official=PIOTR MOŁONIEWICZ per VIES",duży,
