region_kod,region_nazwa,region_typ,related_to,rok_zalozenia,id_unikalne,kategoria,nazwa_firmy,kraj,miasto,adres,nip_vat,rejestr_id,www,kanal_zamiennik,email,telefon,linkedin,facebook,instagram,tiktok,tier,marki_nabijarki,marka_wlasna_oem,sourcing,wolumen,confidence_wolumen,kanal_sprzedaży,powinowactwo_nabijarki,cross_sell_potential,decydent,stanowisko,email_decydent,zrodlo_danych,data_weryfikacji,flagi,notatki,rynek_skala,_krs
LB,lubuskie,województwo,,2005,PL-B-LB-001,B6,CK COMPLEX SPÓŁKA Z OGRANICZONA ODPOWIEDZIALNOŚCIĄ,PL,Zielona Góra,"ul. Naftowa 4, 65-705",PL9291744080,KRS 0000237218,https://ckcomplex.pl,brak,info@ckcomplex.pl,+48 68 452 12 30,linkedin.com/company/ck-complex-sp.-z-o.o.,CKComplex,ckcomplexspzoo,,reseller,nie (tylko vape/elektronika),"tak (SPARK, CK Lighters, Hotlight)",Chiny (import),duży 🟢,hurtownia + sieć 100+ sklepów własnych,3,brak,n/a,Paweł Szymański,Prezes Zarządu,brak,KRS API + web search + VIES | VIES confirmed 2026-08-11T00:19:10.115Z | KRS API 0000237218 (partial),2026-08-10,QS: 90/100 | 🐋 ✅VIES ✅KRS✓ 2026-08-12 ✅ FROZEN (API),Sieć 100+ sklepów vape. Dystrybutor SMOK/VooPoo/Aspire/Vaporesso. Kapitał 50k PLN. Rejestracja 2005. PKD 4690Z (hurt niewyspecjalizowana). Kandydat cross-sell jeśli któryś z jego sklepów chce rozszerzyć o asortyment,duży,0000237218
ZP,zachodniopomorskie,województwo,,,PL-B-ZP-001,B4,F.H.U. ALPIK RYSZARD TRZCIŃSKI (brand: BongoGo.pl),PL,Szczecin,"ul. Bolesława Krzywoustego 51, 70-317",PL9551541914,JDG (CEIDG),https://bongogo.pl,Allegro shop,kontakt@bongogo.pl,+48 601 779 697,brak,BongoGoPL,bongogo,,detalista,nie,nie,do weryfikacji,mały 🟡,sklep stacjonarny + hurtownia,5,średni,Ryszard Trzciński,właściciel,brak,CEIDG API + web search,CEIDG API + web search + VIES | VIES confirmed 2026-08-11T00:19:13.918Z,2026-08-10,QS: 90/100 | 🟢 ✅VIES 2026-08-12 ✅ FROZEN (API),"Brand BongGo.pl = F.H.U. ALPIK. Sklep stacjonarny w Szczecinie, panel hurtowy dla firm. Powiązany z bongosklep.firmy.net. Weryfikacja czy importuje maszynki - prawdopodobnie tak (panel hurtowy sugeruje) ⚠️ DO-WERYFIKACJI",duży,
LD,łódzkie,województwo,,,PL-B-LD-001,B4,GABIMIX KRZYSZTOF JASZCZAK (brand: Dopalenia.pl),PL,Konstantynów Łódzki,"pl. Kościuszki 20, 95-050",PL7311693836,JDG (CEIDG),https://www.dopalenia.pl,Allegro shop,sklep@dopalenia.pl,+48 665 852 033,brak,dopalenia,brak,,detalista,nie,nie,do weryfikacji,mały 🟡,sklep + hurtownia,5,wysoki,Krzysztof Jaszczak,właściciel,brak,CEIDG + web search,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:02.088Z,2026-08-10,QS: 90/100 | 🟢 ✅VIES 2026-08-12 ✅ FROZEN (API),Brand Dopalenia.pl = Gabimix. Strona + hurtownia. Prawdopodobnie sprzedaje maszynki (typowy asortyment sklepu tytoniowego). Status AKTYWNY w CEIDG. Kandydat cross-sell ⚠️ DO-WERYFIKACJI,duży,
ZP,zachodniopomorskie,województwo,,2011,PL-B-ZP-002,B8,POLSKA GRUPA TYTONIOWA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,PL,Wierzbnica (pow. myśliborski),"Wierzbnica 63A, 74-300 Myślibórz",PL4980260426,KRS 0000396744,http://polskagt.pl,biuro oddziałów,biuro@polskagt.pl,+48 502 399 832,brak,polskagt,polskagt_pl,,hurtownik,nie,nie,Polska (dystrybucja od 2002),duży 🟢,hurtownia ogólnopolska + biuro Piekary Śląskie (Bytomska 359),5,wysoki,Robert Biela (33% udziałów) + Barbara Urcus-Wargocka (33%) + Robert Rutkowski (33%),wspólnicy (równe udziały),biuro@polskagt.pl,KRS API + polskagt.pl + krs-online.com,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:18:52.103Z | KRS API 0000396744,2026-08-10 ✅ FROZEN (API),"QS: 90/100 | 🐋 OGÓLNOPOLSKA hurtownia tytoniowa + akcesoria do palenia. Dystrybucja od 2002 (JDG → sp.k. 2020 → sp. z o.o. aktywna 2011). Siedziba: Wierzbnica 63A, 74-300 Myślibórz. Biuro/oddział: Piekary Śląskie, Bytomska 359 (NIP 4980260426). Oddziały operacyjne: Myślibórz, Bydgoszcz, Łódź, Warszawa, Piekary Śląskie. Kapitał 5k zł. 3 wspólników po 328 udziałów. Marki papierosów: brak w ofercie (hurtownia). NOT IN USER LIST - Wysoki kandydat cross-sell. ⚠️ Sp. z o.o. (KRS 0000396744) ≠ dawna sp.k. (KRS 0000848352, WYKREŚLONA 2021) — rozróżnić. ⚠️ Poprzedni wpis miał błędne dane: Bydgoszcz, Pińczowska 8, JDG — to adres biura, NIE siedziba ✅VIES ✅KRS 2026-08-12 ✅ FROZEN (API)",duży,,0000396744
XX,Polska,województwo,brak,brak,PL-B-XX-010,B8,DRV DISTRIBUTION Sp. z o.o.,PL,Lubartów,Lubartów (dokładny adres do weryfikacji),PL7142066366,KRS 0001190453,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,4,średni,do ustalenia (zarząd KRS),Jakub Golonka,Prezes / CEO,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:00.531Z | KRS API 0001190453,2026-08-10,QS: 75/100 | ✅VIES ✅KRS 2026-08-12 ✅ FROZEN (API),"KRS API: 0001190453, NIP 7142066366, REGON 54258176700000, siedziba LUBARTÓW (LUBELSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży,0001190453
XX,Polska,województwo,brak,brak,PL-B-XX-011,B8,VTP Sp. z o.o.,PL,Lublin,Lublin (dokładny adres do weryfikacji),PL9462714112,KRS 0000948471,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,4,średni,do ustalenia,Michał Piskor,Dział Eksportu,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:10.798Z | KRS API 0000948471,2026-08-10,QS: 75/100 | ✅VIES ✅KRS 2026-08-12 ✅ FROZEN (API),"KRS API: 0000948471, NIP 9462714112, REGON 52101734200000, siedziba LUBLIN (LUBELSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży,0000948471
XX,Polska,województwo,brak,brak,PL-B-XX-012,B8,TABASCO VAPE TABAS SPÓŁKA KOMANDYTOWA,PL,Rzeszów,Rzeszów (dokładny adres do weryfikacji),PL5170445620,KRS 0001093977,b2b.tabascovape.pl,brak,biuro@tabascovape.pl,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,wysoki,do ustalenia,DANIEL BARTŁOMIEJ TABAS,komplementariusz,biuro@tabascovape.pl,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:18:53.653Z | KRS API 0001093977,2026-08-10,QS: 80/100 | ✅VIES ✅KRS 2026-08-12 ✅ FROZEN (API),"KRS API: 0001093977, NIP 5170445620, REGON 52806034100000, siedziba RZESZÓW (PODKARPACKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży,0001093977
XX,Polska,województwo,brak,brak,PL-B-XX-013,B8,Flowrolls Sp. z o.o.,PL,Gdynia,Gdynia (dokładny adres do weryfikacji),PL5252782453,KRS 0000774565,brak,brak,info@flowrolls.pl,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,wysoki,do ustalenia,Michał Piotr Kuźnik,Prezes Zarządu,info@flowrolls.pl,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:18:55.184Z | KRS API 0000774565,2026-08-10,QS: 80/100 | ✅VIES ✅KRS 2026-08-12 ✅ FROZEN (API),"KRS API: 0000774565, NIP 5252782453, REGON 38271953100000, siedziba GDYNIA (POMORSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży,0000774565
XX,Polska,województwo,brak,brak,PL-B-XX-014,B8,BIODIO LAB Sp. z o.o.,PL,Białystok,Białystok (dokładny adres do weryfikacji),PL5423393334,KRS 0001074861,brak,brak,brak,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,4,średni,do ustalenia,Izabela Wojciuk,Prezes,brak,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:18:56.604Z | KRS API 0001074861,2026-08-10,QS: 75/100 | ✅VIES ✅KRS 2026-08-12 ✅ FROZEN (API),"KRS API: 0001074861, NIP 5423393334, REGON 38543583400000, siedziba BIAŁYSTOK (PODLASKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży,0001074861
XX,Polska,województwo,brak,brak,PL-B-XX-015,B8,WEEDPOL Sp. z o.o.,PL,Katowice,Katowice (dokładny adres do weryfikacji),PL9542835071,KRS 0000922075,www.weedpol.pl,brak,postmaster@weedpol.pl,brak,brak,brak,brak,brak,hurtownik,brak,brak,brak,brak,brak,5,wysoki,do ustalenia,brak,brak,postmaster@weedpol.pl,KRS API / CEIDG API + web search 2026-08-10 | VIES confirmed 2026-08-11T00:19:13.192Z | KRS API 0000922075,2026-08-10,QS: 80/100 | ✅VIES ✅KRS 2026-08-12 ✅ FROZEN (API),"KRS API: 0000922075, NIP 9542835071, REGON 52093491200000, siedziba KATOWICE (ŚLĄSKIE). Kapitał: ? PLN. Do weryfikacji: pełny adres (ulica, nr), decydent, kanał sprzedaży, asortyment (czy mają maszynki do tytoniu).",duży,0000922075
