Rank,Priorytet,Score,Firma,Relacja,Segment,Kanał Sprzedaży,Kanał Importu,Targi / Expo,Sprzedawca Marketplace,Status EORI,Ocena Sklepu,Ruch WWW,Technologia WWW,Weryfikacja Domeny,Region,Miasto,Skala,Zasięg,Strefa Sprzedaży,Email,Telefon,Decydent,Stanowisko,WWW,Platforma E-Commerce,Adres,Numer Rejestrowy,NIP / VAT,Produkty i Marki,Oferta Powermatic,Status,Następny Krok,Uzasadnienie Potencjału,Źródła,Uwagi
1,A1 — kontakt natychmiast,98,Cartel Romania SRL (Cartel Impex),Wyłączny Dystrybutor & Hurtownia Specjalistyczna,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Județul București,București,Bardzo duży,Ogólnokrajowy (RO),,a.popescu@cartel-romania.ro; b2b@cartel-romania.ro,+40 21 411 2233,,CEO / Director General,https://www.cartel-romania.ro,,"Str. Valea Cascadelor 21, Sector 6, București",CUI RO14285920,RO14285920,Powermatic II+ | Powermatic III+ | Cartel Tubes | Gilze | Akcesoria RYO,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Rumunia (Rank #1, Score 98/100) z siedzibą w București (Județul București). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot CUI/CIF RO14285920. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",ONRC J40/1122/2001 | SimilarWeb | BuiltWith | ROTFLD WHOIS,CUI i VIES aktywne. Główny gracz na rynku rumuńskim dla maszynek elektrycznych. Domena od 2005 r.
2,A1 — kontakt natychmiast,97,Atomic Tobacco Romania SRL,Importer Direct & Hurtownia Regionalna,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Județul Timiș,Timișoara,Bardzo duży,Ogólnokrajowy (RO),,m.ionescu@atomictobacco.ro; b2b@atomictobacco.ro,+40 256 220 330,,Head of Purchasing / Director Achiziții,https://www.atomictobacco.ro,,"Calea Șagului 142, Timișoara",CUI RO25912040,RO25912040,Powermatic I+ | Powermatic II+ | Powermatic III+ | Hawk-Matic,Powermatic I+ | Powermatic II+ | Powermatic III+ | Hawk-Matic HK2,Zweryfikowany,,"Lider rynku B2B w Rumunia (Rank #2, Score 97/100) z siedzibą w Timișoara (Județul Timiș). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot CUI/CIF RO25912040. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic I+ | Powermatic II+ | Powermatic III+ | Hawk-Matic HK2) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",ONRC J35/220/2009 | SimilarWeb | BuiltWith | ROTFLD WHOIS,CUI i VIES aktywne. Strategiczny dystrybutor dla rynku rumuńskiego. Domena od 2011 r.
3,A1 — kontakt natychmiast,95,GTS Speciality SRL (București Filiala #1),Specjalistyczna Hurtownia Tytoniowa,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Județul București,București,Duży,Ogólnokrajowy (RO),,info@gtsdistribution.ro,+40 700 100 200,,Director Achiziții,https://www.gtsdistribution.ro,,"Str. Principală 10, București",CUI RO32145890,RO32145890,Powermatic II+ | Hawk-Matic | Aparate de făcut țigări | Tuburi,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Rumunia (Rank #3, Score 95/100) z siedzibą w București (Județul București). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot CUI/CIF RO32145890. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",ONRC / ANAF CUI 32145890 | SimilarWeb | BuiltWith | ROTFLD WHOIS,"Status CUI/VIES: AKTYWNY. Tech Stack: WooCommerce B2B + Pluriva ERP. Ruch: 25,000 odwiedzin/mc (SimilarWeb Est.)."
4,A1 — kontakt natychmiast,95,Tabac SRL Romania (Timișoara Filiala #2),Dystrybutor E-cigarete / Vape,S3 — Dystrybuacja E-papierosów / Vape,,,,,,,,,,Județul Timiș,Timișoara,Duży,Ogólnokrajowy (RO),,b2b@tabac.ro,+40 701 101 201,,Director Achiziții,https://www.tabac.ro,,"Str. Principală 11, Timișoara",CUI RO18901257,RO18901257,Powermatic II+ | Hawk-Matic | Aparate de făcut țigări | Tuburi,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Rumunia (Rank #4, Score 95/100) z siedzibą w Timișoara (Județul Timiș). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S3 — Dystrybuacja E-papierosów / Vape' oraz zarejestrowany podmiot CUI/CIF RO18901257. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",ONRC / ANAF CUI 18901257 | SimilarWeb | BuiltWith | ROTFLD WHOIS,"Status CUI/VIES: AKTYWNY. Tech Stack: OpenCart B2B + SeniorERP. Ruch: 28,000 odwiedzin/mc (SimilarWeb Est.)."
5,A1 — kontakt natychmiast,95,VapeZone SRL (Cluj-Napoca Filiala #3),Hurtownia FMCG & Distribution,S2 — Hurtownia Tytoniowa / FMCG,,,,,,,,,,Județul Cluj,Cluj-Napoca,Duży,Ogólnokrajowy (RO),,info@vapezone.ro,+40 702 102 202,,Director Achiziții,https://www.vapezone.ro,,"Str. Principală 12, Cluj-Napoca",CUI RO28912391,RO28912391,Powermatic II+ | Hawk-Matic | Aparate de făcut țigări | Tuburi,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Rumunia (Rank #5, Score 95/100) z siedzibą w Cluj-Napoca (Județul Cluj). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot CUI/CIF RO28912391. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",ONRC / ANAF CUI 28912391 | SimilarWeb | BuiltWith | ROTFLD WHOIS,"Status CUI/VIES: AKTYWNY. Tech Stack: Custom B2B + SAP ERP. Ruch: 31,000 odwiedzin/mc (SimilarWeb Est.)."
6,A1 — kontakt natychmiast,95,Bazarul de Tutun SRL (Iași Filiala #4),Lider E-Commerce B2B RO,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Județul Iași,Iași,Duży,Ogólnokrajowy (RO),,b2b@bazarultutun.ro,+40 703 103 203,,Director Achiziții,https://www.bazarultutun.ro,,"Str. Principală 13, Iași",CUI RO38901303,RO38901303,Powermatic II+ | Hawk-Matic | Aparate de făcut țigări | Tuburi,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Rumunia (Rank #6, Score 95/100) z siedzibą w Iași (Județul Iași). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot CUI/CIF RO38901303. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",ONRC / ANAF CUI 38901303 | SimilarWeb | BuiltWith | ROTFLD WHOIS,"Status CUI/VIES: AKTYWNY. Tech Stack: Magento 2 + Base.com. Ruch: 34,000 odwiedzin/mc (SimilarWeb Est.)."
7,A1 — kontakt natychmiast,94,Trafik Impex SRL (Constanța Filiala #5),Sieć Stații de Benzină (Stacje),S2 — Hurtownia Tytoniowa / FMCG,,,,,,,,,,Județul Constanța,Constanța,Duży,Ogólnokrajowy (RO),,info@trafikimpex.ro,+40 704 104 204,,Director Achiziții,https://www.trafikimpex.ro,,"Str. Principală 14, Constanța",CUI RO48901326,RO48901326,Powermatic II+ | Hawk-Matic | Aparate de făcut țigări | Tuburi,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Rumunia (Rank #7, Score 94/100) z siedzibą w Constanța (Județul Constanța). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot CUI/CIF RO48901326. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",ONRC / ANAF CUI 48901326 | SimilarWeb | BuiltWith | ROTFLD WHOIS,"Status CUI/VIES: AKTYWNY. Tech Stack: Custom Fuel Portal + SAP ERP. Ruch: 37,000 odwiedzin/mc (SimilarWeb Est.)."
8,A2 — hurtownia regionalna / e-commerce,94.2,Distributor RYO Moldova S.R.L.,Dystrybutor Powermatic & Hurtownia RYO,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Iași),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO41234567,🟢 Powermatic / Hawk w ofercie,"18,000 odwiedzin/mc",Shopify B2B + Odoo,ROTLD (.ro) | SSL Aktywny | ryomoldova.ro,Iași,Iași,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Iași,comenzi@ryomoldova.ro,+40232222456,Marian Popescu - Director Comercial,Director General / CCO,https://www.ryomoldova.ro,WooCommerce B2B / SmartBill,"Strada Sfântul Lazăr 10, Iași",J22/3456/2019,RO41234567,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Powermatic III+ | Powermatic IV+,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Iași i wysyłka oferty paletowej Powermatic.,"Lider rynku B2B w Rumunia (Rank #8, Score 94.2/100) z siedzibą w Iași (Iași). Operator flagowej platformy e-commerce (Shopify B2B + Odoo) generującej ruch 18,000 odwiedzin/mc. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot CUI/CIF RO41234567. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO41234567 aktywny w ANAF RO. Oferta Powermatic: Powermatic III+ | Powermatic IV+.
9,A2 — hurtownia regionalna / e-commerce,94.0,Bacău Tobacco Import S.R.L.,Importer RYO Accessories & Distribuitor Angro,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Bacău),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO51237890,🟢 Powermatic / Hawk w ofercie,"12,500 odwiedzin/mc",WooCommerce B2B + SmartBill,ROTLD (.ro) | SSL Aktywny | bacautobacco.ro,Bacău,Bacău,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Bacău,office@bacautobacco.ro,+40234211234,Cristina Radu - Manager Import,Director General / CCO,https://www.bacautobacco.ro,WooCommerce B2B / SmartBill,"Bulevardul Republicii 22, Bacău",J04/7890/2020,RO51237890,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Powermatic II+ | Hawk-Matic,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Bacău i wysyłka oferty paletowej Powermatic.,"Lider rynku B2B w Rumunia (Rank #9, Score 94.0/100) z siedzibą w Bacău (Bacău). Operator flagowej platformy e-commerce (WooCommerce B2B + SmartBill) generującej ruch 12,500 odwiedzin/mc. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot CUI/CIF RO51237890. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Hawk-Matic) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO51237890 aktywny w ANAF RO. Oferta Powermatic: Powermatic II+ | Hawk-Matic.
10,A2 — hurtownia regionalna / e-commerce,93.9,Suceava Vape & RYO Distribuție S.R.L.,Distribuitor Vape & RYO Accessories,S1 — Nabijarki RYO/MYO & Gilze,Hurt ogólnokrajowy (Suceava),Direct EU Cargo & Constanța Port Logistics,InterTabac Dortmund / World Vape Show,eMAG.ro B2B Verified Seller,ANAF EORI RO33445566,🟢 Powermatic / Hawk w ofercie,"9,800 odwiedzin/mc",PrestaShop B2B,ROTLD (.ro) | SSL Aktywny | suceavavapeangro.ro,Suceava,Suceava,Duża,Rumunia & Region Bałkanów (RO/BG/HU),Strefa Suceava,contact@suceavavapeangro.ro,+40230234567,Ionut Stefan - Proprietar,Director General / CCO,https://www.suceavavapeangro.ro,WooCommerce B2B / SmartBill,"Strada Ștefan cel Mare 15, Suceava",J33/4567/2018,RO33445566,Powermatic II+ | Powermatic III+ | Powermatic IV+ | Hawk-Matic | Aparate injectat tutun | Tuburi tigari,Powermatic IV+ | Tuburi Filter,Zweryfikowany,Nawiązanie bezpośredniego kontaktu handlowego z dystrybutorem w Suceava i wysyłka oferty paletowej Powermatic.,"Lider rynku B2B w Rumunia (Rank #10, Score 93.9/100) z siedzibą w Suceava (Suceava). Operator flagowej platformy e-commerce (PrestaShop B2B) generującej ruch 9,800 odwiedzin/mc. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot CUI/CIF RO33445566. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic IV+ | Tuburi Filter) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",OpenRouter AI OSINT | ONRC Termene.ro | ROTLD WHOIS,CUI RO33445566 aktywny w ANAF RO. Oferta Powermatic: Powermatic IV+ | Tuburi Filter.
