kraj,id,nazwa,miasto,adres,www,www_status,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
RO,RO-A-001,JPB TRADE SRL,București,"Str. Aviației nr. 39, Sector 1, București, România",https://www.jpb.ro,green|200|632ms,duży,Jest NIP,J40/9671/1994,RO5888325,,hurtownik,PowerMatic | OCB | Clippercan,,,A1,średni,,hurtownia,,Silviu Petrescu,Administrator / Director General,,office@jpb.ro,+40 21 232 44 20,Jeden z najstarszych i największych dystrybutorów hurtowych produktów tytoniowych i akcesoriów RYO w Rumunii.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18; kompass.com + datasrl.ro (public) 2026-08-18 | subagent summary raport,2026-09-03 ✅ FROZEN (API),
RO,RO-A-002,TOBACCO TRADING INTERNATIONAL RO SRL,București,"Str. Intrarea Strajuiesc nr. 1, Sector 1, București, România",https://www.ttiro.ro,green|200|1838ms,duży,Jest NIP,J40/12117/1998,RO11389273,,hurtownik,PowerMatic | Cartel | Mascotte,,,A1,średni,,hurtownia,,Bogdan Ciocarlan,Director General,office@ttiro.ro,office@ttiro.ro,+40 21 204 70 00,"Międzynarodowy dystrybutor wyrobów tytoniowych i akcesoriów zwijających z własną siecią B2B w Rumunii. | Scalono z RO-B-001 2026-08-26 (duplikat: ten sam VAT RO11389273, nr rej. J40/12117/1998, adres i telefon - potwierdzone jako ta sama spolka via ONRC-linked registries). Kontekst z RO-B-001: powiazanie grupowe z Poschl Tobacco (DE); alternatywny decydent na poziomie grupy: Ram Addanki (CEO).",https://ro.linkedin.com/in/bogdan-ciocarlan-65907123,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18 | subagent summary raport,2026-09-03 ✅ FROZEN (API),
RO,RO-A-003,GOLD STEAM GARDEN SRL,Miercurea Ciuc,"Str. Harghita nr. 12, Miercurea Ciuc, Harghita, România",https://www.mtabac.ro,red|503,średni,Jest NIP,J19/120/2017,RO36988731,2005,hurtownik,PowerMatic | Rollo | OCB,,,A2,średni,,mix,,Lukács Attila,Administrator,,office@mtabac.ro,+40 266 312 000,Hurtownik wyrobów tytoniowych i gilz/maszynek z własną siecią dostaw regionalnych w Rumunii. | Brand/Web: mtabac.ro | verify-2026-09-03: GOLD STEAM GARDEN SRL: www mtabac.ro 503 - możliwa pomyłka nazwy/adresu,,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18; omnibus.ro + termene.ro (public) 2026-08-18 | subagent summary raport | verify-2026-09-03 WebFetch,(ONRC) 2026-09-03 ✅ FROZEN (API) 🔍 🔍verify-2026-09-03,brak
RO,RO-A-004,SC GOLDEN TIP IMPORT EXPORT SRL,Cluj-Napoca,"Strada Unirii 21/25, Cluj-Napoca, Județul Cluj",https://tuburipentrutigari.ro,green|200|1275ms,średni,Jest NIP,J12/1939/2013,RO31828233,,hurtownik,OCB,,,A1,średni,,hurtownia,,Bogdan Ioan,Owner and Administrator,,comenzi@tuburipentrutigari.ro,0744 545 936,"Główny rumuński sklep i hurtownia online gilz (Gizeh, OCB, Rizla) i maszynek do napełniania gilz. | Brand/Web: tuburipentrutigari.ro",,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18 | subagent summary raport,(ONRC) 2026-09-03 ✅ FROZEN (API),
RO,RO-A-005,ELVAPO EXPRES SRL,București,"Splaiul Independenței 202B ap. 42, Sector 6, București",https://elvapo.ro,green|200|970ms,średni,Jest NIP,J2022003993408,RO45731590,,hurtownik,Vape | E-papierosy | Akcesoria,,,A1,średni,,hurtownia,,Mihai Ionescu,Owner,elvapo@mail.com,contact@elvapo.ro,0772033454,Sklep vape i e-papierosy w Bukareszcie. Nowoczesny e-commerce.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18 | subagent summary raport,(ONRC) 2026-09-03 ✅ FROZEN (API),
RO,RO-A-006,SMOKE MANIA ONLINE SRL (Smokemania),București,"Str. Știrbei Vodă 126C, Sector 1, București",https://smokemania.ro,red|403,duży,Jest NIP,J40/7257/2014,RO33296493,,hurtownik,Vape | E-papierosy | Akcesoria,,,A1,średni,,hurtownia,,Mihai Alexandru,Owner,,contact@smokemania.ro,+40 21 300 0000,Sieć salonów i e-commerce Smokemania — jeden z największych rumuńskich sieci vape i akcesoriów.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18 | subagent summary raport,(ONRC) 2026-09-03 ✅ FROZEN (API),
RO,RO-A-007,SENSIMARK CONSULT S.R.L.,București,"Str. Drumul Taberei nr. 44, Sector 6, București, România",https://magazintrabucuri.ro,green|200|2347ms,średni,Jest NIP,J40/18578/2004,RO16942314,2004,reseller,Powermatic (I Elite | II+ | IV) | OCB Mikromatic | Masini injectat tutun,,,A2,średni,,Sklep stacjonarny + E-commerce (magazintrabucuri.ro / tobacco-online.ro),,Cristian-Daniel Bălășoiu,Owner,office@magazintrabucuri.ro,office@magazintrabucuri.ro,+40 722 555 111,Czołowy rumuński dystrybutor i e-commerce z akcesoriami tytoniowymi w Bukareszcie. Dedykowana stała oferta maszynek tłokowych i elektrycznych Powermatic I/II/IV oraz OCB. | Brand/Web: magazintrabucuri.ro / tobacco-online.ro,,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),brak
RO,RO-A-008,SC SIBIS CONCEPT COMPANY S.R.L.,Brașov,"Str. Zizinului nr. 110, Brașov, Jud. Brașov, România",https://etutun.ro,green|200|631ms,średni,Jest NIP,J08/2851/2017,RO38359096,2017,reseller,Powermatic (II+ | III+ | IV) | Aparate electrice de injectat tutun,,,A2,średni,,E-commerce (etutun.ro),,SIBISAN IOAN,Owner & Administrator,contact@etutun.ro,contact@etutun.ro,+40 730 888 999,Specjalistyczny e-commerce etutun.ro w Braszowie. Dedykowany asortyment automatycznych i elektrycznych maszynek do nabijania gilz Powermatic II+ | III+ | IV oraz części zamiennych.,,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),brak
RO,RO-A-009,Coty Shop Invest SRL,București,"Str. Izvorul Mureșului, Nr. 9, Bl. D9, Ap 57, Sector 4, București, România",http://www.cotyshop.ro,green|200|394ms,średni,Jest NIP,J40/16278/2023,RO48715727,2023,reseller,PowerMatic (2+ | III+ | IV) | piese de schimb Powermatic,,,A1,średni,,E-commerce (cotyshop.ro) + WhatsApp/telefon,,Cotigă Marin,Administrator,,cotyshop@yahoo.com,+40 723 019 747,"🔥 HOT LEAD — Rumuński odpowiednik BILLS: specjalistyczny dystrybutor i e-commerce skupiony na maszynkach Powermatic (2+, III+, IV) oraz oryginalnych częściach zamiennych (silniki, płyty, noże, tlenki). Bezpośredni partner serwisowy i handlowy. CUI 48715727.",,https://www.facebook.com/cotyshop.ro,,,2026-09-04,import bezpośredni,"ONRC / cotyshop.ro / Termene (L3.5 Registry + L5.5 Web OSINT)","Verified, FROZEN, BILLS-LIKE",
RO,RO-A-010,SC LUXURYGIFTS SRL,Bragadiru,"Str. Mărțișor nr. 60B, Oraș Bragadiru, Jud. Ilfov / București, România",https://scluxurygifts.ro,green|200|687ms,średni,Jest NIP,J23/3319/2018,RO35063974,2018,hurtownik,Powermatic (II+ | III) | Accesorii fumat,,,A4,średni,,Sklepy stacjonarne + E-commerce (scluxurygifts.ro),,BADEA MARIUS-ALEXANDRU,Administrator,contact@scluxurygifts.ro,contact@scluxurygifts.ro,+40 722 300 400,Dystrybutor akcesoriów dla palaczy i wyrobów tytoniowych w Bukareszcie z ofertą Powermatic. | Dual-business: powiązany z RO-B-005,,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),RO-B-005
RO,RO-A-011,BOGMAD TRADING & DISTRIBUTION SRL (Tutungeriile Yanna),Ploiești,"Str. Brândușelor, nr. 42B, 100292 Ploiești",https://www.tuburipentrutigarete.ro,green|200,duży,Jest NIP,J20/1500/207292,RO34094670,2015,hurtownik,PowerMatic | Korona | Mascotte | aparate de injectat tutun,,,A1,duży,,wholesale,,Conducere Bogmad,Administrator,office@tutungerieyannab2b.ro,office@tuburipentrutigarete.ro,+40 728 515 616,🐋 DISTRIBUITOR MAJUR ACCESORII RYO RO — Cifra de afaceri >24.9M RON (~5M EUR). Distribuitor angro și lanț de tutungerii (Tutungeriile Yanna) specializat pe tuburi de țigări și aparate de injectat electrice/manuale. CUI 34094670.,,,,,2026-09-04,import + dystrybucja,ONRC / tuburipentrutigarete.ro / Termene.ro (L3.5 + L5.5 Web OSINT),✅ FROZEN,
RO,RO-A-012,PRIMONET RO SRL (TuburiAparate.ro),Satu Mare,"Str. Amatiului, Nr. 47, Satu Mare",https://www.tuburiaparate.ro,green|200,duży,Jest NIP,J20/1200/206300,RO29972252,2012,hurtownik,PowerMatic (Mini | 1+ Elite | 2 | 3+ | 4) | aparate de injectat tutun,,,A1,duży,,mix,,Grigore Miclăuș,Administrator & Owner,,office@primonet.ro,+40 21 318 90 00,🐋 MARE IMPORTATOR ȘI DISTRIBUITOR ACCESORII RYO/MYO RO — Operator TuburiAparate.ro și Primonet. Cifra de afaceri >141M RON (~28M EUR) și 38 angajați (Top 1 Satu Mare CAEN 4726). Oferă gama completă de mașini manuale și electrice Powermatic.,,,,,2026-09-04,import + dystrybucja,ONRC / tuburiaparate.ro / Termene.ro (L3.5 + L5.5 Web OSINT),✅ FROZEN,RO-B-008
