kraj,id,nazwa,miasto,adres,www,www_status,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
RO,RO-B-001,BRANDS INTERNATIONAL SRL,București,"Str. Barbu Văcărescu nr. 162, Sector 2, București",https://www.brandsinternational.ro,green|200|1424ms,średni,Jest NIP,J23/464/2003,RO15291684,,hurtownik,,,5,B8,średni,wysoki,mix,,Carmina Fusté,Director General,,office@brandsinternational.ro,+40 21 230 45 50,"Importator și distribuitor de trabucuri, țigări de foi și accesorii RYO.",,,,,2026-08-11,,KRS API / CEIDG API + web search 2026-08-18 | subagent summary raport,(ONRC) 2026-09-03 ✅ FROZEN (API),
RO,RO-B-002,COLISEUM SA,Craiova,"Str. Caracal nr. 142, Craiova, Dolj",,,średni,Jest NIP,J16/786/2007,RO5057024,,reseller,,,4,B4,średni,wysoki,B2B only,,Gabriella Offeddu,"General Manager JTI România, Moldova și Bulgaria",,office@coliseum.ro,+40 251 435 800,Distribuitor regional FMCG și wyrobów tytoniowych w Dolj.,,,,,2026-08-11,,KRS API / CEIDG API + web search 2026-08-18 | subagent summary raport,(ONRC) 2026-09-03 ✅ FROZEN (API),
RO,RO-B-003,ANGROSISTUL SRL,Buzău,"Str. Transilvaniei nr. 411, Buzău",,,średni,Jest NIP,J10/2495/1991,RO1156904,,hurtownik,,,4,B4,średni,wysoki,mix,,Jorge Araya,Director General,,office@angrosistul.ro,+40 238 711 500,Hurtownik i dystrybutor wyrobów tytoniowych i napojów w Buzău.,,,,,2026-08-11,,KRS API / CEIDG API + web search 2026-08-18 | subagent summary raport,(ONRC) 2026-09-03 ✅ FROZEN (API),
RO,RO-B-004,VINCOM DISTRIBUTION SRL,Brașov,"Str. Zizinului nr. 109, Brașov",,,średni,Jest NIP,J08/1133/2002,RO14853032,,hurtownik,,,4,B4,średni,wysoki,B2B only,,CSABA FULOP,Chairman (Administrator),,office@vincom.ro,+40 268 332 100,Dystrybutor regionalny w Okręgu Brașov.,,,,,2026-08-10,,KRS API / CEIDG API + web search 2026-08-18 | subagent summary raport,(ONRC) 2026-09-03 ✅ FROZEN (API),
RO,RO-B-005,SC LUXURYGIFTS SRL,Bragadiru,"Str. Mărțișor nr. 60B, Oraș Bragadiru, Jud. Ilfov / București, România",https://scluxurygifts.ro,green|200|687ms,średni,Jest NIP,J23/3319/2018,RO35063974,2018,hurtownik,,,5,B4,średni,wysoki,Sklepy stacjonarne + E-commerce (scluxurygifts.ro),,BADEA MARIUS-ALEXANDRU,Administrator,contact@scluxurygifts.ro,contact@scluxurygifts.ro,+40 722 300 400,Dystrybutor akcesoriów dla palaczy i wyrobów tytoniowych w aglomeracji Bukaresztu. Oferta elektrycznych maszynek Powermatic II/III. | Brand/Web: scluxurygifts.ro | marki_nabijarki: Powermatic (II+ | III) | Accesorii fumat,,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),brak
RO,RO-B-006,TOBACCO INTERNATIONAL IMPORT EXPORT S.R.L.,București,"Bulevardul Iuliu Maniu nr. 7, Sector 6, București",,,średni,Jest NIP,J40/2867/2004,RO16173644,,hurtownik,,,4,B4,średni,wysoki,hurt + dystrybucja,,Mohamad Al-Khalaf,Owner,,office@tobacco-import.ro,+40 21 411 20 30,"Importator i dystrybutor wyrobów tytoniowych w Bukareszcie. | verify-2026-09-03: TOBACCO INTL IMPORT EXPORT: prawie nieaktywna (przychody ~0, straty od lat)",,,,,2026-08-10,,ONRC J40/2867/2004 | CUI 16173644 | București | subagent summary raport | verify-2026-09-03 WebFetch,(ONRC) 🔍 2026-09-03 ⏳ PENDING_API 🔍verify-2026-09-03,
RO,RO-B-007,TOTAL DISTRIBUTION GRUP PRODIMPEX SRL,Buzău,"Șoseaua Spătarului 7, Buzău, Județul Buzău",,,średni,Jest NIP,J10/942/2005,RO17854393,,hurtownik,,,4,B4,średni,wysoki,hurt + dystrybucja,,Marius Bălan,Administrator,,office@tdg-prodimpex.ro,+40 238 715 656,Hurtownik wyrobów tytoniowych i produktów FMCG w Buzău.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18 | subagent summary raport,2026-09-03 ✅ FROZEN (API),
RO,RO-B-008,PRIMONET RO SRL,București,"Str. Fabrica de Chibrituri nr. 9, Sector 5, București",https://primonet.ro,red|403,średni,Jest NIP,J30/188/2012,RO29972252,,hurtownik,,,4,B4,średni,wysoki,mix,,Grigore Miclăuș,owner,,office@primonet.ro,+40 21 318 90 00,Dystrybutor akcesoriów i artykułów konsumpcyjnych. | Brand/Web: primonet.ro,,,,,2026-08-10,,KRS API / CEIDG API + web search 2026-08-18 | subagent summary raport,(ONRC) 2026-09-03 ✅ FROZEN (API),
RO,RO-B-009,J.T. INTERNATIONAL (ROMANIA) SRL,București,"Bulevardul Dimitrie Pompeiu 9-9A, Sector 2, București",https://www.jti.com/ro,red|429,średni,Jest NIP,J40/17588/1993,RO5110535,,hurtownik,,,4,B9,średni,średni,B2B only,,Gabriella Offeddu,General Manager (JTI Romania/MD/BG cluster),,contact.ro@jti.com,,Rumuński oddział Japan Tobacco International — hurtowy dystrybutor wyrobów tytoniowych.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18; romania-insider.com + amcham.ro (public) 2026-08-18 | subagent summary raport,(ONRC) 2026-09-03 ✅ FROZEN (API),
RO,RO-B-010,IMPERIAL BRANDS ROMANIA SRL,București,"Strada Gării Herăstrău 4C, Sector 2, București",https://www.imperialbrandsplc.com,red|404,średni,Jest NIP,J2016000229400,RO35393387,,hurtownik,,,4,B9,średni,średni,B2B only,,Christian Münstermann,Cluster General Manager CEE (Imperial Brands),,info.ro@imptob.com,,"Rumuński oddział Imperial Brands — dystrybucja hurtowa wyrobów tytoniowych i akcesoriów (Rizla, Mascotte, Gizeh, Davidoff).",,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18; moodiedavittreport.com + imperial-tobacco.pl (public) 2026-08-18 | subagent summary raport,(ONRC) 2026-09-03 ✅ FROZEN (API),
RO,RO-B-011,BRITISH AMERICAN TOBACCO (ROMANIA) TRADING SRL,București,"Șos. București-Ploiești 1A, Bucharest Business Park, Sector 1, București",https://www.bat.com,green|200|350ms,średni,Jest NIP,J40/7802/1996,RO8808452,,hurtownik,,,4,B9,średni,średni,B2B only,,Ramona Ganea,General Manager,,contact.ro@bat.com,,Rumuński oddział British American Tobacco — hurtowy dystrybutor wyrobów tytoniowych.,,,,,2026-08-17,,KRS API / CEIDG API + web search 2026-08-18 | subagent summary raport,(ONRC) 2026-09-03 ✅ FROZEN (API),
RO,RO-B-012,TOBACCO LOGISTIC & MARKETING SRL,Târgu Jiu,"Str. Narciselor nr. 102G, Et. 1, Ap. 2, Târgu Jiu, Jud. Gorj, România",,,duży,Jest NIP,J18/145/2017,RO37086257,2017,hurtownik,,,4,B8,średni,wysoki,Dystrybucja hurtowa wyrobów tytoniowych,,POPESCU IONUT,Administrator,office@tlm-distributie.ro,office@tlm-distributie.ro,+40 253 211 100,Duży hurtowy dystrybutor wyrobów tytoniowych i artykułów dla palaczy grupy Luzan w południowo-zachodniej Rumunii. | marki_nabijarki: Produse din tutun | Accesorii,,,,,2026-08-15,,KRS API / CEIDG API + web search 2026-08-18,2026-09-03 ✅ FROZEN (API),brak
