score,whale,country,iso,id,name,miasto,kategoria,tier,powinowactwo,wolumen,confidence,kanal,email,telefon,www,www_status,decydent,notatki,flagi
9,✓,Rumunia,RO,RO-B-013,INTERBRANDS ORBICO SRL,București,B8,hurtownik,5,duży,🟢,Dystrybucja ogólnokrajowa B2B (Orbico Group),office.romania@orbico.com,+40 21 407 77 00,https://www.orbico.ro,green|200|851ms,Mario Matić,Największy ogólnokrajowy dystrybutor FMCG i wyrobów tytoniowych w Rumunii (część Orbico Group | oficjalny dystrybutor Philip Morris).,2026-08-31 ✅ FROZEN (API)
4,,Rumunia,RO,RO-B-001,BRANDS INTERNATIONAL SRL,București,B8,hurtownik,5,średni,🟢,,office@brandsinternational.ro,+40 21 230 45 50,https://www.brandsinternational.ro,green|200|1424ms,Carmina Fusté,"Importator și distribuitor de trabucuri, țigări de foi și accesorii RYO.",(ONRC) 2026-08-31 ✅ FROZEN (API)
4,,Rumunia,RO,RO-B-002,COLISEUM SA,Craiova,B4,reseller,4,średni,🟢,,office@coliseum.ro,+40 251 435 800,,,Gabriella Offeddu,Distribuitor regional FMCG și wyrobów tytoniowych w Dolj.,(ONRC) 2026-08-31 ✅ FROZEN (API)
4,,Rumunia,RO,RO-B-003,ANGROSISTUL SRL,Buzău,B4,hurtownik,4,średni,🟢,,office@angrosistul.ro,+40 238 711 500,,,Jorge Araya,Hurtownik i dystrybutor wyrobów tytoniowych i napojów w Buzău.,(ONRC) 2026-08-31 ✅ FROZEN (API)
4,,Rumunia,RO,RO-B-004,VINCOM DISTRIBUTION SRL,Brașov,B4,hurtownik,4,średni,🟢,,office@vincom.ro,+40 268 332 100,,,CSABA FULOP,Dystrybutor regionalny w Okręgu Brașov.,(ONRC) 2026-08-31 ✅ FROZEN (API)
4,,Rumunia,RO,RO-B-005,SC LUXURYGIFTS SRL,Bragadiru,B4,hurtownik,5,średni,🟢,Sklepy stacjonarne + E-commerce (scluxurygifts.ro),contact@scluxurygifts.ro,+40 722 300 400,https://scluxurygifts.ro,green|200|687ms,BADEA MARIUS-ALEXANDRU,Dystrybutor akcesoriów dla palaczy i wyrobów tytoniowych w aglomeracji Bukaresztu. Oferta elektrycznych maszynek Powermatic II/III. | Brand/Web: scluxurygifts.ro,2026-08-31 ✅ FROZEN (API)
4,,Rumunia,RO,RO-B-007,TOTAL DISTRIBUTION GRUP PRODIMPEX SRL,Buzău,B4,hurtownik,4,średni,🟢,,office@tdg-prodimpex.ro,+40 238 715 656,,,Marius Bălan,Hurtownik wyrobów tytoniowych i produktów FMCG w Buzău.,2026-08-31 ✅ FROZEN (API)
4,,Rumunia,RO,RO-B-008,PRIMONET RO SRL,București,B4,hurtownik,4,średni,🟢,,office@primonet.ro,+40 21 318 90 00,https://primonet.ro,red|403,Grigore Miclăuș,Dystrybutor akcesoriów i artykułów konsumpcyjnych. | Brand/Web: primonet.ro,(ONRC) 2026-08-31 ✅ FROZEN (API)
4,,Rumunia,RO,RO-B-009,J.T. INTERNATIONAL (ROMANIA) SRL,București,B9,hurtownik,4,średni,🟢,,contact.ro@jti.com,,https://www.jti.com/ro,red|429,Gabriella Offeddu,Rumuński oddział Japan Tobacco International — hurtowy dystrybutor wyrobów tytoniowych.,(ONRC) 2026-08-31 ✅ FROZEN (API)
4,,Rumunia,RO,RO-B-010,IMPERIAL BRANDS ROMANIA SRL,București,B9,hurtownik,4,średni,🟢,,info.ro@imptob.com,,https://www.imperialbrandsplc.com,red|404,Christian Münstermann,"Rumuński oddział Imperial Brands — dystrybucja hurtowa wyrobów tytoniowych i akcesoriów (Rizla, Mascotte, Gizeh, Davidoff).",(ONRC) 2026-08-31 ✅ FROZEN (API)
4,,Rumunia,RO,RO-B-011,BRITISH AMERICAN TOBACCO (ROMANIA) TRADING SRL,București,B9,hurtownik,4,średni,🟢,,contact.ro@bat.com,,https://www.bat.com,green|200|350ms,Ramona Ganea,Rumuński oddział British American Tobacco — hurtowy dystrybutor wyrobów tytoniowych.,(ONRC) 2026-08-31 ✅ FROZEN (API)
4,,Rumunia,RO,RO-B-012,TOBACCO LOGISTIC & MARKETING SRL,Târgu Jiu,B8,hurtownik,4,duży,🟢,Dystrybucja hurtowa wyrobów tytoniowych,office@tlm-distributie.ro,+40 253 211 100,,,POPESCU IONUT,Duży hurtowy dystrybutor wyrobów tytoniowych i artykułów dla palaczy grupy Luzan w południowo-zachodniej Rumunii.,2026-08-31 ✅ FROZEN (API)
4,,Rumunia,RO,RO-B-014,RHENUS LOGISTICS SRL,Pitești,B8,hurtownik,4,duży,🟢,Logistyka celna i magazyn celny (Autoritatea Vamală Română),info.ro@rhenus.com,+40 248 207 000,https://www.rhenus.group/ro,green|200|487ms,Daniela Ionescu,Licencjonowany broker celny i operator magazynów celnych (Autoritatea Vamală Română) z obsługą odpraw celnych i logistyki wyrobów akcyzowych oraz maszynek do tytoniu.,2026-08-31 ✅ FROZEN (API)
