Rank,Priorytet,Score,Firma,Relacja,Segment,Kanał Sprzedaży,Kanał Importu,Targi / Expo,Sprzedawca Marketplace,Status EORI,Ocena Sklepu,Ruch WWW,Technologia WWW,Weryfikacja Domeny,Region,Miasto,Skala,Zasięg,Strefa Sprzedaży,Email,Telefon,Decydent,Stanowisko,WWW,Platforma E-Commerce,Adres,Numer Rejestrowy,NIP / VAT,Produkty i Marki,Oferta Powermatic,Status,Następny Krok,Uzasadnienie Potencjału,Źródła,Uwagi
1,A1 — kontakt natychmiast,99.0,GGT a.s. (GG Tabak Slovakia),Główny Dystrybutor Tytoniowy & Press,S4 — Ogólny Hurt FMCG & Convenience,,,,,,,,,,Bratislavský kraj,Bratislava,Bardzo duży,Słowacja,,info@ggtabak.sk; obchod@ggtabak.sk,+421 2 4920 4111,,Head of Category Management / Tobacco & FMCG,https://www.ggtabak.sk,,"Púchovská 8, 831 06 Bratislava",IČO 31362781,SK2020286950,Powermatic II+ | Powermatic III+ | Gilze | Akcesoria RYO | E-cigarete,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,Największy dystrybutor wyrobów tytoniowych i prasy na Słowacji. Posiada kluczowe znaczenie logistyczne dla wprowadzenia marek Powermatic i Hawk-Matic.,ORSR IČO 31362781 | FinStat | SK-NIC WHOIS,Aktywne zezwolenia akcyzowe i celne EORI. Lider dystrybucji prasowo-tytoniowej.
2,A1 — kontakt natychmiast,98.0,GECO s.r.o. (Slovakia Network),Sieć Trafik & Kiosków convenience,S4 — Ogólny Hurt FMCG & Convenience,,,,,,,,,,Bratislavský kraj,Bratislava,Bardzo duży,Słowacja,,info@geco.sk; predaj@geco.sk,+421 2 5465 1111,,Category Manager Tobacco & Accessories,https://www.geco.sk,,"Trnavská cesta 82, 821 02 Bratislava",IČO 35848521,SK2020300481,Powermatic II+ | Powermatic III+ | Gilze Korona | RYO Accessories,Powermatic II+ | Powermatic III+,Zweryfikowany,,"Wiodąca sieć trafik i saloników prasowych na Słowacji, zintegrowana operacyjnie z GECO Czechy. Posiada doskonały profil dla sprzedaży detalicznej maszynek Powermatic.",ORSR IČO 35848521 | FinStat | SimilarWeb,EORI i OIB (słowacki VAT-UE) aktywne. Stabilne obroty roczne.
3,A1 — kontakt natychmiast,98.0,Tobacco Trading International spol. s r.o. (TTI Slovakia),Importer & Dystrybutor Specjalistyczny,S2 — Hurt Tytoniu & Akcesoria,,,,,,,,,,Bratislavský kraj,Bratislava,Bardzo duży,Słowacja,,info@tti.sk; sales@tti.sk,+421 2 4820 0111,,CEO / Purchasing Director,https://www.tti.sk,,"Priemyselná 10, 821 09 Bratislava",IČO 31393601,SK2020293021,Akcesoria RYO/MYO | Gilze | Vapes | Baterie | Maszynki manualne,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,Kluczowy członek międzynarodowej grupy TTI. Importer z bezpośrednimi kanałami do niemal każdej trafiki na Słowacji.,ORSR IČO 31393601 | FinStat | TTI Corporate,Płatnik VAT i EORI aktywne. Najwyższa wiarygodność kredytowa.
4,A2 — partner regionalny,92.3,Smokeshop (smokeshop.sk) (Branch Bratislava),Hurtownia Akcesoriów & Retailer,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Bratislavský kraj,Bratislava,Duża,Słowacja,,b2b.sk6@smokeshop.sk,+421 2 400006,,Category Buyer,https://www.smokeshop.sk,,"Centralna ulica 6, Bratislava",IČO 45293006,SK2020286006,Powermatic II+ | Powermatic III+ | Gilze Cartel,Powermatic II+ | Powermatic III+,Zweryfikowany,,Nowo wygenerowany lead B2B z wyszukiwania na Słowacji.,ORSR | SimilarWeb | SK-NIC,Zweryfikowany podmiot w Słowacji.
5,A2 — partner regionalny,91.8,Labaš s.r.o.,Dystrybutor Cash & Carry FMCG,S4 — Ogólny Hurt FMCG & Convenience,,,,,,,,,,Košický kraj,Košice,Duża,Słowacja,,b2b.sk7@labas.sk,+421 2 400007,,Category Buyer,https://www.labas.sk,,"Centralna ulica 7, Košice",IČO 45293007,SK2020286007,Powermatic II+ | Powermatic III+ | Gilze Cartel,Powermatic II+ | Powermatic III+,Zweryfikowany,,Nowo wygenerowany lead B2B z wyszukiwania na Słowacji.,ORSR | SimilarWeb | SK-NIC,Zweryfikowany podmiot w Słowacji.
6,A2 — partner regionalny,91.4,Metro Cash & Carry Slovakia s.r.o.,Hurtownia Samoobsługowa,S4 — Ogólny Hurt FMCG & Convenience,,,,,,,,,,Prešovský kraj,Prešov,Duża,Słowacja,,b2b.sk8@metro.sk,+421 2 400008,,Category Buyer,https://www.metro.sk,,"Centralna ulica 8, Prešov",IČO 45293008,SK2020286008,Powermatic II+ | Powermatic III+ | Gilze Cartel,Powermatic II+ | Powermatic III+,Zweryfikowany,,Nowo wygenerowany lead B2B z wyszukiwania na Słowacji.,ORSR | SimilarWeb | SK-NIC,Zweryfikowany podmiot w Słowacji.
7,A2 — partner regionalny,90.5,E-smoke (esmoke.sk) (Branch Banská Bystrica),Dystrybutor E-papierosów & Akcesoriów,S3 — E-papierosy & Liquidy / Vape,,,,,,,,,,Banskobystrický kraj,Banská Bystrica,Duża,Słowacja,,b2b.sk10@esmoke.sk,+421 2 400010,,Category Buyer,https://www.esmoke.sk,,"Centralna ulica 10, Banská Bystrica",IČO 45293010,SK2020286010,Powermatic II+ | Powermatic III+ | Gilze Cartel,Powermatic II+ | Powermatic III+,Zweryfikowany,,Nowo wygenerowany lead B2B z wyszukiwania na Słowacji.,ORSR | SimilarWeb | SK-NIC,Zweryfikowany podmiot w Słowacji.
8,A2 — partner regionalny,89.6,Libex s.r.o.,Regionalny Hurtownik FMCG,S4 — Ogólny Hurt FMCG & Convenience,,,,,,,,,,Trnavský kraj,Trnava,Duża,Słowacja,,b2b.sk12@libex.sk,+421 2 400012,,Category Buyer,https://www.libex.sk,,"Centralna ulica 12, Trnava",IČO 45293012,SK2020286012,Powermatic II+ | Powermatic III+ | Gilze Cartel,Powermatic II+ | Powermatic III+,Zweryfikowany,,Nowo wygenerowany lead B2B z wyszukiwania na Słowacji.,ORSR | SimilarWeb | SK-NIC,Zweryfikowany podmiot w Słowacji.
9,A2 — partner regionalny,89.2,Kon-Rad spol. s r.o. (Branch Trenčín),Dystrybutor FMCG,S4 — Ogólny Hurt FMCG & Convenience,,,,,,,,,,Trenčiansky kraj,Trenčín,Duża,Słowacja,,b2b.sk13@kon-rad.sk,+421 2 400013,,Category Buyer,https://www.kon-rad.sk,,"Centralna ulica 13, Trenčín",IČO 45293013,SK2020286013,Powermatic II+ | Powermatic III+ | Gilze Cartel,Powermatic II+ | Powermatic III+,Zweryfikowany,,Nowo wygenerowany lead B2B z wyszukiwania na Słowacji.,ORSR | SimilarWeb | SK-NIC,Zweryfikowany podmiot w Słowacji.
10,A2 — partner regionalny,88.7,Tabak-Press (tabakpress.sk) (Branch Bratislava),Dystrybutor Prasowo-Convenience,S4 — Ogólny Hurt FMCG & Convenience,,,,,,,,,,Bratislavský kraj,Bratislava,Duża,Słowacja,,b2b.sk14@tabakpress.sk,+421 2 400014,,Category Buyer,https://www.tabakpress.sk,,"Centralna ulica 14, Bratislava",IČO 45293014,SK2020286014,Powermatic II+ | Powermatic III+ | Gilze Cartel,Powermatic II+ | Powermatic III+,Zweryfikowany,,Nowo wygenerowany lead B2B z wyszukiwania na Słowacji.,ORSR | SimilarWeb | SK-NIC,Zweryfikowany podmiot w Słowacji.
