kraj,id,nazwa,miasto,adres,www,www_status,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
SK,SK-A-001,"Crazy Shopping, s. r. o.",Bratislava,"Námestie hraničiarov 2997/2, 851 03 Bratislava",https://www.smokeshop.sk,green|200|1143ms,średni,brak kontaktu,"OR OS Bratislava I, Odd. Sro, Vl. 133650/B (IČO: 52034437)",SK2120899220,,reseller,Powermatic II+ | Powermatic III+ | Powermatic IV | Gilze | Akcesoria,,,A2,średni,,B2B & B2C online & retail,,Peter Kadnár,Category Buyer & E-commerce Manager,info@smokeshop.sk,info@smokeshop.sk,+421 910 949 222,Czołowy słowacki e-commerce i dystrybutor maszynek Powermatic oraz akcesoriów RYO/MYO. | Brand/Web: smokeshop.sk,,,,,2026-08-17,Direct EU/Asia Import,KRS API / CEIDG API + web search 2026-08-17; OpenRouter DeepSeek WebScrape; smokeshop.sk/staff (public) 2026-08-18,| Priorytet: A1 2026-09-03 ✅ FROZEN (API),
SK,SK-A-002,GGT a.s. (GGTabak),Bratislava,"Stará Vajnorská 9, 831 04 Bratislava, Słowacja",https://www.ggtabak.sk,green|200|692ms,duży,brak kontaktu,"Mestský súd Bratislava III, Odd. Sa, Vl. 4036/B (IČO: 35791829)",SK2020256953,,hurtownik,"Tabak, Gilzy, Nabijarki, E-cigarety, Trafiky",,,A1,średni,,B2B only,,Josef Hloušek,General director,,info@ggtabak.sk,+421 2 4920 4111,"Największy narodowy dystrybutor tabakowy na Słowacji zaopatrujący ponad 2,000 trafík i stoisk.",,,,,2026-08-17,Direct EU/Asia Import,KRS API / CEIDG API + web search 2026-08-18,| Priorytet: A1 2026-09-03 ✅ FROZEN (API),
SK,SK-A-003,M + M s.r.o. (M+M Tabak),Nitra,"Novozámocká ulica 67/2, 949 05 Nitra, Słowacja",https://www.mplusm.sk,green|200|1373ms,średni,brak kontaktu,"OR OS Nitra, Odd. Sro, Vl. 17521/N (IČO: 35972408)",SK2022104348,,hurtownik,"Cigarety, Tabaky, Fajčiarske potreby, Dutinky, Plničky",,,A2,średni,,B2B & Retail,,Ing. Klára Macegová,konateľ,,mplusm@mplusm.sk,+421 915 496 496,"Posiada własny skład podatkowy (daňový sklad), sieć ponad 100 salonów i hurtownię B2B.",,,,,2026-08-17,Direct EU/Asia Import,KRS API / CEIDG API + web search 2026-08-18,| Priorytet: A1 2026-09-03 ✅ FROZEN (API),
SK,SK-A-004,"DL Lauko, s.r.o.",Trenčín,"Ľudovíta Stárka 2614, 911 05 Trenčín, Słowacja",https://www.lauko.sk,green|200|230ms,średni,brak kontaktu,"OR OS Trenčín, Odd. Sro, Vl. 17793/R (IČO: 36736180)",SK2022319145,,hurtownik,"Tabakové výrobky, Cigaretové dutinky, Plničky, Gizeh",,,A2,średni,,B2B only,,Denis Lauko,owner and executive officer,,eshop@lauko.sk,+421 41 700 32 11,Kluczowy dystrybutor wyrobów tytoniowych i akcesoriów w Žilinskim i Trenčianskim kraju.,,,,,2026-08-17,Direct EU/Asia Import,KRS API / CEIDG API + web search 2026-08-18,| Priorytet: A2 2026-09-03 ✅ FROZEN (API),
SK,SK-A-005,"KAPA-PRESS, s.r.o.",Košice,"Ulica Andreja Kvasa 1678 / Dunajská 10, 040 17 Košice, Słowacja",https://www.kapapress.sk,green|200|655ms,średni,brak kontaktu,"OR OS Košice I, Odd. Sro, Vl. 10452/V (IČO: 36184454)",SK2020044983,,hurtownik,"Tabakové výrobky, Tlač, Fajčiarske potreby, Dutinky",,,A2,średni,,B2B only,,Ing. Boris Mrekaj,Head of Distribution,,odbyt@kapapress.sk,+421 55 678 11 00,Główny dystrybutor dla trafík i punktów sprzedaży na Wschodniej Słowacji (Košice/Prešov).,,,,,2026-08-17,Direct EU/Asia Import,KRS API / CEIDG API + web search 2026-08-17,(VIES / FinStat) 2026-09-03 ✅ FROZEN (API),
SK,SK-A-006,BRESMAN s.r.o.,Dubnica nad Váhom,"Pod hájom 1369/181, 018 41 Dubnica nad Váhom, Słowacja",https://www.bresman.sk,green|200|615ms,średni,brak kontaktu,"OR OS Trenčín, Odd. Sro, Vl. 1776/R (IČO: 31616992)",SK2020437375,,hurtownik,"Tabakové výrobky, Tlač, Fajčiarske potreby, TABAK PRESS",,,A1,średni,,B2B only,,Mgr. Josef Hloušek,Konateľ / Štatutárny orgán,,bresman@bresman.sk,+421 42 44 22 731,"Zaopatruje ponad 1,000 punktów sprzedaży oraz sieci stacji i marketów na Słowacji.",,,,,2026-08-17,Direct EU/Asia Import,KRS API / CEIDG API + web search 2026-08-17,(VIES / FinStat) 2026-09-03 ✅ FROZEN (API),
SK,SK-A-007,SOLID SR s. r. o. (Solidtubes),Pezinok,"Silvánová 6061/31, 902 01 Pezinok, Słowacja",https://www.solidsr.sk,green|200|3569ms,średni,brak kontaktu,"OR OS Bratislava I, Odd. Sro, Vl. 66085/B (IČO: 45639191)",SK2023071325,,producent,"Cigaretové dutinky, Plničky cigariet, Rolovačky, Filtre, Papieriky",,,A1,średni,,B2B & Wholesale,,Dušan Baláž,Konateľ,,info@solidsr.sk,+421 905 659 190,"Specjalistyczny bezpośredni importer i producent dutinek, filtrów oraz plničiek cigariet od 1990/2010. | www title: Solidtubes - SOLID s.r.o.",,,,,2026-08-17,Direct EU/Asia Import & Production,KRS API / CEIDG API + web search 2026-08-18,| Priorytet: A1 2026-09-03 ✅ FROZEN (API),
SK,SK-A-008,"DanCzek Bratislava, s.r.o.",Stupava,"Malacká 2716/48, 900 31 Stupava, Słowacja",https://www.danczek.cz,green|200|505ms,średni,brak kontaktu,"Mestský súd Bratislava III, Odd. Sro, Vl. 17796/B (IČO: 35765259)",SK2020221621,,hurtownik,"Cigary, Tabak, Dutinky, Nicotine pouches, E-cigarety",,,A2,średni,,B2B only,,Róbert Kubík,Konateľ,,danczek@danczek.cz,+421 2 65 93 44 11,Kluczowy importer i dystrybutor tytoniowy w Czechach i na Słowacji.,,,,,2026-08-17,Direct EU/Asia Import,KRS API / CEIDG API + web search 2026-08-18,| Priorytet: A2 2026-09-03 ✅ FROZEN (API),
SK,SK-A-009,ABAR SK s. r. o.,Lipová,"Mlynský sek 449, 941 02 Lipová, Słowacja",https://www.abar.sk,green|200|325ms,średni,brak kontaktu,"OR OS Nitra, Odd. Sro, Vl. 64243/N (IČO: 57102147)",SK2122565313,,hurtownik,"Tabakové výrobky, Fajčiarsky sortiment, Tlač, Nápoje",,,A2,średni,,B2B & Retail (26+ stoisk),,Ing. Andrej Barta / Martin Bakus,Majiteľ / Riaditeľ,bakusabar@gmail.com,abar@abar.sk,+421 903 742 688,Hurtownia i sieć 26+ saloników prasowo-tytoniowych z aktywnym Track & Trace i licencją celną.,,,,,2026-08-17,Direct EU/Asia Import,KRS API / CEIDG API + web search 2026-08-17,| Priorytet: A2 2026-09-03 ✅ FROZEN (API),
SK,SK-A-010,"TifanTEX, s.r.o. (Army Shop / Wholesale)",Lehota,"Hlavná 623, 951 36 Lehota, Słowacja",https://www.tifantex.sk,green|200|817ms,średni,brak kontaktu,"OR OS Nitra, Odd. Sro, Vl. 28004/N (IČO: 45955824)",SK2023161525,,hurtownik,"Elektrické plničky cigariet (Gerui, Verk), Dutinky, Fajčiarske potreby",,,A2,średni,,B2B only,,Tibor Farkaš,Jednatel,,podpora@tifantex.sk,+421 905 665 423,Bezpośredni importer i hurtownik elektrycznych nabijarek do papierosów z rejestracją celną EORI.,,,,,2026-08-17,Direct Customs Import (EORI SK),KRS API / CEIDG API + web search 2026-08-17,| Priorytet: A2 2026-09-03 ✅ FROZEN (API),
