kraj,id,nazwa,miasto,adres,www,www_status,wolumen,confidence_wolumen,rejestr_id,nip_vat,rok_zalozenia,tier,marki_nabijarki,marka_wlasna_oem,powinowactwo_nabijarki,kategoria,rynek_skala,cross_sell_potential,kanal_sprzedaży,kanal_zamiennik,decydent,stanowisko,email_decydent,email,telefon,notatki,linkedin,facebook,instagram,tiktok,data_weryfikacji,sourcing,zrodlo_danych,flagi,related_to
SK,SK-B-001,"GECO, s. r. o.",Bratislava,"Elektrárenská 4, 831 04 Bratislava, Słowacja",https://www.geco.sk,green|200|386ms,średni,🔴,"Mestský súd Bratislava III, Odd. Sro, Vl. 19548/B (IČO: 35782587)",SK2020277248,,hurtownik,,,5,B8,średni,wysoki,Hurt B2B ogólnokrajowy & sieć trafik,,Zdenko Kalman,"Konateľ (managing director, SK subsidiary of CZ GECO a.s.)",,info@geco.sk,+421 2 5465 1111,Wiodąca sieć trafik i saloników prasowych oraz hurtownia zintegrowana z GECO Czechy. | marki_nabijarki: Powermatic II+ | Powermatic III+ | Gilze Korona | RYO Accessories | Trafiky,,,,,2026-08-17,Direct EU/Asia Import,KRS API / CEIDG API + web search 2026-08-18,(VIES / FinStat) 2026-09-03 ✅ FROZEN (API),
SK,SK-B-002,"TOPPRES D.A., spol. s r.o.",Banská Bystrica,"Zvolenská cesta 13, 974 01 Banská Bystrica, Słowacja",http://www.toppres.sk,green|200|539ms,średni,🔴,"OR OS Banská Bystrica, Odd. Sro, Vl. 1762/S (IČO: 31621902)",SK2020455800,,hurtownik,,,4,B8,średni,wysoki,Hurt B2B regionalny & maloobchod,,Ing. Boris Mrekaj,Head of Tobacco & Press,,toppres@toppres.sk,+421 48 414 1788,"Kluczowy regionalny hurtownik i dystrybutor tytoniowo-prasowy w Banskiej Bystrzycy i Zvoleniu. | marki_nabijarki: Distribúcia tlače, Tabakové výrobky, Fajčiarske potreby, Trafiky",,,,,2026-08-17,Direct EU Import,KRS API / CEIDG API + web search 2026-08-17,| Priorytet: B8 2026-09-03 ✅ FROZEN (API),
SK,SK-B-003,"T-PRESS, spol. s r.o.",Trnava,"Vajanského 18, 917 01 Trnava, Słowacja",https://www.t-press.sk,green|200|628ms,średni,🔴,"OR OS Trnava, Odd. Sro, Vl. 1999/T (IČO: 34129961)",SK2020393914,,hurtownik,,,4,B8,średni,wysoki,Hurt B2B (Veľkosklad) & dystrybucja,,RNDr. Ľubica Bačová,Konateľ / Štatutárny orgán,velkosklad@t-press.sk,velkosklad@t-press.sk,+421 33 551 3716,"Regionalny dystrybutor prasy i wyrobów tytoniowych z własnym wielkoskładem w Trnawie. | marki_nabijarki: Distribúcia tlače, Tabakové výrobky, Fajčiarske potreby, Mascotte, Gizeh",,,,,2026-08-17,Direct EU Import,KRS API / CEIDG API + web search 2026-08-17,| Priorytet: B8 2026-09-03 ✅ FROZEN (API),
SK,SK-B-004,"D.A. CZVEDLER, spol. s r.o.",Šamorín,"Kláštorná 4, 931 01 Šamorín, Słowacja",https://www.czvedler.sk,green|200|880ms,średni,🔴,"OR OS Trnava, Odd. Sro, Vl. 1827/T (IČO: 34114726)",SK2020369835,,hurtownik,,,4,B8,średni,wysoki,Hurt B2B & sieć trafík,,Libor Hradil,Managing Director,,sekretariat@czvedler.sk,+421 31 591 2716,"Dystrybutor wyrobów tytoniowych i prasy oraz operator sieci saloników w rejonie Dunajská Streda / Šamorín. | marki_nabijarki: Distribúcia periodickej tlače, Tabak, Tabakové výrobky, Doplnkový tovar, Trafiky",,,,,2026-08-17,Direct EU Import,KRS API / CEIDG API + web search 2026-08-18,| Priorytet: B8 2026-09-03 ✅ FROZEN (API),
SK,SK-B-005,MY & MI s. r. o. (Dom Cigár),Bratislava,"Stará Vajnorská 3A, 831 04 Bratislava, Słowacja",https://www.domcigar.sk,green|200|404ms,średni,🔴,"OR OS Bratislava I, Odd. Sro, Vl. 4680/B (IČO: 31345671)",SK2020333040,,hurtownik,,,4,B4,średni,wysoki,Hurt B2B & sieć Dom Cigár,,Ing. Miroslav Bajtoš,Konateľ / Štatutárny orgán,,info@domcigar.sk,+421 2 4445 4220,"Wiodący importer i dystrybutor cygar, fajek i akcesoriów dla palaczy z salonami Dom Cigár. | marki_nabijarki: Prémiové cigary, Dýmky, Tabak, Fajčiarske príslušenstvo, Humidory",,,,,2026-08-17,Direct Non-EU/EU Import (EORI SK),KRS API / CEIDG API + web search 2026-08-17,(VIES / FinStat) 2026-09-03 ✅ FROZEN (API),
SK,SK-B-006,"Vaprio.sk, s.r.o.",Bratislava,"Mlynarovičova 2452/5-7, 851 03 Bratislava, Słowacja",https://www.vaprio.sk,green|200|230ms,średni,🔴,"Mestský súd Bratislava III, Odd. Sro, Vl. 119415/B (IČO: 50852248)",SK2120504650,,hurtownik,,,4,B6,średni,wysoki,Hurt B2B & sieť salonov,,Peter Štefánik,Owner and Managing Director,,b2b@vaprio.sk,+421 2 20 63 33 00,"Wiodąca sieć salonów i hurtownia B2B produktów vape i e-liquidów na Słowacji. | marki_nabijarki: Vape, E-liquidy, Pod-systemy, Akcesoria",,,,,2026-08-17,Direct Import EU/Asia,KRS API / CEIDG API + web search 2026-08-17,(VIES / FinStat) 2026-09-03 ✅ FROZEN (API),
SK,SK-B-007,CONTINENTAL TOBACCO SLOVAKIA s. r. o.,Rimavská Sobota,"Tomášovská 1237/42, 979 01 Rimavská Sobota, Słowacja",http://www.continental.hu,red|405,średni,🔴,"OR OS Banská Bystrica, Odd. Sro, Vl. 7192/S (IČO: 36204731)",SK2020032399,,producent,,,5,B8,średni,wysoki,Hurt B2B & eksport,,Mária Kováčová,Jednatel,,info@continental.sk,+421 47 563 1111,"Oficjalny producent i dystrybutor wyrobów tytoniowych i tytoniu RYO z własnym składem podatkowym. | Profil/Sourcing: Daňový sklad & Výroba (Colný úrad SK) | marki_nabijarki: Výroba a veľkoobchod tabakových výrobkov, Cigaretový tabak, RYO",,,,,2026-08-17,SK (dystrybucja krajowa),KRS API / CEIDG API + web search 2026-08-17,| Priorytet: B8 2026-09-03 ✅ FROZEN (API),
SK,SK-B-008,"NOBA – SMOKER, s.r.o.",Trenčín,"Kasárenská 345, 911 05 Trenčín, Słowacja",http://www.smoker.sk,green|200|542ms,średni,🔴,"OR OS Trenčín, Odd. Sro, Vl. 19572/R (IČO: 36848719)",SK2022463300,,hurtownik,,,4,B8,średni,wysoki,Hurt B2B ogólnokrajowy,,Ing. Pavol Stiksa,Konateľ / Štatutárny orgán,,smoker@smoker.sk,+421 32 743 0011,"Krajowy dystrybutor FMCG, napojów oraz wyrobów tytoniowych w Trenčínie. | marki_nabijarki: Tabakové výrobky, Nápoje, Potraviny, Fajčiarske potreby",,,,,2026-08-17,Direct EU Cargo Logistics,KRS API / CEIDG API + web search 2026-08-17,| Priorytet: B8 2026-09-03 ✅ FROZEN (API),
SK,SK-B-009,"D.A. PRESS, spol. s r.o.",Malacky,"Cesta mládeže 2025, 901 01 Malacky, Słowacja",http://www.dapress.sk,green|200|545ms,średni,🔴,"OR OS Bratislava I, Odd. Sro, Vl. 7315/B (IČO: 34115595)",SK2020357933,,hurtownik,,,4,B8,średni,wysoki,Hurt B2B regionalny,,Mgr. Josef Hloušek,Konateľ / Štatutárny orgán,,dapress@dapress.sk,+421 34 772 2211,"Regionalny dystrybutor prasy i wyrobów tytoniowych w Malackach. | marki_nabijarki: Distribúcia tlače, Tabak, Cigary, Doplnkový tovar",,,,,2026-08-17,Direct EU Import,KRS API / CEIDG API + web search 2026-08-17,| Priorytet: B8 2026-09-03 ✅ FROZEN (API),
SK,SK-B-010,SPODOS spol. s r. o.,Topoľčany,"Pod kalváriou 4528/8A, 955 01 Topoľčany, Słowacja",http://www.spodos.sk,red|500,średni,🔴,"OR OS Nitra, Odd. Sro, Vl. 1563/N (IČO: 30997666)",SK2020419115,,hurtownik,,,4,B8,średni,wysoki,Hurt B2B regionalny,,Ing. František Chrkavý,Konateľ / Štatutárny orgán,,spodos@spodos.sk,+421 38 532 5511,"Hurtownia FMCG i wyrobów tytoniowych w Topoľčanach. | marki_nabijarki: FMCG, Tabakové výrobky, Potraviny",,,,,2026-08-17,Direct EU Cargo Logistics,KRS API / CEIDG API + web search 2026-08-17,| Priorytet: B8 2026-09-03 ✅ FROZEN (API),
