score,whale,country,iso,id,name,miasto,kategoria,tier,powinowactwo,wolumen,confidence,kanal,email,telefon,www,www_status,decydent,notatki,flagi
10,✓,Słowacja,SK,SK-B-001,"GECO, s. r. o.",Bratislava,B8,hurtownik,5,średni,🔴,Hurt B2B ogólnokrajowy & sieć trafik,info@geco.sk,+421 2 5465 1111,https://www.geco.sk,green|200|386ms,Zdenko Kalman,Wiodąca sieć trafik i saloników prasowych oraz hurtownia zintegrowana z GECO Czechy.,(VIES / FinStat) 2026-08-31 ✅ FROZEN (API)
10,✓,Słowacja,SK,SK-B-008,"NOBA – SMOKER, s.r.o.",Trenčín,B8,hurtownik,4,średni,🔴,Hurt B2B ogólnokrajowy,smoker@smoker.sk,+421 32 743 0011,http://www.smoker.sk,green|200|542ms,Ing. Pavol Stiksa,"Krajowy dystrybutor FMCG, napojów oraz wyrobów tytoniowych w Trenčínie.",| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
10,✓,Słowacja,SK,SK-B-013,"JTI Slovak Republic, s.r.o.",Bratislava,B9,hurtownik,5,średni,🔴,Hurt ogólnokrajowy,info.sk@jti.com,+421 2 5824 0111,https://www.jti.com,red|429,Cedric Chucri,Oddział koncernu Japan Tobacco International na Słowacji.,(VIES / FinStat) 2026-08-31 ✅ FROZEN (API)
10,✓,Słowacja,SK,SK-B-014,Imperial Brands Slovakia a. s.,Bratislava,B9,hurtownik,5,średni,🔴,Hurt ogólnokrajowy,info@sk.imptob.com,+421 2 5823 8111,https://www.imperialbrandsplc.com,red|404,Vernon Little,Oddział Imperial Brands (właściciel marki Rizla i tytoni) na Słowacji.,(VIES / FinStat) 2026-08-31 ✅ FROZEN (API)
10,✓,Słowacja,SK,SK-B-015,Philip Morris Slovakia s.r.o.,Bratislava,B9,hurtownik,5,średni,🔴,Hurt ogólnokrajowy,infoline.sk@pmi.com,+421 2 5828 0111,https://www.pmi.com,green|200|205ms,Martin Medveď,Oddział Philip Morris International na Słowacji.,(VIES / FinStat) 2026-08-31 ✅ FROZEN (API)
5,,Słowacja,SK,SK-B-002,"TOPPRES D.A., spol. s r.o.",Banská Bystrica,B8,hurtownik,4,średni,🔴,Hurt B2B regionalny & maloobchod,toppres@toppres.sk,+421 48 414 1788,http://www.toppres.sk,green|200|539ms,Ing. Boris Mrekaj,Kluczowy regionalny hurtownik i dystrybutor tytoniowo-prasowy w Banskiej Bystrzycy i Zvoleniu.,| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
5,,Słowacja,SK,SK-B-003,"T-PRESS, spol. s r.o.",Trnava,B8,hurtownik,4,średni,🔴,Hurt B2B (Veľkosklad) & dystrybucja,velkosklad@t-press.sk,+421 33 551 3716,https://www.t-press.sk,green|200|628ms,RNDr. Ľubica Bačová,Regionalny dystrybutor prasy i wyrobów tytoniowych z własnym wielkoskładem w Trnawie.,| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
5,,Słowacja,SK,SK-B-004,"D.A. CZVEDLER, spol. s r.o.",Šamorín,B8,hurtownik,4,średni,🔴,Hurt B2B & sieć trafík,sekretariat@czvedler.sk,+421 31 591 2716,https://www.czvedler.sk,green|200|880ms,Libor Hradil,Dystrybutor wyrobów tytoniowych i prasy oraz operator sieci saloników w rejonie Dunajská Streda / Šamorín.,| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
5,,Słowacja,SK,SK-B-005,MY & MI s. r. o. (Dom Cigár),Bratislava,B4,hurtownik,4,średni,🔴,Hurt B2B & sieć Dom Cigár,info@domcigar.sk,+421 2 4445 4220,https://www.domcigar.sk,green|200|404ms,Ing. Miroslav Bajtoš,"Wiodący importer i dystrybutor cygar, fajek i akcesoriów dla palaczy z salonami Dom Cigár.",(VIES / FinStat) 2026-08-31 ✅ FROZEN (API)
5,,Słowacja,SK,SK-B-006,"Vaprio.sk, s.r.o.",Bratislava,B6,hurtownik,4,średni,🔴,Hurt B2B & sieť salonov,b2b@vaprio.sk,+421 2 20 63 33 00,https://www.vaprio.sk,green|200|230ms,Peter Štefánik,Wiodąca sieć salonów i hurtownia B2B produktów vape i e-liquidów na Słowacji.,(VIES / FinStat) 2026-08-31 ✅ FROZEN (API)
5,,Słowacja,SK,SK-B-007,CONTINENTAL TOBACCO SLOVAKIA s. r. o.,Rimavská Sobota,B8,producent,5,średni,🔴,Hurt B2B & eksport,info@continental.sk,+421 47 563 1111,http://www.continental.hu,red|405,Mária Kováčová,Oficjalny producent i dystrybutor wyrobów tytoniowych i tytoniu RYO z własnym składem podatkowym. | Profil/Sourcing: Daňový sklad & Výroba (Colný úrad SK),| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
5,,Słowacja,SK,SK-B-009,"D.A. PRESS, spol. s r.o.",Malacky,B8,hurtownik,4,średni,🔴,Hurt B2B regionalny,dapress@dapress.sk,+421 34 772 2211,http://www.dapress.sk,green|200|545ms,Mgr. Josef Hloušek,Regionalny dystrybutor prasy i wyrobów tytoniowych w Malackach.,| Priorytet: B8 2026-08-31 ✅ FROZEN (API)
