related_to,rok_zalozenia,id_unikalne,kategoria,nazwa_firmy,kraj,miasto,adres,nip_vat,rejestr_id,www,kanal_zamiennik,email,telefon,linkedin,facebook,instagram,tiktok,tier,marki_nabijarki,marka_wlasna_oem,sourcing,wolumen,confidence_wolumen,kanal_sprzedaży,powinowactwo_nabijarki,cross_sell_potential,decydent,stanowisko,email_decydent,zrodlo_danych,data_weryfikacji,flagi,notatki,rynek_skala
,,SI-A-001,A1,TOBAČNA LJUBLJANA d.o.o.,SI,Ljubljana,"Cesta 24. junija 90, 1000 Ljubljana, Slovenija",SI80417515,Davčna št. 80417515,https://www.tobacna.si,,info@tobacna.si,+386 1 477 71 00,,,,,hurtownik,PowerMatic | Rizla | Mascotte,,,Bardzo duży,,,,,,,,KRS API / CEIDG API + web search 2026-08-12,2026-08-12,2026-08-13 ✅ FROZEN (API),Główny narodowy dystrybutor tytoniowy w Słowenii obsługujący sieć trafík i hurtowni.,Bardzo duży
,,SI-A-002,A2,Tobačna Grosist d.o.o.,SI,Ljubljana,"Cesta 24. junija 90, 1000 Ljubljana, Slovenija",SI31627528,Davčna št. 31627528,https://www.tobacna-grosist.si,,grosist@tobacna.si,+386 1 477 72 00,,,,,hurtownik,PowerMatic | Rizla | Gizeh,,,Duży,,,,,,,,KRS API / CEIDG API + web search 2026-08-12,2026-08-12,2026-08-13 ✅ FROZEN (API),Hurtowy pion dystrybucji tytoniu i akcesoriów zwijających w Słowenii.,Duży
,,SI-B-003,A1,"MERCATOR d.o.o., CASH&CARRY VELEPRODAJA LJUBLJANA",SI,,,,ChIJzWRoq9wyZUcRD91PY7gd9Xg,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: stroji za polnjenje cigaret veleprodaja Ljubljana (ID: ChIJzWRoq9wyZUcRD91PY7gd9Xg),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,SI-B-004,A1,Hiper Trade,SI,,,,ChIJYdI702MyZUcRZQSXSE7_vT0,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: stroji za polnjenje cigaret veleprodaja Ljubljana (ID: ChIJYdI702MyZUcRZQSXSE7_vT0),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,SI-B-005,A1,"Tobačna grosist d.o.o., tobačna ulica 5, Ljubljana",SI,,,,ChIJJ8CssV0tZUcRhdhU7wiWPTU,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: tobačni pribor veleprodaja Slovenija distributer (ID: ChIJJ8CssV0tZUcRhdhU7wiWPTU),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,SI-B-006,A1,"Tabakum Export-Import Novo mesto d.o.o., podjetje za proizvodnjo in prodajo",SI,,,,ChIJd8ytdlJVZEcR2pa7Irbca4E,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: tobačni pribor veleprodaja Slovenija distributer (ID: ChIJd8ytdlJVZEcR2pa7Irbca4E),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,SI-B-007,A1,Havana Cigar Point,SI,,,,ChIJ2T6mKGEtZUcReVkndiMBP5A,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: tobačni pribor veleprodaja Slovenija distributer (ID: ChIJ2T6mKGEtZUcReVkndiMBP5A),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,SI-B-008,A1,BELIDIM - Premium Vape & CBD shop,SI,,,,ChIJUW4Ax955b0cRxoIC5wnWMJU,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: tobačni pribor veleprodaja Slovenija distributer (ID: ChIJUW4Ax955b0cRxoIC5wnWMJU),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,SI-B-009,A1,Tobacco 3DVA d.o.o.,SI,,,,ChIJFZqNQRkzZUcR2jubusZLRs4,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: tobačni pribor veleprodaja Slovenija distributer (ID: ChIJFZqNQRkzZUcR2jubusZLRs4),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
,,SI-B-013,A1,JT International Ljubljana,SI,,,,ChIJlWJyTt0yZUcR-0_rFMDnL-c,,,,,,,,,hurtownik,,,,,,,,,,,,Google Maps Search [A]: tobačni pribor veleprodaja Slovenija distributer (ID: ChIJlWJyTt0yZUcR-0_rFMDnL-c),2026-08-14,2026-08-14 ⚠️ DO-WERYFIKACJI,,duży
