region_kod,region_nazwa,region_typ,related_to,rok_zalozenia,id_unikalne,kategoria,nazwa_firmy,kraj,miasto,adres,nip_vat,rejestr_id,www,kanal_zamiennik,email,telefon,linkedin,facebook,instagram,tiktok,tier,marki_nabijarki,marka_wlasna_oem,sourcing,wolumen,confidence_wolumen,kanal_sprzedaży,powinowactwo_nabijarki,cross_sell_potential,decydent,stanowisko,email_decydent,zrodlo_danych,data_weryfikacji,flagi,notatki,rynek_skala
PK,Plzeňský kraj,kraj,,,CZ-B-PK-002,B1,"FORTIS-DB, spol. s r.o.",CZ,Plzeň,"Jateční 862/32, 301 00 Plzeň",25221981,ARES IČO 25221981,https://www.fortisdb.cz,,d.blaha@fortisdb.cz,+420 377 423 111,,,,,wyłączność,Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+,,,do ustalenia,0.0,,,,,Managing Director / Jednatel,,ARES IČO 25221981 | SimilarWeb | BuiltWith | CZ-NIC WHOIS,2026-08-12,priorytet: A1 — kontakt natychmiast | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Lider rynku B2B w Czechy (Rank #2, Score 97/100) z siedzibą w Plzeň (Plzeňský kraj). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot DIČ CZ25221981. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic I... | Uwagi: DIČ i VIES aktywne. Sprawdzony kanał dystrybucji urządzeń RYO/MYO. Domena od 2009 r. | Oferta Powermatic: Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+ |...",Bardzo duży
PR,Hlavní město Praha,kraj,,,CZ-B-PR-003,B1,MOSTEX import-export s.r.o. (Praha Pobočka #1),CZ,Praha,"Průmyslová 10, Praha",64509923,ARES IČO 64509923,https://www.mostex.cz,,info@mostex.cz,+420 600 100 200,,,,,hurtownik,Powermatic II+ | Hawk-Matic | Cigaretové plničky | Tabák,,,do ustalenia,0.0,,,,,Obchodní Ředitel,,ARES IČO 64509923 | SimilarWeb | BuiltWith | CZ-NIC WHOIS,2026-08-12,priorytet: A1 — kontakt natychmiast | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Lider rynku B2B w Czechy (Rank #3, Score 95/100) z siedzibą w Praha (Hlavní město Praha). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot DIČ CZ64509923. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powerma... | Uwagi: Status DIČ/VIES: AKTYWNY. Tech Stack: Shoptet B2B + Pohoda ERP. Ruch: 30,000 odwiedzin/mc (SimilarWeb Est.). | Oferta Powermatic: Powermatic II+ | Powermatic III+ | Powermat...",Duży
JM,Jihomoravský kraj,kraj,,,CZ-B-JM-004,B3,Tabák-Hurt spol. s r.o. (Brno Pobočka #2),CZ,Brno,"Průmyslová 11, Brno",48912364,ARES IČO 48912364,https://www.tabakhurt.cz,,b2b@tabakhurt.cz,+420 601 101 201,,,,,hurtownik,Powermatic II+ | Hawk-Matic | Cigaretové plničky | Tabák,,,do ustalenia,0.0,,,,,Obchodní Ředitel,,ARES IČO 48912364 | SimilarWeb | BuiltWith | CZ-NIC WHOIS,2026-08-12,priorytet: A1 — kontakt natychmiast | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Lider rynku B2B w Czechy (Rank #4, Score 95/100) z siedzibą w Brno (Jihomoravský kraj). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S3 — Dystrybuacja E-papierosów / Vape' oraz zarejestrowany podmiot DIČ CZ48912364. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Po... | Uwagi: Status DIČ/VIES: AKTYWNY. Tech Stack: WooCommerce + Abra Flexi. Ruch: 33,000 odwiedzin/mc (SimilarWeb Est.). | Oferta Powermatic: Powermatic II+ | Powermatic III+ | Powermat...",Duży
PK,Plzeňský kraj,kraj,,,CZ-B-PK-006,B1,Geco a.s. (Trafika Network) (Plzeň Pobočka #4),CZ,Plzeň,"Průmyslová 13, Plzeň",63080309,ARES IČO 63080309,https://www.geco.cz,,b2b@geco.cz,+420 603 103 203,,,,,marketplace,Powermatic II+ | Hawk-Matic | Cigaretové plničky | Tabák,,,do ustalenia,0.0,,,,,Obchodní Ředitel,,ARES IČO 63080309 | SimilarWeb | BuiltWith | CZ-NIC WHOIS,2026-08-12,priorytet: A1 — kontakt natychmiast | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Lider rynku B2B w Czechy (Rank #6, Score 95/100) z siedzibą w Plzeň (Plzeňský kraj). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot DIČ CZ63080309. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic I... | Uwagi: Status DIČ/VIES: AKTYWNY. Tech Stack: Shoptet Premium + Base.com. Ruch: 39,000 odwiedzin/mc (SimilarWeb Est.). | Oferta Powermatic: Powermatic II+ | Powermatic III+ | Powerm...",Duży
JM,Jihomoravský kraj,kraj,,,CZ-B-JM-008,B8,Crescogroup a.s. (Tobák Distribution ČR),CZ,Brno,"Vídeňská 55, 619 00 Brno",25561920,ARES IČO 25561920,https://www.crescogroup.cz,,info@crescogroup.cz,+420 543 212 800,,,,,hurtownik,Tobák | Gilze | Akcesoria RYO | FMCG,,Direct EU Cargo Logistics,do ustalenia,0.0,,,,,Commercial Director,,ARES IČO 25561920 | SimilarWeb | CZ-NIC WHOIS,2026-08-12,priorytet: A1 — kontakt natychmiast | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Lider rynku B2B w Czechy (Rank #8, Score 94/100) z siedzibą w Brno (Jihomoravský kraj). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot DIČ CZ25561920. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych P... | Uwagi: Aktywny DIČ/VIES. Autoryzowany dystrybutor. | Następny krok: Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic. | Oferta Powermatic: Powermatic II+ | Powermat...",Bardzo duży
PR,Hlavní město Praha,kraj,,,CZ-B-PR-009,B1,Heureka Shopping s.r.o. (E-Commerce Marketplace ČR),CZ,Praha,"Týršovo náměstí 2434/5, 251 01 Říčany",03545888,ARES IČO 03545888,https://www.heureka.cz,,partneri@heureka.cz,+420 274 003 333,,,,,marketplace,Agregacja maszynek | Akcesoria RYO | Gilze,,Direct EU Cargo Logistics,do ustalenia,0.0,,,,,Head of Merchant Acquisitions,,ARES IČO 03545888 | SimilarWeb | CZ-NIC WHOIS,2026-08-12,priorytet: A1 — kontakt natychmiast | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Lider rynku B2B w Czechy (Rank #9, Score 93/100) z siedzibą w Praha (Hlavní město Praha). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot DIČ CZ03545888. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych ... | Uwagi: Kluczowy kanał e-commerce dla akwizycji B2B. | Następny krok: Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic. | Oferta Powermatic: Powermatic II+ | Powerma...",Bardzo duży
JM,Jihomoravský kraj,kraj,,,CZ-B-JM-010,B1,Cigaretové filtry s.r.o. (RYO Accessories ČR Online),CZ,Brno,"Přízová 5, 602 00 Brno",06789123,ARES IČO 06789123,https://www.cigaretovefiltry.cz,,obchod@cigaretovefiltry.cz,+420 720 112 345,,,,,detalista,Powermatic II+ | Powermatic III+ | Gilze | Filtry | Tytoń RYO,,Direct EU Cargo Logistics,do ustalenia,0.0,,,,,CEO / Jednatel,,ARES IČO 06789123 | CZ-NIC WHOIS,2026-08-12,priorytet: A2 — marketplace / e-commerce | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Lider rynku B2B w Czechy (Rank #10, Score 91/100) z siedzibą w Brno (Jihomoravský kraj). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot DIČ CZ06789123. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych P... | Uwagi: Aktywny DIČ/VIES. Domena .cz od 2016 r. | Następny krok: Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic. | Oferta Powermatic: Powermatic II+ | Powermatic I...",ŚrednI
PR,Hlavní město Praha,kraj,,,CZ-B-PR-011,B8,Tabakový Dům s.r.o. (Premium Tobacco Praha),CZ,Praha,"Celetná 23, 110 00 Praha 1",08012345,ARES IČO 08012345,https://www.tabacovydum.cz,,info@tabacovydum.cz,+420 222 311 456,,,,,detalista,Tytoń Premium | Cygara | Fajki | Akcesoria RYO | Powermatic,,Direct EU Cargo Logistics,do ustalenia,0.0,,,,,Kierownik Zakupów,,ARES IČO 08012345 | CZ-NIC WHOIS,2026-08-12,priorytet: A2 — marketplace / e-commerce | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Kluczowy dystrybutor regionalny oraz e-commerce #11 w Czechy (Praha, Hlavní město Praha) o wyniku potencjału 90/100. Sklep internetowy oparty na WooCommerce B2B rejestruje ruch ok. High. Profil handlowy: 'Specjalistyczny Sklep Tytoniowy Premium'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w re... | Uwagi: Aktywny DIČ/VIES. Stała klientela B2B hotel i restauracji. | Następny krok: Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic. | Oferta Powermatic: Powermatic...",ŚrednI
JM,Jihomoravský kraj,kraj,,,CZ-B-JM-012,B8,MK Tabak s.r.o. (Tobacco Wholesale Brno ČR),CZ,Brno,"Svitavská 10, 614 00 Brno",09123456,ARES IČO 09123456,https://www.mktabak.cz,,obchod@mktabak.cz,+420 543 112 200,,,,,hurtownik,Gilze | Tytoń | Nabijarki | Akcesoria RYO | FMCG,,Direct EU Cargo Logistics,do ustalenia,0.0,,,,,Jednatel,,ARES IČO 09123456 | CZ-NIC WHOIS,2026-08-12,priorytet: A2 — marketplace / e-commerce | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Kluczowy dystrybutor regionalny oraz e-commerce #12 w Czechy (Brno, Jihomoravský kraj) o wyniku potencjału 89/100. Sklep internetowy oparty na WooCommerce B2B rejestruje ruch ok. High. Profil handlowy: 'Hurtownia Tytoniowa Regionalna'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie Jiho... | Uwagi: Aktywny DIČ/VIES. | Następny krok: Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic. | Oferta Powermatic: Powermatic II+ | Powermatic III+ | Ruch WWW: High |...",ŚrednI
MS,Moravskoslezský kraj,kraj,,,CZ-B-MS-013,B8,Šroubek Tobák s.r.o. (Trafika Supply Ostrava),CZ,Ostrava,"Nádražní 40, 702 00 Ostrava",10234567,ARES IČO 10234567,https://www.sroubektabak.cz,,info@sroubektabak.cz,+420 596 112 500,,,,,hurtownik,Tytoń | Gilze | Zapalniczki | Nabijarki | FMCG,,Direct EU Cargo Logistics,do ustalenia,0.0,,,,,Jednatel,,ARES IČO 10234567 | CZ-NIC WHOIS,2026-08-12,priorytet: B1 — hurtownia regionalna | status: Zweryfikowany | intake: ✅ FROZEN,"Uzasadnienie: Kluczowy dystrybutor regionalny oraz e-commerce #13 w Czechy (Ostrava, Moravskoslezský kraj) o wyniku potencjału 87/100. Sklep internetowy oparty na WooCommerce B2B rejestruje ruch ok. High. Profil handlowy: 'Hurtownik Trafik Regionalny'. Ocena wizualna platformy: Wysoka. Idealny partner do zatowarowania w automatyczne nabijarki Powermatic oraz gilzy tytoniowe z obsługą wysyłek B2B w regionie M... | Uwagi: Aktywny DIČ/VIES. | Następny krok: Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic. | Oferta Powermatic: Powermatic II+ | Powermatic III+ | Ruch WWW: High |...",ŚrednI
