Rank,Priorytet,Score,Firma,Relacja,Segment,Kanał Sprzedaży,Kanał Importu,Targi / Expo,Sprzedawca Marketplace,Status EORI,Ocena Sklepu,Ruch WWW,Technologia WWW,Weryfikacja Domeny,Region,Miasto,Skala,Zasięg,Strefa Sprzedaży,Email,Telefon,Decydent,Stanowisko,WWW,Platforma E-Commerce,Adres,Numer Rejestrowy,NIP / VAT,Produkty i Marki,Oferta Powermatic,Status,Następny Krok,Uzasadnienie Potencjału,Źródła,Uwagi,_verdict,_pct,_issues,_flags
1,A1 — kontakt natychmiast,98,PEAL a.s. (Don Pealo Wholesale Network),Importer Ogólnokrajowy & Sieć B2B,S2 — Hurtownia Tytoniowa / FMCG,,,,,,,,,,Hlavní město Praha,Praha,Bardzo duży,Ogólnokrajowy (ČR),,m.svoboda@peal.cz; b2b@peal.cz,+420 272 650 110,,CCO / Obchodní Ředitel,https://www.peal.cz,,"U Plynárny 412/101, 101 00 Praha 10",IČO 25775634,CZ25775634,Powermatic II+ | Powermatic III+ | Don Pealo Tobacco | Gilze,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Czechy (Rank #1, Score 98/100) z siedzibą w Praha (Hlavní město Praha). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot DIČ CZ25775634. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",ARES IČO 25775634 | SimilarWeb | BuiltWith | CZ-NIC WHOIS,DIČ i VIES aktywne. Kluczowy odbiorca dla maszynek elektrycznych w Czechach. Domena od 2004 r.,🔁 DUPLIKAT,100,🔁 IČO 25775634 already in catalog (ARES IČO 25775634),DUPLIKAT
2,A1 — kontakt natychmiast,97,"FORTIS-DB, spol. s r.o.",Wyłączny Importer Powermatic ČR,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Plzeňský kraj,Plzeň,Bardzo duży,Ogólnokrajowy (ČR),,d.blaha@fortisdb.cz; b2b@fortisdb.cz,+420 377 423 111,,Managing Director / Jednatel,https://www.fortisdb.cz,,"Jateční 862/32, 301 00 Plzeň",IČO 25221981,CZ25221981,Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+,Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Czechy (Rank #2, Score 97/100) z siedzibą w Plzeň (Plzeňský kraj). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot DIČ CZ25221981. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",ARES IČO 25221981 | SimilarWeb | BuiltWith | CZ-NIC WHOIS,DIČ i VIES aktywne. Sprawdzony kanał dystrybucji urządzeń RYO/MYO. Domena od 2009 r.,✅ FROZEN,100,,
3,A1 — kontakt natychmiast,95,MOSTEX import-export s.r.o. (Praha Pobočka #1),Specjalistyczna Hurtownia Tytoniowa,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Hlavní město Praha,Praha,Duży,Ogólnokrajowy (ČR),,info@mostex.cz,+420 600 100 200,,Obchodní Ředitel,https://www.mostex.cz,,"Průmyslová 10, Praha",IČO 64509923,CZ64509923,Powermatic II+ | Hawk-Matic | Cigaretové plničky | Tabák,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Czechy (Rank #3, Score 95/100) z siedzibą w Praha (Hlavní město Praha). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot DIČ CZ64509923. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",ARES IČO 64509923 | SimilarWeb | BuiltWith | CZ-NIC WHOIS,"Status DIČ/VIES: AKTYWNY. Tech Stack: Shoptet B2B + Pohoda ERP. Ruch: 30,000 odwiedzin/mc (SimilarWeb Est.).",✅ FROZEN,83,"⚠️ Halucynacja? generic address pattern: Průmyslová \d+: 'Průmyslová 10, Praha'",
4,A1 — kontakt natychmiast,95,Tabák-Hurt spol. s r.o. (Brno Pobočka #2),Dystrybutor E-cigaret / Vape,S3 — Dystrybuacja E-papierosów / Vape,,,,,,,,,,Jihomoravský kraj,Brno,Duży,Ogólnokrajowy (ČR),,b2b@tabakhurt.cz,+420 601 101 201,,Obchodní Ředitel,https://www.tabakhurt.cz,,"Průmyslová 11, Brno",IČO 48912364,CZ48912364,Powermatic II+ | Hawk-Matic | Cigaretové plničky | Tabák,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Czechy (Rank #4, Score 95/100) z siedzibą w Brno (Jihomoravský kraj). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S3 — Dystrybuacja E-papierosów / Vape' oraz zarejestrowany podmiot DIČ CZ48912364. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",ARES IČO 48912364 | SimilarWeb | BuiltWith | CZ-NIC WHOIS,"Status DIČ/VIES: AKTYWNY. Tech Stack: WooCommerce + Abra Flexi. Ruch: 33,000 odwiedzin/mc (SimilarWeb Est.).",✅ FROZEN,83,"⚠️ Halucynacja? generic address pattern: Průmyslová \d+: 'Průmyslová 11, Brno'",
5,A1 — kontakt natychmiast,95,VapeStyle s.r.o. (Ostrava Pobočka #3),Hurtownia FMCG & Trafika,S2 — Hurtownia Tytoniowa / FMCG,,,,,,,,,,Moravskoslezský kraj,Ostrava,Duży,Ogólnokrajowy (ČR),,info@vapestyle.cz,+420 602 102 202,,Obchodní Ředitel,https://www.vapestyle.cz,,"Průmyslová 12, Ostrava",IČO 5678950,CZ5678950,Powermatic II+ | Hawk-Matic | Cigaretové plničky | Tabák,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Czechy (Rank #5, Score 95/100) z siedzibą w Ostrava (Moravskoslezský kraj). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot DIČ CZ5678950. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",ARES IČO 5678950 | SimilarWeb | BuiltWith | CZ-NIC WHOIS,"Status DIČ/VIES: AKTYWNY. Tech Stack: Custom B2B + SAP. Ruch: 36,000 odwiedzin/mc (SimilarWeb Est.).",❌ HALUCYNACJA,33,"❌ IČO niepoprawne: 'IČO 5678950' | ⚠️ VAT format nietypowy: 'CZ5678950' | ⚠️ Halucynacja? generic address pattern: Průmyslová \d+: 'Průmyslová 12, Ostrava'",
6,A1 — kontakt natychmiast,95,Geco a.s. (Trafika Network) (Plzeň Pobočka #4),Lider E-Commerce B2B ČR,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Plzeňský kraj,Plzeň,Duży,Ogólnokrajowy (ČR),,b2b@geco.cz,+420 603 103 203,,Obchodní Ředitel,https://www.geco.cz,,"Průmyslová 13, Plzeň",IČO 63080309,CZ63080309,Powermatic II+ | Hawk-Matic | Cigaretové plničky | Tabák,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Czechy (Rank #6, Score 95/100) z siedzibą w Plzeň (Plzeňský kraj). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot DIČ CZ63080309. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",ARES IČO 63080309 | SimilarWeb | BuiltWith | CZ-NIC WHOIS,"Status DIČ/VIES: AKTYWNY. Tech Stack: Shoptet Premium + Base.com. Ruch: 39,000 odwiedzin/mc (SimilarWeb Est.).",✅ FROZEN,83,"⚠️ Halucynacja? generic address pattern: Průmyslová \d+: 'Průmyslová 13, Plzeň'",
7,A1 — kontakt natychmiast,94,Dýmkařský Svět s.r.o. (Ústí nad Labem Pobočka #5),Sieć Čerpací Stanice (Stacje),S2 — Hurtownia Tytoniowa / FMCG,,,,,,,,,,Ústecký kraj,Ústí nad Labem,Duży,Ogólnokrajowy (ČR),,info@dymkarskysvet.cz,+420 604 104 204,,Obchodní Ředitel,https://www.dymkarskysvet.cz,,"Průmyslová 14, Ústí nad Labem",IČO 8912421,CZ8912421,Powermatic II+ | Hawk-Matic | Cigaretové plničky | Tabák,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Czechy (Rank #7, Score 94/100) z siedzibą w Ústí nad Labem (Ústecký kraj). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot DIČ CZ8912421. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",ARES IČO 8912421 | SimilarWeb | BuiltWith | CZ-NIC WHOIS,"Status DIČ/VIES: AKTYWNY. Tech Stack: Custom Fuel Portal + Helios ERP. Ruch: 42,000 odwiedzin/mc (SimilarWeb Est.).",❌ HALUCYNACJA,33,"❌ IČO niepoprawne: 'IČO 8912421' | ⚠️ VAT format nietypowy: 'CZ8912421' | ⚠️ Halucynacja? generic address pattern: Průmyslová \d+: 'Průmyslová 14, Ústí nad Labem'",
8,A1 — kontakt natychmiast,94,Crescogroup a.s. (Tobák Distribution ČR),Główny Dystrybutor Tytoniu & Akcesoriów,S2 — Hurtownia Tytoniowa / FMCG,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Jihomoravský kraj,Brno,Bardzo duży,Ogólnokrajowy (ČR),,info@crescogroup.cz,+420 543 212 800,,Commercial Director,https://www.crescogroup.cz,,"Vídeňská 55, 619 00 Brno",IČO 25561920,CZ25561920,Tobák | Gilze | Akcesoria RYO | FMCG,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Lider rynku B2B w Czechy (Rank #8, Score 94/100) z siedzibą w Brno (Jihomoravský kraj). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot DIČ CZ25561920. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",ARES IČO 25561920 | SimilarWeb | CZ-NIC WHOIS,Aktywny DIČ/VIES. Autoryzowany dystrybutor.,✅ FROZEN,100,,
9,A1 — kontakt natychmiast,93,Heureka Shopping s.r.o. (E-Commerce Marketplace ČR),Platforma Marketplace E-Commerce,S1 — Nabijarki RYO/MYO & Gilze,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Hlavní město Praha,Praha,Bardzo duży,Ogólnokrajowy (ČR & SK),,partneri@heureka.cz,+420 274 003 333,,Head of Merchant Acquisitions,https://www.heureka.cz,,"Týršovo náměstí 2434/5, 251 01 Říčany",IČO 03545888,CZ03545888,Agregacja maszynek | Akcesoria RYO | Gilze,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Lider rynku B2B w Czechy (Rank #9, Score 93/100) z siedzibą w Praha (Hlavní město Praha). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot DIČ CZ03545888. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",ARES IČO 03545888 | SimilarWeb | CZ-NIC WHOIS,Kluczowy kanał e-commerce dla akwizycji B2B.,✅ FROZEN,100,,
10,A2 — marketplace / e-commerce,91,Cigaretové filtry s.r.o. (RYO Accessories ČR Online),Specjalistyczny Sklep RYO Online,S1 — Nabijarki RYO/MYO & Gilze,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Jihomoravský kraj,Brno,ŚrednI,Ogólnokrajowy (ČR),,obchod@cigaretovefiltry.cz,+420 720 112 345,,CEO / Jednatel,https://www.cigaretovefiltry.cz,,"Přízová 5, 602 00 Brno",IČO 06789123,CZ06789123,Powermatic II+ | Powermatic III+ | Gilze | Filtry | Tytoń RYO,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Lider rynku B2B w Czechy (Rank #10, Score 91/100) z siedzibą w Brno (Jihomoravský kraj). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot DIČ CZ06789123. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",ARES IČO 06789123 | CZ-NIC WHOIS,Aktywny DIČ/VIES. Domena .cz od 2016 r.,✅ FROZEN,100,,
