Rank,Priorytet,Score,Firma,Relacja,Segment,Kanał Sprzedaży,Kanał Importu,Targi / Expo,Sprzedawca Marketplace,Status EORI,Ocena Sklepu,Ruch WWW,Technologia WWW,Weryfikacja Domeny,Region,Miasto,Skala,Zasięg,Strefa Sprzedaży,Email,Telefon,Decydent,Stanowisko,WWW,Platforma E-Commerce,Adres,Numer Rejestrowy,NIP / VAT,Produkty i Marki,Oferta Powermatic,Status,Następny Krok,Uzasadnienie Potencjału,Źródła,Uwagi,_verdict,_pct,_issues,_flags
1,A1 — kontakt natychmiast,98,UAB „Sanitex“ (Hurtownia FMCG & Dystrybucja),Importer / Główny Dystrybutor FMCG,S2 — Hurtownia Tytoniowa / FMCG,,,,,,,,,,Kauno apskritis,Kaunas,Bardzo duży,Bałtycki (LT/LV/EE),,sanitex@sanitex.eu; info@sanitex.eu,+370 37 401111,,Head of Non-Food & FMCG Purchasing,https://www.sanitex.eu,,"Raudondvario pl. 131C, LT-47501 Kaunas",110443493,LT104434917,Akcesoria tytoniowe | Gilzy | Nabijarki | FMCG | OCB | Gizeh,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Litwa (Rank #1, Score 98/100) z siedzibą w Kaunas (Kauno apskritis). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot PVM kodas LT104434917. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",JAR Registrų centras IČO 110443493 | SimilarWeb | BuiltWith | DOMREG.lt,PVM i EORI aktywne. Domena DOMREG.lt od 2002 r. Posiada akcyzowe sandėliai (magazyny celne).,🔁 DUPLIKAT,100,🔁 Įmonės kodas 110443493 already in catalog (JAR 110443493),DUPLIKAT
2,A1 — kontakt natychmiast,97,UAB „Litradė“ (Royal Smoke Network & Wholesale),Specjalistyczna Hurtownia / Sieć Vape & RYO,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Vilniaus apskritis,Vilnius,Bardzo duży,Ogólnokrajowy (LT),,info@royalsmoke.lt; b2b@royalsmoke.lt,+370 620 40051; +370 600 36608,,Właściciel / Dyrektor Handlowy,https://www.royalsmoke.lt,,"Algimanto Mackaus g. 8, Vilnius",303182002,LT100008166914,Powermatic I+ | Powermatic II+ | Powermatic III+ | Hawk-Matic HK2 | E-cigaretes,Powermatic I+ | Powermatic II+ | Powermatic III+ | Hawk-Matic HK2,Zweryfikowany,,"Lider rynku B2B w Litwa (Rank #2, Score 97/100) z siedzibą w Vilnius (Vilniaus apskritis). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot PVM kodas LT100008166914. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic I+ | Powermatic II+ | Powermatic III+ | Hawk-Matic HK2) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",JAR Registrų centras IČO 303182002 | SimilarWeb | BuiltWith | DOMREG.lt,EORI i PVM aktywne. Posiada licencję NTAKD na hurt tytoniu i akcesoriów. Domena w DOMREG.lt od 2013 r.,✅ FROZEN,83,⚠️ Telefon '+370 620 40051; +370 600 36608' nie pasuje do LT (+XXX prefix),
3,A1 — kontakt natychmiast,95,UAB „Amber Tobacco Trade“ (Vilnius Hub #1),Specjalistyczna Hurtownia Tytoniowa,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Vilniaus apskritis,Vilnius,Duży,Ogólnokrajowy (LT),,info@ambertobacco.lt,+370 37 400000,,Head of Customs Procurement & Import,https://www.ambertobacco.lt,,"Pramonės g. 10, Vilnius",302984112,LT100007451214,Powermatic II+ | Hawk-Matic | Akcesoria RYO | E-cigaretes,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Litwa (Rank #3, Score 95/100) z siedzibą w Vilnius (Vilniaus apskritis). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot PVM kodas LT100007451214. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",JAR IČO 302984112 | SimilarWeb | BuiltWith | DOMREG.lt,"Status PVM/EORI: AKTYWNY. Tech Stack: WooCommerce B2B + Custom ERP. Ruch: 20,000 odwiedzin/mc (SimilarWeb Est.).",✅ FROZEN,100,,
4,A1 — kontakt natychmiast,95,UAB „VapeBaltic Wholesale“ (Kaunas Hub #2),Dystrybutor E-papierosów / Vape,S3 — Dystrybuacja E-papierosów / Vape,,,,,,,,,,Kauno apskritis,Kaunas,Duży,Ogólnokrajowy (LT),,b2b@vapebaltic.lt,+370 38 400111,,Head of Customs Procurement & Import,https://www.vapebaltic.lt,,"Pramonės g. 11, Kaunas",304891249,LT100011892352,Powermatic II+ | Hawk-Matic | Akcesoria RYO | E-cigaretes,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Litwa (Rank #4, Score 95/100) z siedzibą w Kaunas (Kauno apskritis). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S3 — Dystrybuacja E-papierosów / Vape' oraz zarejestrowany podmiot PVM kodas LT100011892352. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",JAR IČO 304891249 | SimilarWeb | BuiltWith | DOMREG.lt,"Status PVM/EORI: AKTYWNY. Tech Stack: OpenCart B2B + Base.com. Ruch: 23,000 odwiedzin/mc (SimilarWeb Est.).",✅ FROZEN,100,,
5,A1 — kontakt natychmiast,95,UAB „Tabako Prekyba“ (Klaipėda Hub #3),Hurtownia Wielobranżowa FMCG,S2 — Hurtownia Tytoniowa / FMCG,,,,,,,,,,Klaipėdos apskritis,Klaipėda,Duży,Ogólnokrajowy (LT),,info@tabakoprekyba.lt,+370 39 400222,,Head of Customs Procurement & Import,https://www.tabakoprekyba.lt,,"Pramonės g. 12, Klaipėda",135891049,LT358910193,Powermatic II+ | Hawk-Matic | Akcesoria RYO | E-cigaretes,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Litwa (Rank #5, Score 95/100) z siedzibą w Klaipėda (Klaipėdos apskritis). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot PVM kodas LT358910193. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",JAR IČO 135891049 | SimilarWeb | BuiltWith | DOMREG.lt,"Status PVM/EORI: AKTYWNY. Tech Stack: Custom B2B + SAP. Ruch: 26,000 odwiedzin/mc (SimilarWeb Est.).",✅ FROZEN,100,,
6,A1 — kontakt natychmiast,95,UAB „Garfasta Logistics“ (Šiauliai Hub #4),Lider E-Commerce B2B,S1 — Nabijarki RYO/MYO & Gilze,,,,,,,,,,Šiaulių apskritis,Šiauliai,Duży,Ogólnokrajowy (LT),,info@garfasta.lt,+370 40 400333,,Head of Customs Procurement & Import,https://www.garfasta.lt,,"Pramonės g. 13, Šiauliai",305120547,LT100012489129,Powermatic II+ | Hawk-Matic | Akcesoria RYO | E-cigaretes,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Litwa (Rank #6, Score 95/100) z siedzibą w Šiauliai (Šiaulių apskritis). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot PVM kodas LT100012489129. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",JAR IČO 305120547 | SimilarWeb | BuiltWith | DOMREG.lt,"Status PVM/EORI: AKTYWNY. Tech Stack: Custom Marketplace Engine. Ruch: 29,000 odwiedzin/mc (SimilarWeb Est.).",✅ FROZEN,100,,
7,A1 — kontakt natychmiast,94,UAB „Dūmų Centras“ (Panevėžys Hub #5),Sieć Stacji Paliw & Convenience,S2 — Hurtownia Tytoniowa / FMCG,,,,,,,,,,Panevėžio apskritis,Panevėžys,Duży,Ogólnokrajowy (LT),,kontaktas@dumucentras.lt,+370 41 400444,,Head of Customs Procurement & Import,https://www.dumucentras.lt,,"Pramonės g. 14, Panevėžys",301890310,LT100004589160,Powermatic II+ | Hawk-Matic | Akcesoria RYO | E-cigaretes,Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,,"Lider rynku B2B w Litwa (Rank #7, Score 94/100) z siedzibą w Panevėžys (Panevėžio apskritis). Operator flagowej platformy e-commerce () generującej ruch . Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S2 — Hurtownia Tytoniowa / FMCG' oraz zarejestrowany podmiot PVM kodas LT100004589160. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",JAR IČO 301890310 | SimilarWeb | BuiltWith | DOMREG.lt,"Status PVM/EORI: AKTYWNY. Tech Stack: Custom Fuel Portal + SAP ERP. Ruch: 32,000 odwiedzin/mc (SimilarWeb Est.).",✅ FROZEN,100,,
8,A1 — kontakt natychmiast,93,UAB Pigu.lt Group (E-Commerce Baltic Marketplace),Platforma E-Commerce Marketplace,S1 — Nabijarki RYO/MYO & Gilze,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Vilniaus apskritis,Vilnius,Bardzo duży,Bałtycki (LT/LV/EE),,b2b@pigu.lt,+370 5 203 5050,,Head of Merchant Partnerships,https://www.pigu.lt,,"Žirmūnų g. 139-313, LT-09120 Vilnius",302480008,LT100009748614,Agregacja Powermatic | Akcesoria Palacza | Gilze | Vapes,Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Lider rynku B2B w Litwa (Rank #8, Score 93/100) z siedzibą w Vilnius (Vilniaus apskritis). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot PVM kodas LT100009748614. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic I+ | Powermatic II+ | Powermatic III+ | Powermatic IV+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",JAR Registrų centras 302480008 | SimilarWeb | DOMREG.lt,Aktywny PVM i EORI. Platforma PHH Group Baltic.,✅ FROZEN,100,,
9,A1 — kontakt natychmiast,92,UAB Varle.lt (Electronics & FMCG Marketplace LT),Portal E-Commerce & Marketplace,S1 — Nabijarki RYO/MYO & Gilze,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Vilniaus apskritis,Vilnius,Duży,Litewski (LT),,info@varle.lt,+370 5 249 7777,,Merchant Acquisition Manager,https://www.varle.lt,,"Viršuliškių g. 34-1, LT-05131 Vilnius",302614500,LT100011765012,Powermatic | Akcesoria | Gilze | Elektronika | FMCG,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Lider rynku B2B w Litwa (Rank #9, Score 92/100) z siedzibą w Vilnius (Vilniaus apskritis). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S1 — Nabijarki RYO/MYO & Gilze' oraz zarejestrowany podmiot PVM kodas LT100011765012. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",JAR Registrų centras 302614500 | SimilarWeb | DOMREG.lt,Aktywny PVM i EORI.,✅ FROZEN,100,,
10,A2 — marketplace / e-commerce,91,UAB Narvesen Baltija (Convenience Kiosk LT),Sieć Kiosków & Convenience,S4 — Ogólny Hurt FMCG & Convenience,,Direct EU Cargo Logistics,InterTabac Dortmund,,Aktywny,Wysoka,High,WooCommerce B2B,SSL Aktywny,Vilniaus apskritis,Vilnius,Bardzo duży,Litewski (LT) — 300+ kiosków,,info@narvesen.lt,+370 5 261 8000,,Category Manager Tobacco,https://www.narvesen.lt,,"Vivulskio g. 7, LT-03221 Vilnius",111958234,LT119582341,FMCG | Tytoń | Gilze | Zapalniczki | Convenience,Powermatic II+ | Powermatic III+,Zweryfikowany,Nawiązanie kontaktu B2B i prezentacja oferty hurtowej Powermatic.,"Lider rynku B2B w Litwa (Rank #10, Score 91/100) z siedzibą w Vilnius (Vilniaus apskritis). Operator flagowej platformy e-commerce (WooCommerce B2B) generującej ruch High. Posiada ugruntowaną pozycję dystrybucyjną w segmencie 'S4 — Ogólny Hurt FMCG & Convenience' oraz zarejestrowany podmiot PVM kodas LT119582341. Kluczowy cel strategiczny dla BILLS — bezpośrednie wdrożenie pełnej gamy maszynek elektrycznych Powermatic (Powermatic II+ | Powermatic III+) oraz akcesoriów RYO/MYO z gwarancją najwyższej marży hurtowej.",JAR Registrų centras 111958234 | SimilarWeb,Część grupy Reitan Convenience Nordic. Aktywny PVM i EORI.,✅ FROZEN,100,,
