region_kod,region_nazwa,region_typ,related_to,rok_zalozenia,id_unikalne,kategoria,nazwa_firmy,kraj,miasto,adres,nip_vat,rejestr_id,www,kanal_zamiennik,email,telefon,linkedin,facebook,instagram,tiktok,tier,marki_nabijarki,marka_wlasna_oem,sourcing,wolumen,confidence_wolumen,kanal_sprzedaży,powinowactwo_nabijarki,cross_sell_potential,decydent,stanowisko,email_decydent,zrodlo_danych,data_weryfikacji,flagi,notatki,rynek_skala
MZ,mazowieckie,województwo,,,PL-B-MZ-001,B8,Lima S.A.,PL,"Nationwide (Hq Warsaw, Branches Białystok, Jelenia Góra, Wrocław, Bydgoszcz, Lublin, Gorzów Wielkopolski (Marcinkowskiego 14E, Łódź, Kraków, Warsaw, Opole, Rzeszów, Białystok, Gdańsk, Katowice, Kielce, Olsztyn, Poznań, Koszalin","ul. Leonidasa 55/215 oraz ul. Deszczowa 2, Warszawa",,,https://lima-sa.pl,,hurtownia@lima-warszawa.com,+48 606 689 456; +48 574 666 624,,,,,reseller,,,,duży,🟢,B2B only,5,wysoki,Dział hurtowni,Sprzedaż hurtowa,,intake_PL_2026-08-10 | https://lima-warszawa.com/pl/page/kontakt | https://lima-sa.pl,,🔍,orig_uzasadnienie: Dostęp do sklepów tytoniowych i tradycyjnego handlu; zasięg ponadregionalny. | orig_uwagi: Nie potwierdzone | Status źródłowy: Niezweryfikowany | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=90 | user_orig_segment='S2 — Hurtownie tytoniowe/FMCG',duży
PD,podlaskie,województwo,,,PL-B-PD-001,B4,Eurus Sp. z o.o. / Clipper Polska,PL,Białystok,"ul. Hurtowa 8, 15-399 Białystok",5423094347,314581(?),https://www.clipperpolska.pl,,sklep@clipperpolska.pl,+48 798 522 522,,,,,autoryzowany,,,,duży,🟢,B2B only,3,średni,,,,intake_PL_2026-08-10 | https://www.clipperpolska.pl/ | https://www.eurus.com.pl/kontakt/ | https://www.clipperpolska.pl,,🔍,orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy; kompetencje importowo-dystrybucyjne. | orig_uwagi: Status źródłowy: Zweryfikowany — aktywna strona/B2B | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=88 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
SL,śląskie,województwo,,,PL-B-SL-001,B4,BetaFlame / Firma Handlowa BETA Katarzyna Ślifierz,PL,Tychy,"ul. Przemysłowa 60, 43-100 Tychy",6462019385,,https://betaflame.pl,,hurt@betaflame.pl,+48 606 920 076,,,,,autoryzowany,,,,duży,🟢,B2B only,3,średni,,,,intake_PL_2026-08-10 | https://betaflame.pl/pl/i/Regulaminy/2 | https://betaflame.pl/pl/c/Akcesoria-dla-palaczy/1198 | https://betaflame.pl,,🔍,orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy; kompetencje importowo-dystrybucyjne. | orig_uwagi: Status źródłowy: Zweryfikowany — aktywna strona/B2B | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=88 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
OP,opolskie,województwo,,,PL-B-OP-001,B4,TOM Polska Sp. z o.o.,PL,Kalisz,"ul. Drukarzy 5, 62-800 Kalisz",,,https://www.tompolska.pl,,biuro@tompolska.pl,+48 504 154 210,,,,,autoryzowany,,,,średni,🟢,B2B only,3,średni,,,,intake_PL_2026-08-10 | https://tompolska.pl/o-nas | https://tompolska.pl/kontakt | https://www.tompolska.pl,,🔍,orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy; kompetencje importowo-dystrybucyjne. | orig_uwagi: Automatycznie pobrane przez skrypt.Rekord uzupełniony i sklasyfikowany w drugim etapie researchu. | Status źródłowy: Zweryfikowany — aktywna strona | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=84 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
LB,lubuskie,województwo,,,PL-B-LB-001,B4,CK Complex B2B,PL,Ogólnopolska,"ul. Naftowa 4, 65-705 Zielona Góra",9291744080,,https://b2b.ckcomplex.pl/pl/li...,,monika.wachel@ckcomplex.pl; b2b@ckcomplex.pl,+48 511 881 411; +48 515 377 435,,,,,reseller,,,,średni,🟢,B2B only,3,średni,Monika Wachel,Dyrektor ds. sprzedaży hurtowej,,intake_PL_2026-08-10 | https://ckcomplex.pl/kontakt/ | https://b2b.ckcomplex.pl/ | https://b2b.ckcomplex.pl/pl/li...,,🔍,orig_uzasadnienie: Sprzedaż komplementarnych akcesoriów dla palaczy; zasięg ponadregionalny. | orig_uwagi: Status źródłowy: Niezweryfikowany | orig_next: Telefon do działu zakupów + personalizowany e-mail tego samego dnia | user_orig_priorytet='A1 — kontakt natychmiast' | user_orig_score=82 | user_orig_segment='S3 — Akcesoria dla palaczy/headshop',duży
SK,świętokrzyskie,województwo,,,PL-B-SK-001,B6,Fusion Labs Sp. z o.o.,PL,Masłów Pierwszy,"ul. Świętokrzyska 10A, 26-001 Masłów Pierwszy",6572968622,963058(?),https://fusion.pl,,biuro@fusion.pl,+48 530 312 326,,,,,producent,,,,duży,🟢,mix,2,średni,,,,intake_PL_2026-08-10 | https://fusion.pl/ | https://panel.fusion.pl/regulamin-platformy/ | https://fusion.pl,,🔍,orig_uzasadnienie: Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi; kompetencje importowo-dystrybucyjne. | orig_uwagi: Status źródłowy: Zweryfikowany — aktywna strona/B2B | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=81 | user_orig_segment='S4 — Vape/e-papierosy',duży
MZ,mazowieckie,województwo,,,PL-B-MZ-002,B4,M&P PAVLINA Sp. z o.o. Sp.k. / M&P Alkohole Wina Cygara,PL,Marki / Karpin,"ul. Leonida Teligi 1A, 05-270 Marki; centrum logistyczne: ul. Warszawska 5, 05-252 Karpin",1251632608,578685(?),https://www.wina-mp.pl,,biuro@wina-mp.pl,+48 22 350 79 30,,,,,autoryzowany,,,,duży,🟢,B2B only,3,średni,,,,intake_PL_2026-08-10 | https://www.wina-mp.pl/index.php/pl/kontakt/klienci-biznesowi | https://wina-mp.pl/index.php/pl/kontakt/biuro | https://www.wina-mp.pl,,🔍,orig_uzasadnienie: Premium trafiki i specjalistyczne punkty sprzedaży; kompetencje importowo-dystrybucyjne. | orig_uwagi: Status źródłowy: Zweryfikowany — aktywna strona/B2B | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=80 | user_orig_segment='S5 — Cygara i trafiki premium',duży
,Ogólnopolska,,,,PL-B-XX-001,B6,Polski Tytoń PHP S.A.,PL,"Nationwide (Białystok, Bydgoszcz, Łódź, Warszawa, Lublin, +12 More)","Tartaczna 29, 26-612 Radom, Polska",9482622620,386390499,https://polskityton.pl,,sekretariat@polskityton.pl,+48 48 341 32 00,,,,,hurtownik,,,,duży,🟢,B2B only,2,średni,,,,intake_PL_2026-08-10 | https://polskityton.pl,,🔍,orig_uzasadnienie: Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi; zasięg ponadregionalny. | orig_uwagi: Nie potwierdzone | Status źródłowy: Niezweryfikowany | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=79 | user_orig_segment='S4 — Vape/e-papierosy',duży
PM,pomorskie,województwo,,,PL-B-PM-001,B6,PGT — Polska Grupa Tytoniowa,PL,Myślibórz,"Multiple locations: Myślibórz, Bydgoszcz, Łódź, Warszawa, Piekary Śląskie",4980260426,,https://polskagt.pl,,biuro@polskagt.pl,+48 502 399 832,,,,,hurtownik,,,,duży,🟢,B2B only,2,średni,,,,intake_PL_2026-08-10 | https://polskagt.pl,,🔍,orig_uzasadnienie: Kanał sąsiedni z bazą klientów zainteresowanych produktami nikotynowymi; zasięg ponadregionalny. | orig_uwagi: Nie potwierdzone | Status źródłowy: Dostępny w katalogu | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=79 | user_orig_segment='S4 — Vape/e-papierosy',duży
MA,małopolskie,województwo,,,PL-B-MA-001,B8,ROCH — Hurtownia Papierosów i Kart GSM,PL,Kraków,"Powstańców 62c/1, 31-670 Kraków, Polska",,,https://roch.krakow.pl,,,+48 12 416 39 16,,,,,reseller,,,,średni,🟢,mix,5,wysoki,,,,intake_PL_2026-08-10 | https://roch.krakow.pl,,🔍,orig_uzasadnienie: Dostęp do sklepów tytoniowych i tradycyjnego handlu. | orig_uwagi: Nie potwierdzone | Status źródłowy: Niezweryfikowany | orig_next: E-mail handlowy + telefon follow-up w ciągu 48 godzin | user_orig_priorytet='A2 — kontakt w 7 dni' | user_orig_score=77 | user_orig_segment='S2 — Hurtownie tytoniowe/FMCG',duży
