row_index,reason,firma
252,DROP_D_no_NIP_WWW,Cannmedia / Bletki.com
254,DROP_D_no_NIP_WWW,Takatabaka
255,DROP_D_no_NIP_WWW,Shisha
256,DROP_D_no_NIP_WWW,Mercatohurt
257,DROP_D_no_NIP_WWW,Fumist
258,DROP_D_no_NIP_WWW,Fugo Group
259,DROP_D_no_NIP_WWW,E-Dym
263,DROP_D_no_NIP_WWW,Trezo
264,DROP_D_no_NIP_WWW,Trafika.Poznan
267,DROP_D_no_NIP_WWW,Sklepsativa
271,DROP_D_no_NIP_WWW,Pdhurt
276,DROP_D_no_NIP_WWW,Lunacorporate
282,DROP_D_no_NIP_WWW,Hurtplus
284,DROP_D_no_NIP_WWW,Hemp
289,DROP_D_no_NIP_WWW,Eirhealth
290,DROP_D_no_NIP_WWW,Drziolko
291,DROP_D_no_NIP_WWW,Domowauprawa
294,DROP_D_no_NIP_WWW,Cbdb2B
296,DROP_D_no_NIP_WWW,Biokonopia
297,DROP_D_no_NIP_WWW,Aromi
298,DROP_D_no_NIP_WWW,Joint Brothers
299,DROP_D_no_NIP_WWW,Bitlogic
300,DROP_D_no_NIP_WWW,Tabakeria / Avalons
301,DROP_D_no_NIP_WWW,Klaipedoslam.lt
302,DROP_D_no_NIP_WWW,Procent 2.0
303,DROP_D_no_NIP_WWW,Smooke.pl
304,DROP_D_no_NIP_WWW,Lovikape
305,DROP_D_no_NIP_WWW,Tabak Service International
306,DROP_D_no_NIP_WWW,Vshub24
307,DROP_D_no_NIP_WWW,Naturecan
310,DROP_D_no_NIP_WWW,77Pouches
311,DROP_D_no_NIP_WWW,Vapego
312,DROP_D_no_NIP_WWW,Tabascovape
313,DROP_D_no_NIP_WWW,Wujo.pl
314,DROP_D_no_NIP_WWW,TabakOnline.com
315,DROP_D_no_NIP_WWW,Mercato Hurt
316,DROP_D_no_NIP_WWW,Liquido
317,DROP_D_no_NIP_WWW,IndorShop
319,DROP_D_no_NIP_WWW,Cygara24
320,DROP_D_no_NIP_WWW,Strefawapera
321,DROP_D_no_NIP_WWW,Royk
322,DROP_D_no_NIP_WWW,Hempking
323,DROP_D_no_NIP_WWW,Drv Distribution
324,DROP_D_no_NIP_WWW,Ckbiz
325,DROP_D_no_NIP_WWW,Bulkbong
326,DROP_D_no_NIP_WWW,Tabak Polska Sp. z o.o. (lista sklepów)
327,DROP_D_no_NIP_WWW,TAKS Sp. z o.o.
328,DROP_D_no_NIP_WWW,Cigarkoneser
329,EXCLUDE_BILLS,BILLS Sp. z o.o. (marka Smoks)
