Rank,Priorytet,Score,Firma,Relacja,Segment,Kanał,Województwo,Miasto,Skala,Email,Telefon,Osoba/Dział decyzyjny,Stanowisko,WWW,Adres,NIP,KRS,Produkty/marki,Status,Owner,Następny krok,Uzasadnienie potencjału,Źródła,Uwagi
1,A1 — kontakt natychmiast,98,King Hurt — HQ + Branches,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt ogólnopolski,Pomorskie,Szczecin,Duży,bok@kinghurt.pl,+48 609 641 400,,,https://kinghurt.pl,Poland,,,Akcesoria Tytoniowe | Papierosy | Tytoń | Akcesoria oraz produkty impulsowe | Gilzy | Papierosy | Tytoń | Akcesoria | Rdzeń systemu nabijarek,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny.",https://kinghurt.pl,Nie potwierdzone | Status źródłowy: Dostępny w katalogu
2,A1 — kontakt natychmiast,98,BongoGo.pl,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt ogólnopolski,Ogólnopolska,Szczecin,Średni,kontakt@bongogo.pl,+48 601 779 697,,,https://bongogo.pl/hurtownia-b...,"ul. Bolesława Krzywoustego 51, 70-317 Szczecin",9551541914.0,,"Akcesoria Tytoniowe | Headshop (Bonga, Shisha) | Nabijarki & Zwijarki | Hurt | Sklep Tytoniowy",Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny.",https://bongogo.pl/hurtownia-b...,Likely | Status źródłowy: Niezweryfikowany
3,A1 — kontakt natychmiast,96,Trober Polska Patrick Chrabkowski,Partner dystrybucyjny/importer,"S1 — RYO/MYO, gilzy i nabijarki",Importer/dystrybutor krajowy,Pomorskie,Kaliska,Średni,biuro@trober-polska.pl; anna.skarbek@troeber.com,+48 58 587 85 14; +48 502 323 283,Patrick Chrabkowski / Właściciel | Anna Skarbek / Kontakt sprzedażowy Polska,,https://trober-polska.pl/,"ul. Firmowa 2, 83-260 Kaliska",5922192789.0,,Zapalniczki | Gilzy papierosowe | Liquidy | Akcesoria dla palaczy | Akcesoria | Tytoń | Vape,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; kompetencje importowo-dystrybucyjne.",https://trober-polska.pl/,Silny kandydat dystrybucyjny z szerokim asortymentem komplementarnym. | Status źródłowy: Zweryfikowany — aktywna strona
4,A1 — kontakt natychmiast,95,Trafika.pl,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt B2B + detal,Ogólnopolska,Kalisz,Średni,biuro@skleptytoniowy.pl,62 767 46 07,,,https://trafika.pl,"ul. Złota 126, 62-800 Kalisz",6181914183.0,,Akcesoria Tytoniowe | FMCG | Nabijarki & Zwijarki | Papierosy | Tytoń | Vape & E-papierosy | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny.",https://trafika.pl,TAK | Status źródłowy: Niezweryfikowany
5,A1 — kontakt natychmiast,95,TOPartner,Partner dystrybucyjny/importer,"S1 — RYO/MYO, gilzy i nabijarki",Importer/dystrybutor krajowy,Łódzkie,Pabianice,Średni,kontakt@topartner.pl,+48 42 214 53 98,Dział handlowy,Sprzedaż hurtowa,https://topartner.pl,"ul. Warszawska 44/50, 95-200 Pabianice",,,Bibułki | Bletki | Gilzy papierosowe | Cygaretki | Smoking | Retro | MOODS | Al Capone | Tytoń | Akcesoria,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; kompetencje importowo-dystrybucyjne.",https://topartner.pl/ | https://topartner.pl,Dobre dopasowanie produktowe; konieczne potwierdzenie aktualnej działalności i danych prawnych. | Status źródłowy: Do weryfikacji — źródło katalogowe
6,A1 — kontakt natychmiast,95,Elenpipe,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt ogólnopolski,Małopolskie,Przemyśl,Duży,elenpipe.pl@gmail.com,+48 91 570 53 60,,,https://elenpipe.com,"Chodkiewicza 35A, 37-700 Przemyśl",7952526523.0,,Akcesoria Tytoniowe | Nabijarki & Zwijarki | Tytoń | Cases | Cigarette papers | Electric and manual rolling machines | Filters | Lighters | Tobacco injectors | Akcesoria | RYO | Rdzeń systemu nabijarek,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek; zasięg ponadregionalny.",https://elenpipe.com,Nie potwierdzone | Status źródłowy: Aktywny
7,A1 — kontakt natychmiast,93,PHU BJB Sp. z o.o.,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Sieć detaliczna/omnichannel,Zachodniopomorskie,Koszalin,Duży,zamowienia@bjb.verde.pl,+48 94 340 49 04,Dział zamówień,Dystrybucja regionalna,http://www.bjb.pl,"ul. Klonowa 1, 75-644 Koszalin",6692127776.0,121182.0,Papierosy | Wyroby tytoniowe | FMCG | Tytoń | FMCG,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek.",https://www.pkt.pl/firma/bjb-phu-hurtownia-papierosow-i-artykulow-spozywczych-348779 | http://www.bjb.pl,Dystrybutor wyrobów tytoniowych z kilkoma oddziałami i zasięgiem północno-zachodnim. | Potencjalnie duży zasięg północno-zachodni; potwierdzić aktualny asortyment RYO/MYO. | Status źródłowy: Do weryfikacji — rejestry i katalogi
8,A1 — kontakt natychmiast,91,West Trading,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt B2B + detal,Zachodniopomorskie,Szczecin,Średni,zamowienia.szczecin@westtrading.pl; zamowienia.swinoujscie@westtrading.pl,+48 515 739 764; +48 91 460 00 34; +48 695 870 780,Dział zamówień / współpracy B2B,Dział handlowy,https://westtrading.pl,"Limonkowa 1, 70-001 Ustowo (Szczecin)",,,Akcesoria Tytoniowe | FMCG | Nabijarki & Zwijarki | Papierosy | Tytoń | Vape & E-papierosy | Hurt | Sklep Tytoniowy,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek.",https://westtrading.pl/kontakt/ | https://westtrading.pl,Dystrybucja wyrobów tytoniowych i akcesoriów; dostawy do punktów detalicznych. | TAK | Status źródłowy: Niezweryfikowany
9,A1 — kontakt natychmiast,91,Prosmoker Jarosław Szulc,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt B2B + detal,Mazowieckie,Warszawa,Średni,prosmokerhurt@gmail.com,+48 507 208 897; +48 690 328 062,,,https://www.prosmoker.pl/,"ul. Korkowa 167/204, 04-549 Warszawa",1132559176.0,,Vape & E-papierosy | Liquidy | Akcesoria do e-papierosów | Vape | Akcesoria,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek.",https://www.prosmoker.pl/,Dobry lead cross-category: istniejąca baza klientów vape może kupować akcesoria RYO/MYO. | Status źródłowy: Zweryfikowany — aktywna strona
10,A1 — kontakt natychmiast,91,BATEK Violoncellista Beata,Potencjalny reseller / odbiorca hurtowy,"S1 — RYO/MYO, gilzy i nabijarki",Hurt B2B regionalny,Mazowieckie,Legionowo,Średni,batek@batek.pl,+48 695 020 633; +48 22 732 25 11,Beata Violoncellista / Właścicielka,,https://batek.pl/,"ul. Obrońców Lwowa 6, 05-119 Legionowo",5270159026.0,,Zapalniczki | Papierośnice | Akcesoria dla palaczy | Akcesoria | Tytoń,Nowy,BILLS — hurt@bills.pl,Telefon do działu zakupów + personalizowany e-mail tego samego dnia,"Bezpośrednie dopasowanie do ryo/myo, gilz lub nabijarek.",https://batek.pl/,Dobrze dopasowany importer akcesoriów dla palaczy; nie jest rdzeniowym graczem RYO. | Status źródłowy: Zweryfikowany — aktywna strona
