id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJ4c11L6SVC0cRcYhHCfVKcGk,Elektronické cigarety | Náplně | Příslušenství | Vape Shop N1,"Anglická 8, Vinohrady, 120 00 Praha-Praha 2, Czechia",,http://vapeshopn1.cz/,702 116 450,CZ,"store, point_of_interest, establishment"
ChIJ3xrxKKKTC0cRF08SqmbO3x8,PEAL Inc.,"U Plynárny 412/101, 101 00 Praha 10, Czechia",,http://www.peal.cz/,272 774 153,CZ,"wholesaler, service, point_of_interest, food, establishment"
ChIJ2yCOVKqVC0cRhJbHkw1bRW4,Vape Shop N1,"Husitská 68/122, Žižkov, 130 00 Praha-Praha 3, Czechia",,http://vapeshopn1.cz/,602 625 501,CZ,"store, point_of_interest, establishment"
ChIJjcsyp0GTC0cRDtORdVwegqk,Vape in Czech,"Naproti M&S spodní pasáž, Olbrachtova 1946/64, 140 00 Praha-Praha 4, Czechia",,https://www.vapeinczech.cz/,732 315 319,CZ,"store, point_of_interest, establishment"
ChIJ_yK8kVmVC0cRASgA9z6Mna8,Trafika - Dýmka-Doutníky,"Jaromírova 688/45, Vinohrady, 180 00 Praha-Praha 2, Czechia",,https://www.dymka-doutniky.cz/,604 134 595,CZ,"store, point_of_interest, establishment"
ChIJJzcY4L-UC0cRyIdX2bpCWhg,Elektronické cigarety Vapestyle,"Fajtlova 1090/1, 161 00 Praha 6, Czechia",,https://www.vapestyle.cz/,774 429 003,CZ,"store, point_of_interest, establishment"
ChIJAxV28C2VC0cRCIuC79F_ZXk,EIA tobacco & vaping point,"Žitná 2055/32, 120 00 Praha 2-Nové Město, Czechia",,,774 145 707,CZ,"store, point_of_interest, establishment"
ChIJowlR8X2VC0cRwvkaaB1Hsso,Doutníky Praha - Cigars Praha,"Vinohradská 53, Vinohrady, 120 00 Praha-Praha 2, Czechia",,http://www.doutniky-praha.cz/,602 383 998,CZ,"store, point_of_interest, establishment"
ChIJRywG7FiRC0cR_kEoLL8iEg8,Hookahs Aladin-Shop,"Vyšehradská 414/6, 128 00 Praha 2-Nové Město, Czechia",,https://www.vodnidymkytabaky.cz/,604 917 892,CZ,"gift_shop, store, point_of_interest, establishment"
ChIJA-pLeQC-C0cRcJDYBfrzkSM,MAKRO Cash & Carry,"Jeremiášova 1249/7, 150 00 Praha-Řeporyje, Czechia",,https://www.makro.cz/prodejny/praha-stodulky?utm_source=gmb&utm_medium=organic&utm_content=website&utm_term=praha-stodulky,281 083 083,CZ,"corporate_office, wholesaler, service, store, point_of_interest, establishment"
ChIJC6E-YFvtC0cRxq3imaT77gQ,MAKRO Cash & Carry Praha - Černý Most,"Chlumecká 2424, 198 00 Praha-Horní Počernice, Czechia",,https://www.makro.cz/prodejny/praha-cerny-most?utm_source=gmb&utm_medium=organic&utm_content=website&utm_term=praha-cerny-most,281 083 083,CZ,"wholesaler, service, store, point_of_interest, establishment"
ChIJ6-WpE3ORC0cRhHpnNoMk0fM,MP TOBACCO s.r.o. - dýmky a doutníky,"Libušská 347/140, 142 00 Praha-Praha-Libuš, Czechia",,https://www.doutniky-humidory-prislusenstvi.cz/,261 912 646,CZ,"store, point_of_interest, establishment"
