id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJWwLSkZyVkkYRrdcCOmCTq_8,EasySmoke e-sigaretid Rävala,"Rävala pst 7, 10143 Tallinn, Estonia",Tallinn,http://www.easysmoke.eu/,5902 5385,EE,"store, point_of_interest, establishment"
ChIJt8n3LQCTkkYReFBVTZ8c9W8,Rolling Paper & Tobacco,"Ahtri tn 9, 10151 Tallinn, Estonia",Tallinn,https://rollingpaper.ee/,5590 9192,EE,"store, point_of_interest, establishment"
ChIJgVVXUF-UkkYRDzF-S4-vL_w,Mustamäe Kaupmees,"Mustamäe tee 46a, 10621 Tallinn, Estonia",Tallinn,https://www.kaupmees.ee/,681 1111,EE,"warehouse_store, wholesaler, manufacturer, supplier, store, food, point_of_interest, service, establishment"
ChIJD9rZ4qLskkYRzW1Eh3_TPk0,Lasnamäe Kaupmees,"Vesse tn 1, 11415 Tallinn, Estonia",Tallinn,https://www.kaupmees.ee/,681 1111,EE,"warehouse_store, wholesaler, manufacturer, supplier, store, food, point_of_interest, service, establishment"
ChIJw_U2eEqVkkYRqOAUT1ZCBak,Snus Empire TALLINN,"Pärnu mnt. 18-8, 10141 Tallinn, Estonia",Tallinn,http://www.snusempire.ee/,5197 8233,EE,"store, wholesaler, point_of_interest, service, establishment"
ChIJoTmPfWCTkkYRfIwKoFvhKu4,Tobacco City,"Viru väljak 4, 10153 Tallinn, Estonia",Tallinn,http://cigarhouse.ee/,610 1353,EE,"store, point_of_interest, establishment"
ChIJew5vEj6TkkYRudADXpoYPl8,Tobacco City,"Ahtri tn 9, 10151 Tallinn, Estonia",Tallinn,http://cigarhouse.ee/,655 0095,EE,"store, point_of_interest, establishment"
ChIJ9URoHt2VkkYRLMDO7I7fiHg,VeipLux,"Karjavälja tn 4, 12918 Tallinn, Estonia",Tallinn,https://easysmoke.ee/,,EE,"store, point_of_interest, establishment"
ChIJcVvIXj7rkkYRuBYdgp4COms,Tobacco City,"Peterburi tee 2, 11415 Tallinn, Estonia",Tallinn,http://cigarhouse.ee/,600 8060,EE,"store, point_of_interest, establishment"
ChIJM8qyBRSVkkYRZUcrnxlhig4,Tobacco City,"Rannamõisa tee 6, 13516 Tallinn, Estonia",Tallinn,http://cigarhouse.ee/,619 1748,EE,"store, point_of_interest, establishment"
ChIJwxjQKOntkkYRfALwoo2CLuQ,Snus Empire Lasnamäe,"Linnamäe tee 3, 13912 Tallinn, Estonia",Tallinn,http://www.snusempire.ee/,5197 8233,EE,"store, point_of_interest, establishment"
ChIJJ2zRF2KTkkYRRB80vW73rYE,Cigar House,"Raekoja plats 16, 10146 Tallinn, Estonia",Tallinn,http://cigarhouse.ee/,631 4735,EE,"store, point_of_interest, establishment"
ChIJG0uCYV2TkkYR2eqOt2aW1AM,Happy Cigars,"Lootsi tn 10-1, 10151 Tallinn, Estonia",Tallinn,http://www.cigars.ee/,5400 5481,EE,"lounge_bar, night_club, bar, store, point_of_interest, establishment"
ChIJQ8TeBX2TkkYR5vSrmyT__SA,e vedelikud,"Reisijate tn, 10412 Tallinn, Estonia",Tallinn,https://e-vedelikud.ee/,5649 9989,EE,"store, point_of_interest, establishment"
ChIJl3_8cwA360YRe2cmoobbF-o,EasySmoke Tartu,"Poe tn 10, 51004 Tartu, Estonia",Tartu,http://www.easysmoke.eu/,5832 7653,EE,"store, point_of_interest, establishment"
ChIJoyjcdmeTkkYRVicZ_wQFQ9w,Nautica Keskus,"Ahtri 9, 10151 Tallinn, Estonia",Tallinn,http://www.nautica.ee/,,EE,"shopping_mall, point_of_interest, establishment"
ChIJPwd6SfiUkkYRduoOH9Oe4Eg,Rimi Food Store,"A. H. Tammsaare tee 104a, 12918 Tallinn, Estonia",Tallinn,http://www.rimi.ee/,605 6333,EE,"grocery_store, food_store, store, food, point_of_interest, establishment"
ChIJpzgYZLv76kYRaITXlUe6I-s,EasySmoke e-sigaretid Võru,"Kooli tn 6, Võru, 65606 Võru maakond, Estonia",Võru,https://easysmoke.ee/,550 4731,EE,"store, point_of_interest, establishment"
ChIJJaTJUh7tkkYR9O_kzJnoJ7I,Peterburi tee Rimi Drive,"Peterburi tee 98, 13816 Tallinn, Estonia",Tallinn,https://www.rimi.ee/epood/ee,672 9240,EE,"grocery_store, food_store, store, food, point_of_interest, establishment"
ChIJlQVog48360YRyIgZpSCdnbc,Snus Empire Tartu,"Raatuse tn 23, 50603 Tartu, Estonia",Tartu,http://www.snusempire.ee/,5917 3971,EE,"store, point_of_interest, establishment"
