id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJa4dgwrBx5kcRkrNqcBXhTyQ,Tabac des Catacombes,"41 Av. du Général Leclerc, 75014 Paris, France",Paris,http://fb.me/TabCata,01 43 22 35 11,FR,"point_of_interest, store, establishment"
ChIJC9FrNY1v5kcR_V56GV4NUP8,TABAC CIRCLE FDJ VAPE PUFF CBD CIGARE,"5 Pl. des Ternes, 75017 Paris, France",Paris,,01 42 93 83 20,FR,"point_of_interest, store, establishment"
ChIJnSDkMglu5kcRCvDtRZEr-jY,Tabac de la Bourse,"4 Bd de Magenta, 75010 Paris, France",Paris,,01 42 49 03 93,FR,"point_of_interest, store, establishment"
ChIJPSQ9kTNu5kcRT6UFz-eLeZs,"7J/7J TABAC CIGARIUM : FDJ, CBD, IQOS TEREA, PUFF, JNR, LIQUIDEO,VAPE SHOP, CIGARES, PMU, NICKEL","5 Rue Godot de Mauroy, 75009 Paris, France",Paris,,01 44 51 97 87,FR,"coffee_shop, cafe, food_store, food, point_of_interest, store, establishment"
ChIJUSDtoOZx5kcRzm-dzB3HpQc,Tabac Saint-Germain,"54 Bd Saint-Germain, 75005 Paris, France",Paris,http://tabacsaintgermain.fr/,01 43 54 26 48,FR,"gift_shop, point_of_interest, store, service, establishment"
ChIJqwsdhw9w5kcR4F1QgBJrHZY,Beau Drugstore - Tabac Beaugrenelle - Cigares / Fdj / Pmu / Vape / Iqos iluma / Nickel/ Nirio,"45 Rue Linois, 75015 Paris, France",Paris,,01 45 75 55 81,FR,"point_of_interest, store, establishment"
ChIJr-aSuSVu5kcR7ermkBNSWj4,A La Civette depuis 1716 | Paris,"157 Rue Saint-Honoré, 75001 Paris, France",Paris,https://alacivette.com/e-boutique/,01 42 96 04 99,FR,"gift_shop, liquor_store, food, point_of_interest, store, service, establishment"
ChIJ0begTx1u5kcRXcQyWxfQ5hQ,Le Tabac de Rivoli,"44 Rue de Rivoli, 75004 Paris, France",Paris,,09 72 26 63 01,FR,"point_of_interest, store, establishment"
ChIJUyh8RExu5kcRK_WUoZzjWrg,Tabac La Havane,"4 Pl. de Clichy, 75009 Paris, France",Paris,,01 48 74 67 56,FR,"point_of_interest, store, establishment"
ChIJ0Tak9sFv5kcRJ6mCNYqARAc,Civette Elysée Washington,"5 Rue Washington, 75008 Paris, France",Paris,,01 45 62 51 29,FR,"point_of_interest, store, establishment"
ChIJy2S_Xvpv5kcRAuUnVp4veJQ,TABAC DU TROCADERO | DRUGSTORE | VAPE | PUFF | CIGARES | CBD | JEUX | NICKEL | TELEPHONIE,"112 Rue Lauriston, 75116 Paris, France",Paris,,01 47 55 44 16,FR,"point_of_interest, store, establishment"
ChIJScJ8ESpy5kcRDVIAePyMTHY,Tabac des Sports,"35 Av. de la Prte de Choisy, 75013 Paris, France",Paris,,,FR,"bar, point_of_interest, store, establishment"
ChIJIXlsZ81v5kcR26trZEabfjI,Tabac Le Terminus,"8 Pl. de la Prte de Saint-Cloud, 75016 Paris, France",Paris,https://tabshop.fr/fr,01 46 51 49 44,FR,"cell_phone_store, snack_bar, meal_takeaway, restaurant, food, point_of_interest, store, establishment"
ChIJpTzzNvZt5kcRKd7UAgKSplo,Tabac Le Voltaire,"130 Bd Voltaire, 75011 Paris, France",Paris,,01 43 79 20 09,FR,"point_of_interest, store, establishment"
ChIJs_-QotFx5kcRNb9H-DkRwOI,Civette Rennes - Tabac - VAPE SHOP - CBD - ELFBAR - WPUFF,"111 Rue de Rennes, 75006 Paris, France",Paris,http://civetterennes.fr/,09 64 46 92 58,FR,"coffee_shop, cafe, food_store, food, point_of_interest, store, establishment"
ChIJVVX5wx5u5kcRGvBkFk307ak,Tabac De La Reynie,"26 Rue de la Reynie, 75001 Paris, France",Paris,https://mon.compte-nickel.fr/,,FR,"atm, coffee_stand, gift_shop, finance, point_of_interest, store, service, establishment"
ChIJk91LMi5u5kcRG1g0t94WXIo,La Tabatière,"1 Rue du Marché Saint-Honoré, 75001 Paris, France",Paris,,01 42 33 90 45,FR,"point_of_interest, store, establishment"
ChIJBWx8YTVw5kcRipVYK5Ca7LQ,Art Tabac,"2 Pl. de Catalogne, 75014 Paris, France",Paris,,01 40 47 66 50,FR,"point_of_interest, store, establishment"
ChIJGTwIHSRz5kcRiJvvl_kpMbc,Relay Paris Gare de Lyon Hall 1 Tabac,"Gare de Lyon, 12 Pl. Louis Armand Hall 1, 75012 Paris, France",Paris,https://relay.com/stores/relay-paris-gare-de-lyon-hall-1-tabac/,01 43 40 85 80,FR,"convenience_store, coffee_stand, cafe, book_store, electronics_store, sandwich_shop, food_store, restaurant, food, point_of_interest, store, establishment"
ChIJT6NANwBy5kcRcaQzApeZ9y0,Civette de la Bastille - Cigares - Tabac -Vape,"4 Rue de la Bastille, 75004 Paris, France",Paris,http://civettedelabastille.online.fr/,01 48 04 91 33,FR,"gift_shop, point_of_interest, store, service, establishment"
