id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJ675BCp1u5kcR_t_Vh_IOTBQ,Grossiste ecigarette et eliquide pas cher - Magasin L'Émotion showroom,"10 Rue Eugène Hénaff, 93000 Bobigny, France",Bobigny,https://www.grossisteecigarette.fr/,01 48 33 85 48,FR,"wholesaler, store, point_of_interest, service, establishment"
ChIJUVbJMSAF5kcRgwiCCDG1zjM,ADNS – Grossiste cigarette électronique,"47 All. du Clos des Charmes, 77090 Collégien, France",Collégien,https://adns-grossiste.fr/,01 64 80 54 42,FR,"wholesaler, point_of_interest, service, establishment"
ChIJu-pA-jxEhGkRdHYPcZ91V7Q,GROSSISTE PUFF VAPEN,"27 Rue de la Haie Coq, 93300 Aubervilliers, France",Aubervilliers,https://e-liquid-store.fr/fr/,07 67 83 01 11,FR,"wholesaler, point_of_interest, service, establishment"
ChIJj04CgdnY5UcR7Q4BIZ0_Taw,NKM - Grossiste Couteaux,"38 Av. d'Orgeval, 91360 Villemoisson-sur-Orge, France",Villemoisson-sur-Orge,http://www.nkm.fr/,01 69 46 23 00,FR,"wholesaler, manufacturer, supplier, store, point_of_interest, service, establishment"
ChIJl6iJRpht5kcRH7jg5y9XXAs,turbo injecteur,"5 Rue Bernard, 93000 Bobigny, France",Bobigny,https://turbo-injecteur.com/,06 52 32 31 04,FR,"auto_parts_store, car_repair, store, point_of_interest, service, establishment"
ChIJT2utVB0Q5kcRp10gFMPFWHM,Greenvillage - Grossiste Cigarette Electronique et puff,"1 Rue Ambroise Croizat, 77183 Croissy-Beaubourg, France",Croissy-Beaubourg,https://www.greenvillage.fr/,01 60 37 49 12,FR,"wholesaler, point_of_interest, service, establishment"
ChIJDyau1eJX9UcRdG3trTOZWtg,Global Service Innovation,"1 Pl. Albert Camus, 26320 Saint-Marcel-lès-Valence, France",Saint-Marcel-lès-Valence,,06 69 12 45 76,FR,"manufacturer, supplier, point_of_interest, establishment"
ChIJ__8v9yF65kcRL7WRA6eD64M,Injecteur direct - L'expert de l'injecteur diesel,"2 Av. Galilée, 92140 Clamart, France",Clamart,https://www.injecteur-direct.com/,01 70 28 85 71,FR,"auto_parts_store, car_repair, store, point_of_interest, service, establishment"
ChIJ6e1gER7NzRIRs2KE0utNMEg,PW Distribution,"235 All. Hector Pintus, 06610 La Gaude, France",La Gaude,https://www.pw-distribution.fr/,09 70 40 60 45,FR,"wholesaler, point_of_interest, service, establishment"
ChIJzfCGdNEow0cRXgPMQbLl3XQ,Piecesanspermis,"242 Rue de l'Yser, 59200 Tourcoing, France",Tourcoing,https://www.piecesanspermis.fr/,03 20 70 50 33,FR,"auto_parts_store, car_repair, store, point_of_interest, service, establishment"
ChIJOQ0SAfAEyRIRMad33GpnSzY,TCE : Tubeuse Cigarette Electrique,"96 Imp. du Serpolet, 83210 La Farlède, France",La Farlède,https://www.tubeuse-cigarette-electrique.fr/,09 88 02 40 04,FR,"store, point_of_interest, establishment"
ChIJ_3sX56Lh9kcRA-WxFtfPA4U,TAKLOPE,"ZAC Champ Lamet, 3 Rue des Loyes, 63430 Pont-du-Château, France",Pont-du-Château,http://www.taklope.com/,04 73 60 04 00,FR,"store, point_of_interest, establishment"
ChIJt3ISAfAEyRIRZZRbGCybaL8,Grossiste Presse Tabac,"1970 RN 8, 83190 Ollioules, France",Ollioules,https://www.grossiste-presse-tabac.fr/,09 88 02 40 04,FR,"wholesaler, point_of_interest, service, establishment"
ChIJC-UZhkF4qRIRTaf_sWQDOd0,Bouttier Ets,"3 Rue Vincent Van Gogh, 32000 Auch, France",Auch,http://www.bouttier.fr/,05 62 60 10 70,FR,"point_of_interest, service, establishment"
ChIJXcrZPiIvw0cRSUXbxH4dkXc,aspl,"242 Rue de l'Yser, 59200 Tourcoing, France",Tourcoing,https://www.piecesanspermis.fr/,03 20 70 50 33,FR,"auto_parts_store, car_repair, store, point_of_interest, service, establishment"
ChIJs17DtVAFyRIRJYPaduuIyxI,SPi D CLiC,"Imp. du Serpolet, 83210 La Farlède, France",La Farlède,,09 88 02 40 04,FR,"point_of_interest, service, establishment"
ChIJiTeZfnAd90cRpEO50kAtwJU,SODIP,"46 Av. d'Aubière, 63800 Cournon-d'Auvergne, France",Cournon-d'Auvergne,http://www.sodip-neodis.fr/?utm_source=gmb,04 73 84 60 60,FR,"wholesaler, point_of_interest, service, establishment"
ChIJOQ0SAfAEyRIRHfP-oSdpcCM,SPi Discount,"SPi D CLiC, 96 Imp. du Serpolet, 83210 La Farlède, France",La Farlède,https://www.spi-discount.net/fr/,09 88 02 40 04,FR,"discount_store, store, point_of_interest, establishment"
ChIJnXE0zFqkrhIRwh8UBmxw5eI,La Boutique du Tracteur,"77 Chem. de Lespinasse, 31140 Aucamville, France",Aucamville,https://www.laboutiquedutracteur.com/,05 34 27 16 40,FR,"supplier, food, point_of_interest, establishment"
