id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJA6Vx9XPByRIRWKKY05k1ZuQ,Générale Distribution,"5 Bd de la Maison Blanche, 13014 Marseille, France",Marseille,https://generaledistri.fr/,04 91 37 14 44,FR,"wholesaler, service, food, point_of_interest, establishment"
ChIJ6aXgQR2_yRIReLAIUwbsyKM,So Smoke Pro - Grossiste en cigarette électronique et e-liquide,"5 Rue Gabriel Marie, 13010 Marseille, France",Marseille,https://www.so-smokepro.com/,04 91 03 10 11,FR,"store, point_of_interest, establishment"
ChIJA7hJ06zAyRIRSA-ko3Zl0Mc,MASTER PRO VAPE (MPV),"132 Av. du Prado, 13008 Marseille, France",Marseille,http://www.masterprovape.fr/,09 54 48 22 47,FR,"store, point_of_interest, establishment"
ChIJB-TMBEXq9EcRPZkVjFVqzBo,Tabac Le Marseillais,"32 Rue de Marseille, 69007 Lyon, France",Lyon,,,FR,"store, point_of_interest, establishment"
ChIJI99rjba4yRIRTHB6PRztdxc,Dream Clope,"de la 23 Square Pauline, 296 Bd Romain Rolland, 13009 Marseille, France",Marseille,http://www.dreamclope.com/,09 66 82 32 56,FR,"store, point_of_interest, establishment"
ChIJ45oTDa7AyRIRNSVU0uhhgZs,Air Vape,"24 Av. Jules Cantini, 13006 Marseille, France",Marseille,https://www.facebook.com/AirvapeManu/?ref=bookmarks,04 91 03 14 22,FR,"store, point_of_interest, establishment"
ChIJgcmR-f_ByRIRCTOHaZpLP9M,DPS Market Place,"27 Bd Charles Moretti, 13014 Marseille, France",Marseille,https://www.pro-eat.fr/,04 91 81 38 63,FR,"wholesaler, service, point_of_interest, establishment"
ChIJ7X3k017HyRIR0l9V1Kwn5OQ,Le Calumet - Tabac Presse,"179 Av. de Mazargues, 13008 Marseille, France",Marseille,,04 91 77 41 79,FR,"store, point_of_interest, establishment"
ChIJO0Gv66nAyRIRRmbcxX4xQyk,VapoteleC,"62 Rue Roger Brun, 13005 Marseille, France",Marseille,https://www.vapotelec.com/,04 91 83 13 70,FR,"store, point_of_interest, establishment"
ChIJC-lq8zK_yRIRaCJEyYsO1mk,Freaks Factory,"116 Bd de la Pomme, 13011 Marseille, France",Marseille,https://www.freaks-factory.fr/,04 86 11 97 00,FR,"store, point_of_interest, establishment"
ChIJKcIByYDAyRIRyjLqD_wz7K4,Pacha Distribution - Grossiste Alimentaire Halal,"53 Bd Burel, 13014 Marseille, France",Marseille,http://www.pachadistribution.com/,04 86 68 66 36,FR,"wholesaler, service, point_of_interest, establishment"
ChIJS88RLXKjyRIR92mdNyQBsW0,Cig'Access - electronic cigarette wholesaler,"148 Rue de Lenche, 13400 Aubagne, France",Aubagne,http://www.cig-access-pro.com/,04 42 98 11 08,FR,"wholesaler, store, service, point_of_interest, establishment"
ChIJCxOMTVm_yRIRDFckfYLEXqI,Sud Electronique,"39 Rue Gaston de Flotte, 13012 Marseille, France",Marseille,http://www.sud-electronique.fr/,04 91 47 50 10,FR,"wholesaler, service, point_of_interest, establishment"
ChIJFU3m1tzB9EcRj8Mv-4czKSc,Tobacco Faculties,"64 Rue Professeur Florence, 69003 Lyon, France",Lyon,,04 72 68 07 14,FR,"store, point_of_interest, establishment"
ChIJCfLgwGTAyRIRQqVAIWm6vbQ,Rossi Boissons,"20 Bd Lavoisier, 13014 Marseille, France",Marseille,https://rossiboissons.fr/,04 91 73 25 81,FR,"wholesaler, service, point_of_interest, establishment"
ChIJ675BCp1u5kcR_t_Vh_IOTBQ,Grossiste ecigarette et eliquide pas cher - Magasin L'Émotion showroom,"10 Rue Eugène Hénaff, 93000 Bobigny, France",Bobigny,https://www.grossisteecigarette.fr/,01 48 33 85 48,FR,"wholesaler, store, service, point_of_interest, establishment"
ChIJdx091xSF9EcRejwvQgm2oSA,Le Savigny,"620 Rue Jean Michel Savigny, 69400 Villefranche-sur-Saône, France",Villefranche-sur-Saône,,04 74 68 06 04,FR,"store, point_of_interest, establishment"
ChIJN3loUJkZ5kcRX2TE67FrZSs,Tabac LE 8 BIS Vape Cbd Cave à Cigares,"8 bis Rue Jean Jaurès, 77410 Claye-Souilly, France",Claye-Souilly,https://www.instagram.com/tabacle8bis?igsh=YXV4MWQwZnU5cHE3&utm_source=qr,01 60 03 25 87,FR,"store, point_of_interest, establishment"
ChIJU1BIo3jHyRIRJeSTPopgtDc,Tobacco Press Las Meninas,"6 Bd Velasquez, 13008 Marseille, France",Marseille,https://www.facebook.com/tabacpresse.lesmenines,04 91 25 30 20,FR,"store, point_of_interest, establishment"
ChIJdUGrDW_HyRIRv8SPrlnpss8,France Goodies,"201 Chem. du Roucas Blanc, 13007 Marseille, France",Marseille,http://france-goodies.com/,04 84 25 55 25,FR,"wholesaler, supplier, manufacturer, service, food, point_of_interest, establishment"
