id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJxyjRZ77XZUcRfNJsFydwq4U,The Humidor | Cigar Shop,"Petrinjska ul. 5, 10000, Zagreb, Croatia",Zagreb,https://humidor.hr/,098 982 4655,HR,"store, point_of_interest, establishment"
ChIJKXHJXuPWZUcRCpvS6aYOrHs,Havana Cigar Shop,"Frankopanska ul. 22, 10000, Zagreb, Croatia",Zagreb,http://www.havana-cigar-shop.com/,01 5390 467,HR,"store, point_of_interest, establishment"
ChIJsXs2HwbRZUcRGRIjYLgx384,Veletabak d.o.o,"Jankomir 25j, 10090, Zagreb, Croatia",Zagreb,https://www.veletabak.hr/,01 7888 610,HR,"wholesaler, manufacturer, service, point_of_interest, establishment"
ChIJaZVyVw5fNRMRocME9pDK8Pg,Diskont pića Fumar,"Put Pazdigrada 8, 21000, Split, Croatia",Split,http://www.diskontfumar.hr/,095 234 5016,HR,"liquor_store, candy_store, warehouse_store, confectionery, korean_restaurant, food_store, store, restaurant, food, point_of_interest, establishment"
ChIJqQVs243WZUcRk4qy0w1hOGs,SATELIT-tbm d.o.o.,"Odranska ul. 1A, 10000, Zagreb, Croatia",Zagreb,http://www.satelit-tbm.hr/,01 6195 314,HR,"wholesaler, service, point_of_interest, establishment"
ChIJtXRkGtPgXEcRCNR08LaPYDo,Tobacco Shop Bazinga 2,"Trg bana Josipa Jelačića 13, 31000, Osijek, Croatia",Osijek,http://www.bazinga-shop.eu/,,HR,"gift_shop, supplier, store, manufacturer, point_of_interest, establishment"
ChIJnUpSsx3XZUcRF_RHm8GSgBY,Premium Cigars,"Nova Ves 11, 10000, Zagreb, Croatia",Zagreb,http://premiumcigars.com.hr/,01 3701 917,HR,"store, point_of_interest, establishment"
ChIJb7n-NczVZUcRcgSAzv6aXBc,Daily Press Tobacco Shop,"Utinjska ul. 5, 10000, Zagreb, Croatia",Zagreb,http://nlk-tid.hr/,,HR,"store, point_of_interest, establishment"
ChIJ05iQVbjnXEcRiB8UYW061wc,Tobacco Shop Bazinga 4,"Trg Ljudevita Gaja, 31000, Osijek, Croatia",Osijek,,,HR,"store, point_of_interest, establishment"
ChIJwZWK31pUb0cRzfEHKoBuiLc,POSLOVNI CENTAR PETRIČEVIĆ D.O.O.,"Varaždinska ul. 174, 42209, Sračinec, Croatia",Sračinec,http://pcpetricevic.hr/,,HR,"grocery_store, food_store, store, food, point_of_interest, establishment"
ChIJsYo9VQDnXEcRBLWnWZmpodo,Tobacco Shop,"Ul. kralja Petra Svačića 7A, 31000, Osijek, Croatia",Osijek,,,HR,"store, point_of_interest, establishment"
ChIJVQ8vm_nXZUcRBi12Upk-L0g,Daily Press Tobacco,"Koledovčina ul. 1, 10000, Zagreb, Croatia",Zagreb,http://www.nlk-tid.hr/,01 4093 561,HR,"store, point_of_interest, establishment"
