id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJnwANQQSU3UYR4_ZzKBiyqk4,Bongai.lt,"Konstitucijos pr. 12, 09308 Vilnius, Lithuania",Vilnius,http://www.bongai.lt/,(0-641) 54444,LT,"gift_shop, store, service, point_of_interest, establishment"
ChIJL4yD32WN3UYRwESy7gugvEs,Kamion,"Naujoji g. 43, Zujūnai, 14161 Vilniaus r. sav., Lithuania",Zujūnai,http://brolimo.lt/,(0-690) 87778,LT,"dessert_shop, confectionery, food_store, store, food, point_of_interest, establishment"
ChIJEWHVJm2U3UYRBaGG4yuudc8,"Skonis ir kvapas, tabako parduotuve","Mindaugo g. 11, 03225 Vilnius, Lithuania",Vilnius,https://www.skonis-kvapas.lt/,(0-611) 23254,LT,"market, store, point_of_interest, establishment"
ChIJSTtUTnmV3UYR8ggpVAhU8xo,Cigarų namai,"Mėsinių g. 3, Vilnius, 01135 Vilniaus m. sav., Lithuania",Vilnius,http://cigarunamai.lt/,(0-605) 48466,LT,"store, bar, point_of_interest, establishment"
ChIJVyh5o5-V3UYRHtek_cy4838,HookahShop,"Kedrų g. 7, 03116 Vilnius, Lithuania",Vilnius,https://hookahshop.lt/,(0-626) 64488,LT,"food_store, store, food, point_of_interest, establishment"
ChIJRWLpNBCU3UYRXbXFFaqFdiA,IQOS Parduotuvė,"Vilniaus g. 17, 01402 Vilnius, Lithuania",Vilnius,https://lt.iqos.com/lt?utm_id=13100820&utm_campaign=PMI_Listings&utm_source=gmb&utm_medium=organic&utm_content=IQOS_Store&utm_term=lt_IQOS_Store&utm_cgid=SEAR-MAPS,0 800 20 090,LT,"store, point_of_interest, establishment"
ChIJG8_5OcCT3UYRFlrn5hy_SdA,"Skonis ir kvapas, tabako parduotuve","Sausio 13-osios g. 2, 04343 Vilnius, Lithuania",Vilnius,https://www.skonis-kvapas.lt/,(0-682) 42411,LT,"tea_store, chocolate_shop, candy_store, coffee_shop, dessert_shop, cafe, confectionery, bakery, food_store, store, food, point_of_interest, establishment"
ChIJ8cSCzBGU3UYRAYxM56A_gJQ,Philip Morris Baltic,"Jogailos g. 4, 01402 Vilnius, Lithuania",Vilnius,https://www.pmi.com/markets/lithuania/en,(0-5) 210 9555,LT,"wholesaler, manufacturer, service, point_of_interest, establishment"
ChIJg2SFP_uU3UYRcZvR2scu088,Heinemann Duty Free Travel Value,"Rodūnios kel. 2, 02188 Vilnius, Lithuania",Vilnius,http://www.duty-free.lt/,(0-5) 230 1555,LT,"store, point_of_interest, establishment"
ChIJk9SCjv6R3UYRfJqweEdtl4Y,IQOS Parduotuvė,"Ozo g. 18, 08243 Vilnius, Lithuania",Vilnius,https://lt.iqos.com/lt?utm_id=14810865&utm_campaign=PMI_Listings&utm_source=gmb&utm_medium=organic&utm_content=IQOS_Store&utm_term=lt_IQOS_Store&utm_cgid=SEAR-MAPS,0 800 20 090,LT,"store, point_of_interest, establishment"
ChIJdT8Ttm6R3UYR8Er0zoaUS1s,IQOS Parduotuvė,"Akropolis Vilnius, Ozo St 25, 08217 Vilnius, Lithuania",Vilnius,https://lt.iqos.com/,0 800 20 090,LT,"store, point_of_interest, establishment"
