id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJt1RGGWfT7kYRUwgBM454g-g,www.Tabakeria.lv,"Zasas iela 7, Latgales priekšpilsēta, Rīga, LV-1057, Latvia",Rīga,http://www.tabakeria.lv/,67 250 499,LV,"store, point_of_interest, establishment"
ChIJ58Q6hMXP7kYRbOFqwrAiT2U,Alberta pīpes,"Alberta iela 1, Centra rajons, Rīga, LV-1010, Latvia",Rīga,https://www.albertapipes.lv/,67 333 049,LV,"bar, store, point_of_interest, establishment"
ChIJq8wj9zLR7kYRJfsKyikxRew,Tabakas Studija,"TC Spice, Jaunmoku iela 13, Zemgales priekšpilsēta, Rīga, LV-1046, Latvia",Rīga,,23 072 612,LV,"store, point_of_interest, establishment"
ChIJ9eeiOv7R7kYRjz1qicyNCAA,Tabakeria ART,"TC Ozols, Mazā Rencēnu 1, Latgales priekšpilsēta, Rīga, LV-1073, Latvia",Rīga,https://tabakeria.lv/,25 180 585,LV,"store, point_of_interest, establishment"
ChIJAQ_zRjzP7kYROPQHcGBO_2A,Cigāri,"Ģertrūdes iela 22, Centra rajons, Rīga, LV-1011, Latvia",Rīga,https://tabakeria.lv/,25 113 753,LV,"store, point_of_interest, establishment"
ChIJ3fbV8sDP7kYR0sHjwP9Bpz0,Tabakeria,"TC Origo, Stacijas laukums 2, Centra rajons, Rīga, LV-1050, Latvia",Rīga,https://tabakeria.lv/,67 073 928,LV,"gift_shop, store, point_of_interest, service, establishment"
ChIJZ8z3XHnP7kYRLV3uTsXaHtQ,Tabakas Nams,"Ieriķu iela 3, Vidzemes priekšpilsēta, Rīga, LV-1084, Latvia",Rīga,,,LV,"store, point_of_interest, establishment"
ChIJPchpon_P7kYRw2sMt7lJ8CQ,Tabakas Studija Olimpia,"TC Olimpia, Āzenes iela 5, Kurzeme District, Riga, LV-1048, Latvia",Riga,https://www.tabakasstudija.lv/,27 714 160,LV,"store, point_of_interest, establishment"
ChIJh1pH717N7kYRQN-PGFpDnlo,Tabakas Studija Saharova,"TC Augusts, Andreja Saharova iela 30, Latgales priekšpilsēta, Rīga, LV-1021, Latvia",Rīga,,27 990 899,LV,"store, point_of_interest, establishment"
ChIJ25oCWO_R7kYRLACSZVuxUOA,Tabakas Studija Dižozolu,"Dižozolu iela 2, Zemgales priekšpilsēta, Rīga, LV-1058, Latvia",Rīga,,23 072 614,LV,"store, point_of_interest, establishment"
ChIJj8RFCDvP7kYRMN7uW3WHDTs,Ozzo Smoke Shop Riga,"Dzirnavu iela 96, Centra rajons, Rīga, LV-1050, Latvia",Rīga,http://www.ozzo.lv/,29 677 750,LV,"store, point_of_interest, establishment"
ChIJx2xrTOvR7kYRjVEq26POFgc,Tabakas Studija Akropole Rīga,"Latgales iela 257, Latgales priekšpilsēta, Rīga, LV-1019, Latvia",Rīga,,23 072 613,LV,"store, point_of_interest, establishment"
ChIJg1Lz_M7T7kYRUG0vGpxdnh0,"Rasta 1, SIA","Krustpils iela 121A, Latgales priekšpilsēta, Rīga, LV-1057, Latvia",Rīga,https://rasta1.eu/,67 724 216,LV,"store, point_of_interest, establishment"
ChIJMXZTD53P7kYRckxAhxWygWE,Tabakas Nams,"Vaļņu iela 8, Centra rajons, Rīga, LV-1050, Latvia",Rīga,https://www.facebook.com/Tabakas-Nams-Va%C4%BC%C5%86u-iela-8-181078145424872/,,LV,"store, point_of_interest, establishment"
ChIJs2V8IV_P7kYRGq8ZEuQx80w,Amstergrams,"Aspazijas bulvāris 32, Centra rajons, Rīga, LV-1050, Latvia",Rīga,,23 303 443,LV,"store, point_of_interest, establishment"
ChIJC-RFfhLS7kYRTH95MBS89JI,SIA Avalons,"Zasas iela 7, Latgales priekšpilsēta, Rīga, LV-1057, Latvia",Rīga,https://tabakeria.lv/,67 250 499,LV,"store, point_of_interest, establishment"
ChIJXQP97xbP7kYRzfYxv1bH2MI,Tabakas Studija Teika,"Brīvības gat. 201, Vidzemes priekšpilsēta, Rīga, LV-1039, Latvia",Rīga,https://tabakasstudija.lv/,27 794 449,LV,"store, point_of_interest, establishment"
ChIJNXjKW1XT7kYRBuvMx00H0qg,Tabakas Studija Interneta veikals,"Krustpils iela 121A, Latgales priekšpilsēta, Rīga, LV-1057, Latvia",Rīga,https://www.tabakasstudija.lv/,25 118 288,LV,"store, point_of_interest, establishment"
ChIJ5SdL3HHQ7kYRajk0eFN0ZFU,Lutini.lv,"Brīvības gat. 265, Vidzemes priekšpilsēta, Rīga, LV-1006, Latvia",Rīga,http://www.lutini.lv/,67 808 888,LV,"shopping_mall, wholesaler, point_of_interest, service, establishment"
ChIJGSYFOerP7kYRNrHo6KXffSE,Spirits & Wine I Andrejosta,"Andrejostas iela 5, Ziemeļu rajons, Rīga, LV-1045, Latvia",Rīga,https://www.spiritsandwine.lv/,27 867 807,LV,"liquor_store, store, point_of_interest, establishment"
