id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJ58Q6hMXP7kYRbOFqwrAiT2U,Alberta pīpes,"Alberta iela 1, Centra rajons, Rīga, LV-1010, Latvia",Rīga,https://www.albertapipes.lv/,67 333 049,LV,"store, bar, point_of_interest, establishment"
ChIJt1RGGWfT7kYRUwgBM454g-g,www.Tabakeria.lv,"Zasas iela 7, Latgales priekšpilsēta, Rīga, LV-1057, Latvia",Rīga,http://www.tabakeria.lv/,67 250 499,LV,"store, point_of_interest, establishment"
ChIJa7XrFlTP7kYRFLYrSzZmLrQ,Tabacalera,"Tērbatas iela 68-3, Centra rajons, Rīga, LV-1001, Latvia",Rīga,http://www.tabacalera.lv/,29 151 112,LV,"store, point_of_interest, establishment"
ChIJ9eeiOv7R7kYRjz1qicyNCAA,Tabakeria ART,"TC Ozols, Mazā Rencēnu 1, Latgales priekšpilsēta, Rīga, LV-1073, Latvia",Rīga,https://tabakeria.lv/,25 180 585,LV,"store, point_of_interest, establishment"
ChIJFbNcv1XP7kYRI-6UoFxRLqw,Shadow Tobacco,"Skolas iela 20, Centra rajons, Rīga, LV-1010, Latvia",Rīga,http://www.shadowtobacco.com/,20 501 111,LV,"store, point_of_interest, establishment"
ChIJMXZTD53P7kYRckxAhxWygWE,Tabakas Nams,"Vaļņu iela 8, Centra rajons, Rīga, LV-1050, Latvia",Rīga,https://www.facebook.com/Tabakas-Nams-Va%C4%BC%C5%86u-iela-8-181078145424872/,,LV,"store, point_of_interest, establishment"
ChIJ3fbV8sDP7kYR0sHjwP9Bpz0,Tabakeria,"TC Origo, Stacijas laukums 2, Centra rajons, Rīga, LV-1050, Latvia",Rīga,https://tabakeria.lv/,67 073 928,LV,"gift_shop, store, point_of_interest, establishment"
ChIJg1Lz_M7T7kYRUG0vGpxdnh0,"Rasta 1, SIA","Krustpils iela 121A, Latgales priekšpilsēta, Rīga, LV-1057, Latvia",Rīga,https://rasta1.eu/,67 724 216,LV,"store, point_of_interest, establishment"
ChIJC-RFfhLS7kYRTH95MBS89JI,SIA Avalons,"Zasas iela 7, Latgales priekšpilsēta, Rīga, LV-1057, Latvia",Rīga,https://tabakeria.lv/,67 250 499,LV,"store, point_of_interest, establishment"
ChIJcel7TKra7kYRG0O-VnJKFco,Alberta Pipes,"Kurzemes prospekts 1A, Kurzemes rajons, Rīga, LV-1067, Latvia",Rīga,http://www.albertapipes.lv/,29 626 970,LV,"store, point_of_interest, establishment"
ChIJQzjfMXLb7kYRA2xFeqqrrq0,Tabakas Nams Grupa SIA,"Meistaru iela 5 ""Burkani, Piņķi, Babītes pagasts, Mārupes novads, LV-2107, Latvia",Piņķi,http://www.tng.lv/,27 043 337,LV,"wholesaler, service, point_of_interest, establishment"
ChIJWWgLCYXP7kYRXbYlLQrbKX0,GET • STORE - Tabaccheria Riga Vape & Tobacco,"Nīcgales iela 46A, Latgales priekšpilsēta, Rīga, LV-1035, Latvia",Rīga,https://getstore.lv/,27 054 575,LV,"store, point_of_interest, establishment"
ChIJpRLXlyjP7kYRtZ98poePje0,GET • STORE - Tabaccheria Riga Vape & Tobacco,"Krišjāņa Valdemāra iela 112, Vidzemes priekšpilsēta, Rīga, LV-1013, Latvia",Rīga,https://getstore.lv/,20 170 671,LV,"store, point_of_interest, establishment"
ChIJx2xrTOvR7kYRjVEq26POFgc,Tabakas Studija Akropole Rīga,"Latgales iela 257, Latgales priekšpilsēta, Rīga, LV-1019, Latvia",Rīga,,23 072 613,LV,"store, point_of_interest, establishment"
ChIJT5piZNjR7kYRxUiVPdYVp-A,DEPO,"Krasta iela 36, Latgales priekšpilsēta, Rīga, LV-1003, Latvia",Rīga,http://www.depo.lv/,67 202 010,LV,"building_materials_store, hardware_store, pet_store, home_goods_store, garden_center, convenience_store, food_store, store, service, food, point_of_interest, establishment"
ChIJzyvBBcbP7kYR39UlTdLZ4aU,"G & P Tobacco , SIA","Emiļa Melngaiļa iela 2A, Centra rajons, Rīga, LV-1010, Latvia",Rīga,https://www.firmas.lv/profile/g-p-tobacco-sia/40103239254,67 813 516,LV,"wholesaler, service, point_of_interest, establishment"
ChIJRW3RgU7O7kYRYnBH_zxUNGo,Ormix Electronics,"Ūnijas iela 11A, Vidzemes priekšpilsēta, Rīga, LV-1039, Latvia",Rīga,https://ormix.lv/lv,67 501 655,LV,"electronics_store, store, point_of_interest, establishment"
ChIJ5xzmJcDN7kYR0CCPHXOD51Q,"veikals DEPO, Mājai Dārzam Remontam","Lubānas iela 150, Rīga, LV-1021, Latvia",Rīga,http://www.depo.lv/,67 202 010,LV,"building_materials_store, hardware_store, pet_store, home_goods_store, garden_center, store, service, point_of_interest, establishment"
ChIJhyOqNk7b7kYRmoa8pdYRoZA,DEPO Imanta,"Kurzemes prospekts 3b, Kurzemes rajons, Rīga, LV-1067, Latvia",Rīga,http://www.depo.lv/,67 202 010,LV,"building_materials_store, hardware_store, pet_store, home_goods_store, garden_center, convenience_store, food_store, store, service, food, point_of_interest, establishment"
ChIJT2uAZxfT7kYR66Rd9TlXmNM,K SENUKAI,"Mazā Rencēnu 1, Latgales priekšpilsēta, Rīga, LV-1073, Latvia",Rīga,https://www.ksenukai.lv/stores/314,66 778 876,LV,"building_materials_store, home_improvement_store, home_goods_store, garden_center, supplier, store, service, point_of_interest, establishment"
