id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJ2T6mKGEtZUcReVkndiMBP5A,Havana Cigar Point,"Trg republike 2, 1000 Ljubljana, Slovenia",,,(01) 425 42 58,SI,"point_of_interest, store, establishment"
ChIJvQyrdJAyZUcRxjeiUHwIE0g,Pyur Smoke,"Bežigrad 6, 1000 Ljubljana, Slovenia",,https://www.pyursmoke.si/,041 255 934,SI,"point_of_interest, store, establishment"
ChIJFfEwu-ItZUcRPEMb5wUbKRQ,TROJASHISHA- ADALYA SHop,"Dolenjska cesta 11, 1000 Ljubljana, Slovenia",,http://www.trojashisha.si/,040 222 454,SI,"warehouse_store, point_of_interest, service, store, establishment"
ChIJJ8CssV0tZUcRhdhU7wiWPTU,"Tobačna grosist d.o.o., tobačna ulica 5, Ljubljana","C. 24. Junija 90, 1000 Ljubljana, Slovenia",,http://www.tobacna-grosist.si/,(01) 477 71 00,SI,"point_of_interest, store, establishment"
ChIJvZMxZiRpe0cRhhNeMBWzo50,BELIDIM - Premium Vape & CBD shop,"Pristaniška ulica 3, 6000 Koper, Slovenia",,https://www.belidim.si/,040 819 715,SI,"point_of_interest, store, establishment"
ChIJFZqNQRkzZUcR2jubusZLRs4,Tobacco 3DVA d.o.o.,"C. 24. Junija 90-1231, 1231 Ljubljana - Črnuče, Slovenia",,http://www.trafika3dva.si/,(01) 477 73 19,SI,"point_of_interest, store, establishment"
ChIJlfBb6xBpe0cRyamxnhT3cZo,Q STORE: Trgovina z brezdimnimi izdelki,"Ankaranska cesta 2, 6000 Koper, Slovenia",,https://www.iqos.com/si/sl/home.html,080 9696,SI,"point_of_interest, store, establishment"
ChIJd8ytdlJVZEcR2pa7Irbca4E,"Tabakum Export-Import Novo mesto d.o.o., podjetje za proizvodnjo in prodajo","Podbevškova ulica 8b, 8000 Novo mesto, Slovenia",,http://www.tabakum.si/,(07) 393 06 60,SI,"garden_center, auto_parts_store, car_repair, general_contractor, point_of_interest, service, store, establishment"
ChIJwbtT5KOtaEcRNvEYmXzhlMQ,Puffkalica Vape Shop & E-juice Bar,"Ul. kralja Tomislava 6, 40000, Čakovec, Croatia",Čakovec,,099 529 6370,SI,"point_of_interest, store, establishment"
ChIJDWofL8AzZUcR3tMLWbMFppA,Cigar Lounge Bar,"Madžarska ul. 300, 1000 Ljubljana, Slovenia",,https://cigarlounge.si/,069 616 541,SI,"bar, point_of_interest, store, establishment"
ChIJlWJyTt0yZUcR-0_rFMDnL-c,JT International Ljubljana,"Ogrinčeva ulica 4, 1000 Ljubljana, Slovenia",,,,SI,"wholesaler, point_of_interest, manufacturer, service, establishment"
