id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJlxvwvdCObEcR5J8ojWE88EI,"Tabak Invest Slovakia, s.r.o.","Tomášikova 1498/30, 831 04 Bratislava, Slovakia",,http://www.omniaholding.eu/tabak-invest-slovakia-s-r-o/,0904 289 100,SK,"store, point_of_interest, establishment"
ChIJMfgTGXKJbEcRAwZbrbN7Bk8,"JTI Slovak Republic, s.r.o.","Einsteinova 23, 851 01 Bratislava-Petržalka, Slovakia",Bratislava,http://www.jti.com/slovakia,,SK,"wholesaler, manufacturer, service, point_of_interest, establishment"
ChIJ8TIckwqJbEcRyQ_4HQtfxbo,SmokeShop,"Námestie hraničiarov 2, 851 03 Bratislava-Petržalka, Slovakia",Bratislava,http://www.smokeshop.sk/,0910 949 222,SK,"store, point_of_interest, establishment"
ChIJAYEw-AqJbEcRTN9EvNOkYSE,Tabak - Press,"Hodžovo námestie 1, 821 08 Bratislava, Slovakia",,https://mediapress.sk/sk/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,SK,"store, point_of_interest, establishment"
ChIJy90X0a2PbEcRnXCJLthj8T8,TRAFIKA PRESSPOINT NC VAJNORIA,"Pri starom letisku 9212/3, 831 07 Bratislava-Vajnory, Slovakia",Bratislava,https://presspoint.sk/vajnoria/,0904 400 030,SK,"store, point_of_interest, establishment"
ChIJ1WKoiASGbEcRs4hr1MXnUTo,TRAFIKA PRESSPOINT NC HRON,"Dudvážska 5106/5, 821 07 Bratislava-Podunajské Biskupice, Slovakia",Bratislava,https://presspoint.sk/hron/,0904 400 030,SK,"store, point_of_interest, establishment"
ChIJFYqrlSSPbEcRIVU56hoO6g8,Imperial Brands Slovakia a.s.,"Galvaniho 7/A, 824 53 Bratislava, Slovakia",,http://www.imperialbrands.sk/,0903 382 498,SK,"corporate_office, point_of_interest, establishment"
ChIJry9BLzOJbEcR1AUvlduLvf0,Tabak - Press,"Trafika BILLA, Záhradnícka 95, 821 08 Bratislava, Slovakia",,https://mediapress.sk/sk/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,SK,"store, point_of_interest, establishment"
ChIJ5eR2iT-JbEcRIiBfstOHS2s,M+M TABAK V OC EUROVEA BRATISLAVA,"Pribinova 8, 811 09 Bratislava I, Slovakia",,http://www.eurovea.sk/zoznam-obchodov/mm-tabak,02 554 107 53,SK,"store, point_of_interest, establishment"
ChIJz4GoXirzP0cR7wh1jiIQZHs,Continental Tobacco Slovakia S.r.o.,"Tomašovská 1237/42, Tomášová, 979 01 Rimavská Sobota, Slovakia",Rimavská Sobota,https://finstat.sk/36204731,047 542 39 36,SK,"store, point_of_interest, establishment"
ChIJf43wIBuNbEcRhICv_al8pr0,PRESSPOINT,"Saratovská 13, OC SARATOV, 841 02 Bratislava-Dúbravka, Slovakia",Bratislava,https://presspoint.sk/saratov/,0904 400 030,SK,"store, point_of_interest, establishment"
ChIJU8q-x4KJbEcRWrdTjn0FV4k,M+M TABAK OC PRIOR BRATISLAVA,"Kamenné Námestie 2392/1A, 811 08 Bratislava I, Slovakia",,https://www.mplusm.sk/,02 526 223 74,SK,"store, point_of_interest, establishment"
ChIJI_oVIgD5P0cRW7wT507k544,Tabak press,"Gemerská cesta 1, 984 01 Lučenec-Opatová pri Lučenci, Slovakia",Lučenec,https://toppres.sk/sk/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,SK,"store, point_of_interest, establishment"
ChIJJ5a2GYWMbEcRnpx8Az5E-nM,PRESSPOINT,"M. Schneidera-Trnavského 4, 841 01 Bratislava-Dúbravka, Slovakia",Bratislava,https://presspoint.sk/m-schneidera-trnavskeho/,0904 400 030,SK,"store, point_of_interest, establishment"
ChIJRa-GbwA-FUcRE8j-FV9yJRA,TRAFIKA PRESSPOINT NC TERMINAL,"29. augusta 37, 974 01 Banská Bystrica, Slovakia",,https://presspoint.sk/terminal/,0904 400 030,SK,"store, point_of_interest, establishment"
ChIJz8LwEEDgPkcRhXsikR04hlA,Tabak land,"OC Galéria - mestská časť Západ SK, Toryská 5, 040 11 Košice - mestská časť Západ, Slovakia",,http://www.ocgaleria.sk/,0944 385 790,SK,"store, point_of_interest, establishment"
ChIJxel-ow7dFEcRddylGyHc0Ho,Tabakshop,"Ľuda Ondrejova, 971 01 Prievidza, Slovakia",,,,SK,"store, point_of_interest, establishment"
ChIJ5_0Vir2HbEcRGUldDNFfwOo,Tabak - Press,"Kazanská 6, 821 09 Bratislava, Slovakia",,https://mediapress.sk/sk/?utm_source=google&utm_medium=organic&utm_campaign=gbp,,SK,"store, point_of_interest, establishment"
ChIJ1Snqxmk-a0cRXe4jYV7Z9A8,"Veľkoobchod M+M cigarety, potraviny, fajčiarske potreby","Novozámocká 67/2, Horné Krškany, 949 05 Nitra, Slovakia",Nitra,http://www.mplusm.sk/,0915 496 496,SK,"store, point_of_interest, establishment"
ChIJD7NLTC8Fa0cRF_DGnXqhos4,M+M TABAK V TESCO NOVÉ ZÁMKY,"Nitrianska cesta 111, 940 02 Nové Zámky, Slovakia",,https://www.mplusm.sk/obchody/mm-tabak-v-tesco-nove-zamky/,035 642 90 29,SK,"store, point_of_interest, establishment"
