id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJ5eR2iT-JbEcRIiBfstOHS2s,M+M TABAK V OC EUROVEA BRATISLAVA,"Pribinova 8, 811 09 Bratislava I, Slovakia",,http://www.eurovea.sk/zoznam-obchodov/mm-tabak,02 554 107 53,SK,"store, point_of_interest, establishment"
ChIJU8q-x4KJbEcRWrdTjn0FV4k,M+M TABAK OC PRIOR BRATISLAVA,"Kamenné Námestie 2392/1A, 811 08 Bratislava I, Slovakia",,https://www.mplusm.sk/,02 526 223 74,SK,"store, point_of_interest, establishment"
ChIJlxvwvdCObEcR5J8ojWE88EI,"Tabak Invest Slovakia, s.r.o.","Tomášikova 1498/30, 831 04 Bratislava, Slovakia",,http://www.omniaholding.eu/tabak-invest-slovakia-s-r-o/,0904 289 100,SK,"store, point_of_interest, establishment"
ChIJMfgTGXKJbEcRAwZbrbN7Bk8,"JTI Slovak Republic, s.r.o.","Einsteinova 23, 851 01 Bratislava-Petržalka, Slovakia",Bratislava,http://www.jti.com/slovakia,,SK,"manufacturer, wholesaler, service, point_of_interest, establishment"
ChIJFYqrlSSPbEcRIVU56hoO6g8,Imperial Brands Slovakia a.s.,"Galvaniho 7/A, 824 53 Bratislava, Slovakia",,http://www.imperialbrands.sk/,0903 382 498,SK,"corporate_office, point_of_interest, establishment"
ChIJhybfjmWPbEcRbltFF76gq88,"GECO, s.r.o.","IP centrum, Elektrárenská 1394/4, 831 04 Bratislava-Nové Mesto, Slovakia",Bratislava,http://www.geco.sk/,0908 944 516,SK,"corporate_office, point_of_interest, establishment"
ChIJI1Pk7UqJbEcRgkRYLtkf0lY,ZSE,"Metodova 6, 821 08 Bratislava-Ružinov, Slovakia",Bratislava,https://www.zse.sk/,0850 111 555,SK,"general_contractor, wholesaler, supplier, service, point_of_interest, establishment"
ChIJ1Snqxmk-a0cRXe4jYV7Z9A8,"Veľkoobchod M+M cigarety, potraviny, fajčiarske potreby","Novozámocká 67/2, Horné Krškany, 949 05 Nitra, Slovakia",Nitra,http://www.mplusm.sk/,0915 496 496,SK,"store, point_of_interest, establishment"
ChIJAbKwoTr_FEcRQc0WyUV9yJs,M+M TABAK V TESCO MARTIN,"Obchodné centrum Turiec 1, Záturčie, 036 01 Martin, Slovakia",Martin,https://www.mplusm.sk/obchody/mm-tabak-v-tesco-martin/,043 428 74 33,SK,"store, point_of_interest, establishment"
ChIJfdg15ySPbEcRSvPVsmzJ93o,Philip Morris Slovakia,"Business Center, Galvaniho 19045/19, 821 04 Ružinov, Slovakia",,http://www.pmi.com/,02 909 011 11,SK,"corporate_office, point_of_interest, establishment"
ChIJz4GoXirzP0cR7wh1jiIQZHs,Continental Tobacco Slovakia S.r.o.,"Tomašovská 1237/42, Tomášová, 979 01 Rimavská Sobota, Slovakia",Rimavská Sobota,https://finstat.sk/36204731,047 542 39 36,SK,"store, point_of_interest, establishment"
ChIJjS-CDho_a0cRJfn0fH299qM,M+M TABAK V TESCO NITRA,"Bratislavská 2109/5, 949 01 Nitra, Slovakia",,https://www.mplusm.sk/obchody/mm-tabak-v-tesco-nitra/,037 651 36 42,SK,"store, point_of_interest, establishment"
ChIJp5N1AZ_tPkcR1pnZ64lpKkY,M+M TABAK V TESCO PREŠOV,"Košická 11534/6, 080 01 Prešov, Slovakia",,https://www.mplusm.sk/obchody/mm-tabak-tesco-presov/,051 772 58 67,SK,"store, point_of_interest, establishment"
ChIJ3S6rew2JbEcRxup8OEvvNsk,"MEDIAPRESS Bratislava, a.s.","Stará Vajnorská 1248/9, 831 04 Bratislava-Nové Mesto, Slovakia",Bratislava,http://www.mediapress.sk/,02 498 934 12,SK,"store, point_of_interest, establishment"
ChIJ6-WpE3ORC0cRhHpnNoMk0fM,MP TOBACCO s.r.o. - dýmky a doutníky,"Libušská 347/140, 142 00 Praha-Praha-Libuš, Czechia",,https://www.doutniky-humidory-prislusenstvi.cz/,261 912 646,SK,"store, point_of_interest, establishment"
ChIJwUlUMMDhPkcRw-mHEZx5vxI,M+M TABAK V HOTELI DOUBLE TREE BY HILTON KOŠICE,"Hlavná 1, 040 01 Košice I, Slovakia",,https://www.mplusm.sk/obchody/mm-tabak-v-hoteli-double-tree-by-hilton-kosice/,055 622 02 49,SK,"store, point_of_interest, establishment"
ChIJD7NLTC8Fa0cRF_DGnXqhos4,M+M TABAK V TESCO NOVÉ ZÁMKY,"Nitrianska cesta 111, 940 02 Nové Zámky, Slovakia",,https://www.mplusm.sk/obchody/mm-tabak-v-tesco-nove-zamky/,035 642 90 29,SK,"store, point_of_interest, establishment"
