id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJfzIIZm2FqkARJ2zcvC75lsc,BEST CIGARS - магазин за премиум пури и алкохол,"Sofia Center, Solunska Street 6, 1000 Sofia, Bulgaria",Sofia,http://bestcigars.bg/,087 890 9807,BG,"liquor_store, store, point_of_interest, establishment"
ChIJidftDumFqkAR9DZ7_3bA8S8,"Havana Premium Tobacco Shop | Магазин за алкохол, пури и цигари","Old City Center, bul. ""Vitosha"" 49, 1000 Sofia, Bulgaria",Sofia,,088 686 5704,BG,"store, point_of_interest, establishment"
ChIJkX4JruCFqkARRC79p5nZP9U,CIGAR HOUSE,"DragalevtsiVitosha, bul. ""Cherni vrah"" 206, 1415 Sofia, Bulgaria",Sofia,,087 989 7919,BG,"store, point_of_interest, establishment"
ChIJSxYP-d2DqkARwePc3L-VcxA,CorojoClubCigarShop,"в.з. БоянаVitosha, ul. ""Kumata"" 36, 1616 Sofia, Bulgaria",Sofia,https://www.corojoclub.com/,088 647 0050,BG,"store, point_of_interest, establishment"
ChIJh_Tb7tuFqkAR0H0xfmYU9Hs,Cigar Nomads Sofia tobacco shop,"Old City Center, ul. ""Knyaz Boris I"" 77, 1000 Sofia, Bulgaria",Sofia,http://cigarnomads.bg/,02 444 8181,BG,"store, point_of_interest, establishment"
ChIJWQ6V1SiFqkARY3_rmvZS26s,Aficionado Cigar Shops,"Промишлена зона Хладилника, ul. ""Emiliyan Stanev"" 1, 1407 Sofia, Bulgaria",Sofia,http://www.midas-bg.com/,088 750 7031,BG,"store, point_of_interest, establishment"
ChIJ-QWollaFqkARLSNLayADQNQ,"Esmoker.BG София Стамболийски - Електронни цигари, Вейп комплекти, никотинова течност и shake & vape","Old City Center, ""Aleksandar Stamboliyski"" Blvd 37, 1000 Sofia, Bulgaria",Sofia,https://esmoker.bg/,088 511 9999,BG,"gift_shop, electronics_store, store, service, point_of_interest, establishment"
ChIJgSxfFu_RrBQRV6sSdzFzufY,Best Cigars,"AkademikPlovdiv Center, bul. ""Asenovgradsko Shose"" 2, 4004 Plovdiv, Bulgaria",Plovdiv,https://bestcigars.bg/,087 964 1211,BG,"store, point_of_interest, establishment"
ChIJyV_gVHBUpEARD9RKjNcPjWk,PREMIUM CIGARS & TOBACCO MALL VARNA,"Delta Planet Mall, VladislavovoMladost, bul. ""Slivnitsa"" 185, ет.1, 9000 Varna, Bulgaria",Varna,http://www.kalimancaribe.com/bg/,088 444 0543,BG,"store, point_of_interest, establishment"
ChIJy5hE696FqkARmp3bohVzvqQ,Tobacco Distribution,"промишлена зона Илиянци, bul. ""Rozhen"" 41V, 1202 Sofia, Bulgaria",Sofia,http://www.tobacco.bg/,087 933 6630,BG,"store, point_of_interest, establishment"
ChIJ3d-HvpppqEARHVEj84GvxRs,Esmoker.BG,"Tsentar, ul. ""Mayor Tanyo Kavaldzhiev"" 87, 6003 Stara Zagora, Bulgaria",Stara Zagora,https://esmoker.bg/,088 937 4444,BG,"gift_shop, electronics_store, store, service, point_of_interest, establishment"
ChIJzYmgRuqEqkARAGUaCUNnA7Q,Premium Cigars&Tobacco,"Manastirski Livadi, blvd. ""Bulgaria"" 69, 1000 Sofia, Bulgaria",Sofia,http://www.kalimancaribe.com/bg/,088 840 0670,BG,"store, point_of_interest, establishment"
ChIJ384ZsGeEqkARaPDQSCQFXEk,Premium Cigars & Tobacco Paradise Center,"Hladilnika, Blvd. ""Cherni vrah"" 100, 1407 Sofia, Bulgaria",Sofia,http://www.kalimancaribe.com/bg/,088 247 0523,BG,"store, point_of_interest, establishment"
ChIJj_Hd6wqFqkARiSTPpDPHYGM,nargile.bg - Магазин за наргилета и тютюни,"Old City Center, bul. ""Patriarh Evtimiy"" 77, 1463 Sofia, Bulgaria",Sofia,http://www.nargile.bg/,087 711 0001,BG,"store, point_of_interest, establishment"
ChIJPcF_aJ_RrBQRvcI1p2nh1Fw,VaperBG,"g.k. Hristo Botev-NorthYuzhen, ul. ""Nestor Ivanov"" 6, 4004 Plovdiv, Bulgaria",Plovdiv,https://vaperbg.com/,087 990 9016,BG,"store, point_of_interest, establishment"
ChIJ3R7dSDWbqkAR7yomcYotjeI,Tabacco Traiding International,"кв. Овча купел, ul. ""Angelov vrah"" 22, 1618 Sofia, Bulgaria",Sofia,http://ttibulgaria.com/,02 955 7403,BG,"service, point_of_interest, establishment"
ChIJFa66MaBhrkAR5eT1HBx02RY,Русе електронни цигари,"Ruse Center, bul. ""Tsar Ferdinand"" 2, 7000 Ruse, Bulgaria",Ruse,https://www.facebook.com/elcigaricom,089 331 1342,BG,"store, point_of_interest, establishment"
ChIJ533s0cTRrBQRgKVyUBAXc_k,M Tobacco LTD.,"TsentarPlovdiv Center, ul. ""Mladezhka"" 26, 4002 Plovdiv, Bulgaria",Plovdiv,http://www.mtobacco.bg/,032 642 441,BG,"manufacturer, service, point_of_interest, establishment"
ChIJk6MxK4XLqhQRPwhkExRR0TM,VAPE BULGARIA CBD STORE,"Pernik Center, 2300 Pernik, Bulgaria",Pernik,http://www.vapebulgaria.com/,087 842 0240,BG,"store, point_of_interest, establishment"
ChIJWYzqyh-FqkARdxscCvSvbrM,KALIMAN KARIBE,"Manastirski Livadi, blvd. ""Bulgaria"" 118, 1618 Sofia, Bulgaria",Sofia,https://kalimancaribe.com/bg/,02 953 1180,BG,"wholesaler, manufacturer, service, point_of_interest, establishment"
