id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJy5hE696FqkARmp3bohVzvqQ,Tobacco Distribution,"промишлена зона Илиянци, bul. ""Rozhen"" 41V, 1202 Sofia, Bulgaria",Sofia,http://www.tobacco.bg/,087 933 6630,BG,"store, point_of_interest, establishment"
ChIJfzIIZm2FqkARJ2zcvC75lsc,BEST CIGARS - магазин за премиум пури и алкохол,"Sofia Center, Solunska Street 6, 1000 Sofia, Bulgaria",Sofia,http://bestcigars.bg/,087 890 9807,BG,"liquor_store, store, point_of_interest, establishment"
ChIJj_Hd6wqFqkARiSTPpDPHYGM,nargile.bg - Магазин за наргилета и тютюни,"Old City Center, bul. ""Patriarh Evtimiy"" 77, 1463 Sofia, Bulgaria",Sofia,http://www.nargile.bg/,087 711 0001,BG,"store, point_of_interest, establishment"
ChIJSxYP-d2DqkARwePc3L-VcxA,CorojoClubCigarShop,"в.з. БоянаVitosha, ul. ""Kumata"" 36, 1616 Sofia, Bulgaria",Sofia,https://www.corojoclub.com/,088 647 0050,BG,"store, point_of_interest, establishment"
ChIJhzbl_oaFqkARe06FsADUW9I,Алех алкохол и цигари,"Manastirski Livadi, ul. “Tsanko Lavrenov” 15A, 1404 Sofia, Bulgaria",Sofia,,,BG,"store, point_of_interest, establishment"
ChIJWQ6V1SiFqkARY3_rmvZS26s,Aficionado Cigar Shops,"Промишлена зона Хладилника, ul. ""Emiliyan Stanev"" 1, 1407 Sofia, Bulgaria",Sofia,http://www.midas-bg.com/,088 750 7031,BG,"store, point_of_interest, establishment"
ChIJzYmgRuqEqkARAGUaCUNnA7Q,Premium Cigars&Tobacco,"Manastirski Livadi, blvd. ""Bulgaria"" 69, 1000 Sofia, Bulgaria",Sofia,http://www.kalimancaribe.com/bg/,088 840 0670,BG,"store, point_of_interest, establishment"
ChIJ4940YBiFqkARkNEUQzWDMvc,Васони 2011 ООД,"ул. „Подуево“ зад, Borovo, ul. ''Todor Kableshkov"" 68, блок 12, 1680 Sofia, Bulgaria",Sofia,,088 531 6718,BG,"liquor_store, manufacturer, food_store, food, store, point_of_interest, wholesaler, service, establishment"
ChIJy-3UrHiPqkAR5BgQzmIWvac,Alcohol and Tobacco Shop,"Hadzhi Dimitar, ul. ""Klisura"" 129, 1510 Sofia, Bulgaria",Sofia,,,BG,"store, point_of_interest, establishment"
ChIJf5eqBxuGqkARaGDGjh82juU,FIB Trade,"Летище София, ul. ""Prodan Tarakchiev"" 10, 1540 Sofia, Bulgaria",Sofia,https://www.fibtrade.org/,02 973 8382,BG,"wholesaler, shopping_mall, liquor_store, store, point_of_interest, service, establishment"
ChIJ6wnhLTGBqkAR5zfuY_wxhkc,Premium Cigars & Tobacco Ring Mall,"в.з. Симеоново - северVitosha, ul. ""Okolovrasten pat"" 214, 1434 Sofia, Bulgaria",Sofia,http://www.kalimancaribe.com/,088 860 0191,BG,"manufacturer, point_of_interest, wholesaler, service, establishment"
ChIJ3R7dSDWbqkAR7yomcYotjeI,Tabacco Traiding International,"кв. Овча купел, ul. ""Angelov vrah"" 22, 1618 Sofia, Bulgaria",Sofia,http://ttibulgaria.com/,02 955 7403,BG,"point_of_interest, service, establishment"
ChIJWYzqyh-FqkARdxscCvSvbrM,KALIMAN KARIBE,"Manastirski Livadi, blvd. ""Bulgaria"" 118, 1618 Sofia, Bulgaria",Sofia,https://kalimancaribe.com/bg/,02 953 1180,BG,"manufacturer, point_of_interest, wholesaler, service, establishment"
ChIJV58fWACFqkARMaCZd-W3r8A,Glo,"Old City Center, bul. ""Vitosha"" 26, 1000 Sofia, Bulgaria",Sofia,https://www.myglo.bg/,0800 40 800,BG,"store, point_of_interest, establishment"
ChIJIf7IfA6FqkARdohKcY3QoU4,2002 BEERS,"Old City Center, ul. ""Fridtjof Nansen"" 25-Б, 1142 Sofia, Bulgaria",Sofia,,087 735 1001,BG,"grocery_store, food_store, liquor_store, food, store, point_of_interest, wholesaler, service, establishment"
ChIJiV2WY9KRqkAReoz4IqLklzA,Атанасов Маркет,"кв. Илиянци, bul. ""Rozhen"" 61, 1271 Sofia, Bulgaria",Sofia,,,BG,"store, point_of_interest, establishment"
ChIJgZhqVvwfsEARzRiPrFzvBlk,Pepino Kiosk IQOS LIL RESELLER,"Silistra Center, ul. ""Dobrich"" 70, 7500 Silistra, Bulgaria",Silistra,,088 877 0861,BG,"ice_cream_shop, dessert_shop, confectionery, food_store, liquor_store, food, store, point_of_interest, establishment"
ChIJ61TXtt-FqkARJCzKisiY6-M,leopard Trading,"SPZ Slatina, Boulevard ""Professor Tsvetan Lazarov"" 20Б, 1574, 1574 Sofia, Bulgaria",Sofia,,02 978 9363,BG,"point_of_interest, wholesaler, service, establishment"
ChIJq5gv95SEqkARO7fBecra2LM,Mihaylovi Trade Ltd,"Складово-производствена зона - Модерно предградие, ul. ""Obelsko Shose"" 7, 1360 Sofia, Bulgaria",Sofia,http://www.mihailovitrade.com/,0700 70 907,BG,"food, point_of_interest, wholesaler, service, establishment"
ChIJLYontFyHqkAReD5HC68QKWM,Tobacco Trade Europe LTD,"Научно-производствена зона Искър, ул. ""Неделчо Бончев"" 10, склад 27, 1528 Sofia, Bulgaria",Sofia,,,BG,"corporate_office, point_of_interest, establishment"
