id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJG2dcxfiUEkcR_LGksKfb2EQ,Shanti & Co. Ltd.,"Zábrdovická 801/11, 615 00 Brno-Židenice-Zábrdovice, Czechia",,https://www.shanti.cz/,533 534 201,CZ,"warehouse_store, gift_shop, wholesaler, service, store, point_of_interest, establishment"
ChIJ_yK8kVmVC0cRASgA9z6Mna8,Trafika - Dýmka-Doutníky,"Jaromírova 688/45, Vinohrady, 180 00 Praha-Praha 2, Czechia",,https://www.dymka-doutniky.cz/,604 134 595,CZ,"store, point_of_interest, establishment"
ChIJ3xrxKKKTC0cRF08SqmbO3x8,PEAL Inc.,"U Plynárny 412/101, 101 00 Praha 10, Czechia",,http://www.peal.cz/,272 774 153,CZ,"wholesaler, service, point_of_interest, food, establishment"
ChIJQY0VwFqUEkcRbVrBpU0_PtE,Tobacco Moravia s.r.o.,"Česká 247/32, 602 00 Brno-střed-Brno-město, Czechia",,,,CZ,"store, point_of_interest, establishment"
ChIJqbb2KreuE0cRxDiu9rcVwOA,ATC distribution Ltd.,"Gen. Štefánika 975/40, 750 02 Přerov-Přerov 2, Czechia",,https://www.atcdistribution.cz/,581 202 031,CZ,"warehouse_store, gift_shop, wholesaler, service, store, point_of_interest, establishment"
ChIJ_9VmlCyTC0cRfWvmh9EWuGw,Tabák OBC Nero,"Jesenická 58, 106 00 Praha 10-Záběhlice, Czechia",,https://www.zasilkovna.cz/pobocky/praha-10-zahradni-mesto-jesenicka,,CZ,"store, point_of_interest, establishment"
ChIJRywG7FiRC0cR_kEoLL8iEg8,Hookahs Aladin-Shop,"Vyšehradská 414/6, 128 00 Praha 2-Nové Město, Czechia",,https://www.vodnidymkytabaky.cz/,604 917 892,CZ,"gift_shop, store, point_of_interest, establishment"
ChIJh2ZNUYKRC0cR2DgnSBCpsSc,Cigar Point,"Golčova 486, 148 00 Praha-Kunratice, Czechia",,https://www.cigar-point.cz/,602 268 760,CZ,"liquor_store, manufacturer, association_or_organization, wholesaler, service, store, point_of_interest, food, establishment"
ChIJmXTB5ROTC0cROlOYRc3R0Ts,CeskaTrafika.com,"Černokostelecká 4/899, Strašnice, 100 00 Praha-Praha 10, Czechia",,http://www.ceskatrafika.com/,252 544 315,CZ,"store, point_of_interest, establishment"
ChIJTZgGmZI9CkcRiIrCZGjZTDw,Etabak.com - all smoking!,"Osvoboditelů 1107, 438 01 Žatec-Žatec 1, Czechia",,https://www.etabak.com/,777 593 840,CZ,"manufacturer, wholesaler, service, point_of_interest, establishment"
ChIJgxsuMjjnC0cROMsLYjJt8g4,"Richard Basl, Dýmka-Doutníky.cz","Jaromírova 688/45, 128 00 Praha 2-Nusle, Czechia",,http://www.dymka-doutniky.cz/,604 134 595,CZ,"manufacturer, wholesaler, service, store, point_of_interest, establishment"
ChIJ3ZomuTPyCkcRKtVMJE36N-8,"Fortis-DB, spol. s r.o.","Úněšovská 2205/17, 323 00 Plzeň-Plzeň 1, Czechia",,https://www.fortisdb.cz/,377 220 600,CZ,"consultant, finance, service, store, point_of_interest, establishment"
ChIJ33bVqfGTC0cRGCTw4rRSGW0,Tobacco Trading International Czechoslovakia,"2, Nad Svahem 1757, 140 00 Praha 4-Krč, Czechia",,http://www.tti-czech.cz/,241 441 599,CZ,"wholesaler, service, point_of_interest, establishment"
ChIJIZqzVM3VDUcRsriQFkKdSG0,Svět dýmek.cz - Vodní dýmky,"Kladská 123/77, 500 03 Hradec Králové-Hradec Králové 3, Czechia",,http://www.svetdymek.cz/,799 558 015,CZ,"store, point_of_interest, establishment"
ChIJ0cizpF_MDUcRVqYr1SJxh3c,OKPRODEJ - Originál Výrobky s.r.o.,"Ve Stezkách 163, 530 03 Pardubice-Pardubice III, Czechia",,http://www.okprodej.cz/,773 540 992,CZ,"store, point_of_interest, establishment"
ChIJ8dO7xomUC0cRo8dDQL1kIJI,Smoketown,"Zborovská 601/38, 150 00 Praha 5-Smíchov, Czechia",,http://www.smoketown.cz/,776 826 135,CZ,"store, wholesaler, service, point_of_interest, establishment"
ChIJEbCy-4XkE0cRB34zgNS5k4U,Elektro-Cigareta,"Dr. Martínka 1617/10, 700 30 Ostrava-jih-Hrabůvka, Czechia",,http://www.elektro-cigareta.cz/,737 887 000,CZ,"electronics_store, store, point_of_interest, establishment"
ChIJDfnIEOy_EkcRoLruhWfYToo,Tabák - Kopecký,"Havlíčkova 3, 664 42 Modřice, Czechia",,,775 669 591,CZ,"store, point_of_interest, establishment"
ChIJX8cG6TEPC0cRN045lAjgUUo,Canatura,"Pražská 145, 261 01 Příbram-Příbram 1, Czechia",,https://www.canatura.com/,774 426 555,CZ,"cosmetics_store, health_food_store, tea_store, gift_shop, grocery_store, food_store, health, store, point_of_interest, food, establishment"
ChIJScx0o77sC0cRpN4Z9FXetk8,Electronic Cigarette Prague 9 - Kourimlevne.cz,"64, Prosecká 851, 190 00 Praha 9-Prosek, Czechia",,https://www.vapestyle.cz/prodejna-elektronickych-cigaret-praha-9--prosek/,775 580 324,CZ,"store, point_of_interest, establishment"
