id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJt8n3LQCTkkYReFBVTZ8c9W8,Rolling Paper & Tobacco,"Ahtri tn 9, 10151 Tallinn, Estonia",Tallinn,https://rollingpaper.ee/,5590 9192,EE,"store, point_of_interest, establishment"
ChIJoTmPfWCTkkYRfIwKoFvhKu4,Tobacco City,"Viru väljak 4, 10153 Tallinn, Estonia",Tallinn,http://cigarhouse.ee/,610 1353,EE,"store, point_of_interest, establishment"
ChIJew5vEj6TkkYRudADXpoYPl8,Tobacco City,"Ahtri tn 9, 10151 Tallinn, Estonia",Tallinn,http://cigarhouse.ee/,655 0095,EE,"store, point_of_interest, establishment"
ChIJJ2zRF2KTkkYRRB80vW73rYE,Cigar House,"Raekoja plats 16, 10146 Tallinn, Estonia",Tallinn,http://cigarhouse.ee/,631 4735,EE,"store, point_of_interest, establishment"
ChIJG0uCYV2TkkYR2eqOt2aW1AM,Happy Cigars,"Lootsi tn 10-1, 10151 Tallinn, Estonia",Tallinn,http://www.cigars.ee/,5400 5481,EE,"lounge_bar, night_club, bar, store, point_of_interest, establishment"
ChIJcVvIXj7rkkYRuBYdgp4COms,Tobacco City,"Peterburi tee 2, 11415 Tallinn, Estonia",Tallinn,http://cigarhouse.ee/,600 8060,EE,"store, point_of_interest, establishment"
ChIJM8qyBRSVkkYRZUcrnxlhig4,Tobacco City,"Rannamõisa tee 6, 13516 Tallinn, Estonia",Tallinn,http://cigarhouse.ee/,619 1748,EE,"store, point_of_interest, establishment"
ChIJUU6LpUyTkkYRHmrvHhFw5lE,Imperial Tobacco Estonia OÜ,"11415 Tallinn, Estonia",Tallinn,https://www.e-krediidiinfo.ee/11058244-IMPERIAL%20TOBACCO%20ESTONIA%20O%C3%9C,622 1881,EE,"store, point_of_interest, establishment"
ChIJq06LpUyTkkYRaq1Xn-1vzxU,Nicorex Baltic OÜ - kontor | ladu,"Allika tee 1, Peetri, 75312 Harju maakond, Estonia",Peetri,http://www.nicorex.ee/,,EE,"corporate_office, store, point_of_interest, establishment"
ChIJdfyijKTskkYRl8czuF0uAlA,LTT AS,"Lõõtsa tn 12, 11415 Tallinn, Estonia",Tallinn,http://www.ltt.ee/,606 6500,EE,"wholesaler, food, point_of_interest, service, establishment"
ChIJR7Aa72GTkkYR7EbMFDvfoFU,Vape Shop Vapista | E-sigaretipood Tallinn | Depoo Balti Jaama Turg,"Reisijate tn 9, 10412 Tallinn, Estonia",Tallinn,https://www.vapista.ee/,5902 1016,EE,"electronics_store, store, point_of_interest, establishment"
ChIJgRGMzJPskkYRk4UT6bl3StU,Prike AS,"Peterburi tee 92g, 13816 Tallinn, Estonia",Tallinn,https://www.prike.ee/,622 4900,EE,"corporate_office, point_of_interest, establishment"
ChIJ3WxG_kgKkkYRqjg-XFDAZPc,British American Tobacco Finland Oy,"Eteläesplanadi 2, 00130 Helsinki, Finland",Helsinki,https://www.batfinland.fi/,09 731311,EE,"wholesaler, manufacturer, point_of_interest, service, establishment"
ChIJ8z01N2qVkkYROARteW2OZYI,NICOBROS,"Päevalille tn 6, 13513 Tallinn, Estonia",Tallinn,https://nicobros.com/,,EE,"store, point_of_interest, establishment"
