id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJaw398KmTkkYRV65AF5lpMFU,Headshop,"Telliskivi tn 51c-2, 10611 Tallinn, Estonia",Tallinn,http://headshop.ee/,512 1420,EE,"gift_shop, store, point_of_interest, establishment"
ChIJt8n3LQCTkkYReFBVTZ8c9W8,Rolling Paper & Tobacco,"Ahtri tn 9, 10151 Tallinn, Estonia",Tallinn,https://rollingpaper.ee/,5590 9192,EE,"store, point_of_interest, establishment"
ChIJoTmPfWCTkkYRfIwKoFvhKu4,Tobacco City,"Viru väljak 4, 10153 Tallinn, Estonia",Tallinn,http://cigarhouse.ee/,610 1353,EE,"store, point_of_interest, establishment"
ChIJ1dObHO2VkkYRc2aOKRqZOHo,Cosmosepiibud,"Lembitu tn 7, 10114 Tallinn, Estonia",Tallinn,https://cosmosepiibud.ee/,5552 2285,EE,"store, point_of_interest, establishment"
ChIJew5vEj6TkkYRudADXpoYPl8,Tobacco City,"Ahtri tn 9, 10151 Tallinn, Estonia",Tallinn,http://cigarhouse.ee/,655 0095,EE,"store, point_of_interest, establishment"
ChIJM8qyBRSVkkYRZUcrnxlhig4,Tobacco City,"Rannamõisa tee 6, 13516 Tallinn, Estonia",Tallinn,http://cigarhouse.ee/,619 1748,EE,"store, point_of_interest, establishment"
ChIJG0uCYV2TkkYR2eqOt2aW1AM,Happy Cigars,"Lootsi tn 10-1, 10151 Tallinn, Estonia",Tallinn,http://www.cigars.ee/,5400 5481,EE,"lounge_bar, night_club, store, bar, point_of_interest, establishment"
ChIJ0TlgNzPCyWAReDX9ncDe8ok,Bleiz Headshop,"Narva mnt 38, 10120 Tallinn, Estonia",Tallinn,https://www.bleiz.ee/,5196 7035,EE,"store, point_of_interest, establishment"
ChIJcVvIXj7rkkYRuBYdgp4COms,Tobacco City,"Peterburi tee 2, 11415 Tallinn, Estonia",Tallinn,http://cigarhouse.ee/,600 8060,EE,"store, point_of_interest, establishment"
ChIJJ2zRF2KTkkYRRB80vW73rYE,Cigar House,"Raekoja plats 16, 10146 Tallinn, Estonia",Tallinn,http://cigarhouse.ee/,631 4735,EE,"store, point_of_interest, establishment"
ChIJtQrSdP2VkkYRflAzxQ1nmTc,Tubaka Kauplus,"Lastekodu tn 12, 10113 Tallinn, Estonia",Tallinn,,,EE,"store, point_of_interest, establishment"
ChIJR7Aa72GTkkYR7EbMFDvfoFU,Vape Shop Vapista | E-sigaretipood Tallinn | Depoo Balti Jaama Turg,"Reisijate tn 9, 10412 Tallinn, Estonia",Tallinn,https://www.vapista.ee/,5902 1016,EE,"electronics_store, store, point_of_interest, establishment"
ChIJUU6LpUyTkkYRHmrvHhFw5lE,Imperial Tobacco Estonia OÜ,"11415 Tallinn, Estonia",Tallinn,https://www.e-krediidiinfo.ee/11058244-IMPERIAL%20TOBACCO%20ESTONIA%20O%C3%9C,622 1881,EE,"store, point_of_interest, establishment"
ChIJb-j5IPKTkkYRBs11NP4jNOA,SNAPE - Snus & Vape Viru 27a,"Viru 27a, 10148 Tallinn, Estonia",Tallinn,http://www.snusvape.ee/,8282 0088,EE,"store, point_of_interest, establishment"
ChIJa1mCXy_tkkYRPWGPWabeNv8,Q-store pop-up pood,"Mustakivi tee 13 Lasnamäe Centrum, 13912 Tallinn, Estonia",Tallinn,https://ee.iqos.com/,5694 2774,EE,"store, point_of_interest, establishment"
ChIJ_4KACN7rkkYR3GSfQdqgdbA,Q-store pood,"Ülemiste Keskus, Suur-Sõjamäe tn 4, 11415 Tallinn, Estonia",Tallinn,https://ee.iqos.com/,5694 1891,EE,"store, point_of_interest, establishment"
ChIJ0ZFXcvrskkYRYB12cd1XwEc,VEIPLAND Lasnamäe Centrum,"Mustakivi tee 13, 13912 Tallinn, Estonia",Tallinn,https://www.nicorex.eu/,5887 0670,EE,"store, point_of_interest, establishment"
ChIJ1YfbC1eTkkYRYrTOo5rC61c,Torupilli Selver,"Vesivärava tn 37, 10152 Tallinn, Estonia",Tallinn,https://www.selver.ee/kauplused/torupilli-selver,667 3900,EE,"supermarket, grocery_store, food_store, store, food, point_of_interest, establishment"
ChIJQ8TeBX2TkkYR5vSrmyT__SA,e vedelikud,"Reisijate tn, 10412 Tallinn, Estonia",Tallinn,https://e-vedelikud.ee/,5649 9989,EE,"store, point_of_interest, establishment"
