id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJsRuO4Bu3fEcRZIDnwQCnTu4,British American Tobacco Factory,"Kanfanar, 52352, Burići, Croatia",Burići,http://www.bat.com/,052 844 000,HR,"wholesaler, manufacturer, service, point_of_interest, establishment"
ChIJw8ISJE_WZUcRiHR1vL_0kfY,JT International Zagreb d.o.o.,"Slavonska avenija 6a, 10000, Zagreb, Croatia",Zagreb,https://www.jti.com/,,HR,"wholesaler, manufacturer, service, point_of_interest, establishment"
ChIJsXs2HwbRZUcRGRIjYLgx384,Veletabak d.o.o,"Jankomir 25j, 10090, Zagreb, Croatia",Zagreb,https://www.veletabak.hr/,01 7888 610,HR,"wholesaler, manufacturer, service, point_of_interest, establishment"
ChIJKXHJXuPWZUcRCpvS6aYOrHs,Havana Cigar Shop,"Frankopanska ul. 22, 10000, Zagreb, Croatia",Zagreb,http://www.havana-cigar-shop.com/,01 5390 467,HR,"store, point_of_interest, establishment"
ChIJaZVyVw5fNRMRocME9pDK8Pg,Diskont pića Fumar,"Put Pazdigrada 8, 21000, Split, Croatia",Split,http://www.diskontfumar.hr/,095 234 5016,HR,"liquor_store, candy_store, warehouse_store, confectionery, korean_restaurant, food_store, store, restaurant, food, point_of_interest, establishment"
ChIJpws-Bx7TfEcRGuU553l4iuw,Tobacco Shop,"Ul. Sergijevaca 5, 52100, Pula, Croatia",Pula,,052 393 089,HR,"store, point_of_interest, establishment"
ChIJr6iJa6uwXUcRn1nD94tuVx0,"Tobacco shop ""Gizmo""","Ul. Andrije Štampara 36, 35000, Slavonski Brod, Croatia",Slavonski Brod,,,HR,"store, point_of_interest, establishment"
ChIJ67Io5bhdNRMRmYy16KkG_mw,"Souvenirs, Tobacco & Liquor - Classic Shop","Obala Hrvatskog narodnog preporoda 21, 21000, Split, Croatia",Split,,091 303 1922,HR,"liquor_store, store, point_of_interest, establishment"
ChIJwbtT5KOtaEcRNvEYmXzhlMQ,Puffkalica Vape Shop & E-juice Bar,"Ul. kralja Tomislava 6, 40000, Čakovec, Croatia",Čakovec,,099 529 6370,HR,"store, point_of_interest, establishment"
ChIJtckblQTXZUcRgksx0Nt2qds,BAT HRVATSKA D.O.O.,"Nova Ves 17, 10000, Zagreb, Croatia",Zagreb,,01 4860 160,HR,"wholesaler, manufacturer, service, point_of_interest, establishment"
ChIJzwfgjffWZUcRUwVOVzgpna0,"VAPE SHOP - E-tekućine, grijači, e-cigarete","Avenija Dubrovnik 46, 10000, Zagreb, Croatia",Zagreb,https://www.vapeshop.hr/,091 202 5769,HR,"store, point_of_interest, establishment"
ChIJVQ8vm_nXZUcRBi12Upk-L0g,Daily Press Tobacco,"Koledovčina ul. 1, 10000, Zagreb, Croatia",Zagreb,http://www.nlk-tid.hr/,01 4093 561,HR,"store, point_of_interest, establishment"
ChIJb7n-NczVZUcRcgSAzv6aXBc,Daily Press Tobacco Shop,"Utinjska ul. 5, 10000, Zagreb, Croatia",Zagreb,http://nlk-tid.hr/,,HR,"store, point_of_interest, establishment"
ChIJk4QJ2-D7YUcRaTue4oE7y9A,IQOS,"Akcije Maslenica 1 Supernova, 23000, Zadar, Croatia",Zadar,http://www.iqos.com/,0800 91 53,HR,"store, point_of_interest, establishment"
ChIJv9aLII3WZUcRubNDJ6ejppw,Dragor Lux Zagreb,"Poljička ul. 49, 10000, Zagreb, Croatia",Zagreb,https://dragorlux.hr/,095 377 6730,HR,"sporting_goods_store, store, point_of_interest, establishment"
ChIJSXeDqp8vNRMRP1BYwst2X1s,Telemax Šibenik,"Kralja Tomislava 1a Telemax, 22000, Stari grad, Šibenik, Croatia",Šibenik,http://www.iqos.com/,0800 91 53,HR,"store, point_of_interest, establishment"
ChIJ13D31f1dNRMRgjXNKF5EwQI,Tisak,"Trg Gaje Bulata 3, 21000, Split, Croatia",Split,http://www.tisak.hr/hr-HR/Naslovna.html,0800 666 770,HR,"convenience_store, candy_store, book_store, confectionery, food_store, store, food, point_of_interest, establishment"
ChIJ12gkO_yhZEcREQFkGHRhxJI,IQOS Service Point,"Adria Mia Tobacco shop, Jelačićev trg 13, 51000, Rijeka, Croatia",Rijeka,http://www.iqos.com/,0800 91 53,HR,"store, point_of_interest, establishment"
ChIJ-wTh-hLXZUcRvwPJvYWSLNI,IQOS Service Point,"NET Tobacco, Novačka 68, 10000, Zagreb, Croatia",Zagreb,http://www.iqos.com/,0800 91 53,HR,"store, point_of_interest, establishment"
ChIJsV_FTT3XZUcRiKqwmJH-Cbk,IQOS Service Point,"Gidra Knežija, Albaharijeva ul. 5, 10000, Zagreb, Croatia",Zagreb,http://www.iqos.com/,0800 91 53,HR,"store, point_of_interest, establishment"
