id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJnwANQQSU3UYR4_ZzKBiyqk4,Bongai.lt,"Konstitucijos pr. 12, 09308 Vilnius, Lithuania",Vilnius,http://www.bongai.lt/,(0-641) 54444,LT,"gift_shop, store, point_of_interest, establishment"
ChIJOdRnRtmT3UYRY-XgXS6VqrY,Shamanas.lt,"Šeškinės g. 32, Vilnius, 07157 Vilniaus m. sav., Lithuania",Vilnius,http://www.shamanas.lt/,(0-645) 70115,LT,"store, point_of_interest, establishment"
ChIJVyh5o5-V3UYRHtek_cy4838,HookahShop,"Kedrų g. 7, 03116 Vilnius, Lithuania",Vilnius,https://hookahshop.lt/,(0-626) 64488,LT,"food_store, store, food, point_of_interest, establishment"
ChIJx2HmMhCU3UYR4cY_bR7KpLw,"Skonis ir kvapas, arbatos parduotuve","Vilniaus g. 15, 01116 Vilnius, Lithuania",Vilnius,https://www.skonis-kvapas.lt/,(0-611) 23253,LT,"store, point_of_interest, establishment"
ChIJE8D7avDb5EYRTcaVd4k0xmg,Iqos,"Žvejų g. 4, 91248 Klaipėda, Lithuania",Klaipėda,https://lt.iqos.com/lt?utm_id=13100822&utm_campaign=PMI_Listings&utm_source=gmb&utm_medium=organic&utm_content=IQOS_Store&utm_term=lt_IQOS_Store&utm_cgid=SEAR-MAPS,0 800 20 090,LT,"store, point_of_interest, establishment"
ChIJ8cSCzBGU3UYRAYxM56A_gJQ,Philip Morris Baltic,"Jogailos g. 4, 01402 Vilnius, Lithuania",Vilnius,https://www.pmi.com/markets/lithuania/en,(0-5) 210 9555,LT,"wholesaler, manufacturer, service, point_of_interest, establishment"
ChIJRWLpNBCU3UYRXbXFFaqFdiA,IQOS Parduotuvė,"Vilniaus g. 17, 01402 Vilnius, Lithuania",Vilnius,https://lt.iqos.com/lt?utm_id=13100820&utm_campaign=PMI_Listings&utm_source=gmb&utm_medium=organic&utm_content=IQOS_Store&utm_term=lt_IQOS_Store&utm_cgid=SEAR-MAPS,0 800 20 090,LT,"store, point_of_interest, establishment"
ChIJ77UuYHQi50YR62ctNKjpcTE,IQOS Parduotuvė,"Laisvės al 70-2A, 44249 Kaunas, Lithuania",Kaunas,https://lt.iqos.com/lt?utm_id=13100821&utm_campaign=PMI_Listings&utm_source=gmb&utm_medium=organic&utm_content=IQOS_Store&utm_term=lt_IQOS_Store&utm_cgid=SEAR-MAPS,0 800 20 090,LT,"store, point_of_interest, establishment"
ChIJk9SCjv6R3UYRfJqweEdtl4Y,IQOS Parduotuvė,"Ozo g. 18, 08243 Vilnius, Lithuania",Vilnius,https://lt.iqos.com/lt?utm_id=14810865&utm_campaign=PMI_Listings&utm_source=gmb&utm_medium=organic&utm_content=IQOS_Store&utm_term=lt_IQOS_Store&utm_cgid=SEAR-MAPS,0 800 20 090,LT,"store, point_of_interest, establishment"
ChIJYaRjBhCT3UYRj5JZWIFsp9A,IQOS Parduotuvė,"Saltoniškių g. 9, 08105 Vilnius, Lithuania",Vilnius,https://lt.iqos.com/lt?utm_id=15019073&utm_campaign=PMI_Listings&utm_source=gmb&utm_medium=organic&utm_content=IQOS_Store&utm_term=lt_IQOS_Store&utm_cgid=SEAR-MAPS,0 800 20 090,LT,"store, point_of_interest, establishment"
ChIJdT8Ttm6R3UYR8Er0zoaUS1s,IQOS Parduotuvė,"Akropolis Vilnius, Ozo St 25, 08217 Vilnius, Lithuania",Vilnius,https://lt.iqos.com/,0 800 20 090,LT,"store, point_of_interest, establishment"
ChIJScywuXX450YRYjvxJAUIdEQ,"Skonis ir kvapas, arbatos parduotuve","Aušros g. 78, 28150 Utena, Lithuania",Utena,https://www.skonis-kvapas.lt/,(0-620) 54482,LT,"tea_store, coffee_shop, bakery, chocolate_shop, dessert_shop, candy_store, confectionery, cafe, food_store, store, food, point_of_interest, establishment"
ChIJmxE58Xgf50YR8bUBPLHyM0g,IQOS Parduotuvė,"Islandijos pl. 32, 47446 Kaunas, Lithuania",Kaunas,https://lt.iqos.com/lt?utm_id=14810872&utm_campaign=PMI_Listings&utm_source=gmb&utm_medium=organic&utm_content=IQOS_Store&utm_term=lt_IQOS_Store&utm_cgid=SEAR-MAPS,0 800 20 090,LT,"store, point_of_interest, establishment"
ChIJr9RWqgST3UYR8Q8APt1URKY,HookahGo - Kaljano nuoma - Kaljanų nuoma - Kaljanai į namus - Kaljanai šventėse - Kaljanas Vilniuje - Аренда кальяна,"Kedrų g. 7, 03116 Vilnius, Lithuania",Vilnius,https://hookahgo.lt/,(0-692) 26633,LT,"hookah_bar, store, point_of_interest, establishment"
