id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJt1RGGWfT7kYRUwgBM454g-g,www.Tabakeria.lv,"Zasas iela 7, Latgales priekšpilsēta, Rīga, LV-1057, Latvia",Rīga,http://www.tabakeria.lv/,67 250 499,LV,"store, point_of_interest, establishment"
ChIJ9eeiOv7R7kYRjz1qicyNCAA,Tabakeria ART,"TC Ozols, Mazā Rencēnu 1, Latgales priekšpilsēta, Rīga, LV-1073, Latvia",Rīga,https://tabakeria.lv/,25 180 585,LV,"store, point_of_interest, establishment"
ChIJMXZTD53P7kYRckxAhxWygWE,Tabakas Nams,"Vaļņu iela 8, Centra rajons, Rīga, LV-1050, Latvia",Rīga,https://www.facebook.com/Tabakas-Nams-Va%C4%BC%C5%86u-iela-8-181078145424872/,,LV,"store, point_of_interest, establishment"
ChIJ58Q6hMXP7kYRbOFqwrAiT2U,Alberta pīpes,"Alberta iela 1, Centra rajons, Rīga, LV-1010, Latvia",Rīga,https://www.albertapipes.lv/,67 333 049,LV,"store, bar, point_of_interest, establishment"
ChIJ3fbV8sDP7kYR0sHjwP9Bpz0,Tabakeria,"TC Origo, Stacijas laukums 2, Centra rajons, Rīga, LV-1050, Latvia",Rīga,https://tabakeria.lv/,67 073 928,LV,"gift_shop, store, point_of_interest, establishment"
ChIJAQ_zRjzP7kYROPQHcGBO_2A,Cigāri,"Ģertrūdes iela 22, Centra rajons, Rīga, LV-1011, Latvia",Rīga,https://tabakeria.lv/,25 113 753,LV,"store, point_of_interest, establishment"
ChIJFbNcv1XP7kYRI-6UoFxRLqw,Shadow Tobacco,"Skolas iela 20, Centra rajons, Rīga, LV-1010, Latvia",Rīga,http://www.shadowtobacco.com/,20 501 111,LV,"store, point_of_interest, establishment"
ChIJ25oCWO_R7kYRLACSZVuxUOA,Tabakas Studija Dižozolu,"Dižozolu iela 2, Zemgales priekšpilsēta, Rīga, LV-1058, Latvia",Rīga,,23 072 614,LV,"store, point_of_interest, establishment"
ChIJg1Lz_M7T7kYRUG0vGpxdnh0,"Rasta 1, SIA","Krustpils iela 121A, Latgales priekšpilsēta, Rīga, LV-1057, Latvia",Rīga,https://rasta1.eu/,67 724 216,LV,"store, point_of_interest, establishment"
ChIJNXjKW1XT7kYRBuvMx00H0qg,Tabakas Studija Interneta veikals,"Krustpils iela 121A, Latgales priekšpilsēta, Rīga, LV-1057, Latvia",Rīga,https://www.tabakasstudija.lv/,25 118 288,LV,"store, point_of_interest, establishment"
ChIJQzjfMXLb7kYRA2xFeqqrrq0,Tabakas Nams Grupa SIA,"Meistaru iela 5 ""Burkani, Piņķi, Babītes pagasts, Mārupes novads, LV-2107, Latvia",Piņķi,http://www.tng.lv/,27 043 337,LV,"wholesaler, service, point_of_interest, establishment"
ChIJC-RFfhLS7kYRTH95MBS89JI,SIA Avalons,"Zasas iela 7, Latgales priekšpilsēta, Rīga, LV-1057, Latvia",Rīga,https://tabakeria.lv/,67 250 499,LV,"store, point_of_interest, establishment"
