id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJzZzC_N17yUARdhN-hoQodCU,Angro,"Strada Uzinelor 100/1, MD-2023, Chișinău, Moldova",Chișinău,http://angro.md/,0798 18 686,MD,"home_goods_store, service, store, point_of_interest, establishment"
ChIJd2ySbOR5yUARdA4L7PPZmOY,Casa del Tabaco,"Bulevardul Dacia 44, MD-2062, Chișinău, Moldova",Chișinău,https://tabakmd.com/ro,0793 95 900,MD,"store, point_of_interest, establishment"
ChIJm8QtniJ9yUAR6KZ_Y5DM_ms,Tabacco House,"Bulevardul Ștefan cel Mare și Sfînt 136, Chișinău, Moldova",Chișinău,https://tabacco.md/,0610 00 935,MD,"store, point_of_interest, establishment"
ChIJaX42TGt8yUARae5R6bn328U,Tutun-CTC,"Strada Ismail 116, MD-2023, Chișinău, Moldova",Chișinău,,022 570 800,MD,"manufacturer, wholesaler, service, point_of_interest, establishment"
ChIJywMuIAt9yUARi4raZv65hGg,Tabacco House (Varlaam),"Chisinau MD, Strada Mitropolit Varlaam 63, MD-2075, Chișinău, Moldova",Chișinău,https://tabacco.md/,0610 00 935,MD,"store, point_of_interest, establishment"
ChIJ_ZXrjy98yUARL68GsEtMQSM,NEWSMOKE vape&tobacco shop,"Chișinău MD, Strada Armenească 31, MD-2012, Chișinău, Moldova",Chișinău,http://newsmoke.md/,0796 96 718,MD,"store, point_of_interest, establishment"
ChIJOXpI9vN9yUARWwnfGKA36tU,Colan Accessories,"Strada Alecu Russo 1 ТД, MD-2068, СОЮЗ+, Moldova",СОЮЗ+,https://www.facebook.com/Colan.Accessories,0606 06 048,MD,"gift_shop, store, point_of_interest, establishment"
ChIJs7xkaMB9yUARlZ7Ls1iDhE4,Casa del Tabaco,"Chișinău MD, Strada Grigore Alexandrescu 2, MD-2008, Chișinău, Moldova",Chișinău,https://tabakmd.com/ro,0799 44 022,MD,"store, point_of_interest, establishment"
ChIJyQatTeN8yUARZZSFjyn2ePE,NEWSMOKE VAPE SHOP,"Chisinau MD, Bulevardul Moscova 14/1, MD-2068, Chișinău, Moldova",Chișinău,http://newsmoke.md/,0785 82 123,MD,"store, point_of_interest, establishment"
ChIJ-UmPC7N-yUARKXo4ktniS9U,Newsmoke,"Bulevardul Dacia 18, MD-2043, Chișinău, Moldova",Chișinău,http://newsmoke.md/,0785 82 123,MD,"store, point_of_interest, establishment"
ChIJ0zxyZt19yUARqlngM9PpAJw,E-SMOKE,"г. Кишинев, Буюканы Chisinau MD, ул. Площадь, обьединения княжеств 1, MD-2064, Chișinău, Moldova",Chișinău,http://e-smoke.md/ru/,0695 82 141,MD,"store, point_of_interest, establishment"
ChIJrSirAqx9yUARd40Bt8U8rBo,Tutunmd,"Strada Mitropolit Varlaam 58, Chișinău, Moldova",Chișinău,http://tabac.md/,0603 89 413,MD,"store, point_of_interest, establishment"
ChIJWSRu5bF9yUARgNzdHYRUAF4,Newsmoke,"Strada Onisifor Ghibu 7/3, MD-2051, Chișinău, Moldova",Chișinău,http://www.newsmoke.md/,0785 82 123,MD,"store, point_of_interest, establishment"
ChIJF2VBk9F9yUARHxUUlzopfNE,Newsmoke,"Chișinău MD, Bulevardul Mircea cel Bătrîn 8, MD-2044, 3, Moldova",3,http://newsmoke.md/index.php,0796 96 718,MD,"store, point_of_interest, establishment"
ChIJpVbG4559yUAR1r1PdSKdGRo,Magazin Angro,"Strada Petricani 21, MD-2068, Chișinău, Moldova",Chișinău,,022 317 901,MD,"wholesaler, service, point_of_interest, food, establishment"
ChIJu4OX8i99yUARd-AaV37Fl6A,Accesorii,"str. Nadejda Russo 2/2 Chisinau MD, Strada Nadejda Russo 2024, Chișinău 2068, 2/3, MD-2024, Mo, Moldova",Mo,,0606 50 506,MD,"store, point_of_interest, establishment"
ChIJ8cjJHzV9yUARAZbFjgS0NKk,Cupaj2020 SRL,"MD-2001, ул.Каля Мошилор 7, Chișinău, Moldova",Chișinău,https://www.tabac.md/,0611 46 360,MD,"wholesaler, service, point_of_interest, establishment"
