id,nazwa_firmy,adres,miasto,www,telefon,kraj,types
ChIJFXmmZm1IRkcRk-JFSYcJ9P4,Tobacco Trading International Ro S.R.L.,"Bulevardul Ficusului 16, 013974 București, Romania",București,http://www.ttiro.ro/,0733 050 624,RO,"point_of_interest, service, establishment"
ChIJR_qI-gADskARe2ClXRkVQkc,JTI Romania SRL,"Bulevardul Dimitrie Pompeiu 9-9A, 020335 București, Romania",București,http://www.jti.com/,021 204 3111,RO,"corporate_office, point_of_interest, establishment"
ChIJv5Q6f-v5sUARz3tAiIUEeWU,Imperial Brands Romania,"Clădirea B, Strada Gara Herăstrău 4C, etaj 11, București, Romania",București,https://www.imperialbrandsplc.com/,021 204 0500,RO,"corporate_office, point_of_interest, establishment"
ChIJDSt3HGRJskARGddkoEoZ_vc,British American Tobacco factory,"Strada Laboratorului 17-19, Ploiești, Romania",Ploiești,http://www.bat.com/,0372 448 155,RO,"point_of_interest, establishment"
ChIJ58ENxh6LTUcRooIC7sQFcAM,Tobacco Logistic & Marketing Srl,"Strada Jiului 1, 210007 Târgu Jiu, Romania",Târgu Jiu,https://www.listafirme.ro/tobacco-logistic-marketing-srl-37086257/,,RO,"wholesaler, manufacturer, point_of_interest, service, establishment"
ChIJFSikr6j_sUAROGPH3giJIeA,Trabucuri de Lux,"Strada Covaci 22, 011022 București, Romania",București,http://www.trabucuridelux.ro/,,RO,"wholesaler, manufacturer, store, point_of_interest, service, establishment"
ChIJKXe7ucRPskARGCJRzhxyrew,British American Tobacoo,"Aricestii Rahtivani, Romania",,,,RO,"storage, point_of_interest, service, establishment"
ChIJuRftCCUDskARXXeinLsbn04,Davidoff of Geneva Baneasa,"Șoseaua București-Ploiești 42D, 077190 București, Romania",București,,0726 262 255,RO,"store, point_of_interest, establishment"
ChIJ65T5K3X_sUARc4sv2cSSxu8,Interbrands Orbico,"CORP A, Str. Sergent Nuțu Ion 44, ET.3, 050762 București, Romania",București,,021 336 1915,RO,"wholesaler, manufacturer, point_of_interest, service, establishment"
ChIJY79HC-n_rUARDG5S5LANqXc,magazintrabucuri.ro,"Depozit - NU comercializam produse la adresa, Șoseaua Alexandriei 88, 051538 București, Romania",București,https://www.magazintrabucuri.ro/,0726 878 038,RO,"store, point_of_interest, establishment"
